Gene	sample	counts
CLNK	GSM1022678	50.53251335727969
CLNK	GSM1022679	11.933070299321212
CLNK	GSM1022680	23.52542502851923
CLNK	GSM1022681	32.76374355771535
CLNK	GSM1022682	51.510798148090856
CLNK	GSM1022683	58.84748527320806
CLNK	GSM1022684	8.373746238412586
CLNK	GSM1022685	20.55760681993136
CLNK	GSM1022686	33.56297359274001
CLNK	GSM1022687	5.474033000226431
CLNK	GSM1022688	25.1880465136558
CLNK	GSM1022689	22.462772870169044
CLNK	GSM1022690	14.174183534495675
CLNK	GSM1022691	13.956070968369636
CLNK	GSM1022692	41.662089042396715
CLNK	GSM1022693	40.33952905510595
CLNK	GSM1022694	17.72271653984637
CLNK	GSM1022695	24.5258815172616
CLNK	GSM1385778	1
CLNK	GSM1385779	1.078755114838832
CLNK	GSM1385780	1.065003532520631
CLNK	GSM1385781	1.0078549668039407
CLNK	GSM1385782	1.0045505879962513
CLNK	GSM1385783	1.0625040851541827
CLNK	GSM1415906	17
CLNK	GSM1415907	17.103224811948653
CLNK	GSM1415908	23.30078113828417
CLNK	GSM1415909	15.091080716425282
CLNK	GSM1415910	38.26459828185947
CLNK	GSM1415911	14.042440007395095
CLNK	GSM1415912	8.05109662989709
CLNK	GSM1415913	17.45350845573703
CLNK	GSM1415914	47.487204278864304
CLNK	GSM1415915	39.96084195584189
CLNK	GSM1415916	68.3572874264045
CLNK	GSM1415917	64.22969224018416
CLNK	GSM1415918	93.78615332988656
CLNK	GSM1415919	31.176988738237135
CLNK	GSM1415920	79.70203470340806
CLNK	GSM1415921	91.28388020954596
CLNK	GSM2769390	1.075037082938662
CLNK	GSM2769391	2.112705603466306
CLNK	GSM2769392	1.043823220986215
CLNK	GSM2769393	3.097313967525531
CLNK	GSM2769394	1.0180301231797395
CLNK	GSM2769395	1.056537995407221
CLNK	GSM2769396	1.0166087578602931
CLNK	GSM2769397	1.0437691702869765
CLNK	GSM2769398	1.0476453445591134
CLNK	GSM3103946	85.8513302468181
CLNK	GSM3103947	170.10759568197088
CLNK	GSM3103948	373.3430797583384
CLNK	GSM3103949	183.0563075732517
CLNK	GSM3103950	151.72240474081033
CLNK	GSM3103951	188
CLNK	GSM3103952	89.40500233166637
CLNK	GSM3103953	82.82128329693039
CLNK	GSM3103954	100.30314290996496
CLNK	GSM3103955	134.0572131520701
CLNK	GSM3103956	57.56129909580781
CLNK	GSM3103957	31.500603910104836
CLNK	GSM3103958	49.18914296845387
CLNK	GSM3103959	72.21826289517477
CLNK	GSM3103960	36
CLNK	GSM3103961	63.617340784857866
CLNK	GSM3103962	97.736793752435
CLNK	GSM3103963	39.03492637254868
CLNK	GSM3103964	70.74551870019157
CLNK	GSM3103965	51
CLNK	GSM4260265	1.018588891444416
CLNK	GSM4260266	1.010650267145594
CLNK	GSM4260267	1.0522282763023092
CLNK	GSM4260268	1.0473759581317816
CLNK	GSM4260269	2.031488166596925
CLNK	GSM4260270	1.0121809652873912
CLNK	GSM4260271	1.090378271733954
CLNK	GSM4260272	1.069256964373882
CLNK	GSM4260273	1.0069631126805123
CLNK	GSM4260274	19.394530901570064
CLNK	GSM4260275	1.0621840232928137
CLNK	GSM4260276	1.0109102076785366
CLNK	GSM4735785	1.0886027553775994
CLNK	GSM4735786	8.373556913431834
CLNK	GSM4735787	6.236632879979119
CLNK	GSM4735788	4.214463107186204
CLNK	GSM4735789	14.587673425638084
CLNK	GSM4735790	4.201133833653861
CLNK	GSM4735791	2.1111339810902083
CLNK	GSM4735792	2.13791132141245
CLNK	GSM4735793	2.1476400750087192
CLNK	GSM4735794	6.300968192632798
CLNK	GSM4735795	3.113724838101209
CLNK	GSM4735796	5.44242535450071
CLNK	GSM4735797	15.03771797193218
CLNK	GSM4735798	1.1109774032735065
CLNK	GSM4735799	2.157834183307323
CLNK	GSM4735800	1.10922273025617
CLNK	GSM4735801	5.301994812367182
CLNK	GSM4735802	13.432420914965403
CLNK	GSM4735803	12.396731989057054
CLNK	GSM4735804	14.871126122087723
CLNK	GSM5282507	44
CLNK	GSM5282508	16.470994163997336
CLNK	GSM5282509	33.10003716028844
CLNK	GSM5282510	1.077456568009615
CLNK	GSM5282511	9.437159073652593
CLNK	GSM5282512	36.17153133802588
CLNK	GSM5282513	26.49995128044568
CLNK	GSM5282514	37
CLNK	GSM5282515	24.669128183917632
CLNK	GSM5282516	14.737061259547383
CLNK	GSM5282517	52.15838867623493
CLNK	GSM5282518	35
CLNK	GSM5282519	1.0939649729877647
CLNK	GSM5282520	11.454152379827423
CLNK	GSM5282521	17.460532773779114
CLNK	GSM5282522	8.227997360482677
CLNK	GSM5282523	34
CLNK	GSM5282524	31.31048514883954
CLNK	GSM5282525	22
CLNK	GSM5282526	35
CLNK	GSM5282527	19.115368907472025
CLNK	GSM5282528	21.468690926224113
CLNK	GSM5282529	41
