Gene	sample	counts
CLTCL1	GSM1022678	188.99159995622605
CLTCL1	GSM1022679	1.080829643118164
CLTCL1	GSM1022680	1.0228445664573578
CLTCL1	GSM1022681	164.78144634162317
CLTCL1	GSM1022682	19.17331579302867
CLTCL1	GSM1022683	25.38123300299187
CLTCL1	GSM1022684	58.3486873450081
CLTCL1	GSM1022685	1.0268260621954932
CLTCL1	GSM1022686	35.641443675576404
CLTCL1	GSM1022687	32.41238734059621
CLTCL1	GSM1022688	1.0432607562473546
CLTCL1	GSM1022689	124.59494503829106
CLTCL1	GSM1022690	1.079843385051915
CLTCL1	GSM1022691	1.067908644246083
CLTCL1	GSM1022692	40.69129985476505
CLTCL1	GSM1022693	164.48686706650915
CLTCL1	GSM1022694	1.0423146986582486
CLTCL1	GSM1022695	54.19682253061721
CLTCL1	GSM1385778	277.4195352230751
CLTCL1	GSM1385779	194.68627651101448
CLTCL1	GSM1385780	227.18231279979392
CLTCL1	GSM1385781	229.84380071981977
CLTCL1	GSM1385782	233.16931186374015
CLTCL1	GSM1385783	221.40436989533865
CLTCL1	GSM1415906	222.33623400549703
CLTCL1	GSM1415907	63.43867609887228
CLTCL1	GSM1415908	51.71271022526053
CLTCL1	GSM1415909	170.17676604300658
CLTCL1	GSM1415910	66.50132358413104
CLTCL1	GSM1415911	93.42320468365138
CLTCL1	GSM1415912	1.1235925034328906
CLTCL1	GSM1415913	1.1334188904283546
CLTCL1	GSM1415914	1.086773852521356
CLTCL1	GSM1415915	1.0718539595694612
CLTCL1	GSM1415916	2.1435129618540354
CLTCL1	GSM1415917	9.78566018652564
CLTCL1	GSM1415918	1.0934321088575003
CLTCL1	GSM1415919	25.15118015346796
CLTCL1	GSM1415920	4.304104911522709
CLTCL1	GSM1415921	1.0522929992388903
CLTCL1	GSM2769390	381.3429054195173
CLTCL1	GSM2769391	362.8953002800462
CLTCL1	GSM2769392	439.16384906814943
CLTCL1	GSM2769393	463.65700244514994
CLTCL1	GSM2769394	524.0033888640014
CLTCL1	GSM2769395	415.88474643463064
CLTCL1	GSM2769396	804.564750425637
CLTCL1	GSM2769397	555.439299529994
CLTCL1	GSM2769398	530.3668830458947
CLTCL1	GSM3103946	47.32726629598408
CLTCL1	GSM3103947	40.35160593300977
CLTCL1	GSM3103948	0.6896249220822664
CLTCL1	GSM3103949	185.94809608196155
CLTCL1	GSM3103950	119.75527403118927
CLTCL1	GSM3103951	8
CLTCL1	GSM3103952	98
CLTCL1	GSM3103953	1.0069631126805123
CLTCL1	GSM3103954	41
CLTCL1	GSM3103955	0.5259235784078222
CLTCL1	GSM3103956	1.0228168238050332
CLTCL1	GSM3103957	1.0142355058831722
CLTCL1	GSM3103958	1.019228895401757
CLTCL1	GSM3103959	88
CLTCL1	GSM3103960	148
CLTCL1	GSM3103961	69.30408708476467
CLTCL1	GSM3103962	38.23073781494405
CLTCL1	GSM3103963	1.0226627588381034
CLTCL1	GSM3103964	1.0069631126805123
CLTCL1	GSM3103965	48
CLTCL1	GSM4260265	762.5601444784213
CLTCL1	GSM4260266	1025.0749343900336
CLTCL1	GSM4260267	775.2292660232939
CLTCL1	GSM4260268	761.5491160040599
CLTCL1	GSM4260269	891.4332108028335
CLTCL1	GSM4260270	784.8494960552922
CLTCL1	GSM4260271	750.1806236479256
CLTCL1	GSM4260272	915.4044301443012
CLTCL1	GSM4260273	786.1784926198258
