Gene	sample	counts
CMAHP	GSM1022678	368.6557122363365
CMAHP	GSM1022679	276.74555241602184
CMAHP	GSM1022680	333.0422265771616
CMAHP	GSM1022681	311.0601369541492
CMAHP	GSM1022682	257.38924387122853
CMAHP	GSM1022683	363.694801245392
CMAHP	GSM1022684	313.3066458849302
CMAHP	GSM1022685	297.801836034792
CMAHP	GSM1022686	360.0437864315966
CMAHP	GSM1022687	271.05409676576693
CMAHP	GSM1022688	294.4947456276897
CMAHP	GSM1022689	348.7579354564553
CMAHP	GSM1022690	367.2402957916032
CMAHP	GSM1022691	274.2439311314248
CMAHP	GSM1022692	334.6116543987446
CMAHP	GSM1022693	441.0498433540643
CMAHP	GSM1022694	303.1467308695995
CMAHP	GSM1022695	303.08045381721615
CMAHP	GSM1385778	315.9549001663896
CMAHP	GSM1385779	323.02988599893195
CMAHP	GSM1385780	340.6783624902575
CMAHP	GSM1385781	315.80046116966605
CMAHP	GSM1385782	315.37748911868204
CMAHP	GSM1385783	327.8105800790332
CMAHP	GSM1415906	356
CMAHP	GSM1415907	328.7789798585947
CMAHP	GSM1415908	329.7637961404006
CMAHP	GSM1415909	404.18700276194215
CMAHP	GSM1415910	363.1920092419685
CMAHP	GSM1415911	331.0003716028844
CMAHP	GSM1415912	290.20067681209605
CMAHP	GSM1415913	311.5846911760845
CMAHP	GSM1415914	289.7478095163854
CMAHP	GSM1415915	327.48116613211886
CMAHP	GSM1415916	317.2372116131804
CMAHP	GSM1415917	323.61581266499775
CMAHP	GSM1415918	327.95853934921325
CMAHP	GSM1415919	290.01992351241324
CMAHP	GSM1415920	295.94538313154436
CMAHP	GSM1415921	323.43358953514286
CMAHP	GSM2769390	340.8801654380224
CMAHP	GSM2769391	326.7824507284454
CMAHP	GSM2769392	326.15840146056445
CMAHP	GSM2769393	328.4749085847309
CMAHP	GSM2769394	320.807753974654
CMAHP	GSM2769395	334.35783825033883
CMAHP	GSM2769396	336.06777229260774
CMAHP	GSM2769397	324.1498505698986
CMAHP	GSM2769398	341.49352143245017
CMAHP	GSM3103946	251
