Gene	sample	counts
COBLL1	GSM1022678	1302.7281943506705
COBLL1	GSM1022679	306.95561864555856
COBLL1	GSM1022680	1503.581512692316
COBLL1	GSM1022681	1308.0166982894063
COBLL1	GSM1022682	330.99197790070554
COBLL1	GSM1022683	1757.3965731271571
COBLL1	GSM1022684	1369.1102709167972
COBLL1	GSM1022685	1592.60722246521
COBLL1	GSM1022686	1254.7884729313223
COBLL1	GSM1022687	1237.0727834994225
COBLL1	GSM1022688	1447.002668915081
COBLL1	GSM1022689	1243.9069103003155
COBLL1	GSM1022690	2266.5912652239695
COBLL1	GSM1022691	1240.9098446139485
COBLL1	GSM1022692	1367.2276751201057
COBLL1	GSM1022693	3733.750970221374
COBLL1	GSM1022694	1387.3208639141287
COBLL1	GSM1022695	1162.6752305153163
COBLL1	GSM1385778	628.9511484479826
COBLL1	GSM1385779	1.052358251410889
COBLL1	GSM1385780	642.8107836823663
COBLL1	GSM1385781	376.01639328286296
COBLL1	GSM1385782	767.8506649305926
COBLL1	GSM1385783	454.2967023795863
COBLL1	GSM1415906	2440.6910012225057
COBLL1	GSM1415907	2721.8212935754245
COBLL1	GSM1415908	2220.604615555305
COBLL1	GSM1415909	2502.303335011073
COBLL1	GSM1415910	1860.0218687319075
COBLL1	GSM1415911	2439.048827654898
COBLL1	GSM1415912	1025.8399556342292
COBLL1	GSM1415913	971.3399890971
COBLL1	GSM1415914	1050.9103153881513
COBLL1	GSM1415915	985.0337888443348
COBLL1	GSM1415916	1097.478636469266
COBLL1	GSM1415917	979.6533142288446
COBLL1	GSM1415918	1015.798429128618
COBLL1	GSM1415919	1050.8819185862048
COBLL1	GSM1415920	1166.412431022654
COBLL1	GSM1415921	1260.6470130881903
COBLL1	GSM2769390	1.0476453445591134
COBLL1	GSM2769391	1.0368437150858465
COBLL1	GSM2769392	1.033326703689763
COBLL1	GSM2769393	1.0303488943225554
COBLL1	GSM2769394	1438.978298488934
COBLL1	GSM2769395	1.0397118660865767
COBLL1	GSM2769396	1.0223186155344817
COBLL1	GSM2769397	1.0460250461958456
COBLL1	GSM2769398	1.0481558953476182
COBLL1	GSM3103946	1244.6064072731133
COBLL1	GSM3103947	1883.074943540456
COBLL1	GSM3103948	1017.196760071343
COBLL1	GSM3103949	1005.1248436862786
COBLL1	GSM3103950	1486.6393964409465
COBLL1	GSM3103951	752
COBLL1	GSM3103952	902
COBLL1	GSM3103953	897.2041333983365
COBLL1	GSM3103954	1726
COBLL1	GSM3103955	1811.2808040365396
COBLL1	GSM3103956	1327.6162372989331
COBLL1	GSM3103957	902.6696002360231
COBLL1	GSM3103958	567.7104947387786
COBLL1	GSM3103959	1381
COBLL1	GSM3103960	716
COBLL1	GSM3103961	1511.6953995364297
COBLL1	GSM3103962	1827.0268387352207
COBLL1	GSM3103963	1051.2973160855704
COBLL1	GSM3103964	1532.5978574997398
COBLL1	GSM3103965	899
COBLL1	GSM4260265	1.0263259010476733
COBLL1	GSM4260266	1.017949289364482
COBLL1	GSM4260267	1.0377901820927629
COBLL1	GSM4260268	1.038948316513042
COBLL1	GSM4260269	1.0234594842742062
COBLL1	GSM4260270	1.021939447988662
COBLL1	GSM4260271	1.0506731423640414
COBLL1	GSM4260272	1.0485732304058435
COBLL1	GSM4260273	1.017048502742336
COBLL1	GSM4260274	0.6014903808708063
COBLL1	GSM4260275	1.0472567835878563
COBLL1	GSM4260276	1.022581557181457
COBLL1	GSM4735785	800.8822669099898
COBLL1	GSM4735786	864.8726916682065
COBLL1	GSM4735787	1028.2932003020453
COBLL1	GSM4735788	975.974926479082
COBLL1	GSM4735789	737.8339723048714
COBLL1	GSM4735790	873.5700717271394
COBLL1	GSM4735791	846.8892635497002
COBLL1	GSM4735792	738.9455999914375
COBLL1	GSM4735793	866.6007362113971
COBLL1	GSM4735794	876.4625915942748
COBLL1	GSM4735795	1919.539689558453
COBLL1	GSM4735796	1237.4748260572103
COBLL1	GSM4735797	1649.7399857230644
COBLL1	GSM4735798	1424.4663398405469
COBLL1	GSM4735799	1515.847180570862
COBLL1	GSM4735800	2224.5976577174324
COBLL1	GSM4735801	2445.24914723375
COBLL1	GSM4735802	2278.4012321836262
COBLL1	GSM4735803	2890.029909268044
COBLL1	GSM4735804	1839.9903111606488
COBLL1	GSM5282507	1.0030314290996496
COBLL1	GSM5282508	1.0203939923164922
COBLL1	GSM5282509	1.008488226377649
COBLL1	GSM5282510	1.0507016405848535
COBLL1	GSM5282511	1.030203714172055
COBLL1	GSM5282512	1.022581557181457
COBLL1	GSM5282513	1.0161485132291883
COBLL1	GSM5282514	1.0039198009821009
COBLL1	GSM5282515	1.0238669861786047
COBLL1	GSM5282516	1.0330890196011069
COBLL1	GSM5282517	1.0281447131263994
COBLL1	GSM5282518	1.0030314290996496
COBLL1	GSM5282519	1.0551829285636198
COBLL1	GSM5282520	1.0221745668813695
COBLL1	GSM5282521	1.0229609629673868
COBLL1	GSM5282522	1.022581557181457
COBLL1	GSM5282523	1.001514567592329
COBLL1	GSM5282524	1.0111427890600695
COBLL1	GSM5282525	1.0060720477616854
COBLL1	GSM5282526	1.0040651293934055
COBLL1	GSM5282527	1.011545386933744
COBLL1	GSM5282528	1.0195819146668483
COBLL1	GSM5282529	1.0045505879962513
COBLL1	GSM5282530	1.018588891444416
COBLL1	GSM5282531	1.0256814406706618
COBLL1	GSM5282532	1.0100156499625657
COBLL1	GSM5282533	1
COBLL1	GSM5282534	1.008488226377649
COBLL1	GSM5282535	1.0078549668039407
COBLL1	GSM5282536	1.0142079967347273
COBLL1	GSM4260927	1272
COBLL1	GSM4260928	924.0829737569796
COBLL1	GSM4260929	683.7589099920834
COBLL1	GSM4260930	1014
COBLL1	GSM4260931	2431.3481841375506
COBLL1	GSM4260932	1157.8378978264775
COBLL1	GSM4260933	1042.8257595518965
COBLL1	GSM4260934	1039
COBLL1	GSM4260935	927.598428036274
COBLL1	GSM4260936	1608.3555538416645
COBLL1	GSM4260937	1132
COBLL1	GSM4260938	1603.0319059343249
COBLL1	GSM4260939	545
COBLL1	GSM4260940	1135.780681736006
COBLL1	GSM4260941	1607
COBLL1	GSM4260942	1849.164547163407
COBLL1	GSM4260943	946.8088589778386
COBLL1	GSM4260944	1599.0126241361925
COBLL1	GSM4260945	1323.9976749790592
COBLL1	GSM4260946	1127.0172756250254
COBLL1	GSM4260947	846.7092389305225
COBLL1	GSM4260948	780.1265683682296
COBLL1	GSM4260949	888.011729875473
COBLL1	GSM4260950	1082
COBLL1	GSM4260951	826.9022864919422
COBLL1	GSM4260952	801.2762153440609
COBLL1	GSM4260953	1266.4758765222227
COBLL1	GSM4260954	1390.391570006649
COBLL1	GSM4260955	1542.5528551268264
COBLL1	GSM4260956	778.2019130635339
COBLL1	GSM4260957	1479.3150586686088
COBLL1	GSM4260958	707.935742388538
COBLL1	GSM4260959	997.1245975104524
COBLL1	GSM4260960	809.3794458292622
COBLL1	GSM4260961	983.4873053756672
COBLL1	GSM4260962	1932.923115453195
COBLL1	GSM4260963	1541
COBLL1	GSM4260964	1384
COBLL1	GSM4260965	802.2089881269061
COBLL1	GSM4260966	4106.127221684481
COBLL1	GSM4260967	793.4184954519183
COBLL1	GSM4260968	1105
COBLL1	GSM4260969	873.3207029405108
