Gene	sample	counts
COL1A1	GSM1022678	48838.44292054891
COL1A1	GSM1022679	49137.45518346232
COL1A1	GSM1022680	45784.46371503459
COL1A1	GSM1022681	52803.57607821156
COL1A1	GSM1022682	44706.89911069504
COL1A1	GSM1022683	46910.33811713279
COL1A1	GSM1022684	47116.73028229877
COL1A1	GSM1022685	45805.52879075064
COL1A1	GSM1022686	46709.917074430574
COL1A1	GSM1022687	49889.0405315174
COL1A1	GSM1022688	46926.66295024887
COL1A1	GSM1022689	45708.40556884584
COL1A1	GSM1022690	49378.42017167525
COL1A1	GSM1022691	48514.63993744227
COL1A1	GSM1022692	45639.56646893538
COL1A1	GSM1022693	44609.587421488155
COL1A1	GSM1022694	46439.461693800586
COL1A1	GSM1022695	45672.4672515391
COL1A1	GSM1385778	41545
COL1A1	GSM1385779	45093.49730485239
COL1A1	GSM1385780	44462.808917239774
COL1A1	GSM1385781	41598.40013605211
COL1A1	GSM1385782	41367.30462006132
COL1A1	GSM1385783	44285.698538097
COL1A1	GSM1415906	44493
COL1A1	GSM1415907	44656.94290138254
COL1A1	GSM1415908	44938.45356844279
COL1A1	GSM1415909	44529.994851530195
COL1A1	GSM1415910	44484.13395661166
COL1A1	GSM1415911	44296.76403980077
COL1A1	GSM1415912	53386.03281488175
COL1A1	GSM1415913	54430.69429539522
COL1A1	GSM1415914	50438.65547348434
COL1A1	GSM1415915	49563.7370371529
COL1A1	GSM1415916	49377.36621813093
COL1A1	GSM1415917	50874.45642662887
COL1A1	GSM1415918	51465.81609500443
COL1A1	GSM1415919	51145.5138994286
COL1A1	GSM1415920	49678.56607655918
COL1A1	GSM1415921	47656.535486241
COL1A1	GSM2769390	49801.60397505498
COL1A1	GSM2769391	47892.26115946727
COL1A1	GSM2769392	48531.89694169109
COL1A1	GSM2769393	47990.99408688744
COL1A1	GSM2769394	46401.410677643296
COL1A1	GSM2769395	48506.62367683371
COL1A1	GSM2769396	54692.389729747134
COL1A1	GSM2769397	49004.139152924574
COL1A1	GSM2769398	49005.755530378454
COL1A1	GSM3103946	41462.4588480737
COL1A1	GSM3103947	37913.28358634558
COL1A1	GSM3103948	29794.038713005393
COL1A1	GSM3103949	35712.65797071217
COL1A1	GSM3103950	27065.73992362545
COL1A1	GSM3103951	41490
COL1A1	GSM3103952	41757.36304657432
COL1A1	GSM3103953	42122.64450704471
COL1A1	GSM3103954	41368.30992528429
COL1A1	GSM3103955	21912.41560832368
COL1A1	GSM3103956	42558.90393736759
COL1A1	GSM3103957	42252.17706096121
COL1A1	GSM3103958	42754.7077377529
COL1A1	GSM3103959	41357
COL1A1	GSM3103960	42674
COL1A1	GSM3103961	37480.60720488393
COL1A1	GSM3103962	41410.833715230656
COL1A1	GSM3103963	42627.03286748635
COL1A1	GSM3103964	41639.44356608768
COL1A1	GSM3103965	41614
COL1A1	GSM4260265	1.0213903622938192
COL1A1	GSM4260266	344036.53606900526
COL1A1	GSM4260267	1.061737358926767
COL1A1	GSM4260268	1.055962388401363
COL1A1	GSM4260269	311008.8495710925
COL1A1	GSM4260270	2204.5043036353195
COL1A1	GSM4260271	1.1139413335812782
COL1A1	GSM4260272	173362.9858534039
COL1A1	GSM4260273	66301.89006542768
COL1A1	GSM4260274	0.7554628862173641
COL1A1	GSM4260275	144863.45909489942
COL1A1	GSM4260276	39505.38538521892
COL1A1	GSM4735786	46497.17228781607
COL1A1	GSM4735787	46187.469218831255
COL1A1	GSM4735788	46785.8967832726
COL1A1	GSM4735790	46754.25965221829
COL1A1	GSM4735793	47728.69846152998
COL1A1	GSM4735798	49232.87697784368
COL1A1	GSM4735800	49023.40967789685
COL1A1	GSM4735803	49075.53353254713
COL1A1	GSM4735804	46547.30790590032
COL1A1	GSM4735785	48551.26284792208
COL1A1	GSM4735789	46538.99702716552
COL1A1	GSM4735791	47456.61398404987
COL1A1	GSM4735792	48474.87459416222
COL1A1	GSM4735794	47137.50897240132
COL1A1	GSM4735795	52860.84505148708
COL1A1	GSM4735796	48957.88700521719
COL1A1	GSM4735797	48765.46849635663
COL1A1	GSM4735799	49117.95026444287
COL1A1	GSM4735801	47306.20602305544
COL1A1	GSM4735802	48609.965405273535
COL1A1	GSM5282507	43567
COL1A1	GSM5282509	43774
COL1A1	GSM5282510	47040.827168186035
COL1A1	GSM5282511	45786.23865085327
COL1A1	GSM5282512	44987.976349902194
COL1A1	GSM5282515	45021.082622814
COL1A1	GSM5282516	45982.71406963185
COL1A1	GSM5282519	47945.903724446325
COL1A1	GSM5282521	44844.72096455895
COL1A1	GSM5282523	43965
COL1A1	GSM5282524	44672.247014150875
COL1A1	GSM5282526	43593
COL1A1	GSM5282528	44593.12358017162
COL1A1	GSM5282529	44354
COL1A1	GSM5282513	44983.23399593296
COL1A1	GSM5282533	42060.28192970904
COL1A1	GSM5282534	43886
COL1A1	GSM5282536	44514.70739265807
COL1A1	GSM5282525	44064
COL1A1	GSM5282530	44790.61468320399
COL1A1	GSM5282514	43734
COL1A1	GSM5282520	45414.55727723432
COL1A1	GSM5282535	43963
COL1A1	GSM5282522	44925.31359181811
COL1A1	GSM5282531	45549.45408158625
COL1A1	GSM5282508	44804.20840018411
COL1A1	GSM5282518	43660
COL1A1	GSM5282517	45544.653248854716
COL1A1	GSM5282527	44156.02130858473
COL1A1	GSM5282532	43737
