Gene	sample	counts
CPA2	GSM1022678	1.0100156499625657
CPA2	GSM1022679	2.104528915711193
CPA2	GSM1022680	1.0184777571167023
CPA2	GSM1022681	1.0198693014890137
CPA2	GSM1022682	5.007572837961645
CPA2	GSM1022683	1.013077440794964
CPA2	GSM1022684	1.0272349045407547
CPA2	GSM1022685	1.0198693014890137
CPA2	GSM1022686	1.0316440871965518
CPA2	GSM1022687	1.0546852014232175
CPA2	GSM1022688	1.029701907789125
CPA2	GSM1022689	1.016786983838062
CPA2	GSM1022690	1.0522644578555964
CPA2	GSM1022691	1.0427525898533263
CPA2	GSM1022692	1.013974710299226
CPA2	GSM1022693	1.0069631126805123
CPA2	GSM1022694	1.0276160368461
CPA2	GSM1022695	1.017048502742336
CPA2	GSM1385778	17.051534294694044
CPA2	GSM1385779	2.0908083236176824
CPA2	GSM1385780	1.0418298547102676
CPA2	GSM1385781	5.060904826436956
CPA2	GSM1385782	8.060766495046186
CPA2	GSM1385783	1.0406685081874067
CPA2	GSM1415906	2
CPA2	GSM1415907	1.0054403053779657
CPA2	GSM1415908	1.011545386933744
CPA2	GSM1415909	2.010880610755931
CPA2	GSM1415910	1.0060720477616854
CPA2	GSM1415911	1.0030314290996496
CPA2	GSM1415912	1.0828383463137914
CPA2	GSM1415913	1.0894569621541417
CPA2	GSM1415914	1.057473757359071
CPA2	GSM1415915	1.0462657064923926
CPA2	GSM1415916	3.140962491219608
CPA2	GSM1415917	2.115136030490181
CPA2	GSM1415918	1.0648004524325103
CPA2	GSM1415919	3.1870321265100356
CPA2	GSM1415920	4.197806852929707
CPA2	GSM1415921	1.033334151869466
CPA2	GSM2769390	1.0456446792577374
CPA2	GSM2769391	4.136486718081587
CPA2	GSM2769392	4.128587360260309
CPA2	GSM2769393	1.029701907789125
CPA2	GSM2769394	4.0608576452487855
CPA2	GSM2769395	1.0383783796594372
CPA2	GSM2769396	2.0429651811100773
CPA2	GSM2769397	1.0456446792577374
CPA2	GSM2769398	1.047526139363344
CPA2	GSM3103946	3
CPA2	GSM3103947	3.192053640798248
CPA2	GSM3103948	1.280181440959084
CPA2	GSM3103949	1.5427713072479172
CPA2	GSM3103950	0.6021099064855125
CPA2	GSM3103951	2.8479655007386717
CPA2	GSM3103952	3
CPA2	GSM3103953	1
CPA2	GSM3103954	0.998802110988832
CPA2	GSM3103955	0.5099308691509438
CPA2	GSM3103956	1.012674233159597
CPA2	GSM3103957	2.010880610755931
CPA2	GSM3103958	1.0100156499625657
CPA2	GSM3103959	0.984996560587828
CPA2	GSM3103960	1
CPA2	GSM3103961	5.415239641768934
CPA2	GSM3103962	3
CPA2	GSM3103963	1.011545386933744
CPA2	GSM3103964	3
CPA2	GSM3103965	1
CPA2	GSM4260265	4.105303604190693
CPA2	GSM4260266	2.035375077672637
CPA2	GSM4260267	1.0379082793670698
CPA2	GSM4260268	1.038948316513042
CPA2	GSM4260269	1.0230798935918088
CPA2	GSM4260270	2.0433533429010415
CPA2	GSM4260271	1.0501613654387998
CPA2	GSM4260272	1.0479148002729763
CPA2	GSM4260273	2.033573967676124
CPA2	GSM4260274	6.906835268485836
CPA2	GSM4260275	2.0930899712967803
CPA2	GSM4260276	2.0446372310689633
CPA2	GSM4735785	1.0563241502356806
CPA2	GSM4735786	1.0328233761163617
CPA2	GSM4735787	1.0290274164106328
CPA2	GSM4735788	1.036605295870177
CPA2	GSM4735789	1.0332065818978375
CPA2	GSM4735790	1.0309962873732228
CPA2	GSM4735791	1.0420507920279476
CPA2	GSM4735792	1.0501613654387998
CPA2	GSM4735793	1.0468399724791213
CPA2	GSM4735794	1.0392155353402404
CPA2	GSM4735795	1.0306957408604032
CPA2	GSM4735796	1.063226737528289
CPA2	GSM4735797	1.0534673182521803
CPA2	GSM4735798	1.0698070636077792
CPA2	GSM4735799	1.0562880644173278
CPA2	GSM4735800	1.0691353001232575
CPA2	GSM4735801	1.0450994152455737
CPA2	GSM4735802	1.0285261829956671
CPA2	GSM4735803	1.0256814406706618
CPA2	GSM4735804	1.041590214740965
CPA2	GSM5282507	1.0045505879962513
CPA2	GSM5282508	1.020131613169304
CPA2	GSM5282509	1.0100156499625657
CPA2	GSM5282510	1.0488429247731252
CPA2	GSM5282511	1.0295288940925316
CPA2	GSM5282512	1.0223186155344817
CPA2	GSM5282513	1.0164098679180102
CPA2	GSM5282514	1.0045505879962513
CPA2	GSM5282515	1.024130326068477
CPA2	GSM5282516	1.032174835782654
CPA2	GSM5282517	1.0275807028156494
CPA2	GSM5282518	1.0045505879962513
