Gene	sample	counts
CRAT	GSM1022678	170.51880102064035
CRAT	GSM1022679	1.0886816601851197
CRAT	GSM1022680	84.52917581199851
CRAT	GSM1022681	64.95985525174517
CRAT	GSM1022682	1.0116578477926386
CRAT	GSM1022683	178.6511864275136
CRAT	GSM1022684	1.0578149423884136
CRAT	GSM1022685	266.53851995330996
CRAT	GSM1022686	1.0604724495698388
CRAT	GSM1022687	1.1088805228290193
CRAT	GSM1022688	196.02034219734773
CRAT	GSM1022689	1.028213009709356
CRAT	GSM1022690	44.127207892138586
CRAT	GSM1022691	256.81568181674146
CRAT	GSM1022692	195.39270827120777
CRAT	GSM1022693	420.59652299412994
CRAT	GSM1022694	298.4423046438266
CRAT	GSM1022695	779.574568638145
CRAT	GSM1385778	520.3609324469779
CRAT	GSM1385779	1.08831673889073
CRAT	GSM1385780	294.0125711224243
CRAT	GSM1385781	227.59730381186512
CRAT	GSM1385782	218.37039015665752
CRAT	GSM1385783	181.2698445061765
CRAT	GSM1415906	496.1163679687102
CRAT	GSM1415907	460.4052202724708
CRAT	GSM1415908	409.6457959059129
CRAT	GSM1415909	392.3199053461495
CRAT	GSM1415910	527.7962888734106
CRAT	GSM1415911	453.54261570454
CRAT	GSM1415912	1.182512101984153
CRAT	GSM1415913	2.3908724114583797
CRAT	GSM1415914	59.136923580112224
CRAT	GSM1415915	1.1104272564901518
CRAT	GSM1415916	1.1091395235784829
CRAT	GSM1415917	1.1335736061479336
CRAT	GSM1415918	1.14248870104818
CRAT	GSM1415919	1.1435660966331045
CRAT	GSM1415920	1.1170792534511031
CRAT	GSM1415921	1.0789086069095255
CRAT	GSM2769390	110.15699115271784
CRAT	GSM2769391	58.507102398646346
CRAT	GSM2769392	126.02498388805454
CRAT	GSM2769393	282.4166861982081
CRAT	GSM2769394	480.3445360546428
CRAT	GSM2769395	140.25463121185106
CRAT	GSM2769396	797.9033195837853
CRAT	GSM2769397	521.8161523529647
CRAT	GSM2769398	511.9155169425472
CRAT	GSM3103946	207.9934595929245
CRAT	GSM3103947	265.3290316959852
CRAT	GSM3103948	3.7588022320367824
CRAT	GSM3103949	0.8116746052912999
CRAT	GSM3103950	342.7043341639166
CRAT	GSM3103951	1
CRAT	GSM3103952	316.714967415222
CRAT	GSM3103953	224.246014891777
CRAT	GSM3103954	199.87340194953893
CRAT	GSM3103955	151.69802017863057
CRAT	GSM3103956	1.0218297981950817
CRAT	GSM3103957	1.0133047479406865
CRAT	GSM3103958	81.64150643829907
CRAT	GSM3103959	1.0031556375768678
CRAT	GSM3103960	497.04291612791263
CRAT	GSM3103961	287.5338931730154
CRAT	GSM3103962	1.0073786500721709
CRAT	GSM3103963	1.02246970304458
CRAT	GSM3103964	1.0101171841971937
CRAT	GSM3103965	1.0027184754459773
CRAT	GSM4260265	880.7365516777351
CRAT	GSM4260266	679.2530188605346
CRAT	GSM4260267	525.796332874267
CRAT	GSM4260268	510.6011194839941
CRAT	GSM4260269	649.2068721796188
CRAT	GSM4260270	826.9184860001478
CRAT	GSM4260271	276.15298571946266
CRAT	GSM4260272	174.37330866867956
CRAT	GSM4260273	814.7649801523525
CRAT	GSM4260274	160.5431839230478
CRAT	GSM4260275	253.3973469357339
CRAT	GSM4260276	672.7476450160586
CRAT	GSM4735785	1.1241583234625787
CRAT	GSM4735786	341.9243731927141
CRAT	GSM4735787	100.98640349349964
CRAT	GSM4735788	7.430846920744659
CRAT	GSM4735789	156.92065416767466
CRAT	GSM4735790	73.3106155630238
CRAT	GSM4735791	5.435513509582048
CRAT	GSM4735792	1.119522653616255
CRAT	GSM4735793	1.0950706995974604
CRAT	GSM4735794	210.30890358572228
CRAT	GSM4735795	35.64903313484656
CRAT	GSM4735796	1.1345222112631277
CRAT	GSM4735797	1.1166577862322071
CRAT	GSM4735798	1.1431313903741345
CRAT	GSM4735799	1.1303004052343573
CRAT	GSM4735800	490.8511285399245
CRAT	GSM4735801	273.61720413580895
CRAT	GSM4735802	63.46725171257849
CRAT	GSM4735803	907.5791443948452
CRAT	GSM4735804	1.0579760419913706
CRAT	GSM5282507	515.3788961367248
CRAT	GSM5282508	493.21379072391704
CRAT	GSM5282509	555
CRAT	GSM5282510	527.4618998352946
CRAT	GSM5282511	486.4465830662453
CRAT	GSM5282512	522.7793309040057
CRAT	GSM5282513	523.647242815125
CRAT	GSM5282514	515.3555018553303
CRAT	GSM5282515	572.5766032108882
CRAT	GSM5282516	509.23889640889047
CRAT	GSM5282517	488.5115877739434
CRAT	GSM5282518	512.1197547588832
CRAT	GSM5282519	493.75807487042255
CRAT	GSM5282520	505.7293131905322
CRAT	GSM5282521	542.432927913893
CRAT	GSM5282522	473.2315800059472
CRAT	GSM5282523	578.5159452167429
CRAT	GSM5282524	578
CRAT	GSM5282525	566
CRAT	GSM5282526	555.4333639630179
CRAT	GSM5282527	645
CRAT	GSM5282528	574.6094241584859
CRAT	GSM5282529	545
CRAT	GSM5282530	485.84134001677313
CRAT	GSM5282531	463.891328635677
CRAT	GSM5282532	548
CRAT	GSM5282533	411.15250274789025
CRAT	GSM5282534	545
CRAT	GSM5282535	625
CRAT	GSM5282536	519.5413297291307
CRAT	GSM4260927	45.09461940676627
CRAT	GSM4260928	0.6454556071292703
CRAT	GSM4260929	0.5819498173626707
CRAT	GSM4260930	1
CRAT	GSM4260931	99.68702511314896
CRAT	GSM4260932	110.46307009309685
CRAT	GSM4260933	16.674377852952667
CRAT	GSM4260934	119.37552087164724
CRAT	GSM4260935	1.0115205232858615
CRAT	GSM4260936	131.4852762307394
CRAT	GSM4260937	55
CRAT	GSM4260938	557.7018695059712
CRAT	GSM4260939	39.12306986549784
CRAT	GSM4260940	1.009398108835883
