Gene	sample	counts
CRNN	GSM1022678	13579.589516994924
CRNN	GSM1022679	9815.553848229038
CRNN	GSM1022680	84862.1382972092
CRNN	GSM1022681	7031.130999391274
CRNN	GSM1022682	629.2511813270212
CRNN	GSM1022683	72064.82601309166
CRNN	GSM1022684	217657.06036078237
CRNN	GSM1022685	128359.5582122232
CRNN	GSM1022686	167862.1840424098
CRNN	GSM1022687	143122.10020101868
CRNN	GSM1022688	120296.09465238638
CRNN	GSM1022689	45947.75476488199
CRNN	GSM1022690	333485.85774385085
CRNN	GSM1022691	81899.06734770315
CRNN	GSM1022692	90007.49761536096
CRNN	GSM1022693	451731.8140372689
CRNN	GSM1022694	91931.83006122116
CRNN	GSM1022695	92029.96212199183
CRNN	GSM1385778	1.0065008364545027
CRNN	GSM1385779	1.08831673889073
CRNN	GSM1385780	1.076969124990565
CRNN	GSM1385781	1.0160593920172551
CRNN	GSM1385782	1.010974028503044
CRNN	GSM1385783	1.072602630214062
CRNN	GSM1415906	1045841.4806725708
CRNN	GSM1415907	546412.7690313442
CRNN	GSM1415908	331946.2295674589
CRNN	GSM1415909	438302.4339936843
CRNN	GSM1415910	287599.24278571113
CRNN	GSM1415911	515271.88694801467
CRNN	GSM1415912	44028.47309317596
CRNN	GSM1415913	25339.661252841637
CRNN	GSM1415914	23469.397921591844
CRNN	GSM1415915	3732.146009063401
CRNN	GSM1415916	27163.936071960623
CRNN	GSM1415917	4774.612029095097
CRNN	GSM1415918	10028.765817800922
CRNN	GSM1415919	25168.746220797995
CRNN	GSM1415920	18400.52946284657
CRNN	GSM1415921	38840.70984874292
CRNN	GSM2769390	3094.8868942906447
CRNN	GSM2769391	1716.5565935888562
CRNN	GSM2769392	4282.783468851427
CRNN	GSM2769393	420.0306351093349
CRNN	GSM2769394	4249.827929161416
CRNN	GSM2769395	803.0876290871175
CRNN	GSM2769396	16.325387612967475
CRNN	GSM2769397	13.621706788330403
CRNN	GSM2769398	11.562773483301887
CRNN	GSM3103946	374071.1886929331
CRNN	GSM3103947	423878.1725639685
CRNN	GSM3103948	70711.21405611462
CRNN	GSM3103949	187391.3161236024
CRNN	GSM3103950	116261.43741118468
CRNN	GSM3103951	85542
CRNN	GSM3103952	262878.4501763393
CRNN	GSM3103953	432389.7517502665
CRNN	GSM3103954	449060.2927881154
CRNN	GSM3103955	146792.96097508376
CRNN	GSM3103956	302463.6639253405
CRNN	GSM3103957	127041.05616356764
CRNN	GSM3103958	366513.21485345607
CRNN	GSM3103959	388087.81204245007
CRNN	GSM3103960	496715.2285602235
CRNN	GSM3103961	431444.60670610954
CRNN	GSM3103962	499299.1688790709
CRNN	GSM3103963	422304.5266302846
CRNN	GSM3103964	397145.7530764422
CRNN	GSM3103965	485143.27453807625
CRNN	GSM4260265	1.0111785897562977
CRNN	GSM4260266	1.007793796528983
CRNN	GSM4260267	1.0209637531539166
CRNN	GSM4260268	1.0212022389679882
CRNN	GSM4260269	1.0112256576006524
CRNN	GSM4260270	1.0084371780489607
CRNN	GSM4260271	1.0381691192461002
CRNN	GSM4260272	1.031794725850175
CRNN	GSM4260273	1.005882691546114
CRNN	GSM4260274	4.676015065719838
CRNN	GSM4260275	1.0300705159989183
CRNN	GSM4260276	1.0086171589446156
CRNN	GSM4735785	8.99326658770063
CRNN	GSM4735786	2.10414998887824
CRNN	GSM4735787	4.16438777292782
CRNN	GSM4735788	6.369297360638279
CRNN	GSM4735789	1.0531587528031856
CRNN	GSM4735790	9.562254203872673
CRNN	GSM4735791	6.522616211498457
CRNN	GSM4735792	8.95618122893004
CRNN	GSM4735793	7.665494897182223
CRNN	GSM4735794	4.292018440524944
CRNN	GSM4735795	7001.889508073687
CRNN	GSM4735796	3030.3088262838137
CRNN	GSM4735797	2681.0953447435295
CRNN	GSM4735798	49095.20695378833
CRNN	GSM4735799	8127.990214040264
CRNN	GSM4735800	95422.36627246346
CRNN	GSM4735801	70537.86375667789
CRNN	GSM4735802	7036.54136610112
CRNN	GSM4735803	33525.89127384178
CRNN	GSM4735804	13902.863167808602
CRNN	GSM5282507	0.9404724382057024
CRNN	GSM5282508	1.0086171589446156
CRNN	GSM5282509	1
CRNN	GSM5282510	1.0362709230555889
CRNN	GSM5282511	1.0176706758708058
CRNN	GSM5282512	1.0111785897562977
CRNN	GSM5282513	1.0031556375768678
CRNN	GSM5282514	0.9596936719838556
CRNN	GSM5282515	1.0116194403019223
CRNN	GSM5282516	1.0205188304787385
CRNN	GSM5282517	1.015616606598635
CRNN	GSM5282518	0.9572331864652024
CRNN	GSM5282519	1.0438859933835571
CRNN	GSM5282520	1.0134855975762167
CRNN	GSM5282521	1.0101171841971937
CRNN	GSM5282522	1.0111785897562977
CRNN	GSM5282523	0.9658029135504892
CRNN	GSM5282524	1
CRNN	GSM5282525	1
CRNN	GSM5282526	0.9609573770986468
CRNN	GSM5282527	1
CRNN	GSM5282528	1.006321233202252
CRNN	GSM5282529	1
CRNN	GSM5282530	1.005882691546114
CRNN	GSM5282531	1.0128631629599931
CRNN	GSM5282532	1
CRNN	GSM5282533	0.7846421808165844
CRNN	GSM5282534	1
CRNN	GSM5282535	1
CRNN	GSM5282536	2.0020860490525267
CRNN	GSM4260927	1.002102653483695
CRNN	GSM4260928	1.2909112142585406
CRNN	GSM4260929	1.745849452088012
CRNN	GSM4260930	1
CRNN	GSM4260931	1.0069396476075654
CRNN	GSM4260932	1.0042097281190625
CRNN	GSM4260933	0.8337188926476333
CRNN	GSM4260934	1.0031556375768678
CRNN	GSM4260935	1.0115205232858615
CRNN	GSM4260936	1.019265707215034
CRNN	GSM4260937	1
CRNN	GSM4260938	2.0926899418610554
CRNN	GSM4260939	1.0031556375768678
CRNN	GSM4260940	1.009398108835883
CRNN	GSM4260941	1
CRNN	GSM4260942	1
CRNN	GSM4260943	1.018179658672215
CRNN	GSM4260944	0.7901896247624465
CRNN	GSM4260945	1.0079977142916818
CRNN	GSM4260946	1.653101159747369
CRNN	GSM4260947	1.024185544737989
CRNN	GSM4260948	2.214814991004945
CRNN	GSM4260949	1.031105756209081
CRNN	GSM4260950	2
CRNN	GSM4260951	0.862210537914432
CRNN	GSM4260952	0.9753607534609672
CRNN	GSM4260953	1
CRNN	GSM4260954	1.0101171841971937
CRNN	GSM4260955	1.0443980245860167
CRNN	GSM4260956	1.0217542627391865
CRNN	GSM4260957	0.9152572351260038
CRNN	GSM4260958	1.0450141253403695
CRNN	GSM4260959	3.055547448059422
CRNN	GSM4260960	1.0094968183001447
CRNN	GSM4260961	1.0052649262729068
CRNN	GSM4260962	1.0071193612313702
CRNN	GSM4260963	2
CRNN	GSM4260964	1.002102653483695
CRNN	GSM4260965	1.0480118219614296
CRNN	GSM4260966	1
CRNN	GSM4260967	0.855221335255545
CRNN	GSM4260968	1.0031556375768678
CRNN	GSM4260969	1.0052649262729068
CRNN	GSM4260970	1.5353197089257835
CRNN	GSM4260971	0.6280984158896301
CRNN	GSM4260972	1.015304770291522
CRNN	GSM4260973	2.0138792952151308
CRNN	GSM4260974	1.0187219032840784
CRNN	GSM4260975	1.0037721066292744
CRNN	GSM4260976	1
CRNN	GSM4260977	2.0746659525090037
CRNN	GSM4260978	1
CRNN	GSM4260979	2
CRNN	GSM4260980	0.8593821143822014
CRNN	GSM4260981	0.6932997731541387
CRNN	GSM4260982	1.006321233202252
CRNN	GSM4260983	1.0171270414978684
CRNN	GSM4260984	0.8100455500270124
CRNN	GSM4260985	0.710173072721408
CRNN	GSM4260986	0.7514549828230019
CRNN	GSM4260987	1.0536280474406272
CRNN	GSM4260988	1.016685793974575
CRNN	GSM4260989	1
CRNN	GSM4260990	2
CRNN	GSM4260991	2.0105298525458135
CRNN	GSM4260992	0.7239781904071776
CRNN	GSM4260993	1.0194476207331868
CRNN	GSM4260994	1
CRNN	GSM4260995	1.0305782789853644
CRNN	GSM4260996	0.8209594956916948
CRNN	GSM4260997	1
CRNN	GSM4260998	1.577737344153251
CRNN	GSM4260999	1.0027184754459773
CRNN	GSM4261000	1.022963108723893
CRNN	GSM4261001	2
CRNN	GSM4261002	1.0686315569478149
CRNN	GSM4261003	1.006321233202252
CRNN	GSM4261004	1.0469203470873392
CRNN	GSM4261005	1
