Gene	sample	counts
CTC-246B18.10	GSM1022678	5.050078249812829
CTC-246B18.10	GSM1022679	11.57490903641156
CTC-246B18.10	GSM1022680	6.110866542700213
CTC-246B18.10	GSM1022681	1.0198693014890137
CTC-246B18.10	GSM1022682	3.004543702776987
CTC-246B18.10	GSM1022683	2.0261548815899277
CTC-246B18.10	GSM1022684	2.0544698090815094
CTC-246B18.10	GSM1022685	1.0198693014890137
CTC-246B18.10	GSM1022686	4.126576348786207
CTC-246B18.10	GSM1022687	3.1640556042696524
CTC-246B18.10	GSM1022688	3.089105723367375
CTC-246B18.10	GSM1022689	1.016786983838062
CTC-246B18.10	GSM1022690	2.104528915711193
CTC-246B18.10	GSM1022691	5.2137629492666315
CTC-246B18.10	GSM1022692	2.027949420598452
CTC-246B18.10	GSM1022693	3.020889338041537
CTC-246B18.10	GSM1022694	6.1656962210766
CTC-246B18.10	GSM1022695	3.051145508227008
CTC-246B18.10	GSM1385778	2.006062858199299
CTC-246B18.10	GSM1385779	1.0454041618088412
CTC-246B18.10	GSM1385780	1.0418298547102676
CTC-246B18.10	GSM1385781	2.0243619305747824
CTC-246B18.10	GSM1385782	4.030383247523093
CTC-246B18.10	GSM1385783	1.0406685081874067
CTC-246B18.10	GSM1415906	8
CTC-246B18.10	GSM1415907	7.038082137645758
CTC-246B18.10	GSM1415908	5.057726934668721
CTC-246B18.10	GSM1415909	6.032641832267793
CTC-246B18.10	GSM1415910	5.030360238808427
CTC-246B18.10	GSM1415911	5.015157145498248
CTC-246B18.10	GSM1415912	1.0828383463137914
CTC-246B18.10	GSM1415913	1.0894569621541417
CTC-246B18.10	GSM1415914	3.1724212720772123
CTC-246B18.10	GSM1415915	2.092531412984785
CTC-246B18.10	GSM1415916	2.0939749941464054
CTC-246B18.10	GSM1415917	4.230272060980362
CTC-246B18.10	GSM1415918	1.0648004524325103
CTC-246B18.10	GSM1415919	3.1870321265100356
CTC-246B18.10	GSM1415920	1.0494517132324268
CTC-246B18.10	GSM1415921	3.100002455608398
CTC-246B18.10	GSM2769390	1.0456446792577374
CTC-246B18.10	GSM2769391	1.034121679520397
CTC-246B18.10	GSM2769392	1.0321468400650773
CTC-246B18.10	GSM2769393	1.029701907789125
CTC-246B18.10	GSM2769394	1.0152144113121964
CTC-246B18.10	GSM2769395	1.0383783796594372
CTC-246B18.10	GSM2769396	1.0214825905550386
CTC-246B18.10	GSM2769397	1.0456446792577374
CTC-246B18.10	GSM2769398	1.047526139363344
CTC-246B18.10	GSM3103946	6
CTC-246B18.10	GSM3103947	11.172187742793868
CTC-246B18.10	GSM3103948	0.640090720479542
CTC-246B18.10	GSM3103949	10.799399150735422
CTC-246B18.10	GSM3103950	4.2147693453985875
CTC-246B18.10	GSM3103951	3.7972873343182294
CTC-246B18.10	GSM3103952	7
CTC-246B18.10	GSM3103953	3
CTC-246B18.10	GSM3103954	3.995208443955328
