Gene	sample	counts
CTC-523E23.11	GSM1022678	93.26697973410482
CTC-523E23.11	GSM1022679	117.763005438317
CTC-523E23.11	GSM1022680	107.9119327050805
CTC-523E23.11	GSM1022681	112.26914119543284
CTC-523E23.11	GSM1022682	71.87767117726837
CTC-523E23.11	GSM1022683	133.3229404322651
CTC-523E23.11	GSM1022684	107.28868805122704
CTC-523E23.11	GSM1022685	77.82996509529447
CTC-523E23.11	GSM1022686	107.5112605573594
CTC-523E23.11	GSM1022687	104.08399049594306
CTC-523E23.11	GSM1022688	75.64520534607038
CTC-523E23.11	GSM1022689	99.6004793929697
CTC-523E23.11	GSM1022690	88.99245319985273
CTC-523E23.11	GSM1022691	96.96757323736986
CTC-523E23.11	GSM1022692	120.25967673025714
CTC-523E23.11	GSM1022693	75.79789435005917
CTC-523E23.11	GSM1022694	128.8606074247429
CTC-523E23.11	GSM1022695	121.1634697770147
CTC-523E23.11	GSM1385778	108
CTC-523E23.11	GSM1385779	110.1049867045596
CTC-523E23.11	GSM1385780	119.2206752363586
CTC-523E23.11	GSM1385781	103.867426583922
CTC-523E23.11	GSM1385782	100.53052229716717
CTC-523E23.11	GSM1385783	123.17490017183638
CTC-523E23.11	GSM1415906	137
CTC-523E23.11	GSM1415907	104.87584820124164
CTC-523E23.11	GSM1415908	99.65758751119895
CTC-523E23.11	GSM1415909	104.55174318905384
CTC-523E23.11	GSM1415910	100.6633340648812
CTC-523E23.11	GSM1415911	115.61010064174224
CTC-523E23.11	GSM1415912	105.65960359649466
CTC-523E23.11	GSM1415913	100.25208599588458
CTC-523E23.11	GSM1415914	94.89761768784314
CTC-523E23.11	GSM1415915	94.10345659179336
CTC-523E23.11	GSM1415916	99.21625524154274
CTC-523E23.11	GSM1415917	100.271351104794
CTC-523E23.11	GSM1415918	94.29384989132232
CTC-523E23.11	GSM1415919	109.36981451718204
CTC-523E23.11	GSM1415920	102.84247492986228
CTC-523E23.11	GSM1415921	103.9542696359722
CTC-523E23.11	GSM2769390	134.63147077807784
CTC-523E23.11	GSM2769391	131.46937136194063
CTC-523E23.11	GSM2769392	125.2096636544442
CTC-523E23.11	GSM2769393	134.98116034823383
CTC-523E23.11	GSM2769394	136.60066415053828
CTC-523E23.11	GSM2769395	131.58762956817333
CTC-523E23.11	GSM2769396	102.13903622938192
CTC-523E23.11	GSM2769397	94.12686704673114
CTC-523E23.11	GSM2769398	97.8158793021526
CTC-523E23.11	GSM3103946	102.07449772474637
CTC-523E23.11	GSM3103947	77.14725469957193
CTC-523E23.11	GSM3103948	71.4875732886764
CTC-523E23.11	GSM3103949	92.0558742273595
CTC-523E23.11	GSM3103950	76.87823968983946
CTC-523E23.11	GSM3103951	107
CTC-523E23.11	GSM3103952	110.58357452688388
CTC-523E23.11	GSM3103953	92.08130705633393
CTC-523E23.11	GSM3103954	100.53052229716717
CTC-523E23.11	GSM3103955	60.22628032210566
CTC-523E23.11	GSM3103956	81.54826483911906
CTC-523E23.11	GSM3103957	77.34766009810801
CTC-523E23.11	GSM3103958	78.1076846246297
CTC-523E23.11	GSM3103959	93
CTC-523E23.11	GSM3103960	93
CTC-523E23.11	GSM3103961	83.97042880331009
CTC-523E23.11	GSM3103962	81.68215100289012
CTC-523E23.11	GSM3103963	86.70954742387343
CTC-523E23.11	GSM3103964	89.08781779717769
CTC-523E23.11	GSM3103965	91
CTC-523E23.11	GSM4260265	134.82352782278411
CTC-523E23.11	GSM4260266	135.4255712387724
CTC-523E23.11	GSM4260267	140.14933137833322
CTC-523E23.11	GSM4260268	139.3870352689799
CTC-523E23.11	GSM4260269	136.56607357503776
CTC-523E23.11	GSM4260270	138.0352602644583
CTC-523E23.11	GSM4260271	151.49602136705386
CTC-523E23.11	GSM4260272	143.14882386979508
CTC-523E23.11	GSM4260273	134.710899878204
CTC-523E23.11	GSM4260274	107.27572984286572
CTC-523E23.11	GSM4260275	141.8375904976169
CTC-523E23.11	GSM4260276	139.70589609102865
CTC-523E23.11	GSM4735786	219.5167692911036
CTC-523E23.11	GSM4735787	6.171357650884924
CTC-523E23.11	GSM4735788	93.76975193173442
CTC-523E23.11	GSM4735790	1.0409497863123298
CTC-523E23.11	GSM4735793	508.05740707296144
CTC-523E23.11	GSM4735798	90.97475915321752
CTC-523E23.11	GSM4735800	108.17071527972918
CTC-523E23.11	GSM4735803	106.40569335331072
CTC-523E23.11	GSM4735804	108.59437440472055
CTC-523E23.11	GSM4735785	48.65397679894207
CTC-523E23.11	GSM4735789	184.47703976918967
CTC-523E23.11	GSM4735791	182.8302910419915
CTC-523E23.11	GSM4735792	1.079498376442762
CTC-523E23.11	GSM4735794	409.3893441540255
CTC-523E23.11	GSM4735795	108.02129733666035
CTC-523E23.11	GSM4735796	90.25306837588656
CTC-523E23.11	GSM4735797	113.18281424760852
CTC-523E23.11	GSM4735799	89.8091716655365
CTC-523E23.11	GSM4735801	117.31631938263364
CTC-523E23.11	GSM4735802	89.7148219151615
CTC-523E23.11	GSM5282507	179
CTC-523E23.11	GSM5282509	108
CTC-523E23.11	GSM5282510	740.6216468283403
CTC-523E23.11	GSM5282511	160.30422227873115
CTC-523E23.11	GSM5282512	291.3581822720625
CTC-523E23.11	GSM5282515	9.257036476327386
CTC-523E23.11	GSM5282516	260.06297655757714
CTC-523E23.11	GSM5282519	347.88881028966125
CTC-523E23.11	GSM5282521	270.2355790871369
CTC-523E23.11	GSM5282523	121
CTC-523E23.11	GSM5282524	16.170217461345956
CTC-523E23.11	GSM5282526	104
