Gene	sample	counts
CTC-548K16.2	GSM1022678	1.0100156499625657
CTC-548K16.2	GSM1022679	2.104528915711193
CTC-548K16.2	GSM1022680	1.0184777571167023
CTC-548K16.2	GSM1022681	1.0198693014890137
CTC-548K16.2	GSM1022682	11.016660243515618
CTC-548K16.2	GSM1022683	3.0392323223848914
CTC-548K16.2	GSM1022684	1.0272349045407547
CTC-548K16.2	GSM1022685	1.0198693014890137
CTC-548K16.2	GSM1022686	1.0316440871965518
CTC-548K16.2	GSM1022687	2.109370402846435
CTC-548K16.2	GSM1022688	1.029701907789125
CTC-548K16.2	GSM1022689	1.016786983838062
CTC-548K16.2	GSM1022690	1.0522644578555964
CTC-548K16.2	GSM1022691	2.0855051797066526
CTC-548K16.2	GSM1022692	1.013974710299226
CTC-548K16.2	GSM1022693	1.0069631126805123
CTC-548K16.2	GSM1022694	1.0276160368461
CTC-548K16.2	GSM1022695	1.017048502742336
CTC-548K16.2	GSM1385778	2.006062858199299
CTC-548K16.2	GSM1385779	1.0454041618088412
CTC-548K16.2	GSM1385780	1.0418298547102676
CTC-548K16.2	GSM1385781	2.0243619305747824
CTC-548K16.2	GSM1385782	2.0151916237615466
CTC-548K16.2	GSM1385783	3.1220055245622205
CTC-548K16.2	GSM1415906	1
CTC-548K16.2	GSM1415907	1.0054403053779657
CTC-548K16.2	GSM1415908	1.011545386933744
CTC-548K16.2	GSM1415909	1.0054403053779657
CTC-548K16.2	GSM1415910	4.024288191046741
CTC-548K16.2	GSM1415911	1.0030314290996496
CTC-548K16.2	GSM1415912	1.0828383463137914
CTC-548K16.2	GSM1415913	1.0894569621541417
CTC-548K16.2	GSM1415914	1.057473757359071
CTC-548K16.2	GSM1415915	2.092531412984785
CTC-548K16.2	GSM1415916	3.140962491219608
CTC-548K16.2	GSM1415917	1.0575680152450906
CTC-548K16.2	GSM1415918	1.0648004524325103
CTC-548K16.2	GSM1415919	1.062344042170012
CTC-548K16.2	GSM1415920	1.0494517132324268
CTC-548K16.2	GSM1415921	2.0666683037389317
CTC-548K16.2	GSM2769390	1.0456446792577374
CTC-548K16.2	GSM2769391	1.034121679520397
CTC-548K16.2	GSM2769392	1.0321468400650773
CTC-548K16.2	GSM2769393	1.029701907789125
CTC-548K16.2	GSM2769394	1.0152144113121964
CTC-548K16.2	GSM2769395	1.0383783796594372
CTC-548K16.2	GSM2769396	1.0214825905550386
CTC-548K16.2	GSM2769397	1.0456446792577374
CTC-548K16.2	GSM2769398	1.047526139363344
CTC-548K16.2	GSM3103946	1
CTC-548K16.2	GSM3103947	3.192053640798248
CTC-548K16.2	GSM3103948	5.120725763836336
CTC-548K16.2	GSM3103949	1.5427713072479172
CTC-548K16.2	GSM3103950	1.204219812971025
CTC-548K16.2	GSM3103951	0.9493218335795574
CTC-548K16.2	GSM3103952	3
CTC-548K16.2	GSM3103953	1
CTC-548K16.2	GSM3103954	1.997604221977664
CTC-548K16.2	GSM3103955	1.0198617383018875
CTC-548K16.2	GSM3103956	1.012674233159597
CTC-548K16.2	GSM3103957	1.0054403053779657
CTC-548K16.2	GSM3103958	2.0200312999251313
CTC-548K16.2	GSM3103959	3.939986242351312
CTC-548K16.2	GSM3103960	1
