Gene	sample	counts
CTD-2371O3.2	GSM1022678	14.14021909947592
CTD-2371O3.2	GSM1022679	2.104528915711193
CTD-2371O3.2	GSM1022680	4.073911028466809
CTD-2371O3.2	GSM1022681	10.198693014890138
CTD-2371O3.2	GSM1022682	4.006058270369316
CTD-2371O3.2	GSM1022683	8.104619526359711
CTD-2371O3.2	GSM1022684	4.108939618163019
CTD-2371O3.2	GSM1022685	4.079477205956055
CTD-2371O3.2	GSM1022686	4.126576348786207
CTD-2371O3.2	GSM1022687	8.43748161138574
CTD-2371O3.2	GSM1022688	4.1188076311565
CTD-2371O3.2	GSM1022689	4.067147935352248
CTD-2371O3.2	GSM1022690	8.418115662844771
CTD-2371O3.2	GSM1022691	2.0855051797066526
CTD-2371O3.2	GSM1022692	6.083848261795357
CTD-2371O3.2	GSM1022693	10.069631126805122
CTD-2371O3.2	GSM1022694	4.1104641473844
CTD-2371O3.2	GSM1022695	6.102291016454016
CTD-2371O3.2	GSM1385778	9.027282861896849
CTD-2371O3.2	GSM1385779	5.227020809044206
CTD-2371O3.2	GSM1385780	5.209149273551338
CTD-2371O3.2	GSM1385781	6.073085791724347
CTD-2371O3.2	GSM1385782	6.04557487128464
CTD-2371O3.2	GSM1385783	5.203342540937034
CTD-2371O3.2	GSM1415906	7
CTD-2371O3.2	GSM1415907	5.027201526889828
CTD-2371O3.2	GSM1415908	4.046181547734976
CTD-2371O3.2	GSM1415909	7.038082137645758
CTD-2371O3.2	GSM1415910	7.042504334331798
CTD-2371O3.2	GSM1415911	10.030314290996497
CTD-2371O3.2	GSM1415912	4.3313533852551656
CTD-2371O3.2	GSM1415913	5.447284810770707
CTD-2371O3.2	GSM1415914	4.229895029436284
CTD-2371O3.2	GSM1415915	4.18506282596957
CTD-2371O3.2	GSM1415916	7.328912479512419
CTD-2371O3.2	GSM1415917	5.287840076225453
CTD-2371O3.2	GSM1415918	5.324002262162553
CTD-2371O3.2	GSM1415919	8.498752337360095
CTD-2371O3.2	GSM1415920	5.247258566162134
CTD-2371O3.2	GSM1415921	8.266673214955727
CTD-2371O3.2	GSM2769390	7.319512754804162
CTD-2371O3.2	GSM2769391	4.136486718081587
CTD-2371O3.2	GSM2769392	4.128587360260309
CTD-2371O3.2	GSM2769393	7.207913354523875
CTD-2371O3.2	GSM2769394	7.106500879185374
CTD-2371O3.2	GSM2769395	4.153513518637749
CTD-2371O3.2	GSM2769396	7.150378133885271
CTD-2371O3.2	GSM2769397	4.18257871703095
CTD-2371O3.2	GSM2769398	7.332682975543408
CTD-2371O3.2	GSM3103946	3
CTD-2371O3.2	GSM3103947	7.182120691796057
CTD-2371O3.2	GSM3103948	3.840544322877252
CTD-2371O3.2	GSM3103949	0.7713856536239586
CTD-2371O3.2	GSM3103950	6.021099064855125
CTD-2371O3.2	GSM3103951	12.341183836534244
CTD-2371O3.2	GSM3103952	11
CTD-2371O3.2	GSM3103953	3
CTD-2371O3.2	GSM3103954	8.989218998899487
CTD-2371O3.2	GSM3103955	4.589377822358493
CTD-2371O3.2	GSM3103956	1.012674233159597
CTD-2371O3.2	GSM3103957	1.0054403053779657
CTD-2371O3.2	GSM3103958	3.0300469498876974
CTD-2371O3.2	GSM3103959	2.954989681763484
CTD-2371O3.2	GSM3103960	9
CTD-2371O3.2	GSM3103961	4.641633978659086
CTD-2371O3.2	GSM3103962	6
CTD-2371O3.2	GSM3103963	6.069272321602464
CTD-2371O3.2	GSM3103964	1
CTD-2371O3.2	GSM3103965	8
CTD-2371O3.2	GSM4260265	9.23693310942906
CTD-2371O3.2	GSM4260266	9.159187849526866
CTD-2371O3.2	GSM4260267	6.227449676202418
CTD-2371O3.2	GSM4260268	4.155793266052168
CTD-2371O3.2	GSM4260269	9.207719042326278
CTD-2371O3.2	GSM4260270	4.086706685802083
CTD-2371O3.2	GSM4260271	4.200645461755199
CTD-2371O3.2	GSM4260272	4.191659201091905
CTD-2371O3.2	GSM4260273	4.067147935352248
CTD-2371O3.2	GSM4260274	5.75569605707153
CTD-2371O3.2	GSM4260275	4.186179942593561
CTD-2371O3.2	GSM4260276	4.089274462137927
CTD-2371O3.2	GSM4735785	4.225296600942722
CTD-2371O3.2	GSM4735786	4.131293504465447
CTD-2371O3.2	GSM4735787	4.116109665642531
CTD-2371O3.2	GSM4735788	12.439263550442124
CTD-2371O3.2	GSM4735789	6.199239491387025
CTD-2371O3.2	GSM4735790	4.123985149492891
CTD-2371O3.2	GSM4735791	6.252304752167686
CTD-2371O3.2	GSM4735792	6.300968192632798
CTD-2371O3.2	GSM4735793	12.562079669749457
CTD-2371O3.2	GSM4735794	6.235293212041443
CTD-2371O3.2	GSM4735795	6.184174445162419
CTD-2371O3.2	GSM4735796	6.3793604251697325
CTD-2371O3.2	GSM4735797	6.320803909513083
CTD-2371O3.2	GSM4735798	4.279228254431117
CTD-2371O3.2	GSM4735799	6.337728386503966
CTD-2371O3.2	GSM4735800	4.27654120049303
CTD-2371O3.2	GSM4735801	6.270596491473441
CTD-2371O3.2	GSM4735802	6.171157097974002
CTD-2371O3.2	GSM4735803	4.102725762682647
CTD-2371O3.2	GSM4735804	4.16636085896386
CTD-2371O3.2	GSM5282507	4.018202351985005
CTD-2371O3.2	GSM5282508	3.0603948395079126
CTD-2371O3.2	GSM5282509	11.110172149588225
CTD-2371O3.2	GSM5282510	2.0976858495462505
CTD-2371O3.2	GSM5282511	9.265760046832783
CTD-2371O3.2	GSM5282512	3.066955846603445
CTD-2371O3.2	GSM5282513	8.131278943344082
CTD-2371O3.2	GSM5282514	9.04095529196626
CTD-2371O3.2	GSM5282515	1.024130326068477
CTD-2371O3.2	GSM5282516	5.16087417891327
CTD-2371O3.2	GSM5282517	7.1930649197095455
CTD-2371O3.2	GSM5282518	8.03640470397001
CTD-2371O3.2	GSM5282519	1.0528894166961578
CTD-2371O3.2	GSM5282520	2.0420702609244588
CTD-2371O3.2	GSM5282521	8.185792558615505
CTD-2371O3.2	GSM5282522	2.045163114362914
CTD-2371O3.2	GSM5282523	14.042440007395095
CTD-2371O3.2	GSM5282524	6.069272321602464
CTD-2371O3.2	GSM5282525	10.069631126805122
CTD-2371O3.2	GSM5282526	3.013651763988754
CTD-2371O3.2	GSM5282527	12.146171583448696
CTD-2371O3.2	GSM5282528	3.0603948395079126
CTD-2371O3.2	GSM5282529	14.085008668663596
CTD-2371O3.2	GSM5282530	17.326891221829868
CTD-2371O3.2	GSM5282531	9.228759317412536
CTD-2371O3.2	GSM5282532	6.063901602873563
CTD-2371O3.2	GSM5282533	6
CTD-2371O3.2	GSM5282534	7.063853186905301
CTD-2371O3.2	GSM5282535	7.063853186905301
CTD-2371O3.2	GSM5282536	5.074363872517052
CTD-2371O3.2	GSM4260927	9.01363110833096
CTD-2371O3.2	GSM4260928	9.066016594064752
CTD-2371O3.2	GSM4260929	9.347226602357962
CTD-2371O3.2	GSM4260930	9.01363110833096
CTD-2371O3.2	GSM4260931	9.095852404310344
CTD-2371O3.2	GSM4260932	4.032347381049469
CTD-2371O3.2	GSM4260933	8
CTD-2371O3.2	GSM4260934	5.034815563402561
CTD-2371O3.2	GSM4260935	1.010650267145594
CTD-2371O3.2	GSM4260936	3.045997667867858
CTD-2371O3.2	GSM4260937	3.0163209161338966
CTD-2371O3.2	GSM4260938	1.0346256397982054
CTD-2371O3.2	GSM4260939	12.101858716531789
CTD-2371O3.2	GSM4260940	3.0388040827775114
CTD-2371O3.2	GSM4260941	9.01363110833096
CTD-2371O3.2	GSM4260942	11
CTD-2371O3.2	GSM4260943	8.153831163214056
CTD-2371O3.2	GSM4260944	6.923766562436594
CTD-2371O3.2	GSM4260945	1.0091218838436145
CTD-2371O3.2	GSM4260946	5.156894911459541
CTD-2371O3.2	GSM4260947	1.0197255979537387
CTD-2371O3.2	GSM4260948	5.536344944644733
CTD-2371O3.2	GSM4260949	5.114804814836934
CTD-2371O3.2	GSM4260950	1.0030314290996496
CTD-2371O3.2	GSM4260951	5
CTD-2371O3.2	GSM4260952	1
CTD-2371O3.2	GSM4260953	14
CTD-2371O3.2	GSM4260954	1.0100156499625657
CTD-2371O3.2	GSM4260955	2.0625229218568437
CTD-2371O3.2	GSM4260956	5.0832185730664206
CTD-2371O3.2	GSM4260957	14
CTD-2371O3.2	GSM4260958	4.130231203751559
CTD-2371O3.2	GSM4260959	1.011645791484319
CTD-2371O3.2	GSM4260960	6.063901602873563
CTD-2371O3.2	GSM4260961	7.014858858017586
CTD-2371O3.2	GSM4260962	14.118835169287085
CTD-2371O3.2	GSM4260963	4.006058270369316
CTD-2371O3.2	GSM4260964	1.0060720477616854
CTD-2371O3.2	GSM4260965	3.0996197456935124
CTD-2371O3.2	GSM4260966	13
CTD-2371O3.2	GSM4260967	8.312045632106916
CTD-2371O3.2	GSM4260968	6.018188574597898
CTD-2371O3.2	GSM4260969	7.053170683165413
CTD-2371O3.2	GSM4260970	7.256327714955898
CTD-2371O3.2	GSM4260971	5.267383601867059
CTD-2371O3.2	GSM4260972	7.1022827053871795
CTD-2371O3.2	GSM4260973	3.031299912483977
CTD-2371O3.2	GSM4260974	4.0830903458235905
CTD-2371O3.2	GSM4260975	5.034815563402561
CTD-2371O3.2	GSM4260976	14.021203946292603
CTD-2371O3.2	GSM4260977	5.137903514078246
CTD-2371O3.2	GSM4260978	9.035278208838903
CTD-2371O3.2	GSM4260979	4
CTD-2371O3.2	GSM4260980	6
CTD-2371O3.2	GSM4260981	8.446032692252619
CTD-2371O3.2	GSM4260982	2.018243767687229
CTD-2371O3.2	GSM4260983	4.060086232031435
CTD-2371O3.2	GSM4260984	10.912857618290934
CTD-2371O3.2	GSM4260985	5.18304209053802
CTD-2371O3.2	GSM4260986	9.620284696452872
CTD-2371O3.2	GSM4260987	4.153769002735744
CTD-2371O3.2	GSM4260988	3.0365428958621736
CTD-2371O3.2	GSM4260989	9.01363110833096
CTD-2371O3.2	GSM4260990	9
CTD-2371O3.2	GSM4260991	13.098745554450051
CTD-2371O3.2	GSM4260992	10.143120482464392
CTD-2371O3.2	GSM4260993	1.0146118150553114
CTD-2371O3.2	GSM4260994	4
CTD-2371O3.2	GSM4260995	5.109558649429501
CTD-2371O3.2	GSM4260996	8.437011776776377
CTD-2371O3.2	GSM4260997	9
CTD-2371O3.2	GSM4260998	3.578899692480958
CTD-2371O3.2	GSM4260999	4.024288191046741
CTD-2371O3.2	GSM4261000	6.116946254212728
CTD-2371O3.2	GSM4261001	2.003029135184658
CTD-2371O3.2	GSM4261002	1.0522644578555964
CTD-2371O3.2	GSM4261003	3.02278743564232
CTD-2371O3.2	GSM4261004	6.193753764288764
CTD-2371O3.2	GSM4261005	8.012116540738631
CTD-2371O3.2	GSM4261006	1.0188508738016162
CTD-2371O3.2	GSM4261007	4.177327636530941
CTD-2371O3.2	GSM4261008	7.048741788763586
CTD-2371O3.2	GSM4261009	6.159372174822884
CTD-2371O3.2	GSM4261010	1.0469874970732027
CTD-2371O3.2	GSM4261011	6.100721903028372
CTD-2371O3.2	GSM4261012	1.116974272768844
CTD-2371O3.2	GSM4261013	5.1464604178485915
CTD-2371O3.2	GSM4261014	8.22188406939835
CTD-2371O3.2	GSM4261015	9.117696967154677
CTD-2371O3.2	GSM4261016	6.041778676083074
CTD-2371O3.2	GSM4261017	5.057726934668721
CTD-2371O3.2	GSM4261018	5.799801444616119
