Gene	sample	counts
CTD-2410N18.3	GSM1022678	1.0149928632180971
CTD-2410N18.3	GSM1022679	1.0886816601851197
CTD-2410N18.3	GSM1022680	1.0308436074633964
CTD-2410N18.3	GSM1022681	1.0311088135197646
CTD-2410N18.3	GSM1022682	6.069947086755831
CTD-2410N18.3	GSM1022683	1.020863922442935
CTD-2410N18.3	GSM1022684	1.0578149423884136
CTD-2410N18.3	GSM1022685	1.0371148636315564
CTD-2410N18.3	GSM1022686	1.0604724495698388
CTD-2410N18.3	GSM1022687	1.1088805228290193
CTD-2410N18.3	GSM1022688	1.0595694172829608
CTD-2410N18.3	GSM1022689	1.028213009709356
CTD-2410N18.3	GSM1022690	1.1031801973034647
CTD-2410N18.3	GSM1022691	1.0928326885818789
CTD-2410N18.3	GSM1022692	3.0689954178723733
CTD-2410N18.3	GSM1022693	6.080913585457301
CTD-2410N18.3	GSM1022694	1.0545664475046876
CTD-2410N18.3	GSM1022695	3.0894632839028207
CTD-2410N18.3	GSM1385778	1.0065008364545027
CTD-2410N18.3	GSM1385779	1.08831673889073
CTD-2410N18.3	GSM1385780	1.076969124990565
CTD-2410N18.3	GSM1385781	1.0160593920172551
CTD-2410N18.3	GSM1385782	1.010974028503044
CTD-2410N18.3	GSM1385783	1.072602630214062
CTD-2410N18.3	GSM1415906	7.044248632415764
CTD-2410N18.3	GSM1415907	1.0141084146970722
CTD-2410N18.3	GSM1415908	1.0241144897647825
CTD-2410N18.3	GSM1415909	12.16495830530696
CTD-2410N18.3	GSM1415910	1.0149928632180971
CTD-2410N18.3	GSM1415911	1.0101171841971937
CTD-2410N18.3	GSM1415912	1.182512101984153
CTD-2410N18.3	GSM1415913	1.1954362057291898
CTD-2410N18.3	GSM1415914	1.1372485303867734
CTD-2410N18.3	GSM1415915	1.1104272564901518
CTD-2410N18.3	GSM1415916	1.1091395235784829
CTD-2410N18.3	GSM1415917	1.1335736061479336
CTD-2410N18.3	GSM1415918	1.14248870104818
CTD-2410N18.3	GSM1415919	1.1435660966331045
CTD-2410N18.3	GSM1415920	1.1170792534511031
CTD-2410N18.3	GSM1415921	1.0789086069095255
CTD-2410N18.3	GSM2769390	9.4420278130901
CTD-2410N18.3	GSM2769391	9.40292717121102
CTD-2410N18.3	GSM2769392	16.52786673941699
CTD-2410N18.3	GSM2769393	9.242727911941357
CTD-2410N18.3	GSM2769394	15.265186527160258
CTD-2410N18.3	GSM2769395	9.350308747456738
CTD-2410N18.3	GSM2769396	1.0203367258104672
CTD-2410N18.3	GSM2769397	2.095647198204677
CTD-2410N18.3	GSM2769398	1.0511612257547172
CTD-2410N18.3	GSM3103946	1.0096769883151675
CTD-2410N18.3	GSM3103947	0.9117836140755504
CTD-2410N18.3	GSM3103948	4.385269270709579
CTD-2410N18.3	GSM3103949	8.928420658204297
CTD-2410N18.3	GSM3103950	4.6077893669098025
CTD-2410N18.3	GSM3103951	1
CTD-2410N18.3	GSM3103952	1.0054443410007048
CTD-2410N18.3	GSM3103953	1.0101171841971937
CTD-2410N18.3	GSM3103954	1.004388954520296
CTD-2410N18.3	GSM3103955	4.226879819218808
CTD-2410N18.3	GSM3103956	1.0218297981950817
CTD-2410N18.3	GSM3103957	1.0133047479406865
CTD-2410N18.3	GSM3103958	1.0205188304787385
CTD-2410N18.3	GSM3103959	1.0031556375768678
CTD-2410N18.3	GSM3103960	1.002102653483695
CTD-2410N18.3	GSM3103961	0.8660659432922149
CTD-2410N18.3	GSM3103962	1.0073786500721709
CTD-2410N18.3	GSM3103963	1.02246970304458
CTD-2410N18.3	GSM3103964	1.0101171841971937
CTD-2410N18.3	GSM3103965	1.0027184754459773
CTD-2410N18.3	GSM4260265	15.167678846344462
CTD-2410N18.3	GSM4260266	31.241607692398475
CTD-2410N18.3	GSM4260267	11.230601284693083
CTD-2410N18.3	GSM4260268	14.296831345551835
CTD-2410N18.3	GSM4260269	18.202061836811744
CTD-2410N18.3	GSM4260270	15.126557670734412
CTD-2410N18.3	GSM4260271	15.572536788691504
CTD-2410N18.3	GSM4260272	17.540510339452975
CTD-2410N18.3	GSM4260273	26.152949980198965
CTD-2410N18.3	GSM4260274	14.54760242668394
CTD-2410N18.3	GSM4260275	17.51119877198161
CTD-2410N18.3	GSM4260276	23.19819465572616
CTD-2410N18.3	GSM4735785	22.48316646925157
CTD-2410N18.3	GSM4735786	1.05207499443912
CTD-2410N18.3	GSM4735787	1.041096943231955
CTD-2410N18.3	GSM4735788	14.861693841489318
CTD-2410N18.3	GSM4735789	1.0531587528031856
CTD-2410N18.3	GSM4735790	1.0624726893191856
CTD-2410N18.3	GSM4735791	1.0871027019164097
CTD-2410N18.3	GSM4735792	1.119522653616255
CTD-2410N18.3	GSM4735793	1.0950706995974604
CTD-2410N18.3	GSM4735794	1.073004610131236
CTD-2410N18.3	GSM4735795	10.485009745543108
CTD-2410N18.3	GSM4735796	1.1345222112631277
CTD-2410N18.3	GSM4735797	1.1166577862322071
CTD-2410N18.3	GSM4735798	1.1431313903741345
CTD-2410N18.3	GSM4735799	1.1303004052343573
CTD-2410N18.3	GSM4735800	1.1336053776903567
CTD-2410N18.3	GSM4735801	1.08578255609448
CTD-2410N18.3	GSM4735802	1.0404467493865326
CTD-2410N18.3	GSM4735803	1.0290012974998244
CTD-2410N18.3	GSM4735804	1.0579760419913706
CTD-2410N18.3	GSM5282507	46.08314947207941
CTD-2410N18.3	GSM5282508	27.232663291504625
CTD-2410N18.3	GSM5282509	23
CTD-2410N18.3	GSM5282510	13.471521999722652
CTD-2410N18.3	GSM5282511	14.247389462191284
CTD-2410N18.3	GSM5282512	49.547750898058574
CTD-2410N18.3	GSM5282513	23.07257966426796
CTD-2410N18.3	GSM5282514	52.78315195911205
CTD-2410N18.3	GSM5282515	33.38344152996344
CTD-2410N18.3	GSM5282516	20.41037660957477
CTD-2410N18.3	GSM5282517	20.3123321319727
CTD-2410N18.3	GSM5282518	22.01636328869965
CTD-2410N18.3	GSM5282519	20.877719867671143
CTD-2410N18.3	GSM5282520	24.323654341829204
CTD-2410N18.3	GSM5282521	13.131523394563516
CTD-2410N18.3	GSM5282522	32.35771487220152
CTD-2410N18.3	GSM5282523	25.110875752312715
CTD-2410N18.3	GSM5282524	36
CTD-2410N18.3	GSM5282525	32
CTD-2410N18.3	GSM5282526	19.219147541972937
CTD-2410N18.3	GSM5282527	19
CTD-2410N18.3	GSM5282528	23.145388363651794
CTD-2410N18.3	GSM5282529	43
CTD-2410N18.3	GSM5282530	14.082357681645597
CTD-2410N18.3	GSM5282531	26.334442236959827
CTD-2410N18.3	GSM5282532	38
CTD-2410N18.3	GSM5282533	25.89319196694729
CTD-2410N18.3	GSM5282534	22
CTD-2410N18.3	GSM5282535	35
CTD-2410N18.3	GSM5282536	23.023989564104056
CTD-2410N18.3	GSM4260927	1.002102653483695
CTD-2410N18.3	GSM4260928	0.6454556071292703
CTD-2410N18.3	GSM4260929	0.5819498173626707
CTD-2410N18.3	GSM4260930	1
CTD-2410N18.3	GSM4260931	1.0069396476075654
CTD-2410N18.3	GSM4260932	1.0042097281190625
CTD-2410N18.3	GSM4260933	0.8337188926476333
CTD-2410N18.3	GSM4260934	1.0031556375768678
CTD-2410N18.3	GSM4260935	1.0115205232858615
CTD-2410N18.3	GSM4260936	1.019265707215034
CTD-2410N18.3	GSM4260937	1
CTD-2410N18.3	GSM4260938	1.0463449709305277
CTD-2410N18.3	GSM4260939	1.0031556375768678
CTD-2410N18.3	GSM4260940	1.009398108835883
CTD-2410N18.3	GSM4260941	1
CTD-2410N18.3	GSM4260942	1
CTD-2410N18.3	GSM4260943	1.018179658672215
CTD-2410N18.3	GSM4260944	0.7901896247624465
CTD-2410N18.3	GSM4260945	1.0079977142916818
CTD-2410N18.3	GSM4260946	0.5510337199157896
CTD-2410N18.3	GSM4260947	1.024185544737989
CTD-2410N18.3	GSM4260948	0.738271663668315
CTD-2410N18.3	GSM4260949	1.031105756209081
CTD-2410N18.3	GSM4260950	1
CTD-2410N18.3	GSM4260951	0.862210537914432
CTD-2410N18.3	GSM4260952	0.9753607534609672
CTD-2410N18.3	GSM4260953	1
CTD-2410N18.3	GSM4260954	1.0101171841971937
CTD-2410N18.3	GSM4260955	1.0443980245860167
CTD-2410N18.3	GSM4260956	1.0217542627391865
CTD-2410N18.3	GSM4260957	1.8305144702520075
CTD-2410N18.3	GSM4260958	1.0450141253403695
CTD-2410N18.3	GSM4260959	1.0185158160198071
CTD-2410N18.3	GSM4260960	1.0094968183001447
CTD-2410N18.3	GSM4260961	1.0052649262729068
CTD-2410N18.3	GSM4260962	1.0071193612313702
CTD-2410N18.3	GSM4260963	1
CTD-2410N18.3	GSM4260964	1.002102653483695
CTD-2410N18.3	GSM4260965	1.0480118219614296
CTD-2410N18.3	GSM4260966	6
CTD-2410N18.3	GSM4260967	28.222304063432983
CTD-2410N18.3	GSM4260968	1.0031556375768678
CTD-2410N18.3	GSM4260969	1.0052649262729068
CTD-2410N18.3	GSM4260970	0.7676598544628919
CTD-2410N18.3	GSM4260971	0.6280984158896301
CTD-2410N18.3	GSM4260972	1.015304770291522
CTD-2410N18.3	GSM4260973	1.0069396476075654
CTD-2410N18.3	GSM4260974	1.0187219032840784
CTD-2410N18.3	GSM4260975	1.0037721066292744
CTD-2410N18.3	GSM4260976	1
CTD-2410N18.3	GSM4260977	1.0373329762545018
CTD-2410N18.3	GSM4260978	1
CTD-2410N18.3	GSM4260979	1
CTD-2410N18.3	GSM4260980	0.8593821143822014
CTD-2410N18.3	GSM4260981	0.6932997731541387
CTD-2410N18.3	GSM4260982	1.006321233202252
CTD-2410N18.3	GSM4260983	1.0171270414978684
CTD-2410N18.3	GSM4260984	0.8100455500270124
CTD-2410N18.3	GSM4260985	0.710173072721408
CTD-2410N18.3	GSM4260986	0.7514549828230019
CTD-2410N18.3	GSM4260987	1.0536280474406272
CTD-2410N18.3	GSM4260988	1.016685793974575
CTD-2410N18.3	GSM4260989	1
CTD-2410N18.3	GSM4260990	1
CTD-2410N18.3	GSM4260991	1.0052649262729068
CTD-2410N18.3	GSM4260992	0.7239781904071776
CTD-2410N18.3	GSM4260993	1.0194476207331868
CTD-2410N18.3	GSM4260994	1
CTD-2410N18.3	GSM4260995	1.0305782789853644
CTD-2410N18.3	GSM4260996	0.8209594956916948
CTD-2410N18.3	GSM4260997	1
CTD-2410N18.3	GSM4260998	0.7888686720766255
CTD-2410N18.3	GSM4260999	1.0027184754459773
CTD-2410N18.3	GSM4261000	1.022963108723893
CTD-2410N18.3	GSM4261001	1
CTD-2410N18.3	GSM4261002	1.0686315569478149
CTD-2410N18.3	GSM4261003	1.006321233202252
CTD-2410N18.3	GSM4261004	1.0469203470873392
CTD-2410N18.3	GSM4261005	1
CTD-2410N18.3	GSM4261006	1.0222189640586097
CTD-2410N18.3	GSM4261007	1.059023137674673
CTD-2410N18.3	GSM4261008	1.0031556375768678
CTD-2410N18.3	GSM4261009	1.0305588816235487
CTD-2410N18.3	GSM4261010	1.0573527504378613
CTD-2410N18.3	GSM4261011	1.0186397227305803
CTD-2410N18.3	GSM4261012	1.1521636110377214
CTD-2410N18.3	GSM4261013	1.035533229548271
CTD-2410N18.3	GSM4261014	1.032686174919233
CTD-2410N18.3	GSM4261015	1.0165023704801062
CTD-2410N18.3	GSM4261016	1.004826844941539
CTD-2410N18.3	GSM4261017	39.56747116057338
CTD-2410N18.3	GSM4261018	31.014244798016662
CTD-2410N18.3	GSM4261019	24.46674289759648
CTD-2410N18.3	GSM4261020	1.0794604597647677
CTD-2410N18.3	GSM4261021	3.1061037995222742
CTD-2410N18.3	GSM4261022	39.31892705340647
CTD-2410N18.3	GSM4261023	1.004388954520296
CTD-2410N18.3	GSM4261024	1.046087500606099
CTD-2410N18.3	GSM4261025	1.030483911825718
CTD-2410N18.3	GSM4261026	1.0460126567107848
CTD-2410N18.3	GSM4261027	0.9295918496869188
CTD-2410N18.3	GSM4818000	9.133731540253756
CTD-2410N18.3	GSM4818001	4.2116504371190215
CTD-2410N18.3	GSM4818002	1.0358193297155989
CTD-2410N18.3	GSM4818003	1.0573255696962722
CTD-2410N18.3	GSM4818004	1.180393650637631
CTD-2410N18.3	GSM4818005	1.0778621231566528
CTD-2410N18.3	GSM4818006	1.1865753126452228
CTD-2410N18.3	GSM4818007	1.1906613995587665
CTD-2410N18.3	GSM4818008	4.0685081659914735
CTD-2410N18.3	GSM4818009	1.049549533604482
CTD-2410N18.3	GSM4818010	1.0971448421687486
CTD-2410N18.3	GSM4818011	1.1446027103872318
CTD-2410N18.3	GSM4818012	1.0166837908115425
CTD-2410N18.3	GSM4818013	1.0362709230555889
CTD-2410N18.3	GSM4818014	1.1681827290169344
CTD-2410N18.3	GSM4818015	1.083493271513882
CTD-2410N18.3	GSM4818016	1.0638862153272983
CTD-2410N18.3	GSM4818017	1.0249978412128151
CTD-2410N18.3	GSM4818018	1.0360041976426817
CTD-2410N18.3	GSM4818019	1.0168461042644938
CTD-2410N18.3	GSM4818020	1.0137465254422466
CTD-2410N18.3	GSM4818021	1.0186397227305803
CTD-2410N18.3	GSM4818022	1.066273626617109
CTD-2410N18.3	GSM4818023	1.0980352910845552
CTD-2410N18.3	GSM3056394	1.0671971411560988
CTD-2410N18.3	GSM3056395	1.133705193223047
CTD-2410N18.3	GSM3056396	1.203522155752025
CTD-2410N18.3	GSM3056397	1.0736079330791972
CTD-2410N18.3	GSM3056398	1.0205188304787385
CTD-2410N18.3	GSM3056399	1.0997159648995063
CTD-2410N18.3	GSM3056400	1.0751432370066922
CTD-2410N18.3	GSM3056401	1.0560363314371135
CTD-2410N18.3	GSM3056402	1.0757745868233608
CTD-2410N18.3	GSM3056403	1.0438151284577408
CTD-2410N18.3	GSM3056404	1.0217876980106086
CTD-2410N18.3	GSM3056405	1.1407630523006334
CTD-2410N18.3	GSM3056406	1.0920290281894016
CTD-2410N18.3	GSM3056407	6.567712625868665
CTD-2410N18.3	GSM3056408	1.051302402577222
CTD-2410N18.3	GSM3056409	1.0516329533829845
CTD-2410N18.3	GSM3056410	1.2063342432114983
CTD-2410N18.3	GSM3056411	1.2456982018473386
CTD-2410N18.3	GSM3056412	1.1918056890427493
CTD-2410N18.3	GSM3056413	1.1508553648838002
CTD-2410N18.3	GSM3056414	1.028841826666172
CTD-2410N18.3	GSM3056415	1.0579799460345516
CTD-2410N18.3	GSM3056416	1.2099057083768017
CTD-2410N18.3	GSM3056417	1.0643159022656992
CTD-2410N18.3	GSM3056418	11.188397456476553
CTD-2410N18.3	GSM3056419	1.1049801633331209
CTD-2410N18.3	GSM3056420	1.028396520097945
CTD-2410N18.3	GSM3056421	1.128135411167967
CTD-2410N18.3	GSM3056422	1.1379442381081375
CTD-2410N18.3	GSM3056423	1.2189788698148885
CTD-2410N18.3	GSM3056424	1.1011144214313489
CTD-2410N18.3	GSM3056425	1.1975332789795994
CTD-2410N18.3	GSM3056426	1.0466890534922917
CTD-2410N18.3	GSM3056427	1.1736616871026193
CTD-2410N18.3	GSM3056428	1.036458291289237
CTD-2410N18.3	GSM3056429	1.10257721610693
CTD-2410N18.3	GSM3056430	1.052417069693916
CTD-2410N18.3	GSM3056431	1.142439781228339
CTD-2410N18.3	GSM3056432	1.059849697095764
CTD-2410N18.3	GSM3056433	1.184271708569342
CTD-2410N18.3	GSM3056434	1.0367049728965188
CTD-2410N18.3	GSM3056435	1.1519063682458093
CTD-2410N18.3	GSM3056436	1.1394543927279692
CTD-2410N18.3	GSM3056437	1.1397234185202714
CTD-2410N18.3	GSM3056438	1.0890492244477346
CTD-2410N18.3	GSM3056439	1.1115592369546867
CTD-2410N18.3	GSM3056440	1.2274454144782774
CTD-2410N18.3	GSM3056441	1.2448635470620568
CTD-2410N18.3	GSM3056442	1.0186872166163066
CTD-2410N18.3	GSM3056443	1.0336459304989285
CTD-2410N18.3	GSM3056444	1.1444199091912266
CTD-2410N18.3	GSM3056445	1.0494980139587593
CTD-2410N18.3	GSM3056446	1.019059509939322
CTD-2410N18.3	GSM3056447	1.015435376698988
CTD-2410N18.3	GSM3056448	1.024185544737989
CTD-2410N18.3	GSM3056449	1.0947620158572255
CTD-2410N18.3	GSM3056450	1.0222189640586097
CTD-2410N18.3	GSM3056451	1.103382198875546
CTD-2410N18.3	GSM3056452	1.044095844834663
CTD-2410N18.3	GSM3056453	1.0279483583199658
CTD-2410N18.3	GSM3056454	1.096730865362172
CTD-2410N18.3	GSM3056455	1.03045811269268
CTD-2410N18.3	GSM3056456	1.0263390520415825
CTD-2410N18.3	GSM3056457	1.1384325687729644
CTD-2410N18.3	GSM3056458	1.2557940495074096
CTD-2410N18.3	GSM3056459	1.1481121974989528
CTD-2410N18.3	GSM3056460	1.1837356292037229
CTD-2410N18.3	GSM3056461	1.1469577367468486
CTD-2410N18.3	GSM3056462	1.1117090454229606
CTD-2410N18.3	GSM3056463	1.2008842961788255
CTD-2410N18.3	GSM3056464	1.1844698293014613
CTD-2410N18.3	GSM3056465	1.1865971827336304
CTD-2410N18.3	GSM3056466	1.1136536085485649
CTD-2410N18.3	GSM3056467	1.1108302800333494
CTD-2410N18.3	GSM3056468	1.0322660267276402
CTD-2410N18.3	GSM3056469	1.1699582550602945
CTD-2410N18.3	GSM3056470	1.1758048483689
CTD-2410N18.3	GSM3056471	1.174293011298832
CTD-2410N18.3	GSM3056472	1.1379848797326688
CTD-2410N18.3	GSM3056473	1.1575030241811295
CTD-2410N18.3	GSM3056474	1.051161031313454
CTD-2410N18.3	GSM3056475	1.0840707430357266
CTD-2410N18.3	GSM3056476	6.5691814623593485
CTD-2410N18.3	GSM3056477	1.2185730406811457
CTD-2410N18.3	GSM3056478	6.1747747773228285
CTD-2410N18.3	GSM3056479	1.06765514956321
CTD-2410N18.3	GSM3056480	1.0840048100905328
CTD-2410N18.3	GSM3056481	1.0662480451428855
CTD-2410N18.3	GSM3056482	6.170982524548857
CTD-2410N18.3	GSM3056483	1.037083044585549
CTD-2410N18.3	GSM3056484	1.0273170413644623
CTD-2410N18.3	GSM3056485	1.0205188304787385
CTD-2410N18.3	GSM3056486	11.064709607007256
CTD-2410N18.3	GSM3056487	1.0525949269761783
CTD-2410N18.3	GSM3056488	1.031518738576124
CTD-2410N18.3	GSM3056489	1.0397265506759497
CTD-2410N18.3	GSM3056490	1.178211829351184
CTD-2410N18.3	GSM3056491	1.1170910902175606
CTD-2410N18.3	GSM3056492	1.1773943537710445
CTD-2410N18.3	GSM3056493	16.534563053873995
CTD-2410N18.3	GSM3056494	1.107819707326396
CTD-2410N18.3	GSM3056495	1.0271337236015363
CTD-2410N18.3	GSM3056496	1.1222050399297292
CTD-2410N18.3	GSM3056497	11.62777035743282
CTD-2410N18.3	GSM3056498	1.04694188654587
CTD-2410N18.3	GSM3056499	1.133744875697002
