Gene	sample	counts
DDX11L9	GSM1022678	1.0107351456338556
DDX11L9	GSM1022679	1.0847894030308278
DDX11L9	GSM1022680	1.0228168238050332
DDX11L9	GSM1022681	1.0238669861786047
DDX11L9	GSM1022682	2.0200312999251313
DDX11L9	GSM1022683	1.0146118150553114
DDX11L9	GSM1022684	1.0467182798015733
DDX11L9	GSM1022685	1.027880340996568
DDX11L9	GSM1022686	1.0487648077875216
DDX11L9	GSM1022687	1.0947477718953087
DDX11L9	GSM1022688	1.0495019380689916
DDX11L9	GSM1022689	1.0210351304622294
DDX11L9	GSM1022690	1.090378271733954
DDX11L9	GSM1022691	1.0735439206438182
DDX11L9	GSM1022692	1.0161485132291883
DDX11L9	GSM1022693	1.008488226377649
DDX11L9	GSM1022694	1.0424844615251376
DDX11L9	GSM1022695	1.0216766714505208
DDX11L9	GSM1385778	1
DDX11L9	GSM1385779	1.078610408176517
DDX11L9	GSM1385780	1.0649136662703569
DDX11L9	GSM1385781	1.0078549668039407
DDX11L9	GSM1385782	1.0045505879962513
DDX11L9	GSM1385783	1.062305800204984
DDX11L9	GSM1415906	1
DDX11L9	GSM1415907	1.0060720477616854
DDX11L9	GSM1415908	1.013077440794964
DDX11L9	GSM1415909	1.0060720477616854
DDX11L9	GSM1415910	1.0069631126805123
DDX11L9	GSM1415911	1.0030314290996496
DDX11L9	GSM1415912	2.300211363774592
DDX11L9	GSM1415913	2.326806558504732
DDX11L9	GSM1415914	1.1043156152702678
DDX11L9	GSM1415915	1.079995560610013
DDX11L9	GSM1415916	1.0850968187995071
DDX11L9	GSM1415917	1.107408486899727
DDX11L9	GSM1415918	1.1164525767485525
DDX11L9	GSM1415919	1.1135130002794067
DDX11L9	GSM1415920	1.0918758521094598
DDX11L9	GSM1415921	1.0614142933872277
DDX11L9	GSM2769390	1.075066242001491
DDX11L9	GSM2769391	1.0563344237307208
DDX11L9	GSM2769392	1.043823220986215
DDX11L9	GSM2769393	1.0324123095438906
DDX11L9	GSM2769394	1.017949289364482
DDX11L9	GSM2769395	1.0565016669106198
DDX11L9	GSM2769396	1.016643714613284
DDX11L9	GSM2769397	1.043676142250892
DDX11L9	GSM2769398	1.0475331876976477
DDX11L9	GSM3103946	2.0200312999251313
DDX11L9	GSM3103947	4.57066567394588
DDX11L9	GSM3103948	1.4329511441980307
DDX11L9	GSM3103949	4.237414527158604
DDX11L9	GSM3103950	3.326872398177561
DDX11L9	GSM3103951	1
DDX11L9	GSM3103952	1.004257750689395
DDX11L9	GSM3103953	1.0100156499625657
DDX11L9	GSM3103954	2.006062858199299
DDX11L9	GSM3103955	1.0596791576025777
DDX11L9	GSM3103956	2.055760681993136
DDX11L9	GSM3103957	2.0322970264583766
DDX11L9	GSM3103958	3.0741323445513804
DDX11L9	GSM3103959	4.012125716398598
DDX11L9	GSM3103960	1
DDX11L9	GSM3103961	2.6890517770427267
DDX11L9	GSM3103962	3.02278743564232
DDX11L9	GSM3103963	1.0272349045407547
DDX11L9	GSM3103964	2.021300534291188
DDX11L9	GSM3103965	2
DDX11L9	GSM4260265	1.018588891444416
DDX11L9	GSM4260266	1.010650267145594
DDX11L9	GSM4260267	1.0521421345944184
DDX11L9	GSM4260268	1.0473759581317816
DDX11L9	GSM4260269	1.0157440832984626
DDX11L9	GSM4260270	1.0121809652873912
DDX11L9	GSM4260271	1.0903486973623564
DDX11L9	GSM4260272	1.0692201985423029
DDX11L9	GSM4260273	1.0069631126805123
DDX11L9	GSM4260274	0.7458662304601242
DDX11L9	GSM4260275	1.0621650136918133
DDX11L9	GSM4260276	1.0109102076785366
DDX11L9	GSM4735785	2.1773837644292593
DDX11L9	GSM4735786	1.046731363875979
DDX11L9	GSM4735787	3.118803338363978
DDX11L9	GSM4735788	5.268497214168471
DDX11L9	GSM4735789	7.292808982971873
DDX11L9	GSM4735790	1.0503449137025986
DDX11L9	GSM4735791	1.0554829508581407
DDX11L9	GSM4735792	5.344301939366481
DDX11L9	GSM4735793	10.738200375043595
DDX11L9	GSM4735794	1.0501613654387998
DDX11L9	GSM4735795	1.0377901820927629
DDX11L9	GSM4735796	1.0884788898870077
DDX11L9	GSM4735797	1.0740004943863672
DDX11L9	GSM4735798	1.1111201032542215
DDX11L9	GSM4735799	1.0788214694507128
DDX11L9	GSM4735800	1.1094091366076655
DDX11L9	GSM4735801	1.060380527461417
DDX11L9	GSM4735802	1.0332065818978375
