Gene	sample	counts
DLGAP1-AS2	GSM1022678	58.62263844676363
DLGAP1-AS2	GSM1022679	62.91778537578801
DLGAP1-AS2	GSM1022680	68.52872719493723
DLGAP1-AS2	GSM1022681	62.45588615689488
DLGAP1-AS2	GSM1022682	67.6710485474919
DLGAP1-AS2	GSM1022683	45.65753167748901
DLGAP1-AS2	GSM1022684	60.70966022849125
DLGAP1-AS2	GSM1022685	59.61705977780095
DLGAP1-AS2	GSM1022686	47.194416350438466
DLGAP1-AS2	GSM1022687	70.06385740129976
DLGAP1-AS2	GSM1022688	67.16812403641546
DLGAP1-AS2	GSM1022689	78.61970504559166
DLGAP1-AS2	GSM1022690	77.41685729311072
DLGAP1-AS2	GSM1022691	86.95705757214928
DLGAP1-AS2	GSM1022692	65.03350484666805
DLGAP1-AS2	GSM1022693	54.45836422439304
DLGAP1-AS2	GSM1022694	63.59155215303339
DLGAP1-AS2	GSM1022695	65.38730697283333
DLGAP1-AS2	GSM1385778	137
DLGAP1-AS2	GSM1385779	32.358312245295515
DLGAP1-AS2	GSM1385780	56.4404243123289
DLGAP1-AS2	GSM1385781	79.62054237751131
DLGAP1-AS2	GSM1385782	33.1501694038763
DLGAP1-AS2	GSM1385783	45.67914940881431
DLGAP1-AS2	GSM1415906	73
DLGAP1-AS2	GSM1415907	57.34610672241607
DLGAP1-AS2	GSM1415908	58.75849156610791
DLGAP1-AS2	GSM1415909	63.382539008986186
DLGAP1-AS2	GSM1415910	71.49438100031638
DLGAP1-AS2	GSM1415911	71.21523146607512
DLGAP1-AS2	GSM1415912	63.25581250380128
DLGAP1-AS2	GSM1415913	61.6603738003754
DLGAP1-AS2	GSM1415914	66.25893691621607
DLGAP1-AS2	GSM1415915	64.79973363660076
DLGAP1-AS2	GSM1415916	62.93561549037141
DLGAP1-AS2	GSM1415917	69.7667346746828
DLGAP1-AS2	GSM1415918	70.3365123351588
DLGAP1-AS2	GSM1415919	61.24321501536736
DLGAP1-AS2	GSM1415920	60.05317186602029
DLGAP1-AS2	GSM1415921	74.29900053710591
DLGAP1-AS2	GSM2769390	44.07771592206113
DLGAP1-AS2	GSM2769391	104.57710794934135
DLGAP1-AS2	GSM2769392	39.665282397476176
DLGAP1-AS2	GSM2769393	34.06960621494839
DLGAP1-AS2	GSM2769394	137.4231540642051
DLGAP1-AS2	GSM2769395	31.695050007318592
DLGAP1-AS2	GSM2769396	87.43135945674243
DLGAP1-AS2	GSM2769397	43.83439797453746
DLGAP1-AS2	GSM2769398	57.614325323370615
DLGAP1-AS2	GSM3103946	93.9314554465186
DLGAP1-AS2	GSM3103947	63.075186300453154
DLGAP1-AS2	GSM3103948	61.61689920051532
DLGAP1-AS2	GSM3103949	51.69645723133497
DLGAP1-AS2	GSM3103950	47.906962533756875
DLGAP1-AS2	GSM3103951	57
DLGAP1-AS2	GSM3103952	68.28952704687887
DLGAP1-AS2	GSM3103953	54.540845097978554
DLGAP1-AS2	GSM3103954	61.184917175078624
DLGAP1-AS2	GSM3103955	33.37989346448119
DLGAP1-AS2	GSM3103956	34.94793159388331
DLGAP1-AS2	GSM3103957	52.83972268791779
DLGAP1-AS2	GSM3103958	57.383803764959104
DLGAP1-AS2	GSM3103959	59.17885431687933
DLGAP1-AS2	GSM3103960	71
DLGAP1-AS2	GSM3103961	68.12264501841574
DLGAP1-AS2	GSM3103962	41.3114282871117
DLGAP1-AS2	GSM3103963	54.44344994066
DLGAP1-AS2	GSM3103964	63.67096683017241
DLGAP1-AS2	GSM3103965	56
DLGAP1-AS2	GSM4260265	78.43134464122004
DLGAP1-AS2	GSM4260266	63.67096683017241
DLGAP1-AS2	GSM4260267	49.45068032593766
DLGAP1-AS2	GSM4260268	59.70042961351155
DLGAP1-AS2	GSM4260269	40.6297633319385
DLGAP1-AS2	GSM4260270	80.9744772229913
DLGAP1-AS2	GSM4260271	51.24638877603075
DLGAP1-AS2	GSM4260272	20.31518377230375
DLGAP1-AS2	GSM4260273	125.87038908506403
DLGAP1-AS2	GSM4260274	42.51437513622708
DLGAP1-AS2	GSM4260275	54.17041569828248
DLGAP1-AS2	GSM4260276	94.01464931410388
DLGAP1-AS2	GSM4735785	97.98226939931666
DLGAP1-AS2	GSM4735786	48.14964273829504
DLGAP1-AS2	GSM4735787	116.43532463225516
DLGAP1-AS2	GSM4735788	102.20884595486834
DLGAP1-AS2	GSM4735789	60.42613157319552
DLGAP1-AS2	GSM4735790	55.66828042623773
DLGAP1-AS2	GSM4735791	68.60639180577915
DLGAP1-AS2	GSM4735792	76.95794792687734
DLGAP1-AS2	GSM4735793	49.395721725200545
DLGAP1-AS2	GSM4735794	98.71516835124716
DLGAP1-AS2	GSM4735795	51.889509104638144
DLGAP1-AS2	GSM4735796	54.42394449435039
DLGAP1-AS2	GSM4735797	53.70002471931836
DLGAP1-AS2	GSM4735798	58.88936547247376
DLGAP1-AS2	GSM4735799	53.94107347253564
DLGAP1-AS2	GSM4735800	51.03282028395261
DLGAP1-AS2	GSM4735801	53.01902637307086
DLGAP1-AS2	GSM4735802	82.656526551827
DLGAP1-AS2	GSM4735803	47.52080595805204
DLGAP1-AS2	GSM4735804	48.86402405886167
DLGAP1-AS2	GSM5282507	97
DLGAP1-AS2	GSM5282508	37.0692686804085
DLGAP1-AS2	GSM5282509	79.23948289887232
DLGAP1-AS2	GSM5282510	1.0775306673725653
DLGAP1-AS2	GSM5282511	68.17479011025314
DLGAP1-AS2	GSM5282512	1.0334723239435966
DLGAP1-AS2	GSM5282513	39.75729921151037
DLGAP1-AS2	GSM5282514	66
DLGAP1-AS2	GSM5282515	19.52972647893479
DLGAP1-AS2	GSM5282516	92.65293094644682
DLGAP1-AS2	GSM5282517	67.8191953467623
DLGAP1-AS2	GSM5282518	83
DLGAP1-AS2	GSM5282519	56.90080979278373
DLGAP1-AS2	GSM5282520	60.403720137402566
DLGAP1-AS2	GSM5282521	130.45883287667587
DLGAP1-AS2	GSM5282522	204.67671041613775
DLGAP1-AS2	GSM5282523	94
DLGAP1-AS2	GSM5282524	63.63098594764164
DLGAP1-AS2	GSM5282525	57
DLGAP1-AS2	GSM5282526	95
DLGAP1-AS2	GSM5282527	61.37039491346281
DLGAP1-AS2	GSM5282528	20.451631143629136
DLGAP1-AS2	GSM5282529	65
DLGAP1-AS2	GSM5282530	108.13395099594624
DLGAP1-AS2	GSM5282531	121.90119789239436
DLGAP1-AS2	GSM5282532	35.137193034373524
DLGAP1-AS2	GSM5282533	88.11042954207186
DLGAP1-AS2	GSM5282534	51.15460288408213
DLGAP1-AS2	GSM5282535	64
DLGAP1-AS2	GSM5282536	24.335393047181427
DLGAP1-AS2	GSM4260927	1
DLGAP1-AS2	GSM4260928	28.061494877630345
DLGAP1-AS2	GSM4260929	80.5969945435875
DLGAP1-AS2	GSM4260930	67
DLGAP1-AS2	GSM4260931	49.07421381202412
DLGAP1-AS2	GSM4260932	64
DLGAP1-AS2	GSM4260933	92.98774141652048
DLGAP1-AS2	GSM4260934	68
DLGAP1-AS2	GSM4260935	45.335422697747774
DLGAP1-AS2	GSM4260936	72.03743886892711
DLGAP1-AS2	GSM4260937	90
DLGAP1-AS2	GSM4260938	19.902996647903535
DLGAP1-AS2	GSM4260939	129
DLGAP1-AS2	GSM4260940	46.27931419703753
DLGAP1-AS2	GSM4260941	44
DLGAP1-AS2	GSM4260942	65.410825540933
DLGAP1-AS2	GSM4260943	137.90056060069475
DLGAP1-AS2	GSM4260944	48.956343699628
DLGAP1-AS2	GSM4260945	52.23663057580507
DLGAP1-AS2	GSM4260946	61.204523803452545
DLGAP1-AS2	GSM4260947	84.8960990159607
DLGAP1-AS2	GSM4260948	75.75711532980084
DLGAP1-AS2	GSM4260949	23.649206200531676
DLGAP1-AS2	GSM4260950	57
DLGAP1-AS2	GSM4260951	80.37135980204184
DLGAP1-AS2	GSM4260952	65.9905600950049
DLGAP1-AS2	GSM4260953	158.99260362023574
DLGAP1-AS2	GSM4260954	24.145729146280452
DLGAP1-AS2	GSM4260955	19.832641198738088
DLGAP1-AS2	GSM4260956	81.6618069164718
DLGAP1-AS2	GSM4260957	143.2525838417093
DLGAP1-AS2	GSM4260958	68.89233258509019
DLGAP1-AS2	GSM4260959	10.164098679180102
DLGAP1-AS2	GSM4260960	71.38626168183555
DLGAP1-AS2	GSM4260961	38.091260648390815
DLGAP1-AS2	GSM4260962	73.22129432427442
DLGAP1-AS2	GSM4260963	84
DLGAP1-AS2	GSM4260964	84
DLGAP1-AS2	GSM4260965	38.7474500156752
DLGAP1-AS2	GSM4260966	175.25031593663897
DLGAP1-AS2	GSM4260967	74.12768977735344
DLGAP1-AS2	GSM4260968	101
DLGAP1-AS2	GSM4260969	132.19992292218743
DLGAP1-AS2	GSM4260970	45.14570228930533
DLGAP1-AS2	GSM4260971	27.948380581042453
DLGAP1-AS2	GSM4260972	47.52371108582327
DLGAP1-AS2	GSM4260973	42.12732002218529
DLGAP1-AS2	GSM4260974	37.56128277252732
DLGAP1-AS2	GSM4260975	64
DLGAP1-AS2	GSM4260976	119
DLGAP1-AS2	GSM4260977	16.56060140212817
DLGAP1-AS2	GSM4260978	52
DLGAP1-AS2	GSM4260979	69.06910445127556
DLGAP1-AS2	GSM4260980	75.0652938395453
DLGAP1-AS2	GSM4260981	48.6092009087235
DLGAP1-AS2	GSM4260982	34.10306858938809
DLGAP1-AS2	GSM4260983	26.363342467779876
DLGAP1-AS2	GSM4260984	129.40165736918365
DLGAP1-AS2	GSM4260985	90.16918826757956
DLGAP1-AS2	GSM4260986	88.9740197258643
DLGAP1-AS2	GSM4260987	32.64529409887629
DLGAP1-AS2	GSM4260988	27.37027750792467
DLGAP1-AS2	GSM4260989	88
DLGAP1-AS2	GSM4260990	88.09376913887048
DLGAP1-AS2	GSM4260991	49
DLGAP1-AS2	GSM4260992	87.84539429050582
DLGAP1-AS2	GSM4260993	36.59075524504837
DLGAP1-AS2	GSM4260994	96.2793766386868
DLGAP1-AS2	GSM4260995	32.892170911890176
DLGAP1-AS2	GSM4260996	25.744910898231705
DLGAP1-AS2	GSM4260997	51
DLGAP1-AS2	GSM4260998	70.81655123852603
DLGAP1-AS2	GSM4260999	40
DLGAP1-AS2	GSM4261000	55.03836035169487
DLGAP1-AS2	GSM4261001	88
DLGAP1-AS2	GSM4261002	9.694179200159438
DLGAP1-AS2	GSM4261003	87.13176738053262
DLGAP1-AS2	GSM4261004	37.61827764082328
DLGAP1-AS2	GSM4261005	42
DLGAP1-AS2	GSM4261006	38.75503345658253
DLGAP1-AS2	GSM4261007	14.881850595005272
DLGAP1-AS2	GSM4261008	98
DLGAP1-AS2	GSM4261009	19.547023703500745
DLGAP1-AS2	GSM4261010	106.04259986677744
DLGAP1-AS2	GSM4261011	52.71312705229936
DLGAP1-AS2	GSM4261012	1.1829871654168171
DLGAP1-AS2	GSM4261013	49.69323456149578
DLGAP1-AS2	GSM4261014	61.8122228503233
DLGAP1-AS2	GSM4261015	20.248825990356817
DLGAP1-AS2	GSM4261016	57
DLGAP1-AS2	GSM4261017	37.45069571563347
DLGAP1-AS2	GSM4261018	32.74745381875063
DLGAP1-AS2	GSM4261019	66.19125346938553
DLGAP1-AS2	GSM4261020	7.618795646540581
DLGAP1-AS2	GSM4261021	50.70969559454554
DLGAP1-AS2	GSM4261022	79.35949645170386
DLGAP1-AS2	GSM4261023	62
DLGAP1-AS2	GSM4261024	13.58675957168841
DLGAP1-AS2	GSM4261025	24.72837346374133
DLGAP1-AS2	GSM4261026	53.46348387470941
DLGAP1-AS2	GSM4261027	28.45971981323966
DLGAP1-AS2	GSM4818000	105.89126376965314
DLGAP1-AS2	GSM4818001	66.24240560851268
DLGAP1-AS2	GSM4818002	46.15566483017978
DLGAP1-AS2	GSM4818003	18.721757298359517
DLGAP1-AS2	GSM4818004	76.34196446375185
DLGAP1-AS2	GSM4818005	65.48106044703367
DLGAP1-AS2	GSM4818006	40.01601642957476
DLGAP1-AS2	GSM4818007	3.4408820096115704
DLGAP1-AS2	GSM4818008	117.16181539565764
DLGAP1-AS2	GSM4818009	19.64049182817173
DLGAP1-AS2	GSM4818010	47.101086963809706
DLGAP1-AS2	GSM4818011	39.708020630566764
DLGAP1-AS2	GSM4818012	108.13957858457854
DLGAP1-AS2	GSM4818013	103.563626792778
DLGAP1-AS2	GSM4818014	16.930246382158334
DLGAP1-AS2	GSM4818015	23.36267343281362
DLGAP1-AS2	GSM4818016	90.7998243758276
DLGAP1-AS2	GSM4818017	132.09930671979447
DLGAP1-AS2	GSM4818018	59.39955891197167
DLGAP1-AS2	GSM4818019	100.0543764474138
DLGAP1-AS2	GSM4818020	148.11658434647367
DLGAP1-AS2	GSM4818021	78.95011529241651
DLGAP1-AS2	GSM4818022	79.5915155526771
DLGAP1-AS2	GSM4818023	16.090286900904573
DLGAP1-AS2	GSM3056394	46.23613311427978
DLGAP1-AS2	GSM3056395	54.843578856016954
DLGAP1-AS2	GSM3056396	96.8129023736809
DLGAP1-AS2	GSM3056397	44.10677734842959
DLGAP1-AS2	GSM3056398	80.1543333893696
DLGAP1-AS2	GSM3056399	43.03260559708108
DLGAP1-AS2	GSM3056400	125.66337158281094
DLGAP1-AS2	GSM3056401	91.37688447247416
DLGAP1-AS2	GSM3056402	68.26842479687524
DLGAP1-AS2	GSM3056403	25.846394262562587
DLGAP1-AS2	GSM3056404	40.58447260221246
DLGAP1-AS2	GSM3056405	40.03755394449456
DLGAP1-AS2	GSM3056406	61.97796168615014
DLGAP1-AS2	GSM3056407	150.22701510199747
DLGAP1-AS2	GSM3056408	32.126498906280716
DLGAP1-AS2	GSM3056409	43.548617204416765
DLGAP1-AS2	GSM3056410	78.36573266154986
DLGAP1-AS2	GSM3056411	10.84032353040042
DLGAP1-AS2	GSM3056412	70.66318493675513
DLGAP1-AS2	GSM3056413	32.580291065002086
DLGAP1-AS2	GSM3056414	78.59948915710412
DLGAP1-AS2	GSM3056415	99.9476875524271
DLGAP1-AS2	GSM3056416	12.84746975128878
DLGAP1-AS2	GSM3056417	41.941722144361066
DLGAP1-AS2	GSM3056418	89.0283748245927
DLGAP1-AS2	GSM3056419	54.09214696411617
DLGAP1-AS2	GSM3056420	38.750623756893376
DLGAP1-AS2	GSM3056421	57.04254658277434
DLGAP1-AS2	GSM3056422	20.960475824882252
DLGAP1-AS2	GSM3056423	54.38491887049144
DLGAP1-AS2	GSM3056424	78.36870620699874
DLGAP1-AS2	GSM3056425	24.33596231983946
DLGAP1-AS2	GSM3056426	69.28615252786658
DLGAP1-AS2	GSM3056427	80.72881805151842
DLGAP1-AS2	GSM3056428	31.831607928060293
DLGAP1-AS2	GSM3056429	26.89686529042342
DLGAP1-AS2	GSM3056430	63.40531646551192
DLGAP1-AS2	GSM3056431	34.15783678524003
DLGAP1-AS2	GSM3056432	84.46295977811943
DLGAP1-AS2	GSM3056433	59.83597935703703
DLGAP1-AS2	GSM3056434	108.72223271109014
DLGAP1-AS2	GSM3056435	51.7083977164191
DLGAP1-AS2	GSM3056436	115.8245278797758
DLGAP1-AS2	GSM3056437	25.41825089600217
DLGAP1-AS2	GSM3056438	18.11459586782585
DLGAP1-AS2	GSM3056439	40.96145843884332
DLGAP1-AS2	GSM3056440	32.20656218776477
DLGAP1-AS2	GSM3056441	52.99221335392236
DLGAP1-AS2	GSM3056442	143.72969707080955
DLGAP1-AS2	GSM3056443	27.65398352100101
DLGAP1-AS2	GSM3056444	86.06658052145256
DLGAP1-AS2	GSM3056445	144.90526226862147
DLGAP1-AS2	GSM3056446	130.57134452207345
DLGAP1-AS2	GSM3056447	94.86189744451067
DLGAP1-AS2	GSM3056448	52.87292315957923
DLGAP1-AS2	GSM3056449	46.92379269599813
DLGAP1-AS2	GSM3056450	56.896298702173965
DLGAP1-AS2	GSM3056451	47.60108932842223
DLGAP1-AS2	GSM3056452	39.20703303857941
DLGAP1-AS2	GSM3056453	42.80761360687379
DLGAP1-AS2	GSM3056454	94.404128630841
DLGAP1-AS2	GSM3056455	48.99708414988309
DLGAP1-AS2	GSM3056456	76.25902378785466
DLGAP1-AS2	GSM3056457	16.46109176118787
DLGAP1-AS2	GSM3056458	35.192567256701395
DLGAP1-AS2	GSM3056459	86.07544106152689
DLGAP1-AS2	GSM3056460	43.2195935838203
DLGAP1-AS2	GSM3056461	21.205946458232876
DLGAP1-AS2	GSM3056462	133.9122610488688
DLGAP1-AS2	GSM3056463	26.67120275145666
DLGAP1-AS2	GSM3056464	57.1505778647559
DLGAP1-AS2	GSM3056465	41.38161936792637
DLGAP1-AS2	GSM3056466	36.69325219201721
DLGAP1-AS2	GSM3056467	172.88307391038924
DLGAP1-AS2	GSM3056468	47.06830721203915
DLGAP1-AS2	GSM3056469	89.88490085779758
DLGAP1-AS2	GSM3056470	114.35841282116036
DLGAP1-AS2	GSM3056471	76.56146412547803
DLGAP1-AS2	GSM3056472	6.6051647923329515
DLGAP1-AS2	GSM3056473	60.70486744241019
DLGAP1-AS2	GSM3056474	71.55798898226837
DLGAP1-AS2	GSM3056475	61.69508170867575
DLGAP1-AS2	GSM3056476	36.360826865657394
DLGAP1-AS2	GSM3056477	76.95276400381876
DLGAP1-AS2	GSM3056478	68.32161506290049
DLGAP1-AS2	GSM3056479	257.148371419614
DLGAP1-AS2	GSM3056480	84.0165158629016
DLGAP1-AS2	GSM3056481	133.68619856875125
DLGAP1-AS2	GSM3056482	38.78935828532411
DLGAP1-AS2	GSM3056483	51.270885096736315
DLGAP1-AS2	GSM3056484	48.92298697928433
DLGAP1-AS2	GSM3056485	82.1319515342373
DLGAP1-AS2	GSM3056486	117.17720440830249
DLGAP1-AS2	GSM3056487	69.40104094466038
DLGAP1-AS2	GSM3056488	80.71245704459113
DLGAP1-AS2	GSM3056489	72.9898398592654
DLGAP1-AS2	GSM3056490	26.431814400976787
DLGAP1-AS2	GSM3056491	43.70594650885241
DLGAP1-AS2	GSM3056492	70.17479257003181
DLGAP1-AS2	GSM3056493	40.95467944714419
DLGAP1-AS2	GSM3056494	22.619575698139865
DLGAP1-AS2	GSM3056495	191.47381833794
DLGAP1-AS2	GSM3056496	39.383165803706014
DLGAP1-AS2	GSM3056497	65.511715469459
DLGAP1-AS2	GSM3056498	39.23719643563981
DLGAP1-AS2	GSM3056499	64.14731420294582
DLGAP1-AS2	GSM3056500	51.70608397601984
DLGAP1-AS2	GSM3056501	79.07083417428082
DLGAP1-AS2	GSM3056502	18.11814051161607
DLGAP1-AS2	GSM3056503	20.24176390780737
DLGAP1-AS2	GSM3056504	30.593746933441885
DLGAP1-AS2	GSM3056505	33.59785503717883
DLGAP1-AS2	GSM3056506	87.86401962898037
DLGAP1-AS2	GSM3056507	24.086906022520697
DLGAP1-AS2	GSM3056508	30.205296945841432
DLGAP1-AS2	GSM3056509	14.719327132119664
DLGAP1-AS2	GSM3056510	47.90991025651894
DLGAP1-AS2	GSM3056511	44.88579097944938
DLGAP1-AS2	GSM3056512	31.86429057089361
DLGAP1-AS2	GSM3056513	89.07192494529042
DLGAP1-AS2	GSM3056514	23.463027102893996
DLGAP1-AS2	GSM3056515	62.32227695848176
DLGAP1-AS2	GSM3056516	45.454683959875865
DLGAP1-AS2	GSM3056517	81.37500533936446
DLGAP1-AS2	GSM3056518	107.95554411971966
DLGAP1-AS2	GSM3056519	72.08563755778263
DLGAP1-AS2	GSM3056520	74.73175851284718
DLGAP1-AS2	GSM3056521	31.82428607458082
DLGAP1-AS2	GSM3056522	132.9141477722458
DLGAP1-AS2	GSM3056523	27.394519006493407
DLGAP1-AS2	GSM3056524	86.26868002523908
DLGAP1-AS2	GSM3056525	161.5817394339205
DLGAP1-AS2	GSM3056526	101.3526906495775
DLGAP1-AS2	GSM3056527	43.05157016871373
DLGAP1-AS2	GSM3056528	53.78815816038222
DLGAP1-AS2	GSM3056529	28.710572555197594
DLGAP1-AS2	GSM3056530	25.81567944395009
DLGAP1-AS2	GSM3056531	58.49231712990363
DLGAP1-AS2	GSM3056532	22.774923602765295
DLGAP1-AS2	GSM3056533	50.45609419218072
DLGAP1-AS2	GSM3056534	46.243259181764394
DLGAP1-AS2	GSM3056535	10.480161644901674
DLGAP1-AS2	GSM3056536	30.343571817406165
DLGAP1-AS2	GSM3056537	69.53194220021511
DLGAP1-AS2	GSM3056538	54.032925907247325
DLGAP1-AS2	GSM3056539	75.61896114154601
DLGAP1-AS2	GSM3056540	120.66717216564412
DLGAP1-AS2	GSM3056541	194.01261888256408
DLGAP1-AS2	GSM3056542	31.88236667817859
DLGAP1-AS2	GSM3056543	92.25843581243144
DLGAP1-AS2	GSM3056544	98.45154414551628
DLGAP1-AS2	GSM3056545	97.19436475371272
DLGAP1-AS2	GSM3056546	46.81362678647065
DLGAP1-AS2	GSM3056547	57.45699782057505
DLGAP1-AS2	GSM3056548	37.48232372192534
DLGAP1-AS2	GSM3056549	72.21044369470586
DLGAP1-AS2	GSM3056550	57.11215515024576
DLGAP1-AS2	GSM3056551	60.49846235869914
DLGAP1-AS2	GSM3056552	37.77442261228746
DLGAP1-AS2	GSM3056553	34.46627538034958
DLGAP1-AS2	GSM3056554	25.90551889294136
DLGAP1-AS2	GSM3056555	180.67215417018085
DLGAP1-AS2	GSM3056556	82.18355701948022
DLGAP1-AS2	GSM3056557	86.86134589678065
DLGAP1-AS2	GSM3056558	47.22313417518444
DLGAP1-AS2	GSM3056559	78.28156602522287
DLGAP1-AS2	GSM3056560	95.28143153306006
DLGAP1-AS2	GSM3056561	72.5846217029482
DLGAP1-AS2	GSM3056562	98.8939446166742
DLGAP1-AS2	GSM3056563	37.284765361298035
DLGAP1-AS2	GSM3056564	21.403806803436893
DLGAP1-AS2	GSM3056565	77.30182467562175
DLGAP1-AS2	GSM3056566	65.75045015069337
DLGAP1-AS2	GSM3056567	66.40898364428384
DLGAP1-AS2	GSM3056568	77.6842949236747
DLGAP1-AS2	GSM3056569	93.67288110174718
DLGAP1-AS2	GSM3056570	71.88371869468637
DLGAP1-AS2	GSM3056571	66.90398543203169
DLGAP1-AS2	GSM3056572	83.37769880368886
DLGAP1-AS2	GSM3056573	117
DLGAP1-AS2	GSM3056574	174.3140754553738
DLGAP1-AS2	GSM3056575	31.739876571536747
DLGAP1-AS2	GSM3056576	30.34711474304001
DLGAP1-AS2	GSM3056577	44.50138567918445
DLGAP1-AS2	GSM3056578	42.85654767729267
DLGAP1-AS2	GSM3056579	96.5829165851218
DLGAP1-AS2	GSM3056580	169.2559619231036
DLGAP1-AS2	GSM3056581	71.28880283912349
DLGAP1-AS2	GSM3056582	72.53904367298696
DLGAP1-AS2	GSM3056583	20.8337683351139
DLGAP1-AS2	GSM3056584	70.389081308682
DLGAP1-AS2	GSM3056585	89.4851801871608
DLGAP1-AS2	GSM3056586	124.49825873034912
DLGAP1-AS2	GSM3056587	82.68133522717855
DLGAP1-AS2	GSM3056588	96.96088010754568
DLGAP1-AS2	GSM3056589	35.24779268593813
DLGAP1-AS2	GSM3056590	207.79275338083585
DLGAP1-AS2	GSM3056591	54.31104465404542
DLGAP1-AS2	GSM3056592	72.46153793859865
DLGAP1-AS2	GSM3056593	31.500603910104836
DLGAP1-AS2	GSM3056594	84.63001175927127
DLGAP1-AS2	GSM3056595	89.12512599806908
