Gene	sample	counts
DNAJC9	GSM1022678	415.6463227280758
DNAJC9	GSM1022679	1.121552432745876
DNAJC9	GSM1022680	276.46009426349195
DNAJC9	GSM1022681	313.1176048019411
DNAJC9	GSM1022682	20.247231317540383
DNAJC9	GSM1022683	230.00751555490012
DNAJC9	GSM1022684	135.969822480763
DNAJC9	GSM1022685	164.99952600202428
DNAJC9	GSM1022686	255.47230231451735
DNAJC9	GSM1022687	89.37647009977718
DNAJC9	GSM1022688	112.93509530540084
DNAJC9	GSM1022689	378.8925453196477
DNAJC9	GSM1022690	123.91354243017469
DNAJC9	GSM1022691	143.2475513733873
DNAJC9	GSM1022692	326.12793689561255
DNAJC9	GSM1022693	331.4894579575921
DNAJC9	GSM1022694	217.58430434013965
DNAJC9	GSM1022695	187.90605906096343
DNAJC9	GSM1385778	434
DNAJC9	GSM1385779	200.3910758022985
DNAJC9	GSM1385780	99.711837470409
DNAJC9	GSM1385781	284.37489608413597
DNAJC9	GSM1385782	379.0000690603202
DNAJC9	GSM1385783	110.20912120637992
DNAJC9	GSM1415906	460
DNAJC9	GSM1415907	398.3265388412543
DNAJC9	GSM1415908	206.43357413034073
DNAJC9	GSM1415909	365.9311011616885
DNAJC9	GSM1415910	247.6318017996078
DNAJC9	GSM1415911	272.437715425323
DNAJC9	GSM1415912	122.6622984281145
DNAJC9	GSM1415913	111.39120666209398
DNAJC9	GSM1415914	117.76451351623908
DNAJC9	GSM1415915	178.24301777974978
DNAJC9	GSM1415916	147.15219878520946
DNAJC9	GSM1415917	124.47478068181324
DNAJC9	GSM1415918	116.41216035965716
DNAJC9	GSM1415919	168.7087564360787
DNAJC9	GSM1415920	158.2191921997881
DNAJC9	GSM1415921	164.59426025695598
DNAJC9	GSM2769390	123.6858227473398
DNAJC9	GSM2769391	131.46937136194063
DNAJC9	GSM2769392	224.11477612097997
DNAJC9	GSM2769393	360.295866467978
DNAJC9	GSM2769394	242.61909005841875
DNAJC9	GSM2769395	271.7338041489108
DNAJC9	GSM2769396	173.63636158994925
DNAJC9	GSM2769397	162.87120814827634
DNAJC9	GSM2769398	154.16633150882743
DNAJC9	GSM3103946	91.96811181140512
DNAJC9	GSM3103947	145.1103124110996
DNAJC9	GSM3103948	239.94343905803268
DNAJC9	GSM3103949	369.06036849332304
DNAJC9	GSM3103950	161.6414270401753
DNAJC9	GSM3103951	251
DNAJC9	GSM3103952	81.4297230607054
DNAJC9	GSM3103953	117.37836943444762
DNAJC9	GSM3103954	153.81169911466574
DNAJC9	GSM3103955	246.1421891425188
DNAJC9	GSM3103956	114.58047338154704
DNAJC9	GSM3103957	264.6104161251063
DNAJC9	GSM3103958	82.21861539434705
DNAJC9	GSM3103959	69
DNAJC9	GSM3103960	248
DNAJC9	GSM3103961	131.8245441428309
DNAJC9	GSM3103962	245.04645300867037
DNAJC9	GSM3103963	119.7417559663014
DNAJC9	GSM3103964	137.68117295927462
DNAJC9	GSM3103965	227
DNAJC9	GSM4260265	193.0427784735318
DNAJC9	GSM4260266	210.21282699749744
DNAJC9	GSM4260267	161.38407855686856
DNAJC9	GSM4260268	184.7934179702385
DNAJC9	GSM4260269	214.02145858774577
DNAJC9	GSM4260270	248.6664615058256
DNAJC9	GSM4260271	155.95178670137895
DNAJC9	GSM4260272	181.10495141102865
DNAJC9	GSM4260273	260.37405274966295
DNAJC9	GSM4260274	110.29758138773516
DNAJC9	GSM4260275	203.0856409397697
DNAJC9	GSM4260276	220.69482136119015
DNAJC9	GSM4735786	230.9067903392269
DNAJC9	GSM4735787	179.9979314841436
DNAJC9	GSM4735788	120.85879137867992
DNAJC9	GSM4735790	137.40537179322752
DNAJC9	GSM4735793	310.3614285885036
DNAJC9	GSM4735798	194.1534494123545
DNAJC9	GSM4735800	11.037828089768285
DNAJC9	GSM4735803	316.14768505935587
DNAJC9	GSM4735804	239.11645902577897
DNAJC9	GSM4735785	177.3167154450333
DNAJC9	GSM4735789	380.35434604096974
DNAJC9	GSM4735791	150.06879380325313
DNAJC9	GSM4735792	38.861941551939424
DNAJC9	GSM4735794	340.1080705279596
DNAJC9	GSM4735795	93.479968849033
DNAJC9	GSM4735796	192.6132556802457
DNAJC9	GSM4735797	132.77214748277152
DNAJC9	GSM4735799	250.80854038302263
DNAJC9	GSM4735801	169.575407107625
DNAJC9	GSM4735802	445.48049502700883
DNAJC9	GSM5282507	269
DNAJC9	GSM5282509	211
DNAJC9	GSM5282510	69.19676700293982
DNAJC9	GSM5282511	103.72626147447308
DNAJC9	GSM5282512	181.84056765915955
DNAJC9	GSM5282515	194.3977660028751
DNAJC9	GSM5282516	90.54824285000662
DNAJC9	GSM5282519	7.706397696289965
DNAJC9	GSM5282521	95.5585888026758
DNAJC9	GSM5282523	293
DNAJC9	GSM5282524	219.30857431950457
DNAJC9	GSM5282526	241
DNAJC9	GSM5282528	259.66651511608416
DNAJC9	GSM5282529	402
DNAJC9	GSM5282513	189.5618633205748
DNAJC9	GSM5282533	306.5590110852046
DNAJC9	GSM5282534	187
DNAJC9	GSM5282536	237.2225354106579
DNAJC9	GSM5282525	283
DNAJC9	GSM5282530	140.6426727862329
DNAJC9	GSM5282514	250
DNAJC9	GSM5282520	12.491397435747956
DNAJC9	GSM5282535	193
DNAJC9	GSM5282522	141.96687143739177
DNAJC9	GSM5282531	118.91187985249869
DNAJC9	GSM5282508	196.63159864054512
DNAJC9	GSM5282518	283
DNAJC9	GSM5282517	80.32934695837582
DNAJC9	GSM5282527	205.082265486221
DNAJC9	GSM5282532	282
