Gene	sample	counts
DTYMK	GSM1022678	389.1330310690344
DTYMK	GSM1022679	116.07246612429856
DTYMK	GSM1022680	234.2250526513526
DTYMK	GSM1022681	388.0455877616912
DTYMK	GSM1022682	67.6710485474919
DTYMK	GSM1022683	223.2145993121685
DTYMK	GSM1022684	140.2602494934108
DTYMK	GSM1022685	148.01476910350578
DTYMK	GSM1022686	198.21654867184157
DTYMK	GSM1022687	106.19053387384496
DTYMK	GSM1022688	128.039236444417
DTYMK	GSM1022689	387.99334957564713
DTYMK	GSM1022690	55.60929185843165
DTYMK	GSM1022691	177.13474690623002
DTYMK	GSM1022692	269.2793560057349
DTYMK	GSM1022693	225.90136270859335
DTYMK	GSM1022694	212.66683015112807
DTYMK	GSM1022695	321.828151506914
DTYMK	GSM1385778	372
DTYMK	GSM1385779	216.80069204347993
DTYMK	GSM1385780	133.11420828379457
DTYMK	GSM1385781	259.0187264686127
DTYMK	GSM1385782	390.7701787305418
DTYMK	GSM1385783	138.09975402664793
DTYMK	GSM1415906	397
DTYMK	GSM1415907	304.83983047179066
DTYMK	GSM1415908	231.9947339420467
DTYMK	GSM1415909	368.2223694807769
DTYMK	GSM1415910	338.3396058606521
DTYMK	GSM1415911	294.891240155297
DTYMK	GSM1415912	123.06130796194068
DTYMK	GSM1415913	102.3794885742082
DTYMK	GSM1415914	165.6473422905402
DTYMK	GSM1415915	242.9990011372529
DTYMK	GSM1415916	159.50923236352753
DTYMK	GSM1415917	140.64087783626533
DTYMK	GSM1415918	120.57687828884364
DTYMK	GSM1415919	158.11884603967573
DTYMK	GSM1415920	135.392605661573
DTYMK	GSM1415921	130.55395808662897
DTYMK	GSM2769390	141.9087439441968
DTYMK	GSM2769391	98.23910140695703
DTYMK	GSM2769392	157.61730636891846
DTYMK	GSM2769393	354.1174221735545
DTYMK	GSM2769394	219.87704650272815
DTYMK	GSM2769395	256.7299050592806
DTYMK	GSM2769396	249.0777100802546
DTYMK	GSM2769397	141.9399553461213
DTYMK	GSM2769398	153.9873785915542
DTYMK	GSM3103946	160.59248834404795
DTYMK	GSM3103947	158.14503231852748
