Gene	sample	counts
DZANK1	GSM1022678	123.29933259176244
DZANK1	GSM1022679	1.0848245726655648
DZANK1	GSM1022680	62.39351855389882
DZANK1	GSM1022681	69.62295506014512
DZANK1	GSM1022682	37.370579048614935
DZANK1	GSM1022683	87.25661609475678
DZANK1	GSM1022684	90.01777206293531
DZANK1	GSM1022685	62.70070080079065
DZANK1	GSM1022686	37.758345291832505
DZANK1	GSM1022687	32.844198001358585
DZANK1	GSM1022688	49.326591089242605
DZANK1	GSM1022689	77.59866991512943
DZANK1	GSM1022690	40.341906982795386
DZANK1	GSM1022691	17.17670273030109
DZANK1	GSM1022692	55.888168227605355
DZANK1	GSM1022693	84.7130110157225
DZANK1	GSM1022694	38.5729712926068
DZANK1	GSM1022695	73.57764455178481
DZANK1	GSM1385778	88
DZANK1	GSM1385779	15.102571607743643
DZANK1	GSM1385780	58.57519428863471
DZANK1	GSM1385781	36.28277880494186
DZANK1	GSM1385782	96.43685644764012
DZANK1	GSM1385783	61.6252369389426
DZANK1	GSM1415906	106
DZANK1	GSM1415907	70.42504334331798
DZANK1	GSM1415908	87.1246599083669
DZANK1	GSM1415909	90.54648429855168
DZANK1	GSM1415910	75.52223345103842
DZANK1	GSM1415911	86.26070290256986
DZANK1	GSM1415912	29.904073196760617
DZANK1	GSM1415913	29.089180759561717
DZANK1	GSM1415914	36.44366840005865
DZANK1	GSM1415915	46.44097848922166
DZANK1	GSM1415916	36.891234484091314
DZANK1	GSM1415917	47.61856493668826
DZANK1	GSM1415918	42.427069363520104
DZANK1	GSM1415919	53.446266408406515
DZANK1	GSM1415920	48.03958256095828
DZANK1	GSM1415921	39.27329729945582
DZANK1	GSM2769390	24.725852907589225
DZANK1	GSM2769391	35.915995258927204
DZANK1	GSM2769392	51.14733782832454
DZANK1	GSM2769393	45.42727152370779
DZANK1	GSM2769394	81.44240985437916
DZANK1	GSM2769395	21.13075990814442
DZANK1	GSM2769396	123.00965970109546
DZANK1	GSM2769397	81.41399528238416
DZANK1	GSM2769398	62.8587206735468
DZANK1	GSM3103946	53.530829448015986
DZANK1	GSM3103947	61.2753167241508
DZANK1	GSM3103948	60.19350998023114
DZANK1	GSM3103949	77.96842729971831
DZANK1	GSM3103950	68.54126179080467
DZANK1	GSM3103951	56
DZANK1	GSM3103952	34.15471999187255
DZANK1	GSM3103953	61.61095464771651
DZANK1	GSM3103954	46.13944573858388
DZANK1	GSM3103955	75.24159789562826
DZANK1	GSM3103956	16.446085455945088
DZANK1	GSM3103957	6.09689107937513
DZANK1	GSM3103958	40.99095247371156
DZANK1	GSM3103959	46.13944573858388
DZANK1	GSM3103960	17
DZANK1	GSM3103961	75.26558628067691
DZANK1	GSM3103962	46.34940734651557
DZANK1	GSM3103963	42.11663108617095
DZANK1	GSM3103964	33.3514588158046
DZANK1	GSM3103965	47
DZANK1	GSM4260265	53.98521124655405
DZANK1	GSM4260266	84.89462244022988
DZANK1	GSM4260267	34.7235331179762
DZANK1	GSM4260268	49.22667003219374
DZANK1	GSM4260269	70.0863417475939
DZANK1	GSM4260270	53.64559116023173
DZANK1	GSM4260271	46.886265684560016
DZANK1	GSM4260272	62.01690393368517
DZANK1	GSM4260273	52.36208185938664
DZANK1	GSM4260274	56.69170571228173
DZANK1	GSM4260275	41.42517690841973
DZANK1	GSM4260276	74.8073553682117
DZANK1	GSM4735785	31.56947990595038
DZANK1	GSM4735786	34.54092226790631
DZANK1	GSM4735787	58.208573546471776
DZANK1	GSM4735788	77.96756748294477
DZANK1	GSM4735789	79.1902271677496
DZANK1	GSM4735790	73.51984208894257
DZANK1	GSM4735791	46.444947583984586
DZANK1	GSM4735792	47.034049071073895
DZANK1	GSM4735793	31.14078108762643
DZANK1	GSM4735794	31.504840963163993
DZANK1	GSM4735795	121.43526868594716
DZANK1	GSM4735796	42.45091776510554
DZANK1	GSM4735797	62.29911731229046
DZANK1	GSM4735798	32.21834469493169
DZANK1	GSM4735799	62.57719131591236
DZANK1	GSM4735800	21.07523187486723
DZANK1	GSM4735801	71.04673048572023
DZANK1	GSM4735802	92.99368325745282
DZANK1	GSM4735803	34.0910129699069
DZANK1	GSM4735804	142.3379214542682
DZANK1	GSM5282507	60
DZANK1	GSM5282508	10.294371352498334
DZANK1	GSM5282509	92.27889147716776
DZANK1	GSM5282510	42.02080615237499
DZANK1	GSM5282511	51.38008828988632
DZANK1	GSM5282512	12.40166788732316
DZANK1	GSM5282513	116.19209407580028
DZANK1	GSM5282514	34
DZANK1	GSM5282515	50.36613670883183
DZANK1	GSM5282516	47.36912547711659
DZANK1	GSM5282517	15.647516602870478
DZANK1	GSM5282518	53
DZANK1	GSM5282519	13.127579675853177
DZANK1	GSM5282520	10.412865799843113
DZANK1	GSM5282521	46.219057342356486
DZANK1	GSM5282522	47.31098482277539
DZANK1	GSM5282523	114
DZANK1	GSM5282524	113.12175279580735
DZANK1	GSM5282525	87
DZANK1	GSM5282526	44
DZANK1	GSM5282527	79.47969177317314
DZANK1	GSM5282528	22.491009541758594
DZANK1	GSM5282529	150
DZANK1	GSM5282530	70.3791632144575
DZANK1	GSM5282531	58.884476948021
DZANK1	GSM5282532	91.35670188937117
DZANK1	GSM5282533	85.52379628402713
DZANK1	GSM5282534	77.23342004067302
DZANK1	GSM5282535	81
DZANK1	GSM5282536	81.09711854199902
DZANK1	GSM4260927	49
DZANK1	GSM4260928	58.93659111637138
DZANK1	GSM4260929	67.05540107863746
DZANK1	GSM4260930	100
DZANK1	GSM4260931	38.0575535685085
DZANK1	GSM4260932	58
DZANK1	GSM4260933	72.28093086739086
DZANK1	GSM4260934	67
DZANK1	GSM4260935	56.40891686406948
DZANK1	GSM4260936	46.67214349254432
DZANK1	GSM4260937	52
DZANK1	GSM4260938	12.569972727261272
DZANK1	GSM4260939	92
DZANK1	GSM4260940	46.27931419703753
DZANK1	GSM4260941	73
DZANK1	GSM4260942	47.40592965184271
DZANK1	GSM4260943	43.60091254286672
DZANK1	GSM4260944	48.153905828388055
DZANK1	GSM4260945	35.159270579868796
DZANK1	GSM4260946	83.62956531752545
DZANK1	GSM4260947	15.342668496860366
DZANK1	GSM4260948	70.40185068667475
DZANK1	GSM4260949	56.552449609967056
DZANK1	GSM4260950	58
DZANK1	GSM4260951	53.29037051125476
DZANK1	GSM4260952	47.66787938171723
DZANK1	GSM4260953	152.26604396502364
DZANK1	GSM4260954	44.26717010151416
DZANK1	GSM4260955	15.657348314793229
DZANK1	GSM4260956	16.332361383294362
DZANK1	GSM4260957	103.01247458459376
DZANK1	GSM4260958	33.40234307155888
DZANK1	GSM4260959	22.361017094196225
DZANK1	GSM4260960	78.42434381948131
DZANK1	GSM4260961	35.08405586035996
DZANK1	GSM4260962	77.23342004067302
DZANK1	GSM4260963	53
DZANK1	GSM4260964	50
DZANK1	GSM4260965	15.706638315753931
DZANK1	GSM4260966	130.7696387808003
DZANK1	GSM4260967	73.26798698443712
DZANK1	GSM4260968	58
DZANK1	GSM4260969	90.1363110833096
DZANK1	GSM4260970	79.21955737527068
DZANK1	GSM4260971	40.502561656374176
DZANK1	GSM4260972	47.52371108582327
DZANK1	GSM4260973	27.08184858569054
DZANK1	GSM4260974	55.83084471567192
DZANK1	GSM4260975	60
DZANK1	GSM4260976	90
DZANK1	GSM4260977	16.56060140212817
DZANK1	GSM4260978	61
DZANK1	GSM4260979	41.62882014183253
DZANK1	GSM4260980	69.33499525743706
DZANK1	GSM4260981	101.5670686889526
DZANK1	GSM4260982	52.15763431318178
DZANK1	GSM4260983	39.545013701669816
DZANK1	GSM4260984	108.7156532619296
DZANK1	GSM4260985	73.04691507951829
DZANK1	GSM4260986	62.45231306487802
DZANK1	GSM4260987	34.75144210525541
DZANK1	GSM4260988	32.438847416799604
DZANK1	GSM4260989	92
DZANK1	GSM4260990	89.04696952309398
DZANK1	GSM4260991	63
DZANK1	GSM4260992	74.45186465415385
DZANK1	GSM4260993	33.541525641294335
DZANK1	GSM4260994	50.04174405562847
DZANK1	GSM4260995	30.83641022989704
DZANK1	GSM4260996	41.53467164824446
DZANK1	GSM4260997	70
DZANK1	GSM4260998	54.54692955841326
DZANK1	GSM4260999	64
DZANK1	GSM4261000	50.96144477008784
DZANK1	GSM4261001	53
DZANK1	GSM4261002	17.233203949021394
DZANK1	GSM4261003	73.11056343424002
DZANK1	GSM4261004	27.169089516192894
DZANK1	GSM4261005	55
DZANK1	GSM4261006	13.25830091935718
DZANK1	GSM4261007	5.314845549258692
DZANK1	GSM4261008	97
DZANK1	GSM4261009	33.957904741550884
DZANK1	GSM4261010	40.29406815539112
DZANK1	GSM4261011	69.94626474247416
DZANK1	GSM4261012	1.1827057416311022
DZANK1	GSM4261013	24.840902103192253
DZANK1	GSM4261014	75.20487113456001
DZANK1	GSM4261015	43.53497587926716
DZANK1	GSM4261016	61
DZANK1	GSM4261017	24.29234316689739
DZANK1	GSM4261018	71.87348814878655
DZANK1	GSM4261019	21.384866505493783
DZANK1	GSM4261020	31.559191879495337
DZANK1	GSM4261021	18.625885975853297
DZANK1	GSM4261022	66.3003388077526
DZANK1	GSM4261023	38
DZANK1	GSM4261024	15.678427646565051
DZANK1	GSM4261025	1.0303488943225554
DZANK1	GSM4261026	28.30349938942832
DZANK1	GSM4261027	47.09815165873964
DZANK1	GSM4818000	86.7299874684778
DZANK1	GSM4818001	68.3124807837787
DZANK1	GSM4818002	63.59224932158103
DZANK1	GSM4818003	61.3608874581363
DZANK1	GSM4818004	20.509076279804464
DZANK1	GSM4818005	54.91163846739034
DZANK1	GSM4818006	9.144969359653322
DZANK1	GSM4818007	51.5982429804922
DZANK1	GSM4818008	72.72112679730473
DZANK1	GSM4818009	64.0774531936118
DZANK1	GSM4818010	14.985714835401511
DZANK1	GSM4818011	19.85345691305223
DZANK1	GSM4818012	66.7029176316092
DZANK1	GSM4818013	60.49111977989179
DZANK1	GSM4818014	42.88296214387845
DZANK1	GSM4818015	44.598249864542595
DZANK1	GSM4818016	97.05059801458653
DZANK1	GSM4818017	104.6632968626064
DZANK1	GSM4818018	108.54251834666329
DZANK1	GSM4818019	69.72504251994991
DZANK1	GSM4818020	52.39498221780021
DZANK1	GSM4818021	107.29118232046346
DZANK1	GSM4818022	32.4636954458695
DZANK1	GSM4818023	40.75393197989858
DZANK1	GSM3056394	47.281573826318414
DZANK1	GSM3056395	41.68111993057288
DZANK1	GSM3056396	44.31861754038917
DZANK1	GSM3056397	60.909359195450385
DZANK1	GSM3056398	102.47579332058643
DZANK1	GSM3056399	45.17894301232623
