Gene	sample	counts
EEF1A1P3	GSM1022678	141.49103740038314
EEF1A1P3	GSM1022679	143.7503425347158
EEF1A1P3	GSM1022680	119.67281427551086
EEF1A1P3	GSM1022681	115.6540586124436
EEF1A1P3	GSM1022682	138.24969808657517
EEF1A1P3	GSM1022683	121.82991841436098
EEF1A1P3	GSM1022684	132.3264873717148
EEF1A1P3	GSM1022685	116.03134502809074
EEF1A1P3	GSM1022686	125.79333061968144
EEF1A1P3	GSM1022687	129.64954936238485
EEF1A1P3	GSM1022688	122.06150848094047
EEF1A1P3	GSM1022689	115.40351466661384
EEF1A1P3	GSM1022690	118.78277235571063
EEF1A1P3	GSM1022691	117.46995086706912
EEF1A1P3	GSM1022692	119.02205207518776
EEF1A1P3	GSM1022693	121.09462606123373
EEF1A1P3	GSM1022694	117.7815609483821
EEF1A1P3	GSM1022695	112.48397128996024
EEF1A1P3	GSM1385778	126.19083551663346
EEF1A1P3	GSM1385779	119.96884066084134
EEF1A1P3	GSM1385780	115.16154105058678
EEF1A1P3	GSM1385781	123.99468196727116
EEF1A1P3	GSM1385782	125.63001716796346
EEF1A1P3	GSM1385783	116.96834635980152
EEF1A1P3	GSM1415906	129.19537921941043
EEF1A1P3	GSM1415907	131.91216776114712
EEF1A1P3	GSM1415908	117.62106639471024
EEF1A1P3	GSM1415909	117.81468418361996
EEF1A1P3	GSM1415910	119.90390161381202
EEF1A1P3	GSM1415911	119.54151997155392
EEF1A1P3	GSM1415912	130.3367303982153
EEF1A1P3	GSM1415913	131.47659128968914
EEF1A1P3	GSM1415914	127.15254074499865
EEF1A1P3	GSM1415915	125.40691326962695
EEF1A1P3	GSM1415916	125.39550826846109
EEF1A1P3	GSM1415917	126.12628684855268
EEF1A1P3	GSM1415918	126.83812462747008
EEF1A1P3	GSM1415919	126.84943033922973
EEF1A1P3	GSM1415920	124.81904243415856
EEF1A1P3	GSM1415921	123.11828091095016
EEF1A1P3	GSM2769390	127.81273203621184
EEF1A1P3	GSM2769391	126.49493324047324
EEF1A1P3	GSM2769392	126.06585785015112
EEF1A1P3	GSM2769393	125.70256510735176
EEF1A1P3	GSM2769394	126.9388054418608
EEF1A1P3	GSM2769395	126.84484766256234
EEF1A1P3	GSM2769396	125.74518971074124
EEF1A1P3	GSM2769397	134.93723095926407
EEF1A1P3	GSM2769398	124.73055154636656
EEF1A1P3	GSM3103946	75.52223345103842
EEF1A1P3	GSM3103947	147.05918606696895
EEF1A1P3	GSM3103948	115.16736198773847
EEF1A1P3	GSM3103949	133.17904178843193
EEF1A1P3	GSM3103950	131.9883396580312
EEF1A1P3	GSM3103951	146
EEF1A1P3	GSM3103952	97
EEF1A1P3	GSM3103953	116.80772107093942
EEF1A1P3	GSM3103954	119
EEF1A1P3	GSM3103955	147.2586019541902
EEF1A1P3	GSM3103956	13.296618709465433
EEF1A1P3	GSM3103957	41.58365574121006
EEF1A1P3	GSM3103958	48.92298697928433
EEF1A1P3	GSM3103959	81
EEF1A1P3	GSM3103960	133
EEF1A1P3	GSM3103961	133.410367638172
EEF1A1P3	GSM3103962	91.55255634631338
EEF1A1P3	GSM3103963	77.72236967169587
EEF1A1P3	GSM3103964	86.59882769052406
EEF1A1P3	GSM3103965	146
EEF1A1P3	GSM4260265	133.42236713619755
EEF1A1P3	GSM4260266	136.40520477484063
EEF1A1P3	GSM4260267	135.95051385415195
EEF1A1P3	GSM4260268	127.79064293110416
EEF1A1P3	GSM4260269	123.83859759717892
EEF1A1P3	GSM4260270	122.63273375863942
EEF1A1P3	GSM4260271	126.08077708368496
EEF1A1P3	GSM4260272	126.87736087910704
EEF1A1P3	GSM4260273	121.028771826338
EEF1A1P3	GSM4260274	80.59971103668805
EEF1A1P3	GSM4260275	118.34001654542776
EEF1A1P3	GSM4260276	133.95818399077083
EEF1A1P3	GSM4735785	99.03382870392346
EEF1A1P3	GSM4735786	242.4973973028786
EEF1A1P3	GSM4735787	248.5300786228508
EEF1A1P3	GSM4735788	149.58672506592575
EEF1A1P3	GSM4735789	207.09303312929396
EEF1A1P3	GSM4735790	129.10928354489306
EEF1A1P3	GSM4735791	127.45472747451956
EEF1A1P3	GSM4735792	116.22665281250605
EEF1A1P3	GSM4735793	139.294106065881
EEF1A1P3	GSM4735794	87.12143126026923
EEF1A1P3	GSM4735795	106.12089340648356
EEF1A1P3	GSM4735796	125.3829118912592
EEF1A1P3	GSM4735797	165.72730450186037
EEF1A1P3	GSM4735798	51.81882196014372
EEF1A1P3	GSM4735799	118.10389040902356
EEF1A1P3	GSM4735800	51.70924328027662
EEF1A1P3	GSM4735801	115.98440254502992
EEF1A1P3	GSM4735802	105.8273796369444
EEF1A1P3	GSM4735803	147.65068846921412
EEF1A1P3	GSM4735804	69.8730497909107
EEF1A1P3	GSM5282507	160.48502865594395
EEF1A1P3	GSM5282508	130.610431016511
EEF1A1P3	GSM5282509	156.31567508853558
EEF1A1P3	GSM5282510	40.977363982809294
EEF1A1P3	GSM5282511	48.41957456608659
EEF1A1P3	GSM5282512	139.07109177667814
EEF1A1P3	GSM5282513	182.90673238125387
EEF1A1P3	GSM5282514	193.75652158954543
EEF1A1P3	GSM5282515	102.38669861786047
EEF1A1P3	GSM5282516	57.85298509766199
EEF1A1P3	GSM5282517	82.25157705011196
EEF1A1P3	GSM5282518	283.8578944352008
EEF1A1P3	GSM5282519	9.496646357072578
EEF1A1P3	GSM5282520	69.50787054793312
EEF1A1P3	GSM5282521	51.14804814836934
EEF1A1P3	GSM5282522	65.44521965961324
EEF1A1P3	GSM5282523	262.3968167091902
EEF1A1P3	GSM5282524	99.0919933278868
EEF1A1P3	GSM5282525	219.3237064120474
EEF1A1P3	GSM5282526	167.67887660869872
EEF1A1P3	GSM5282527	149.70871726619413
EEF1A1P3	GSM5282528	118.2715021013544
EEF1A1P3	GSM5282529	237.07393876711532
EEF1A1P3	GSM5282530	58.05956681233172
EEF1A1P3	GSM5282531	58.46384211822772
EEF1A1P3	GSM5282532	151.50234749438485
EEF1A1P3	GSM5282533	174
EEF1A1P3	GSM5282534	239.01170965150277
EEF1A1P3	GSM5282535	156.2175198546108
EEF1A1P3	GSM5282536	160.2448634840869
EEF1A1P3	GSM4260927	70
EEF1A1P3	GSM4260928	92.61258985331555
EEF1A1P3	GSM4260929	139.8739688020335
EEF1A1P3	GSM4260930	140
EEF1A1P3	GSM4260931	136.41227435755235
EEF1A1P3	GSM4260932	109.07893765175976
EEF1A1P3	GSM4260933	164.26372346163524
EEF1A1P3	GSM4260934	235
EEF1A1P3	GSM4260935	137.8318705433509
EEF1A1P3	GSM4260936	175.10730699471867
EEF1A1P3	GSM4260937	180
EEF1A1P3	GSM4260938	85.30085417690762
EEF1A1P3	GSM4260939	189
EEF1A1P3	GSM4260940	209.43473563926352
EEF1A1P3	GSM4260941	62
EEF1A1P3	GSM4260942	166.40611192875957
EEF1A1P3	GSM4260943	178.41366079239785
EEF1A1P3	GSM4260944	138.7671803489763
EEF1A1P3	GSM4260945	125.56882349953142
EEF1A1P3	GSM4260946	125.0923961898371
EEF1A1P3	GSM4260947	130.57684648567093
EEF1A1P3	GSM4260948	127.24394513190542
EEF1A1P3	GSM4260949	97.414681683799
EEF1A1P3	GSM4260950	135
EEF1A1P3	GSM4260951	206.51738877140147
EEF1A1P3	GSM4260952	111.18626382641212
