Gene	sample	counts
EEF1AKMT1	GSM1022678	33.35425980591724
EEF1AKMT1	GSM1022679	37.967629106078974
EEF1AKMT1	GSM1022680	23.524786947515764
EEF1AKMT1	GSM1022681	77.81389094957396
EEF1AKMT1	GSM1022682	26.26040689902671
EEF1AKMT1	GSM1022683	14.20456541077436
EEF1AKMT1	GSM1022684	37.68185807285664
EEF1AKMT1	GSM1022685	27.752769206907335
EEF1AKMT1	GSM1022686	61.87712365946377
EEF1AKMT1	GSM1022687	25.1791987535921
EEF1AKMT1	GSM1022688	27.28705038979378
EEF1AKMT1	GSM1022689	52.072791653573695
EEF1AKMT1	GSM1022690	11.994160989073492
EEF1AKMT1	GSM1022691	39.72112506382128
EEF1AKMT1	GSM1022692	67.06580187312643
EEF1AKMT1	GSM1022693	56.47534067714834
EEF1AKMT1	GSM1022694	68.80397446065908
EEF1AKMT1	GSM1022695	81.73413371604165
EEF1AKMT1	GSM1385778	71
EEF1AKMT1	GSM1385779	38.82997469435462
EEF1AKMT1	GSM1385780	23.428100657947844
EEF1AKMT1	GSM1385781	53.41631324060885
EEF1AKMT1	GSM1385782	81.36859762769636
EEF1AKMT1	GSM1385783	23.370727604509646
EEF1AKMT1	GSM1415906	74
EEF1AKMT1	GSM1415907	69.41897129555629
EEF1AKMT1	GSM1415908	60.78464644769783
EEF1AKMT1	GSM1415909	66.40075515227124
EEF1AKMT1	GSM1415910	74.51527033835791
EEF1AKMT1	GSM1415911	66.20007432057687
EEF1AKMT1	GSM1415912	20.701902273971328
EEF1AKMT1	GSM1415913	29.085081981309152
EEF1AKMT1	GSM1415914	30.9208372275675
EEF1AKMT1	GSM1415915	32.39986681830038
EEF1AKMT1	GSM1415916	27.127420469987676
EEF1AKMT1	GSM1415917	27.685212172493173
EEF1AKMT1	GSM1415918	25.678409265216704
EEF1AKMT1	GSM1415919	30.06485100754398
EEF1AKMT1	GSM1415920	26.205020450627035
EEF1AKMT1	GSM1415921	31.842428801616823
EEF1AKMT1	GSM2769390	21.50132484002982
EEF1AKMT1	GSM2769391	74.99974408488119
EEF1AKMT1	GSM2769392	18.788817977751872
EEF1AKMT1	GSM2769393	44.39372931038729
EEF1AKMT1	GSM2769394	64.13080522996238
EEF1AKMT1	GSM2769395	48.59907667788851
EEF1AKMT1	GSM2769396	55.915404303730625
EEF1AKMT1	GSM2769397	31.31028426752676
EEF1AKMT1	GSM2769398	26.18832969244119
EEF1AKMT1	GSM3103946	14.14021909947592
EEF1AKMT1	GSM3103947	41.135991065512926
EEF1AKMT1	GSM3103948	30.09197402815864
EEF1AKMT1	GSM3103949	39.83169655529088
EEF1AKMT1	GSM3103950	24.61885574651395
EEF1AKMT1	GSM3103951	26
EEF1AKMT1	GSM3103952	38.16179452619701
EEF1AKMT1	GSM3103953	35.3505477486898
EEF1AKMT1	GSM3103954	33.10003716028844
EEF1AKMT1	GSM3103955	52.45411830132758
EEF1AKMT1	GSM3103956	32.892170911890176
EEF1AKMT1	GSM3103957	48.77512863500104
EEF1AKMT1	GSM3103958	22.543637193376792
EEF1AKMT1	GSM3103959	51.15460288408213
EEF1AKMT1	GSM3103960	73
