Gene	sample	counts
EFS	GSM1022678	465.90977315411874
EFS	GSM1022679	1.080829643118164
EFS	GSM1022680	344.6986188961296
EFS	GSM1022681	229.26114273617137
EFS	GSM1022682	1.0091218838436145
EFS	GSM1022683	366.5050045632026
EFS	GSM1022684	94.81661693563817
EFS	GSM1022685	237.19682036715895
EFS	GSM1022686	133.1312749058295
EFS	GSM1022687	60.5031230357796
EFS	GSM1022688	94.93672881850928
EFS	GSM1022689	264.50894069604414
EFS	GSM1022690	16.197650775778726
EFS	GSM1022691	66.21033594325715
EFS	GSM1022692	354.0143087364559
EFS	GSM1022693	248.2439834255291
EFS	GSM1022694	56.28499372754542
EFS	GSM1022695	341.5422400986066
EFS	GSM1385778	105.15902959719456
EFS	GSM1385779	108.39289989532156
EFS	GSM1385780	107.83307934736764
EFS	GSM1385781	103.83294506202382
EFS	GSM1385782	103.51913414640188
EFS	GSM1385783	107.56910424160318
EFS	GSM1415906	534.8087790943036
EFS	GSM1415907	413.8618393116906
EFS	GSM1415908	310.27626135156316
EFS	GSM1415909	301.0819706914732
EFS	GSM1415910	347.6205550988668
EFS	GSM1415911	346.5699528587067
EFS	GSM1415912	70.78632771627211
EFS	GSM1415913	66.87171453527291
EFS	GSM1415914	110.8509329571783
EFS	GSM1415915	116.83208159307128
EFS	GSM1415916	126.4672647493881
EFS	GSM1415917	48.9283009326282
EFS	GSM1415918	62.325630204877534
EFS	GSM1415919	47.02177159126619
EFS	GSM1415920	86.08209823045418
EFS	GSM1415921	69.45133794976675
EFS	GSM2769390	9.42880810103202
EFS	GSM2769391	1.0368437150858465
EFS	GSM2769392	34.09978122176219
EFS	GSM2769393	157.64338083135098
EFS	GSM2769394	197.00902604576797
EFS	GSM2769395	107.0903222069174
EFS	GSM2769396	77.69621478062061
EFS	GSM2769397	27.19665120109198
EFS	GSM2769398	6.288935372085708
EFS	GSM3103946	165.14195047960402
EFS	GSM3103947	93.2570448229559
EFS	GSM3103948	302.74534079411495
EFS	GSM3103949	263.0076674312429
EFS	GSM3103950	303.8951039931255
EFS	GSM3103951	170
EFS	GSM3103952	109
EFS	GSM3103953	20.139262253610244
EFS	GSM3103954	161
EFS	GSM3103955	226.67306229377135
EFS	GSM3103956	1.0228168238050332
EFS	GSM3103957	1.0142355058831722
EFS	GSM3103958	6.1153733724105415
EFS	GSM3103959	178
EFS	GSM3103960	107
EFS	GSM3103961	256.42512221362927
EFS	GSM3103962	1.0060720477616854
EFS	GSM3103963	56.24645173609569
EFS	GSM3103964	1.0069631126805123
EFS	GSM3103965	130
EFS	GSM4260265	31.816102932477875
EFS	GSM4260266	55.987210915046525
EFS	GSM4260267	1.0377901820927629
EFS	GSM4260268	1.038948316513042
EFS	GSM4260269	189.3400045907281
EFS	GSM4260270	116.50109707070744
EFS	GSM4260271	1.0506731423640414
EFS	GSM4260272	1.0485732304058435
EFS	GSM4260273	66.10815267825184
EFS	GSM4260274	0.6014903808708063
EFS	GSM4260275	1.0472567835878563
EFS	GSM4260276	1.022581557181457
EFS	GSM4735785	40.90527707335969
EFS	GSM4735786	39.54893174896732
EFS	GSM4735787	39.35059578195138
EFS	GSM4735788	39.75031854898726
EFS	GSM4735789	35.38272927837183
EFS	GSM4735790	39.56574818311239
EFS	GSM4735791	35.81372507548483
EFS	GSM4735792	36.25418528096519
EFS	GSM4735793	40.40592389697312
EFS	GSM4735794	35.68829714276089
EFS	GSM4735795	120.68650622698132
EFS	GSM4735796	83.95203665762573
EFS	GSM4735797	194.78339035608263
EFS	GSM4735798	242.5561878985451
EFS	GSM4735799	209.1197325590968
EFS	GSM4735800	191.4342198035773
EFS	GSM4735801	275.59596568039217
EFS	GSM4735802	501.12376828082495
EFS	GSM4735803	410.9438742010295
EFS	GSM4735804	434.0598547617181
EFS	GSM5282507	1.0030314290996496
EFS	GSM5282508	1.0203939923164922
EFS	GSM5282509	1.008488226377649
EFS	GSM5282510	1.0507016405848535
EFS	GSM5282511	1.030203714172055
EFS	GSM5282512	1.022581557181457
EFS	GSM5282513	1.0161485132291883
EFS	GSM5282514	1.0039198009821009
EFS	GSM5282515	1.0238669861786047
EFS	GSM5282516	1.0330890196011069
EFS	GSM5282517	1.0281447131263994
EFS	GSM5282518	1.0030314290996496
EFS	GSM5282519	1.0551829285636198
EFS	GSM5282520	1.0221745668813695
EFS	GSM5282521	1.0229609629673868
EFS	GSM5282522	1.022581557181457
EFS	GSM5282523	1.001514567592329
EFS	GSM5282524	1.0111427890600695
EFS	GSM5282525	1.0060720477616854
EFS	GSM5282526	1.0040651293934055
EFS	GSM5282527	1.011545386933744
EFS	GSM5282528	1.0195819146668483
EFS	GSM5282529	1.0045505879962513
EFS	GSM5282530	1.018588891444416
EFS	GSM5282531	1.0256814406706618
EFS	GSM5282532	1.0100156499625657
EFS	GSM5282533	1
EFS	GSM5282534	1.008488226377649
EFS	GSM5282535	1.0078549668039407
EFS	GSM5282536	1.0142079967347273
EFS	GSM4260927	159
EFS	GSM4260928	97.37941433105976
EFS	GSM4260929	96.16335355139805
EFS	GSM4260930	137
EFS	GSM4260931	137.415305786652
EFS	GSM4260932	137.0992152136797
EFS	GSM4260933	122.78298521374757
EFS	GSM4260934	137
EFS	GSM4260935	137.8318705433509
EFS	GSM4260936	149.8027828625339
EFS	GSM4260937	137
EFS	GSM4260938	148.75636764997304
EFS	GSM4260939	137
EFS	GSM4260940	143.98638075199366
EFS	GSM4260941	154
EFS	GSM4260942	133.6858090214192
EFS	GSM4260943	138.8788155031733
EFS	GSM4260944	109.25921671155032
EFS	GSM4260945	143.65073408346393
EFS	GSM4260946	87.74253382035968
EFS	GSM4260947	139.7580310041947
EFS	GSM4260948	112.0958564257262
EFS	GSM4260949	140.48222516505749
EFS	GSM4260950	137
EFS	GSM4260951	132.4042936074711
EFS	GSM4260952	141.50979032452452
EFS	GSM4260953	130.26065696962803
EFS	GSM4260954	154.93509535529955
EFS	GSM4260955	142.21382311734538
EFS	GSM4260956	150.7511559337736
EFS	GSM4260957	117.41956143545735
EFS	GSM4260958	148.43813953308054
EFS	GSM4260959	144.90733480080763
EFS	GSM4260960	137.74532183678127
EFS	GSM4260961	148.2241560036647
EFS	GSM4260962	137.20749576014907
EFS	GSM4260963	148
EFS	GSM4260964	137
EFS	GSM4260965	148.98166922356828
EFS	GSM4260966	131.18923259579617
EFS	GSM4260967	126.74942769667574
EFS	GSM4260968	143
EFS	GSM4260969	137.20749576014907
EFS	GSM4260970	120.1432662836825
EFS	GSM4260971	126.8967515906457
EFS	GSM4260972	144.43223794464691
EFS	GSM4260973	137.62343055548644
EFS	GSM4260974	145.1806527771135
