Gene	sample	counts
EIF4E2	GSM1022678	1217.5395941376075
EIF4E2	GSM1022679	340.95193955474633
EIF4E2	GSM1022680	1171.6152693694455
EIF4E2	GSM1022681	1059.8618925697283
EIF4E2	GSM1022682	215.6330135318051
EIF4E2	GSM1022683	1149.0198454047886
EIF4E2	GSM1022684	799.8849713126135
EIF4E2	GSM1022685	948.4878412946554
EIF4E2	GSM1022686	1503.0287119504103
EIF4E2	GSM1022687	681.0713291147578
EIF4E2	GSM1022688	687.1994006790901
EIF4E2	GSM1022689	1434.4522650719452
EIF4E2	GSM1022690	849.3710090213792
EIF4E2	GSM1022691	1068.847114093736
EIF4E2	GSM1022692	1548.088550451361
EIF4E2	GSM1022693	1881.8090570641357
EIF4E2	GSM1022694	1275.9312604023723
EIF4E2	GSM1022695	1543.294026058077
EIF4E2	GSM1385778	1623
EIF4E2	GSM1385779	854.4146968273826
EIF4E2	GSM1385780	587.4327816191487
EIF4E2	GSM1385781	1176.8280274120095
EIF4E2	GSM1385782	1522.0321075791107
EIF4E2	GSM1385783	595.3453508305425
EIF4E2	GSM1415906	1745
EIF4E2	GSM1415907	1613.47458771141
EIF4E2	GSM1415908	1565.0308895891349
EIF4E2	GSM1415909	1574.3079791736377
EIF4E2	GSM1415910	1560.2816780056587
EIF4E2	GSM1415911	1738.1727305180202
EIF4E2	GSM1415912	805.1990480974248
EIF4E2	GSM1415913	763.6486056723554
EIF4E2	GSM1415914	860.938627939107
EIF4E2	GSM1415915	904.5002827705316
EIF4E2	GSM1415916	853.9286687081094
EIF4E2	GSM1415917	776.8148349957604
EIF4E2	GSM1415918	738.0530966802264
EIF4E2	GSM1415919	870.3044814771508
EIF4E2	GSM1415920	835.1713073974529
EIF4E2	GSM1415921	838.1312989400259
EIF4E2	GSM2769390	1105.5104511045415
EIF4E2	GSM2769391	780.2653747497291
EIF4E2	GSM2769392	1329.958108060651
EIF4E2	GSM2769393	1527.363745171169
EIF4E2	GSM2769394	1647.3632333378348
EIF4E2	GSM2769395	1479.558469047022
EIF4E2	GSM2769396	577.0855546960078
EIF4E2	GSM2769397	511.8809398945828
EIF4E2	GSM2769398	543.3034165586954
EIF4E2	GSM3103946	659.9470001411819
EIF4E2	GSM3103947	1162.7193386864055
EIF4E2	GSM3103948	792.7334859734414
EIF4E2	GSM3103949	1487.1208045637984
EIF4E2	GSM3103950	838.4327678994458
EIF4E2	GSM3103951	798
EIF4E2	GSM3103952	595.1406919992296
EIF4E2	GSM3103953	919.8011880682146
EIF4E2	GSM3103954	888.6898171069577
EIF4E2	GSM3103955	1138.5385514805018
EIF4E2	GSM3103956	761.8053095097451
EIF4E2	GSM3103957	1175.4808870172992
EIF4E2	GSM3103958	676.2481116185045
EIF4E2	GSM3103959	694
EIF4E2	GSM3103960	941
EIF4E2	GSM3103961	1078.07195689411
EIF4E2	GSM3103962	1131.449054632626
EIF4E2	GSM3103963	726.7085879334154
EIF4E2	GSM3103964	643.8619558977842
EIF4E2	GSM3103965	1217
EIF4E2	GSM4260265	910.0588128037928
EIF4E2	GSM4260266	1966.702698736202
EIF4E2	GSM4260267	665.7093240470828
EIF4E2	GSM4260268	734.9498223273486
EIF4E2	GSM4260269	1820.2015477986376
EIF4E2	GSM4260270	1086.0127094336058
EIF4E2	GSM4260271	571.4519041271958
EIF4E2	GSM4260272	837.2037274809228
EIF4E2	GSM4260273	1062.607620681057
EIF4E2	GSM4260274	497.0945791310256
EIF4E2	GSM4260275	1017.5772591003274
EIF4E2	GSM4260276	994.1390576912328
EIF4E2	GSM4735786	1173.1721679567
EIF4E2	GSM4735787	1500.6684687735174
EIF4E2	GSM4735788	905.3990492075244
EIF4E2	GSM4735790	1062.8097318248886
EIF4E2	GSM4735793	684.4957534623162
EIF4E2	GSM4735798	685.6390384962004
EIF4E2	GSM4735800	825.6295411146676
EIF4E2	GSM4735803	1605.2935853013896
EIF4E2	GSM4735804	1273.89554590153
EIF4E2	GSM4735785	1236.8922101775495
EIF4E2	GSM4735789	1069.5522755157515
EIF4E2	GSM4735791	894.0718278700856
EIF4E2	GSM4735792	1253.2976150500465
EIF4E2	GSM4735794	1643.8556742184717
EIF4E2	GSM4735795	1500.872833187252
EIF4E2	GSM4735796	668.0928354166236
EIF4E2	GSM4735797	403.7579239025265
EIF4E2	GSM4735799	769.9493619618555
EIF4E2	GSM4735801	546.0541411264403
EIF4E2	GSM4735802	1293.1308813978449
EIF4E2	GSM5282507	1276
EIF4E2	GSM5282509	1441
EIF4E2	GSM5282510	355.71463037448757
EIF4E2	GSM5282511	642.2646291298182
EIF4E2	GSM5282512	469.06600975715025
EIF4E2	GSM5282515	591.4217748764719
EIF4E2	GSM5282516	500.12110876457143
EIF4E2	GSM5282519	149.7242980993479
EIF4E2	GSM5282521	1196.023627594781
EIF4E2	GSM5282523	1686
EIF4E2	GSM5282524	1018.7237000647953
EIF4E2	GSM5282526	1088
EIF4E2	GSM5282528	847.4942560284794
EIF4E2	GSM5282529	1574
EIF4E2	GSM5282513	853.0283849425866
EIF4E2	GSM5282533	1224.3080002459428
EIF4E2	GSM5282534	1076
EIF4E2	GSM5282536	952.9452277180276
EIF4E2	GSM5282525	1399
EIF4E2	GSM5282530	1079.279641163918
EIF4E2	GSM5282514	1110
EIF4E2	GSM5282520	658.9212147357047
EIF4E2	GSM5282535	1386
EIF4E2	GSM5282522	890.8935555418932
EIF4E2	GSM5282531	892.3561070670117
EIF4E2	GSM5282508	546.6564339169081
EIF4E2	GSM5282518	1309
EIF4E2	GSM5282517	786.601657228771
EIF4E2	GSM5282527	1121.9206288363855
EIF4E2	GSM5282532	1074
