Gene	sample	counts
ELMO2	GSM1022678	857.1034034975096
ELMO2	GSM1022679	244.07761568193624
ELMO2	GSM1022680	1496.3810132267636
ELMO2	GSM1022681	796.5685152469545
ELMO2	GSM1022682	234.32363079131525
ELMO2	GSM1022683	1529.0200052883542
ELMO2	GSM1022684	1092.7738841128426
ELMO2	GSM1022685	1062.8282725904514
ELMO2	GSM1022686	1099.1055185613225
ELMO2	GSM1022687	805.7343601149472
ELMO2	GSM1022688	856.3935814642972
ELMO2	GSM1022689	962.8361280258824
ELMO2	GSM1022690	1312.8154391676806
ELMO2	GSM1022691	991.954582674888
ELMO2	GSM1022692	1348.429077055133
ELMO2	GSM1022693	2287.251297424508
ELMO2	GSM1022694	848.582351681462
ELMO2	GSM1022695	1401.7403932301145
ELMO2	GSM1385778	1316
ELMO2	GSM1385779	783.0711563361514
ELMO2	GSM1385780	1086.211939595764
ELMO2	GSM1385781	1015.917806538372
ELMO2	GSM1385782	1221.5335150034416
ELMO2	GSM1385783	1046.3712132019093
ELMO2	GSM1415906	1976
ELMO2	GSM1415907	1834.0693430695528
ELMO2	GSM1415908	1528.7338581596005
ELMO2	GSM1415909	1576.514898842561
ELMO2	GSM1415910	1484.2636280910751
ELMO2	GSM1415911	1686.095832316511
ELMO2	GSM1415912	841.8773591415007
ELMO2	GSM1415913	802.7482626841326
ELMO2	GSM1415914	839.2798676054036
ELMO2	GSM1415915	728.9970034117587
ELMO2	GSM1415916	896.2899723283928
ELMO2	GSM1415917	722.030333458622
ELMO2	GSM1415918	793.7977820682207
ELMO2	GSM1415919	779.4591001955846
ELMO2	GSM1415920	780.6912342582638
ELMO2	GSM1415921	827.9031488420374
ELMO2	GSM2769390	1007.337068755397
ELMO2	GSM2769391	895.7715913236514
ELMO2	GSM2769392	1257.8069812883891
ELMO2	GSM2769393	844.5132692069025
ELMO2	GSM2769394	1233.7545387097523
ELMO2	GSM2769395	728.9861501683276
ELMO2	GSM2769396	1510.73255991534
ELMO2	GSM2769397	1211.7080011532855
ELMO2	GSM2769398	1165.9044379074817
ELMO2	GSM3103946	1156.4679192071378
ELMO2	GSM3103947	1209.39813732608
ELMO2	GSM3103948	818.9315789091745
ELMO2	GSM3103949	1340.7179563929824
ELMO2	GSM3103950	854.3408318519977
ELMO2	GSM3103951	401
ELMO2	GSM3103952	1010.2832971935314
ELMO2	GSM3103953	1001.9355247628652
ELMO2	GSM3103954	850.5706518765029
ELMO2	GSM3103955	1023.65006624409
ELMO2	GSM3103956	944.622033375846
ELMO2	GSM3103957	493.8481774293855
ELMO2	GSM3103958	636.3453953221358
ELMO2	GSM3103959	800.4190804215204
ELMO2	GSM3103960	1315
ELMO2	GSM3103961	1565.9244848312144
ELMO2	GSM3103962	906.836230692696
ELMO2	GSM3103963	372.886270348294
ELMO2	GSM3103964	878.2550821495211
ELMO2	GSM3103965	1003
ELMO2	GSM4260265	1127.5779028289687
ELMO2	GSM4260266	1492.7304445740422
ELMO2	GSM4260267	863.8086925020175
ELMO2	GSM4260268	1140.5924184055102
ELMO2	GSM4260269	1497.2067787819335
ELMO2	GSM4260270	1239.9216824770542
ELMO2	GSM4260271	892.9955831397698
ELMO2	GSM4260272	993.3055644457994
ELMO2	GSM4260273	1429.8876200063276
ELMO2	GSM4260274	633.9862958911056
ELMO2	GSM4260275	891.1564464874314
ELMO2	GSM4260276	1132.2194325999608
ELMO2	GSM4735785	815.4302197787576
ELMO2	GSM4735786	1140.937186624817
ELMO2	GSM4735787	2007.469748793614
ELMO2	GSM4735788	1127.458403832053
ELMO2	GSM4735789	1595.0415075614196
ELMO2	GSM4735790	994.6766332763608
ELMO2	GSM4735791	1428.0684325110644
ELMO2	GSM4735792	1565.8804682343791
ELMO2	GSM4735793	738.7881858029995
ELMO2	GSM4735794	1056.4623336314326
ELMO2	GSM4735795	769.0025249307373
ELMO2	GSM4735796	468.0459226514133
ELMO2	GSM4735797	521.9642402717744
ELMO2	GSM4735798	1273.343638329338
ELMO2	GSM4735799	822.0619597214431
ELMO2	GSM4735800	1486.6082430542715
ELMO2	GSM4735801	1401.8230573039934
ELMO2	GSM4735802	1534.311774118289
ELMO2	GSM4735803	1210.7474909312389
ELMO2	GSM4735804	816.8790108970571
ELMO2	GSM5282507	1206
ELMO2	GSM5282508	736.2368640692243
ELMO2	GSM5282509	1306.9499521168434
ELMO2	GSM5282510	635.7430937498135
ELMO2	GSM5282511	542.2517921077058
ELMO2	GSM5282512	737.899239295728
ELMO2	GSM5282513	953.1557631477486
ELMO2	GSM5282514	1230
ELMO2	GSM5282515	941.5383923528564
ELMO2	GSM5282516	745.4349444327767
ELMO2	GSM5282517	647.934158620606
ELMO2	GSM5282518	1882
ELMO2	GSM5282519	532.897968636263
ELMO2	GSM5282520	778.9997010823641
ELMO2	GSM5282521	812.5428094917371
ELMO2	GSM5282522	768.3090586977634
ELMO2	GSM5282523	1682
ELMO2	GSM5282524	1193.8384982557527
ELMO2	GSM5282525	1611
ELMO2	GSM5282526	1520
ELMO2	GSM5282527	1145.9160624005597
ELMO2	GSM5282528	1372.3044497375151
ELMO2	GSM5282529	1477
ELMO2	GSM5282530	1406.7614945604705
ELMO2	GSM5282531	872.9365442294342
ELMO2	GSM5282532	1758.8674913206405
ELMO2	GSM5282533	1844.6949504127383
ELMO2	GSM5282534	1363.1197121464238
ELMO2	GSM5282535	1320
ELMO2	GSM5282536	1118.4141054600464
ELMO2	GSM4260927	1540
ELMO2	GSM4260928	932.3431673092682
ELMO2	GSM4260929	1033.5758580269662
ELMO2	GSM4260930	1725
ELMO2	GSM4260931	1393.1067635209297
ELMO2	GSM4260932	1136
ELMO2	GSM4260933	1208.0103907235473
ELMO2	GSM4260934	1257
ELMO2	GSM4260935	1011.4836530786392
ELMO2	GSM4260936	885.7561145432868
ELMO2	GSM4260937	1441
ELMO2	GSM4260938	612.8027915275562
ELMO2	GSM4260939	1805
ELMO2	GSM4260940	1112.715684824424
ELMO2	GSM4260941	1458
ELMO2	GSM4260942	976.4224682197246
ELMO2	GSM4260943	1296.87365447271
ELMO2	GSM4260944	1033.7011587724733
ELMO2	GSM4260945	1119.069355027824
ELMO2	GSM4260946	1159.2500399604428
ELMO2	GSM4260947	822.3670314317156
ELMO2	GSM4260948	1144.7741872058791
ELMO2	GSM4260949	663.2059999714318
ELMO2	GSM4260950	1411
ELMO2	GSM4260951	1144.6573664438167
ELMO2	GSM4260952	940.3654813538196
ELMO2	GSM4260953	1943.1371496341387
ELMO2	GSM4260954	1038.2663532900594
ELMO2	GSM4260955	288.09520899219535
ELMO2	GSM4260956	1064.6658076735011
ELMO2	GSM4260957	1215.0264885598638
ELMO2	GSM4260958	773.4730067507853
ELMO2	GSM4260959	605.7802812791341
ELMO2	GSM4260960	979.2988574381384
ELMO2	GSM4260961	957.2935241898218
ELMO2	GSM4260962	880.6615947494923
ELMO2	GSM4260963	1290
ELMO2	GSM4260964	1161
ELMO2	GSM4260965	470.2055420821125
ELMO2	GSM4260966	1585.7785344753167
ELMO2	GSM4260967	1135.772534174852
ELMO2	GSM4260968	1745
ELMO2	GSM4260969	1478.2355017662776
ELMO2	GSM4260970	642.3362202916951
ELMO2	GSM4260971	848.2333506346384
ELMO2	GSM4260972	984.8530765445078
ELMO2	GSM4260973	1002.02839767055
ELMO2	GSM4260974	988.7753897416652
ELMO2	GSM4260975	811
ELMO2	GSM4260976	1367
ELMO2	GSM4260977	541.3246583320645
ELMO2	GSM4260978	1608
