Gene	sample	counts
EPG5	GSM1022678	1874.7562455550765
EPG5	GSM1022679	934.9176412972118
EPG5	GSM1022680	2097.8542058040407
EPG5	GSM1022681	1685.6834914574742
EPG5	GSM1022682	950.5928145806848
EPG5	GSM1022683	2278.21947434855
EPG5	GSM1022684	2172.446662756105
EPG5	GSM1022685	1984.8547782238888
EPG5	GSM1022686	1798.8446278614445
EPG5	GSM1022687	1871.275162463755
EPG5	GSM1022688	2021.8393456073732
EPG5	GSM1022689	1611.564125167404
EPG5	GSM1022690	3853.961041250284
EPG5	GSM1022691	1416.046862270306
EPG5	GSM1022692	1760.9160012149573
EPG5	GSM1022693	4328.123759805262
EPG5	GSM1022694	1507.1870542598274
EPG5	GSM1022695	1576.8207611738064
EPG5	GSM1385778	2142.2396600799916
EPG5	GSM1385779	1924.763241830516
EPG5	GSM1385780	2022.655430088488
EPG5	GSM1385781	2015.165603679472
EPG5	GSM1385782	2056.312121005226
EPG5	GSM1385783	2023.9701361187083
EPG5	GSM1415906	3291.9783836759852
EPG5	GSM1415907	3070.230530562882
EPG5	GSM1415908	2280.4291234629595
EPG5	GSM1415909	3217.2471450142366
EPG5	GSM1415910	1964.811833167508
EPG5	GSM1415911	3398.394639191318
EPG5	GSM1415912	1429.2096643666368
EPG5	GSM1415913	1369.1700196374522
EPG5	GSM1415914	1436.7150330332324
EPG5	GSM1415915	1348.392281138382
EPG5	GSM1415916	1597.9889130621834
EPG5	GSM1415917	1421.095318198779
EPG5	GSM1415918	1421.4617415147509
EPG5	GSM1415919	1498.1355134891785
EPG5	GSM1415920	1506.436719032948
EPG5	GSM1415921	1675.2504547883134
EPG5	GSM2769390	1580.896824939702
EPG5	GSM2769391	2061.245305590662
EPG5	GSM2769392	2012.920418787659
EPG5	GSM2769393	1813.4140540076976
EPG5	GSM2769394	3943.227052245964
EPG5	GSM2769395	1628.188782291579
EPG5	GSM2769396	2472.988730977911
EPG5	GSM2769397	2214.4350227966047
EPG5	GSM2769398	2155.0085208347027
EPG5	GSM3103946	1998.821778670817
EPG5	GSM3103947	4127.520935769866
EPG5	GSM3103948	1358.5610965020649
EPG5	GSM3103949	1505.1744534202023
EPG5	GSM3103950	1115.140508720537
EPG5	GSM3103951	1113
EPG5	GSM3103952	2165
EPG5	GSM3103953	2225.388479023932
EPG5	GSM3103954	2485
EPG5	GSM3103955	1163.3429554381028
EPG5	GSM3103956	1875.846054858431
EPG5	GSM3103957	497.9896333886375
EPG5	GSM3103958	876.536850045511
EPG5	GSM3103959	1345
EPG5	GSM3103960	2149
EPG5	GSM3103961	2326.0184227824143
EPG5	GSM3103962	2384.3907531951945
EPG5	GSM3103963	1300.8270292420675
EPG5	GSM3103964	1675.5866195003723
EPG5	GSM3103965	2130
EPG5	GSM4260265	2278.443500325835
EPG5	GSM4260266	3729.766196231463
EPG5	GSM4260267	2098.4117481915664
EPG5	GSM4260268	1764.1342414391454
EPG5	GSM4260269	2490.0769252391433
EPG5	GSM4260270	2242.135148887124
EPG5	GSM4260271	1911.1744459601912
EPG5	GSM4260272	2037.3777866785535
EPG5	GSM4260273	2940.2872214280933
EPG5	GSM4260274	1083.2841759483222
EPG5	GSM4260275	2350.0442223711498
EPG5	GSM4260276	2577.928105654453
EPG5	GSM4735785	2358.5121596771337
EPG5	GSM4735786	2627.922438582697
EPG5	GSM4735787	2176.7092719384686
EPG5	GSM4735788	2011.5753307816449
EPG5	GSM4735789	2501.767093682526
EPG5	GSM4735790	1900.1971166889505
EPG5	GSM4735791	1975.0216034274729
EPG5	GSM4735792	2173.1185177237367
EPG5	GSM4735793	1879.9387749960124
EPG5	GSM4735794	2224.220636632657
EPG5	GSM4735795	1790.529976005473
EPG5	GSM4735796	1955.9734255036435
EPG5	GSM4735797	1816.543441552859
EPG5	GSM4735798	1662.6124152318455
EPG5	GSM4735799	1854.989544772921
EPG5	GSM4735800	2089.273467856283
EPG5	GSM4735801	2072.8221665845713
EPG5	GSM4735802	2071.9340895586074
EPG5	GSM4735803	2111.5080973394606
EPG5	GSM4735804	1889.7483920723575
EPG5	GSM5282507	3044.2003873174367
EPG5	GSM5282508	1997.9314369556917
EPG5	GSM5282509	3421.8005520993624
EPG5	GSM5282510	1871.2996218816245
EPG5	GSM5282511	1699.8361283838908
EPG5	GSM5282512	1356.9657263797933
EPG5	GSM5282513	2063.797630368482
EPG5	GSM5282514	2738.6932170791706
EPG5	GSM5282515	1593.137030493909
EPG5	GSM5282516	2102.3361548882526
EPG5	GSM5282517	1815.7035633812216
EPG5	GSM5282518	3612.919207616938
EPG5	GSM5282519	1203.9637214910902
EPG5	GSM5282520	1489.3083439461554
EPG5	GSM5282521	2410.096028751163
EPG5	GSM5282522	2200.595511054495
EPG5	GSM5282523	3627.485763819416
EPG5	GSM5282524	3013.2055113990073
EPG5	GSM5282525	3267.7220111299544
EPG5	GSM5282526	2855.561227994845
EPG5	GSM5282527	2141.4415841387363
EPG5	GSM5282528	1733.2892549336425
EPG5	GSM5282529	3726.882681466093
EPG5	GSM5282530	2639.163817732482
EPG5	GSM5282531	1862.6374962579216
EPG5	GSM5282532	3053.277309836836
EPG5	GSM5282533	3580
EPG5	GSM5282534	2582.738347753159
EPG5	GSM5282535	2701.051311034561
EPG5	GSM5282536	1753.5656263543433
EPG5	GSM4260927	1669
EPG5	GSM4260928	1833.8654740807267
EPG5	GSM4260929	1408.7306857919089
EPG5	GSM4260930	2234
EPG5	GSM4260931	1869.650583841747
EPG5	GSM4260932	1444.045018637517
EPG5	GSM4260933	1727.2579406420432
EPG5	GSM4260934	1975
EPG5	GSM4260935	1474.9016220186309
EPG5	GSM4260936	1967.6797965186884
EPG5	GSM4260937	2259
EPG5	GSM4260938	1117.2331388536436
EPG5	GSM4260939	2735
EPG5	GSM4260940	1420.732749937504
EPG5	GSM4260941	1289
EPG5	GSM4260942	1980.0457587927683
EPG5	GSM4260943	2579.9020836173436
EPG5	GSM4260944	1913.2325612482423
EPG5	GSM4260945	1352.1250914429545
EPG5	GSM4260946	1568.694219518052
EPG5	GSM4260947	1655.6736081737808
EPG5	GSM4260948	1492.0867375586529
EPG5	GSM4260949	1541.2028060078935
EPG5	GSM4260950	2173
EPG5	GSM4260951	2011.8790777084916
EPG5	GSM4260952	1698.1174838942943
EPG5	GSM4260953	3489.46431444186
EPG5	GSM4260954	2477.955453637031
EPG5	GSM4260955	671.6229456709668
EPG5	GSM4260956	1617.5191596137329
EPG5	GSM4260957	1984.1334651319985
EPG5	GSM4260958	1171.9346820478877
EPG5	GSM4260959	752.9101381608397
EPG5	GSM4260960	1493.0788534862788
EPG5	GSM4260961	1268.9189571394809
EPG5	GSM4260962	2635.98634190301
EPG5	GSM4260963	2290
EPG5	GSM4260964	1469
EPG5	GSM4260965	648.0181696297865
EPG5	GSM4260966	2618.996723718996
EPG5	GSM4260967	1257.6176981851982
EPG5	GSM4260968	2981
EPG5	GSM4260969	3215.8632765389684
EPG5	GSM4260970	1212.0113152140043
EPG5	GSM4260971	813.2022196175411
EPG5	GSM4260972	1285.749922402346
EPG5	GSM4260973	1279.797449107224
EPG5	GSM4260974	1056.8745422445816
EPG5	GSM4260975	1767
EPG5	GSM4260976	2557
EPG5	GSM4260977	1116.6110076755988
EPG5	GSM4260978	2822
EPG5	GSM4260979	1924.0773172375743
EPG5	GSM4260980	1719.7022036363555
EPG5	GSM4260981	2027.3894708712496
EPG5	GSM4260982	985.9798948049556
EPG5	GSM4260983	1657.3664073107057
EPG5	GSM4260984	3186.692406311464
EPG5	GSM4260985	1859.97103408895
EPG5	GSM4260986	2578.133300090461
EPG5	GSM4260987	1570.3588008689158
EPG5	GSM4260988	3807.456836418613
EPG5	GSM4260989	2782
EPG5	GSM4260990	2525.582562393238
EPG5	GSM4260991	2571
EPG5	GSM4260992	2017.5896798888457
EPG5	GSM4260993	1766.9034702338035
EPG5	GSM4260994	1498.7301567006982
EPG5	GSM4260995	1281.5165608458196
EPG5	GSM4260996	2400.0688007197245
EPG5	GSM4260997	2058
EPG5	GSM4260998	2315.722657096325
EPG5	GSM4260999	1856
EPG5	GSM4261000	2593.0678489549396
EPG5	GSM4261001	2545
EPG5	GSM4261002	446.5030934728032
EPG5	GSM4261003	2295.499654863552
EPG5	GSM4261004	1550.969519044275
EPG5	GSM4261005	3257
EPG5	GSM4261006	2170.381504852145
EPG5	GSM4261007	911.5353580076652
EPG5	GSM4261008	3152
EPG5	GSM4261009	2314.0388038819087
EPG5	GSM4261010	2025.278459872164
EPG5	GSM4261011	1929.2169198377676
EPG5	GSM4261012	1.1800703863209208
EPG5	GSM4261013	1129.6502754802243
EPG5	GSM4261014	930.5855821044202
EPG5	GSM4261015	1738.3184594904214
EPG5	GSM4261016	3530
EPG5	GSM4261017	1615.0150242901427
EPG5	GSM4261018	1423.0228938334938
EPG5	GSM4261019	1474.4314926955522
EPG5	GSM4261020	667.4194985745406
EPG5	GSM4261021	1421.417612535664
EPG5	GSM4261022	1583.1815261487727
EPG5	GSM4261023	2419
EPG5	GSM4261024	951.2131016264854
EPG5	GSM4261025	3560.5775012121117
EPG5	GSM4261026	1337.5097551962594
EPG5	GSM4261027	1446.1280078419782
