Gene	sample	counts
EXOC4	GSM1022678	1598.8487226243294
EXOC4	GSM1022679	109.16379395493456
EXOC4	GSM1022680	1508.6957355246027
EXOC4	GSM1022681	1397.0600885485442
EXOC4	GSM1022682	186.68754851106863
EXOC4	GSM1022683	1752.3203265265588
EXOC4	GSM1022684	767.9104030941245
EXOC4	GSM1022685	1383.1347057773294
EXOC4	GSM1022686	1532.5820780497854
EXOC4	GSM1022687	863.2499161712125
EXOC4	GSM1022688	1064.1259713723016
EXOC4	GSM1022689	1302.1193026542712
EXOC4	GSM1022690	1139.2347712297703
EXOC4	GSM1022691	1131.983162900848
EXOC4	GSM1022692	1489.3015746844007
EXOC4	GSM1022693	2442.074958901547
EXOC4	GSM1022694	1240.3544914033157
EXOC4	GSM1022695	1392.7560808811445
EXOC4	GSM1385778	2154.2578348910997
EXOC4	GSM1385779	940.8082767613348
EXOC4	GSM1385780	1307.6069524743898
EXOC4	GSM1385781	1501.0413125956647
EXOC4	GSM1385782	1526.655968625092
EXOC4	GSM1385783	1310.6720953709903
EXOC4	GSM1415906	2122.209368728145
EXOC4	GSM1415907	2108.580757952993
EXOC4	GSM1415908	1951.90131732601
EXOC4	GSM1415909	1848.7842748814203
EXOC4	GSM1415910	1725.0040299398838
EXOC4	GSM1415911	1767.004484285406
EXOC4	GSM1415912	796.6270849339195
EXOC4	GSM1415913	794.5266421902766
EXOC4	GSM1415914	996.5716227620834
EXOC4	GSM1415915	929.2973829467228
EXOC4	GSM1415916	978.5136670863671
EXOC4	GSM1415917	778.5036326169286
EXOC4	GSM1415918	858.344205453138
EXOC4	GSM1415919	875.917187083819
EXOC4	GSM1415920	909.2421625591722
EXOC4	GSM1415921	941.8022343188068
EXOC4	GSM2769390	1332.6048782791922
EXOC4	GSM2769391	1376.9284536340035
EXOC4	GSM2769392	1812.4550382718448
EXOC4	GSM2769393	1673.28660437983
EXOC4	GSM2769394	2828.1965852446588
EXOC4	GSM2769395	1307.9575275369134
EXOC4	GSM2769396	2529.2162548323076
EXOC4	GSM2769397	1719.66517594597
EXOC4	GSM2769398	1674.9531207654938
EXOC4	GSM3103946	866.9952400179211
