Gene	sample	counts
EXOG	GSM1022678	338.56783949377393
EXOG	GSM1022679	56.41087777860936
EXOG	GSM1022680	239.34562855102172
EXOG	GSM1022681	347.090908314547
EXOG	GSM1022682	141.4021909947592
EXOG	GSM1022683	257.7114010240491
EXOG	GSM1022684	200.96990972190207
EXOG	GSM1022685	183.99058103838567
EXOG	GSM1022686	135.30073729573314
EXOG	GSM1022687	137.94563160570604
EXOG	GSM1022688	178.41532947172857
EXOG	GSM1022689	250.15360696324615
EXOG	GSM1022690	99.21928474146974
EXOG	GSM1022691	144.92842928691547
EXOG	GSM1022692	239.81104912208843
EXOG	GSM1022693	256.1560094999228
EXOG	GSM1022694	165.75952528444546
EXOG	GSM1022695	182.92219964957613
EXOG	GSM1385778	311
EXOG	GSM1385779	152.1044711922753
EXOG	GSM1385780	116.0853850447488
EXOG	GSM1385781	211.6495430288275
EXOG	GSM1385782	282.27871522694664
EXOG	GSM1385783	123.2504738778852
EXOG	GSM1415906	264
EXOG	GSM1415907	186.1233288359118
EXOG	GSM1415908	173.23624237593882
EXOG	GSM1415909	281.7001733732719
EXOG	GSM1415910	210.45529055022703
EXOG	GSM1415911	308.9336801626921
EXOG	GSM1415912	134.56832938542277
EXOG	GSM1415913	137.3009331851313
EXOG	GSM1415914	167.8617453578459
EXOG	GSM1415915	182.52384569019677
EXOG	GSM1415916	172.52077302854468
EXOG	GSM1415917	182.72240033845495
EXOG	GSM1415918	206.55283769082155
EXOG	GSM1415919	207.10428233257525
EXOG	GSM1415920	210.71907805147612
EXOG	GSM1415921	203.79656977014915
EXOG	GSM2769390	136.52970953321008
EXOG	GSM2769391	126.76233620797836
EXOG	GSM2769392	132.56554906524931
EXOG	GSM2769393	179.6442101164808
EXOG	GSM2769394	247.38131993267672
EXOG	GSM2769395	185.95068719167088
EXOG	GSM2769396	385.2947192290511
EXOG	GSM2769397	234.84806331456969
EXOG	GSM2769398	183.33793529784484
EXOG	GSM3103946	155.54241009423512
EXOG	GSM3103947	185.65506410451655
EXOG	GSM3103948	222.142715403234
EXOG	GSM3103949	222.88800412854255
EXOG	GSM3103950	175.67857391041196
EXOG	GSM3103951	318
EXOG	GSM3103952	156.7098917274152
EXOG	GSM3103953	160.59248834404795
EXOG	GSM3103954	160.48502865594395
EXOG	GSM3103955	199.2312733011002
EXOG	GSM3103956	89.42558966670141
EXOG	GSM3103957	159.53531657698255
EXOG	GSM3103958	126.04717885666304
EXOG	GSM3103959	159.4819972268443
EXOG	GSM3103960	155
EXOG	GSM3103961	220.4206455362681
EXOG	GSM3103962	157.18494665340063
EXOG	GSM3103963	88.34220179050492
EXOG	GSM3103964	140.48038713323754
EXOG	GSM3103965	181
EXOG	GSM4260265	200.66201161455
EXOG	GSM4260266	317.3441838837165
EXOG	GSM4260267	160.9909262742533
EXOG	GSM4260268	139.30100243152697
EXOG	GSM4260269	264.09346165760024
EXOG	GSM4260270	245.95997456483605
EXOG	GSM4260271	112.30896198859725
EXOG	GSM4260272	164.66557251357784
EXOG	GSM4260273	254.7616675081696
EXOG	GSM4260274	129.7941683412766
EXOG	GSM4260275	174.19817982002144
EXOG	GSM4260276	220.37842527392095
EXOG	GSM4735785	171.9992353496607
EXOG	GSM4735786	345.40922267906313
EXOG	GSM4735787	260.8991421457932
EXOG	GSM4735788	249.7069391007826
EXOG	GSM4735789	306.34114193839974
EXOG	GSM4735790	202.7047074737988
EXOG	GSM4735791	299.7810253148096
EXOG	GSM4735792	204.17053119488895
EXOG	GSM4735793	159.9991855881496
EXOG	GSM4735794	369.6568006344575
EXOG	GSM4735795	142.19343427328857
EXOG	GSM4735796	149.12245471331943
EXOG	GSM4735797	174.00787938950094
EXOG	GSM4735798	229.97232247761585
EXOG	GSM4735799	147.81164155655162
EXOG	GSM4735800	39.93201828922212
EXOG	GSM4735801	119.8250827594983
EXOG	GSM4735802	258.3157868262578
EXOG	GSM4735803	194.21546782856052
EXOG	GSM4735804	100.91121297130957
EXOG	GSM5282507	339
EXOG	GSM5282508	132.7973904472285
EXOG	GSM5282509	345.04281161027944
EXOG	GSM5282510	35.5560667443173
EXOG	GSM5282511	128.97450733991874
EXOG	GSM5282512	101.28028774647248
EXOG	GSM5282513	203.84577908035135
EXOG	GSM5282514	217
EXOG	GSM5282515	235.3845980882141
EXOG	GSM5282516	70.52736459926248
EXOG	GSM5282517	159.60466934927888
EXOG	GSM5282518	325
EXOG	GSM5282519	60.168073514327055
EXOG	GSM5282520	78.09649349882335
EXOG	GSM5282521	217.7431145906572
EXOG	GSM5282522	130.61945809766252
EXOG	GSM5282523	317
EXOG	GSM5282524	223.21345864172704
EXOG	GSM5282525	231
EXOG	GSM5282526	311
EXOG	GSM5282527	320.93698323597766
EXOG	GSM5282528	171.7495274097929
EXOG	GSM5282529	330
EXOG	GSM5282530	181.55784133584692
EXOG	GSM5282531	108.47140490424924
EXOG	GSM5282532	274.07010566811346
EXOG	GSM5282533	332.6969657642374
EXOG	GSM5282534	267.8093915696065
EXOG	GSM5282535	278
EXOG	GSM5282536	186.52337264659775
EXOG	GSM4260927	228
EXOG	GSM4260928	216.10083409336173
EXOG	GSM4260929	205.67954753928225
EXOG	GSM4260930	351
EXOG	GSM4260931	179.2711075990269
EXOG	GSM4260932	172
EXOG	GSM4260933	233.4590985486992
EXOG	GSM4260934	190
EXOG	GSM4260935	181.31437563450905
EXOG	GSM4260936	171.46939674434762
EXOG	GSM4260937	190
EXOG	GSM4260938	84.8473159090136
EXOG	GSM4260939	265
EXOG	GSM4260940	166.00188788067808
EXOG	GSM4260941	177
EXOG	GSM4260942	219.96351358455016
EXOG	GSM4260943	191.64122024655373
EXOG	GSM4260944	242.37465933621988
EXOG	GSM4260945	118.53696938355766
EXOG	GSM4260946	175.13727809249897
EXOG	GSM4260947	93.07885554761955
EXOG	GSM4260948	249.467427433217
EXOG	GSM4260949	160.40331162099747
EXOG	GSM4260950	212
EXOG	GSM4260951	173.40517388582896
EXOG	GSM4260952	202.5884873722982
EXOG	GSM4260953	407.3116676064382
EXOG	GSM4260954	194.1719052180053
EXOG	GSM4260955	82.46203445791099
EXOG	GSM4260956	41.8516760446918
EXOG	GSM4260957	283.7207986440082
EXOG	GSM4260958	136.74084194919416
EXOG	GSM4260959	83.34560916927684
EXOG	GSM4260960	183.9955758841677
EXOG	GSM4260961	224.53795750630377
EXOG	GSM4260962	270.8184858569054
EXOG	GSM4260963	251
EXOG	GSM4260964	153
EXOG	GSM4260965	106.80514054712673
EXOG	GSM4260966	324.08127871763554
EXOG	GSM4260967	149.94378731698757
EXOG	GSM4260968	280
EXOG	GSM4260969	229.34683597864333
EXOG	GSM4260970	228.94452081453227
EXOG	GSM4260971	84.49672345553924
EXOG	GSM4260972	194.13941549953336
EXOG	GSM4260973	134.40621149935305
EXOG	GSM4260974	194.90040337107288
EXOG	GSM4260975	119
EXOG	GSM4260976	281
EXOG	GSM4260977	94.18842047460396
EXOG	GSM4260978	305
EXOG	GSM4260979	190.16801928428043
EXOG	GSM4260980	253.40289933372833
