Gene	sample	counts
FAM122B	GSM1022678	795.2791683464101
FAM122B	GSM1022679	1.087332963645819
FAM122B	GSM1022680	531.4742497314505
FAM122B	GSM1022681	616.2760388627705
FAM122B	GSM1022682	17.181054541475095
FAM122B	GSM1022683	703.7487373696763
FAM122B	GSM1022684	616.6146519475827
FAM122B	GSM1022685	511.8795898625536
FAM122B	GSM1022686	473.08372024213384
FAM122B	GSM1022687	422.9480564615552
FAM122B	GSM1022688	514.289749944486
FAM122B	GSM1022689	680.0167355256688
FAM122B	GSM1022690	660.3905496241149
FAM122B	GSM1022691	390.5975207206858
FAM122B	GSM1022692	755.8408948022608
FAM122B	GSM1022693	1076.2481625497328
FAM122B	GSM1022694	528.5064146222738
FAM122B	GSM1022695	1044.3243023529624
FAM122B	GSM1385778	948.8677319282684
FAM122B	GSM1385779	445.9840878055685
FAM122B	GSM1385780	273.03809397214354
FAM122B	GSM1385781	594.9889113423429
FAM122B	GSM1385782	909.2876907505026
FAM122B	GSM1385783	354.042329621269
FAM122B	GSM1415906	904.367654535873
FAM122B	GSM1415907	1096.2642433262813
FAM122B	GSM1415908	767.4783776390655
FAM122B	GSM1415909	942.1020841085232
FAM122B	GSM1415910	711.99268782262
FAM122B	GSM1415911	1121.0784562038166
FAM122B	GSM1415912	389.03092299005095
FAM122B	GSM1415913	367.13855419329366
FAM122B	GSM1415914	403.76924763905583
FAM122B	GSM1415915	392.643782230928
FAM122B	GSM1415916	430.4104911522709
FAM122B	GSM1415917	391.05305804510976
FAM122B	GSM1415918	423.33306691767166
FAM122B	GSM1415919	420.0040277808186
FAM122B	GSM1415920	405.8777994283872
FAM122B	GSM1415921	413.5365651198571
FAM122B	GSM2769390	530.1950803928465
FAM122B	GSM2769391	455.1654723559216
FAM122B	GSM2769392	399.1528762770222
FAM122B	GSM2769393	813.2241309585125
FAM122B	GSM2769394	915.268585569672
FAM122B	GSM2769395	693.6943692113168
FAM122B	GSM2769396	624.1464795149024
FAM122B	GSM2769397	373.156699131681
FAM122B	GSM2769398	337.85748212131205
FAM122B	GSM3103946	344.1105623906725
FAM122B	GSM3103947	938.7099687810336
FAM122B	GSM3103948	436.1732570786655
FAM122B	GSM3103949	378.0814338158417
FAM122B	GSM3103950	403.0130152356139
FAM122B	GSM3103951	487
FAM122B	GSM3103952	413.2489487890557
FAM122B	GSM3103953	688.221124781345
FAM122B	GSM3103954	1043.1526862636356
FAM122B	GSM3103955	380.34238689607304
FAM122B	GSM3103956	696.286179588471
FAM122B	GSM3103957	241.8433461485468
FAM122B	GSM3103958	231.24863978088803
FAM122B	GSM3103959	398.60279790174695
FAM122B	GSM3103960	699
FAM122B	GSM3103961	372.5120795044187
FAM122B	GSM3103962	583.3979750789678
FAM122B	GSM3103963	245.3398887922176
FAM122B	GSM3103964	727.2112679730474
FAM122B	GSM3103965	479.7254778767256
FAM122B	GSM4260265	596.5057540891728
FAM122B	GSM4260266	734.0199421504346
FAM122B	GSM4260267	508.2732395093046
FAM122B	GSM4260268	563.3850331151679
FAM122B	GSM4260269	597.757935177374
FAM122B	GSM4260270	675.5207608599352
FAM122B	GSM4260271	452.5707517416468
FAM122B	GSM4260272	451.1888709894971
FAM122B	GSM4260273	770.9691192565214
FAM122B	GSM4260274	303.1241248243594
FAM122B	GSM4260275	403.7970511732754
FAM122B	GSM4260276	636.990476129686
FAM122B	GSM4735785	370.4870973049634
FAM122B	GSM4735786	606.5008887268389
FAM122B	GSM4735787	529.9299543288743
FAM122B	GSM4735788	902.7257541600138
FAM122B	GSM4735789	679.1526207628209
FAM122B	GSM4735790	665.8248720536191
FAM122B	GSM4735791	577.5553717406127
FAM122B	GSM4735792	378.3879099215716
FAM122B	GSM4735793	728.47347521396
FAM122B	GSM4735794	663.4148032336791
FAM122B	GSM4735795	465.87407401402294
FAM122B	GSM4735796	475.0238876721323
FAM122B	GSM4735797	546.0917585987278
FAM122B	GSM4735798	408.8319863070769
FAM122B	GSM4735799	421.3123308366363
FAM122B	GSM4735800	956.0600636315648
FAM122B	GSM4735801	851.3011883003708
FAM122B	GSM4735802	665.3404729400596
FAM122B	GSM4735803	603.7901511104147
FAM122B	GSM4735804	468.71559663343425
FAM122B	GSM5282507	714
FAM122B	GSM5282508	239.1911386705877
FAM122B	GSM5282509	742.3628845292297
FAM122B	GSM5282510	635.3244132330284
FAM122B	GSM5282511	760.0068769660533
FAM122B	GSM5282512	269.1716872081021
FAM122B	GSM5282513	430.6062647575597
FAM122B	GSM5282514	557
FAM122B	GSM5282515	215.1523612672152
FAM122B	GSM5282516	539.1225013419637
FAM122B	GSM5282517	695.0769589977174
FAM122B	GSM5282518	628
FAM122B	GSM5282519	471.0796105041292
FAM122B	GSM5282520	530.0655274216138
FAM122B	GSM5282521	1063.6197165007309
FAM122B	GSM5282522	836.3103158317776
FAM122B	GSM5282523	725
FAM122B	GSM5282524	551.8150458614942
FAM122B	GSM5282525	508
FAM122B	GSM5282526	482
