Gene	sample	counts
FAM168A	GSM1022678	2226.4625385217432
FAM168A	GSM1022679	581.4863479975722
FAM168A	GSM1022680	1500.5129789929438
FAM168A	GSM1022681	1778.820830694044
FAM168A	GSM1022682	600.4275208869506
FAM168A	GSM1022683	1762.4728197277557
FAM168A	GSM1022684	982.5502172561186
FAM168A	GSM1022685	1236.298578883374
FAM168A	GSM1022686	1061.905365981144
FAM168A	GSM1022687	1068.5283693283218
FAM168A	GSM1022688	1128.8081382596376
FAM168A	GSM1022689	1629.9469859107585
FAM168A	GSM1022690	856.3158043461685
FAM168A	GSM1022691	982.4759527063964
FAM168A	GSM1022692	1569.6668918975618
FAM168A	GSM1022693	1490.4730224370185
FAM168A	GSM1022694	1022.5107193837418
FAM168A	GSM1022695	1259.820478447555
FAM168A	GSM1385778	1792.711075990269
FAM168A	GSM1385779	902.9233797105428
FAM168A	GSM1385780	1306.56002937393
FAM168A	GSM1385781	1373.014283247344
FAM168A	GSM1385782	1364.844506512755
FAM168A	GSM1385783	1295.00669184066
FAM168A	GSM1415906	1868.826183127286
FAM168A	GSM1415907	1598.050459823973
FAM168A	GSM1415908	1592.9542698800842
FAM168A	GSM1415909	1882.0140575998776
FAM168A	GSM1415910	1482.1734392766175
FAM168A	GSM1415911	1503.8122302303882
FAM168A	GSM1415912	982.0198480003464
FAM168A	GSM1415913	932.8037468225358
FAM168A	GSM1415914	1140.0257712949024
FAM168A	GSM1415915	1190.8297490816713
FAM168A	GSM1415916	1111.4114707213175
FAM168A	GSM1415917	942.6852646353032
FAM168A	GSM1415918	1062.8160098094909
FAM168A	GSM1415919	980.8960259852504
FAM168A	GSM1415920	1076.0262278806772
FAM168A	GSM1415921	1095.4370122076848
FAM168A	GSM2769390	1243.5550239916674
FAM168A	GSM2769391	845.0276277949647
FAM168A	GSM2769392	1442.5240783509096
FAM168A	GSM2769393	1917.4792923342757
FAM168A	GSM2769394	1839.0894132416793
FAM168A	GSM2769395	1425.4449684046965
FAM168A	GSM2769396	1617.30804977555
FAM168A	GSM2769397	1539.7488680002846
FAM168A	GSM2769398	1496.7666185563987
FAM168A	GSM3103946	950.5731783704036
FAM168A	GSM3103947	1020.4472789281136
FAM168A	GSM3103948	1333.0449743850209
FAM168A	GSM3103949	1578.8836086238628
FAM168A	GSM3103950	1107.414362008847
FAM168A	GSM3103951	1493
FAM168A	GSM3103952	1184
FAM168A	GSM3103953	934.4617685675154
FAM168A	GSM3103954	933
FAM168A	GSM3103955	1180.172509947153
FAM168A	GSM3103956	920.53514142453
FAM168A	GSM3103957	947.2959624948828
FAM168A	GSM3103958	881.6329945225197
FAM168A	GSM3103959	1007
FAM168A	GSM3103960	1371
FAM168A	GSM3103961	1174.7042760867612
FAM168A	GSM3103962	871.2583933616196
FAM168A	GSM3103963	833.4701484530544
FAM168A	GSM3103964	886.1275391588508
FAM168A	GSM3103965	1154
FAM168A	GSM4260265	1446.0931945761718
FAM168A	GSM4260266	2709.7810082882515
FAM168A	GSM4260267	1351.2028170847773
FAM168A	GSM4260268	1254.0106180312418
FAM168A	GSM4260269	2517.710331314547
FAM168A	GSM4260270	1613.642388374097
FAM168A	GSM4260271	1105.3081457669716
FAM168A	GSM4260272	1675.620022188538
FAM168A	GSM4260273	1742.2040851976217
FAM168A	GSM4260274	614.1216788690932
FAM168A	GSM4260275	1475.5848080752896
FAM168A	GSM4260276	1622.836931246972
FAM168A	GSM4735785	1349.8741434208698
FAM168A	GSM4735786	1522.633872335242
FAM168A	GSM4735787	1725.2129624402894
FAM168A	GSM4735788	1481.222396456999
FAM168A	GSM4735789	1997.0428672116336
FAM168A	GSM4735790	1622.195675507608
FAM168A	GSM4735791	1680.0850439823032
FAM168A	GSM4735792	1563.1951653498518
FAM168A	GSM4735793	1635.3766040406488
FAM168A	GSM4735794	1439.078099491917
FAM168A	GSM4735795	1068.4917404750845
FAM168A	GSM4735796	1082.6541870262645
FAM168A	GSM4735797	1061.08520934308
FAM168A	GSM4735798	905.1755921122976
FAM168A	GSM4735799	1002.2577855811631
FAM168A	GSM4735800	865.8547757782488
FAM168A	GSM4735801	1020.4499269787494
FAM168A	GSM4735802	1114.300056177238
FAM168A	GSM4735803	1077.953278054962
FAM168A	GSM4735804	954.9316804757796
FAM168A	GSM5282507	1899.7415267147364
FAM168A	GSM5282508	1545.8968983594857
FAM168A	GSM5282509	1741.6591669541997
FAM168A	GSM5282510	2224.335373118135
FAM168A	GSM5282511	1005.4788250319256
FAM168A	GSM5282512	1265.9559677906436
FAM168A	GSM5282513	1434.8017006796138
FAM168A	GSM5282514	2188.5451661409793
FAM168A	GSM5282515	1404.7455050370456
FAM168A	GSM5282516	1085.7765596007634
FAM168A	GSM5282517	1210.1263273497725
FAM168A	GSM5282518	1951.899161027918
FAM168A	GSM5282519	1086.8384164205283
FAM168A	GSM5282520	1047.7289310534038
FAM168A	GSM5282521	1987.6131510456328
FAM168A	GSM5282522	1730.207994751025
FAM168A	GSM5282523	2120.2063395929604
FAM168A	GSM5282524	2361.0184124552625
FAM168A	GSM5282525	1841.1118474038844
FAM168A	GSM5282526	2354.532728427536
FAM168A	GSM5282527	1974.5365952946684
FAM168A	GSM5282528	1246.9486816375556
FAM168A	GSM5282529	1642.4402113738709
FAM168A	GSM5282530	1227.399614190521
FAM168A	GSM5282531	2141.6228481203416
FAM168A	GSM5282532	1597.8447582407791
FAM168A	GSM5282533	2116
FAM168A	GSM5282534	1868.7286834777833
FAM168A	GSM5282535	2277.752224976906
FAM168A	GSM5282536	1685.6136905731166
FAM168A	GSM4260927	1434
FAM168A	GSM4260928	1072.5355074924414
FAM168A	GSM4260929	974.1222827284475
FAM168A	GSM4260930	1096
FAM168A	GSM4260931	1441.3561636161965
FAM168A	GSM4260932	919.665538550158
FAM168A	GSM4260933	1228.6594669024332
FAM168A	GSM4260934	1101
FAM168A	GSM4260935	1105.6731804900924
FAM168A	GSM4260936	1060.765651621186
FAM168A	GSM4260937	1337
FAM168A	GSM4260938	538.8517373614408
FAM168A	GSM4260939	1226
FAM168A	GSM4260940	879.0217510244089
FAM168A	GSM4260941	752
FAM168A	GSM4260942	1468.674167640906
FAM168A	GSM4260943	1037.0294033558123
FAM168A	GSM4260944	1124.4926683451529
FAM168A	GSM4260945	1400.3435196667745
FAM168A	GSM4260946	1102.7102223369527
FAM168A	GSM4260947	1584.2643952519295
FAM168A	GSM4260948	1070.9698715268703
FAM168A	GSM4260949	2165.6821864861417
FAM168A	GSM4260950	2246
FAM168A	GSM4260951	1344.8612212331184
FAM168A	GSM4260952	754.4125834833418
FAM168A	GSM4260953	1748.535388081357
FAM168A	GSM4260954	1347.1304719528969
FAM168A	GSM4260955	708.9930013806343
FAM168A	GSM4260956	1461.6750592227372
FAM168A	GSM4260957	1260.7604005223195
FAM168A	GSM4260958	864.6781135038887
FAM168A	GSM4260959	888.6974309112468
FAM168A	GSM4260960	757.0965499496081
FAM168A	GSM4260961	1922.907969777272
FAM168A	GSM4260962	1638.4778325810505
FAM168A	GSM4260963	1586
FAM168A	GSM4260964	1010
FAM168A	GSM4260965	639.6835307921043
FAM168A	GSM4260966	1099.3083140144088
FAM168A	GSM4260967	663.3768748280561
FAM168A	GSM4260968	1389
FAM168A	GSM4260969	1286.9462193561428
FAM168A	GSM4260970	606.7612756339437
FAM168A	GSM4260971	1161.3378103688412
FAM168A	GSM4260972	1005.9755873627156
FAM168A	GSM4260973	1017.6097456402026
FAM168A	GSM4260974	673.1102992393444
FAM168A	GSM4260975	1447
FAM168A	GSM4260976	1181
FAM168A	GSM4260977	1182.5363808224977
FAM168A	GSM4260978	1451
FAM168A	GSM4260979	1397.660581346772
FAM168A	GSM4260980	1100.085560060572
FAM168A	GSM4260981	1378.5961642451953
FAM168A	GSM4260982	798.4130175633211
FAM168A	GSM4260983	856.5253393920934
FAM168A	GSM4260984	1459.3629357660736
FAM168A	GSM4260985	828.7650894526009
FAM168A	GSM4260986	1470.8189383809918
FAM168A	GSM4260987	1413.113260060947
FAM168A	GSM4260988	2833.338628801417
FAM168A	GSM4260989	953
FAM168A	GSM4260990	1601.1622588413563
FAM168A	GSM4260991	1402
FAM168A	GSM4260992	1541.909777258118
FAM168A	GSM4260993	901.191729797964
FAM168A	GSM4260994	1741.844781356346
FAM168A	GSM4260995	693.5145577079295
FAM168A	GSM4260996	1678.7499488468932
FAM168A	GSM4260997	2090
FAM168A	GSM4260998	1011.4924247337492
FAM168A	GSM4260999	1770
FAM168A	GSM4261000	1043.1297273072264
FAM168A	GSM4261001	1361
FAM168A	GSM4261002	381.3435511239013
FAM168A	GSM4261003	1357.2517609979254
FAM168A	GSM4261004	1311.0003570220197
FAM168A	GSM4261005	1723
FAM168A	GSM4261006	1748.3063762140755
FAM168A	GSM4261007	803.7988498769793
FAM168A	GSM4261008	1419
FAM168A	GSM4261009	1372.004381725105
FAM168A	GSM4261010	167.98084252460828
FAM168A	GSM4261011	1035.4611274890012
FAM168A	GSM4261012	1.1800703863209208
FAM168A	GSM4261013	575.6574006556759
FAM168A	GSM4261014	795.0035767647033
FAM168A	GSM4261015	841.8716725322796
FAM168A	GSM4261016	2449
FAM168A	GSM4261017	821.142723419566
FAM168A	GSM4261018	900.5702028117682
FAM168A	GSM4261019	695.0455830487648
FAM168A	GSM4261020	229.32404164959905
FAM168A	GSM4261021	454.1929916599072
FAM168A	GSM4261022	1003.9198009821008
FAM168A	GSM4261023	1206
FAM168A	GSM4261024	915.9060651032316
FAM168A	GSM4261025	1615.827896046605
FAM168A	GSM4261026	671.8847756212099
FAM168A	GSM4261027	1707.5951151421996
FAM168A	GSM4818000	1669.5558693881212
FAM168A	GSM4818001	1101.5901319903269
FAM168A	GSM4818002	1893.0843837239224
FAM168A	GSM4818003	1080.824237680573
FAM168A	GSM4818004	926.9982506359892
FAM168A	GSM4818005	1095.6432879407505
FAM168A	GSM4818006	784.0910087792894
FAM168A	GSM4818007	765.0773161609038
FAM168A	GSM4818008	1688.269250792419
FAM168A	GSM4818009	1223.242044750058
FAM168A	GSM4818010	1154.2436904368417
FAM168A	GSM4818011	806.5513267514369
FAM168A	GSM4818012	1596.2093822582158
FAM168A	GSM4818013	1047.4100674755027
FAM168A	GSM4818014	621.4677762328263
FAM168A	GSM4818015	456.9824454960467
FAM168A	GSM4818016	1492.004719264417
FAM168A	GSM4818017	1743.221133700364
FAM168A	GSM4818018	1796.5318137896404
FAM168A	GSM4818019	2489.413197243944
FAM168A	GSM4818020	1928.725431908793
FAM168A	GSM4818021	1730.409766889904
FAM168A	GSM4818022	1010.754840538426
FAM168A	GSM4818023	937.2072633551034
FAM168A	GSM3056394	1242.8894691709086
FAM168A	GSM3056395	817.6609128987335
FAM168A	GSM3056396	683.9416858938216
FAM168A	GSM3056397	1136.2745974047814
FAM168A	GSM3056398	1492.2700972102298
FAM168A	GSM3056399	686.3022220031157
FAM168A	GSM3056400	1119.7881950377364
FAM168A	GSM3056401	1292.646711859042
FAM168A	GSM3056402	1086.084416889922
FAM168A	GSM3056403	1092.245509649639
FAM168A	GSM3056404	1452.1737893675056
FAM168A	GSM3056405	725.367133340284
FAM168A	GSM3056406	1352.2830735368557
FAM168A	GSM3056407	1411.9795802159438
FAM168A	GSM3056408	1152.3745060718857
FAM168A	GSM3056409	1065.0177004261582
FAM168A	GSM3056410	710.0278825736933
FAM168A	GSM3056411	557.2976305699424
FAM168A	GSM3056412	679.7652046149688
FAM168A	GSM3056413	1021.0306249215482
FAM168A	GSM3056414	1579.888505845351
FAM168A	GSM3056415	1016.2955123486864
FAM168A	GSM3056416	643.4006111546107
FAM168A	GSM3056417	1261.7580385020697
FAM168A	GSM3056418	1965.3702351422296
FAM168A	GSM3056419	1101.0753877110133
FAM168A	GSM3056420	1465.0843468600467
FAM168A	GSM3056421	983.0154704188836
FAM168A	GSM3056422	1263.7826945660474
FAM168A	GSM3056423	858.8166466974283
FAM168A	GSM3056424	963.7231318100592
FAM168A	GSM3056425	785.2830185503329
FAM168A	GSM3056426	1682.4929433801751
FAM168A	GSM3056427	874.5792180441713
FAM168A	GSM3056428	1401.2129623246324
FAM168A	GSM3056429	857.5091409321101
FAM168A	GSM3056430	1188.1079877620991
FAM168A	GSM3056431	776.57700485064
FAM168A	GSM3056432	1295.3712090572692
FAM168A	GSM3056433	972.395822742022
FAM168A	GSM3056434	1429.781554326226
FAM168A	GSM3056435	1053.6949329555555
FAM168A	GSM3056436	1221.591594086503
FAM168A	GSM3056437	844.5730247121812
FAM168A	GSM3056438	1092.004260422293
FAM168A	GSM3056439	965.2781736804948
FAM168A	GSM3056440	739.479338254307
FAM168A	GSM3056441	529.6040194820455
FAM168A	GSM3056442	1755.7526164342787
FAM168A	GSM3056443	1304.4602202315928
FAM168A	GSM3056444	1250.429178577769
FAM168A	GSM3056445	1000.8091860154046
FAM168A	GSM3056446	1887.5354340650272
FAM168A	GSM3056447	1882.8414476922412
FAM168A	GSM3056448	1756.9804734430963
FAM168A	GSM3056449	1122.6092325490108
FAM168A	GSM3056450	1970.0229498119047
FAM168A	GSM3056451	522.4240207184956
FAM168A	GSM3056452	1095.010249873186
FAM168A	GSM3056453	1420.259866472961
FAM168A	GSM3056454	1163.6320383736766
FAM168A	GSM3056455	1432.2683803638088
FAM168A	GSM3056456	1542.143581646846
FAM168A	GSM3056457	891.700079884745
FAM168A	GSM3056458	789.7476110315628
