Gene	sample	counts
FBXL12	GSM1022678	265.82334330170403
FBXL12	GSM1022679	40.137207912140624
FBXL12	GSM1022680	254.6813891274533
FBXL12	GSM1022681	233.44167284872188
FBXL12	GSM1022682	88.88137719670578
FBXL12	GSM1022683	302.3543208864828
FBXL12	GSM1022684	159.10117852983913
FBXL12	GSM1022685	219.96639297326556
FBXL12	GSM1022686	191.92395982511644
FBXL12	GSM1022687	134.653975943123
FBXL12	GSM1022688	144.83126745352084
FBXL12	GSM1022689	306.3105391386688
FBXL12	GSM1022690	98.13404445605585
FBXL12	GSM1022691	178.20829082687382
FBXL12	GSM1022692	285.5377322174019
FBXL12	GSM1022693	304.56344436604996
FBXL12	GSM1022694	233.5165193816308
FBXL12	GSM1022695	308.54635477805726
FBXL12	GSM1385778	372
FBXL12	GSM1385779	117.56853449124036
FBXL12	GSM1385780	153.34756794293136
FBXL12	GSM1385781	249.94803176737727
FBXL12	GSM1385782	258.1695011150366
FBXL12	GSM1385783	150.84742362910774
FBXL12	GSM1415906	392
FBXL12	GSM1415907	325.9673434747861
FBXL12	GSM1415908	247.1908955539712
FBXL12	GSM1415909	293.77303794641216
FBXL12	GSM1415910	267.85218797301627
FBXL12	GSM1415911	346.0458430393791
FBXL12	GSM1415912	144.9133159177993
FBXL12	GSM1415913	148.91561974430286
FBXL12	GSM1415914	157.91713298364832
FBXL12	GSM1415915	147.95939180357175
FBXL12	GSM1415916	158.42413554472802
FBXL12	GSM1415917	153.92977967906205
FBXL12	GSM1415918	138.4401195168205
FBXL12	GSM1415919	142.52966403576406
FBXL12	GSM1415920	146.31136418266763
FBXL12	GSM1415921	162.3963868882458
FBXL12	GSM2769390	163.41006878422664
FBXL12	GSM2769391	95.07009813576488
FBXL12	GSM2769392	174.31847790469791
FBXL12	GSM2769393	206.4824619087781
FBXL12	GSM2769394	168.97958203450406
FBXL12	GSM2769395	124.66719669545311
FBXL12	GSM2769396	401.5742672722472
FBXL12	GSM2769397	308.92813810626404
FBXL12	GSM2769398	303.7846244323178
FBXL12	GSM3103946	182.8128326432244
FBXL12	GSM3103947	203.85168905798628
FBXL12	GSM3103948	204.9120136203184
FBXL12	GSM3103949	242.38011095347215
FBXL12	GSM3103950	214.2505824426349
FBXL12	GSM3103951	154
FBXL12	GSM3103952	213.90690089684117
FBXL12	GSM3103953	193.92300479281263
FBXL12	GSM3103954	179.54262580883727
FBXL12	GSM3103955	232.59957509376576
FBXL12	GSM3103956	153.15417080848863
FBXL12	GSM3103957	131.0831582065653
FBXL12	GSM3103958	86.07570564743865
FBXL12	GSM3103959	164.49715437234255
FBXL12	GSM3103960	205
FBXL12	GSM3103961	228.56940104863176
FBXL12	GSM3103962	148.11658434647367
FBXL12	GSM3103963	107.85966497677926
FBXL12	GSM3103964	131.3845347289272
FBXL12	GSM3103965	216
FBXL12	GSM4260265	260.7587562097705
FBXL12	GSM4260266	403.2494565910919
FBXL12	GSM4260267	162.02988872754042
FBXL12	GSM4260268	165.4854013848215
FBXL12	GSM4260269	439.81718806823426
FBXL12	GSM4260270	254.0574222871352
FBXL12	GSM4260271	102.4927775520615
FBXL12	GSM4260272	156.10614898717623
FBXL12	GSM4260273	241.67114704332295
FBXL12	GSM4260274	102.18367357303704
FBXL12	GSM4260275	181.6302173413001
FBXL12	GSM4260276	251.7166417119556
FBXL12	GSM4735785	268.9068949070135
FBXL12	GSM4735786	209.3462727751958
FBXL12	GSM4735787	332.67235609215766
FBXL12	GSM4735788	167.53821141055738
FBXL12	GSM4735789	349.01300132793966
FBXL12	GSM4735790	172.25656584722617
FBXL12	GSM4735791	281.8139478791236
FBXL12	GSM4735792	280.0414216228036
FBXL12	GSM4735793	220.13310768839372
FBXL12	GSM4735794	406.41244842481547
FBXL12	GSM4735795	207.55803641855255
FBXL12	GSM4735796	200.2801157392094
FBXL12	GSM4735797	197.61609096709157
FBXL12	GSM4735798	95.55632887986307
FBXL12	GSM4735799	159.6655774787055
FBXL12	GSM4735800	106.50327711433587
FBXL12	GSM4735801	195.11001705290076
FBXL12	GSM4735802	216.97338219854583
FBXL12	GSM4735803	255.1660667747577
FBXL12	GSM4735804	118.97327596940234
FBXL12	GSM5282507	348
FBXL12	GSM5282508	181.227535770886
FBXL12	GSM5282509	237.71844869661695
FBXL12	GSM5282510	112.0631894067468
FBXL12	GSM5282511	145.7891665434644
FBXL12	GSM5282512	165.35557183097546
FBXL12	GSM5282513	221.21369048455773
FBXL12	GSM5282514	365
FBXL12	GSM5282515	168.57237592343716
FBXL12	GSM5282516	101.07592466885109
FBXL12	GSM5282517	166.93955777664567
FBXL12	GSM5282518	210
FBXL12	GSM5282519	15.31944879036485
FBXL12	GSM5282520	161.42373484995514
FBXL12	GSM5282521	276.32618932146306
FBXL12	GSM5282522	92.56735646961005
FBXL12	GSM5282523	321
FBXL12	GSM5282524	338.35524273745955
FBXL12	GSM5282525	243
FBXL12	GSM5282526	288
FBXL12	GSM5282527	298.80339818522054
FBXL12	GSM5282528	204.51631143629135
FBXL12	GSM5282529	300
FBXL12	GSM5282530	123.43592519348582
FBXL12	GSM5282531	230.3726027966436
FBXL12	GSM5282532	205.80355920133064
FBXL12	GSM5282533	233.39890378697757
FBXL12	GSM5282534	275.8336430024036
FBXL12	GSM5282535	384
FBXL12	GSM5282536	229.15828452762509
FBXL12	GSM4260927	233
FBXL12	GSM4260928	207.65506209446457
FBXL12	GSM4260929	119.9283278808582
FBXL12	GSM4260930	218
FBXL12	GSM4260931	226.34229227586636
FBXL12	GSM4260932	145
FBXL12	GSM4260933	255.71628889543132
FBXL12	GSM4260934	189
FBXL12	GSM4260935	118.87955285187194
FBXL12	GSM4260936	214.0830929766707
FBXL12	GSM4260937	137
FBXL12	GSM4260938	118.37045374805788
FBXL12	GSM4260939	159
FBXL12	GSM4260940	183.10511269262676
