Gene	sample	counts
FOXN3-AS2	GSM1022678	2.0275430376979307
FOXN3-AS2	GSM1022679	3.364657298237628
FOXN3-AS2	GSM1022680	1.0277326924293382
FOXN3-AS2	GSM1022681	2.0599842421180337
FOXN3-AS2	GSM1022682	13.16070035640125
FOXN3-AS2	GSM1022683	1.0177323697119474
FOXN3-AS2	GSM1022684	2.1245284762619217
FOXN3-AS2	GSM1022685	1.0377328679372595
FOXN3-AS2	GSM1022686	1.064467926310489
FOXN3-AS2	GSM1022687	2.2626954455639794
FOXN3-AS2	GSM1022688	2.130850854818884
FOXN3-AS2	GSM1022689	1.0268090659069042
FOXN3-AS2	GSM1022690	1.1264867493652244
FOXN3-AS2	GSM1022691	1.1019042413337483
FOXN3-AS2	GSM1022692	2.0382996055975786
FOXN3-AS2	GSM1022693	1.0106385913341225
FOXN3-AS2	GSM1022694	1.056234487088057
FOXN3-AS2	GSM1022695	1.0268090659069042
FOXN3-AS2	GSM1385778	1
FOXN3-AS2	GSM1385779	1.1010498670455962
FOXN3-AS2	GSM1385780	1.0838243203305329
FOXN3-AS2	GSM1385781	1.0084216173196312
FOXN3-AS2	GSM1385782	1.0053052229716717
FOXN3-AS2	GSM1385783	1.080481580454705
FOXN3-AS2	GSM1415906	2
FOXN3-AS2	GSM1415907	1.0084216173196312
FOXN3-AS2	GSM1415908	1.0169141582775405
FOXN3-AS2	GSM1415909	1.0053052229716717
FOXN3-AS2	GSM1415910	1.0066333406488122
FOXN3-AS2	GSM1415911	1.0053052229716717
FOXN3-AS2	GSM1415912	1.2144782022585594
FOXN3-AS2	GSM1415913	1.2376800740232663
FOXN3-AS2	GSM1415914	1.1433447914197967
FOXN3-AS2	GSM1415915	2.214198978630432
FOXN3-AS2	GSM1415916	1.1147893847364354
FOXN3-AS2	GSM1415917	1.1525442655723448
FOXN3-AS2	GSM1415918	1.1641216035965718
FOXN3-AS2	GSM1415919	1.1635086650764048
FOXN3-AS2	GSM1415920	1.1301370871413436
FOXN3-AS2	GSM1415921	1.0828569753747104
FOXN3-AS2	GSM2769390	1.0945648030738035
FOXN3-AS2	GSM2769391	1.0688566777393549
FOXN3-AS2	GSM2769392	1.052182047516338
FOXN3-AS2	GSM2769393	1.0383166180633372
FOXN3-AS2	GSM2769394	1.0194079414219277
FOXN3-AS2	GSM2769395	1.069818126570515
FOXN3-AS2	GSM2769396	1.0213903622938192
FOXN3-AS2	GSM2769397	1.0576052477160802
FOXN3-AS2	GSM2769398	1.063216079371224
FOXN3-AS2	GSM3103946	66.70214702805207
FOXN3-AS2	GSM3103947	81.73935319359406
FOXN3-AS2	GSM3103948	67.94858451200926
FOXN3-AS2	GSM3103949	45.19106552979466
FOXN3-AS2	GSM3103950	62.422502312262814
FOXN3-AS2	GSM3103951	99
FOXN3-AS2	GSM3103952	63.33422904721531
FOXN3-AS2	GSM3103953	61.72483220259746
FOXN3-AS2	GSM3103954	68.36075516207367
FOXN3-AS2	GSM3103955	52.37067854096144
FOXN3-AS2	GSM3103956	41.29026067803497
FOXN3-AS2	GSM3103957	32.567435830782316
FOXN3-AS2	GSM3103958	35.97064423502684
FOXN3-AS2	GSM3103959	52
FOXN3-AS2	GSM3103960	58
FOXN3-AS2	GSM3103961	86.67915231309429
FOXN3-AS2	GSM3103962	63.53056189113676
FOXN3-AS2	GSM3103963	44.38703022888759
FOXN3-AS2	GSM3103964	64.79114021612922
FOXN3-AS2	GSM3103965	55
FOXN3-AS2	GSM4260265	1.0213903622938192
FOXN3-AS2	GSM4260266	1.0106385913341225
FOXN3-AS2	GSM4260267	1.061737358926767
FOXN3-AS2	GSM4260268	1.055962388401363
FOXN3-AS2	GSM4260269	2.0382996055975786
FOXN3-AS2	GSM4260270	2.0299302980067395
FOXN3-AS2	GSM4260271	1.1139413335812782
FOXN3-AS2	GSM4260272	1.084460786892387
FOXN3-AS2	GSM4260273	2.0106104459433434
FOXN3-AS2	GSM4260274	6.043703089738913
FOXN3-AS2	GSM4260275	1.074527200739522
FOXN3-AS2	GSM4260276	1.012361565877019
FOXN3-AS2	GSM4735786	1.0354564589203
FOXN3-AS2	GSM4735787	4.1142384339232825
FOXN3-AS2	GSM4735788	1.0418861325748268
FOXN3-AS2	GSM4735790	1.0409497863123298
FOXN3-AS2	GSM4735793	1.0628816047551497
FOXN3-AS2	GSM4735798	1.1094482823563114
FOXN3-AS2	GSM4735800	1.1037828089768285
FOXN3-AS2	GSM4735803	1.023131666858757
FOXN3-AS2	GSM4735804	1.044176676968467
FOXN3-AS2	GSM4735785	1.0811994844209347
FOXN3-AS2	GSM4735789	1.0363878638718522
FOXN3-AS2	GSM4735791	1.056822491572205
FOXN3-AS2	GSM4735792	1.079498376442762
FOXN3-AS2	GSM4735794	1.0497162670616038
FOXN3-AS2	GSM4735795	1.0386663205448112
FOXN3-AS2	GSM4735796	1.1006471753156897
FOXN3-AS2	GSM4735797	1.0882962908423894
FOXN3-AS2	GSM4735799	1.0952338007992255
FOXN3-AS2	GSM4735801	1.0665119943875787
FOXN3-AS2	GSM4735802	1.0312048495995574
FOXN3-AS2	GSM5282507	153
FOXN3-AS2	GSM5282509	118
FOXN3-AS2	GSM5282510	71.35916597178169
FOXN3-AS2	GSM5282511	94.29660134043009
FOXN3-AS2	GSM5282512	95.0530240036516
FOXN3-AS2	GSM5282515	103.88452045656288
FOXN3-AS2	GSM5282516	124.24061228256724
FOXN3-AS2	GSM5282519	60.550267613706865
FOXN3-AS2	GSM5282521	136.65905710490193
FOXN3-AS2	GSM5282523	201
FOXN3-AS2	GSM5282524	98.03194335940988
FOXN3-AS2	GSM5282526	159
FOXN3-AS2	GSM5282528	118.5878572971093
FOXN3-AS2	GSM5282529	349
FOXN3-AS2	GSM5282513	124.33627594145229
FOXN3-AS2	GSM5282533	291.13465832620057
FOXN3-AS2	GSM5282534	241
FOXN3-AS2	GSM5282536	127.73521137496964
FOXN3-AS2	GSM5282525	258
