Gene	sample	counts
FTH1	GSM1022678	1.010650267145594
FTH1	GSM1022679	1.080829643118164
FTH1	GSM1022680	1942.3818317025225
FTH1	GSM1022681	1.023487244357908
FTH1	GSM1022682	1.0091218838436145
FTH1	GSM1022683	715.7507706843708
FTH1	GSM1022684	4085.450054996014
FTH1	GSM1022685	86.25338922442144
FTH1	GSM1022686	1984.3897905254744
FTH1	GSM1022687	1964.190672840131
FTH1	GSM1022688	1389.6233273214762
FTH1	GSM1022689	1.0212700412974676
FTH1	GSM1022690	7391.527970680358
FTH1	GSM1022691	1.067908644246083
FTH1	GSM1022692	2705.9714403418757
FTH1	GSM1022693	8345.43797938669
FTH1	GSM1022694	1000.6221107119186
FTH1	GSM1022695	5253.0014592411435
FTH1	GSM1385778	5095.70611990977
FTH1	GSM1385779	1967.9099301383624
FTH1	GSM1385780	2702.1085222869497
FTH1	GSM1385781	3259.144770733233
FTH1	GSM1385782	3343.7685369425153
FTH1	GSM1385783	2342.5000079020965
FTH1	GSM1415906	7502.345625834137
FTH1	GSM1415907	7106.138686186376
FTH1	GSM1415908	1585.8564469079895
FTH1	GSM1415909	2493.2406669969487
FTH1	GSM1415910	2444.427439622756
FTH1	GSM1415911	4533.536803627082
FTH1	GSM1415912	325.8418259955383
FTH1	GSM1415913	347.95959936150484
FTH1	GSM1415914	412.97406395811527
FTH1	GSM1415915	364.4303462536168
FTH1	GSM1415916	536.949996944436
FTH1	GSM1415917	304.44276135857547
FTH1	GSM1415918	310.53471891553016
FTH1	GSM1415919	302.90769141350546
FTH1	GSM1415920	425.0303600128675
FTH1	GSM1415921	379.87777272523937
FTH1	GSM2769390	3168.079521946758
FTH1	GSM2769391	2800.51487444687
FTH1	GSM2769392	3771.642468467636
FTH1	GSM2769393	4123.456275078867
FTH1	GSM2769394	10694.340480865889
FTH1	GSM2769395	2535.8572413851603
FTH1	GSM2769396	6794.329518842164
FTH1	GSM2769397	5498.95366785156
FTH1	GSM2769398	5383.328678505367
FTH1	GSM3103946	2408.6557655317856
FTH1	GSM3103947	1694.7674491864104
FTH1	GSM3103948	0.6896249220822664
FTH1	GSM3103949	0.8376040364052322
FTH1	GSM3103950	0.6438455593074692
FTH1	GSM3103951	1
FTH1	GSM3103952	21
FTH1	GSM3103953	80.55704901444098
FTH1	GSM3103954	7122
FTH1	GSM3103955	390.2352951786041
FTH1	GSM3103956	3250.511866052396
FTH1	GSM3103957	1.0142355058831722
FTH1	GSM3103958	1176.1901452936274
FTH1	GSM3103959	7043
FTH1	GSM3103960	3311
FTH1	GSM3103961	1943.1133416390896
FTH1	GSM3103962	666.0196956182358
FTH1	GSM3103963	2304.0591956622475
FTH1	GSM3103964	3536.454451733959
FTH1	GSM3103965	5067
FTH1	GSM4260265	8112.079921880811
FTH1	GSM4260266	6820.260238742031
FTH1	GSM4260267	5340.468277049358
FTH1	GSM4260268	6724.073504472409
FTH1	GSM4260269	6477.475075971451
FTH1	GSM4260270	10023.182105872796
FTH1	GSM4260271	3337.9885732905595
FTH1	GSM4260272	2724.193252594381
FTH1	GSM4260273	10186.757803467235
FTH1	GSM4260274	5772.503185217128
FTH1	GSM4260275	5405.939516880515
FTH1	GSM4260276	11059.219540917456
FTH1	GSM4735785	2735.271290615973
FTH1	GSM4735786	3327.31407372233
FTH1	GSM4735787	2862.238072139832
FTH1	GSM4735788	2680.0083190132987
FTH1	GSM4735789	3730.7966018518537
FTH1	GSM4735790	2889.34082126676
FTH1	GSM4735791	2727.109830012654
FTH1	GSM4735792	3786.4297627266874
FTH1	GSM4735793	1328.0789196663006
FTH1	GSM4735794	3102.7825398235645
FTH1	GSM4735795	838.5631380943702
FTH1	GSM4735796	1118.6336313081038
FTH1	GSM4735797	1.076151327934158
FTH1	GSM4735798	1033.0688548224398
FTH1	GSM4735799	1.0835219303580144
FTH1	GSM4735800	11427.742764941131
FTH1	GSM4735801	5437.433917478008
FTH1	GSM4735802	1.0375233297739646
FTH1	GSM4735803	108.41484118368868
FTH1	GSM4735804	1.058682572589556
FTH1	GSM5282507	8644.124855980781
FTH1	GSM5282508	8310.088673425511
FTH1	GSM5282509	9143.962748566142
FTH1	GSM5282510	8441.336980458715
FTH1	GSM5282511	8227.206861378032
FTH1	GSM5282512	8566.165704509063
FTH1	GSM5282513	8924.83239169196
FTH1	GSM5282514	8941.913667347571
FTH1	GSM5282515	9452.340016400878
FTH1	GSM5282516	8416.576242690218
FTH1	GSM5282517	8459.574699604014
FTH1	GSM5282518	8908.925153263088
FTH1	GSM5282519	8384.483550366524
FTH1	GSM5282520	8368.543179057771
FTH1	GSM5282521	8771.890257445342
FTH1	GSM5282522	8478.223690591458
