Gene	sample	counts
GAPDHP39	GSM1022678	3.0300469498876974
GAPDHP39	GSM1022679	5.261322289277982
GAPDHP39	GSM1022680	1.0184777571167023
GAPDHP39	GSM1022681	2.0397386029780273
GAPDHP39	GSM1022682	8.012116540738631
GAPDHP39	GSM1022683	1.013077440794964
GAPDHP39	GSM1022684	1.0272349045407547
GAPDHP39	GSM1022685	1.0198693014890137
GAPDHP39	GSM1022686	1.0316440871965518
GAPDHP39	GSM1022687	1.0546852014232175
GAPDHP39	GSM1022688	2.05940381557825
GAPDHP39	GSM1022689	1.016786983838062
GAPDHP39	GSM1022690	1.0522644578555964
GAPDHP39	GSM1022691	1.0427525898533263
GAPDHP39	GSM1022692	1.013974710299226
GAPDHP39	GSM1022693	1.0069631126805123
GAPDHP39	GSM1022694	1.0276160368461
GAPDHP39	GSM1022695	1.017048502742336
GAPDHP39	GSM1385778	3.009094287298949
GAPDHP39	GSM1385779	2.0908083236176824
GAPDHP39	GSM1385780	1.0418298547102676
GAPDHP39	GSM1385781	2.0243619305747824
GAPDHP39	GSM1385782	3.02278743564232
GAPDHP39	GSM1385783	2.0813370163748135
GAPDHP39	GSM1415906	2
GAPDHP39	GSM1415907	1.0054403053779657
GAPDHP39	GSM1415908	1.011545386933744
GAPDHP39	GSM1415909	1.0054403053779657
GAPDHP39	GSM1415910	2.0121440955233707
GAPDHP39	GSM1415911	1.0030314290996496
GAPDHP39	GSM1415912	1.0828383463137914
GAPDHP39	GSM1415913	1.0894569621541417
GAPDHP39	GSM1415914	1.057473757359071
GAPDHP39	GSM1415915	1.0462657064923926
GAPDHP39	GSM1415916	1.0469874970732027
GAPDHP39	GSM1415917	1.0575680152450906
GAPDHP39	GSM1415918	1.0648004524325103
GAPDHP39	GSM1415919	1.062344042170012
GAPDHP39	GSM1415920	3.1483551396972804
GAPDHP39	GSM1415921	1.033334151869466
GAPDHP39	GSM2769390	1.0456446792577374
GAPDHP39	GSM2769391	1.034121679520397
GAPDHP39	GSM2769392	1.0321468400650773
GAPDHP39	GSM2769393	1.029701907789125
GAPDHP39	GSM2769394	1.0152144113121964
GAPDHP39	GSM2769395	1.0383783796594372
GAPDHP39	GSM2769396	1.0214825905550386
GAPDHP39	GSM2769397	1.0456446792577374
GAPDHP39	GSM2769398	1.047526139363344
GAPDHP39	GSM3103946	58
GAPDHP39	GSM3103947	52.66888507317109
GAPDHP39	GSM3103948	38.40544322877252
GAPDHP39	GSM3103949	35.4837400667021
GAPDHP39	GSM3103950	40.943473641014855
GAPDHP39	GSM3103951	74.04710301920547
GAPDHP39	GSM3103952	49
GAPDHP39	GSM3103953	60
GAPDHP39	GSM3103954	54.93411610438576
GAPDHP39	GSM3103955	45.89377822358493
GAPDHP39	GSM3103956	39.49429509322429
GAPDHP39	GSM3103957	37.20129129898472
GAPDHP39	GSM3103958	30.30046949887697
GAPDHP39	GSM3103959	52.20481771115489
GAPDHP39	GSM3103960	53
GAPDHP39	GSM3103961	58.02042473323858
GAPDHP39	GSM3103962	53
GAPDHP39	GSM3103963	35.404088542681045
GAPDHP39	GSM3103964	51
GAPDHP39	GSM3103965	62
GAPDHP39	GSM4260265	2.0526518020953466
GAPDHP39	GSM4260266	1.0176875388363185
GAPDHP39	GSM4260267	1.0379082793670698
GAPDHP39	GSM4260268	1.038948316513042
GAPDHP39	GSM4260269	1.0230798935918088
GAPDHP39	GSM4260270	1.0216766714505208
GAPDHP39	GSM4260271	1.0501613654387998
GAPDHP39	GSM4260272	1.0479148002729763
GAPDHP39	GSM4260273	1.016786983838062
GAPDHP39	GSM4260274	1.726708817121459
GAPDHP39	GSM4260275	1.0465449856483902
GAPDHP39	GSM4260276	1.0223186155344817
GAPDHP39	GSM4735785	1.0563241502356806
GAPDHP39	GSM4735786	1.0328233761163617
