Gene	sample	counts
GBGT1	GSM1022678	249.47386554075376
GBGT1	GSM1022679	165.20551988332863
GBGT1	GSM1022680	184.3444740381231
GBGT1	GSM1022681	212.1328147097149
GBGT1	GSM1022682	268.40590411474415
GBGT1	GSM1022683	168.170855171964
GBGT1	GSM1022684	179.7661082946321
GBGT1	GSM1022685	184.59634356951148
GBGT1	GSM1022686	177.44278299780692
GBGT1	GSM1022687	168.7496322277148
GBGT1	GSM1022688	164.75230524626
GBGT1	GSM1022689	138.28302980197645
GBGT1	GSM1022690	143.1079662683611
GBGT1	GSM1022691	129.30132114181245
GBGT1	GSM1022692	189.61327082595528
GBGT1	GSM1022693	212.4692167755881
GBGT1	GSM1022694	155.1700215637611
GBGT1	GSM1022695	202.39265204572487
GBGT1	GSM1385778	182.55172009613625
GBGT1	GSM1385779	186.08194080197373
GBGT1	GSM1385780	187.52937384784815
GBGT1	GSM1385781	185.22911664759255
GBGT1	GSM1385782	184.39003357418153
GBGT1	GSM1385783	186.2796629655458
GBGT1	GSM1415906	217
GBGT1	GSM1415907	181.98469527341177
GBGT1	GSM1415908	170.95117039180275
GBGT1	GSM1415909	206.11526260248291
GBGT1	GSM1415910	231.39657098518765
GBGT1	GSM1415911	213.64569439822537
GBGT1	GSM1415912	153.76304517655836
GBGT1	GSM1415913	169.95528609604608
GBGT1	GSM1415914	174.48316996424668
GBGT1	GSM1415915	184.14276434266108
GBGT1	GSM1415916	184.2697994848837
GBGT1	GSM1415917	186.13197068313596
GBGT1	GSM1415918	171.4328728416342
GBGT1	GSM1415919	156.16457419899174
GBGT1	GSM1415920	178.40679124951254
GBGT1	GSM1415921	167.4001326028535
GBGT1	GSM2769390	193.4442656626814
GBGT1	GSM2769391	187.17602399319185
GBGT1	GSM2769392	190.9471654120393
GBGT1	GSM2769393	190.49485294098812
GBGT1	GSM2769394	183.7538084475075
GBGT1	GSM2769395	187.94648671835816
GBGT1	GSM2769396	182.84538370935192
GBGT1	GSM2769397	200.7637784174856
GBGT1	GSM2769398	197.982440339672
GBGT1	GSM3103946	149
GBGT1	GSM3103947	163.5927490909102
GBGT1	GSM3103948	178.58531101379222
GBGT1	GSM3103949	182.8183999088782
GBGT1	GSM3103950	169.79499362891454
GBGT1	GSM3103951	181.32047021369544
GBGT1	GSM3103952	197
GBGT1	GSM3103953	133
GBGT1	GSM3103954	161.80594198019077
GBGT1	GSM3103955	167.76725595066048
GBGT1	GSM3103956	146.83776380814157
GBGT1	GSM3103957	133.7235606152694
GBGT1	GSM3103958	135.3420970949838
GBGT1	GSM3103959	143.8094978458229
GBGT1	GSM3103960	138
GBGT1	GSM3103961	134.6073853811135
GBGT1	GSM3103962	120
GBGT1	GSM3103963	124.42008259285052
GBGT1	GSM3103964	151
GBGT1	GSM3103965	140
GBGT1	GSM4260265	253.50249755877533
GBGT1	GSM4260266	296.14707380136866
GBGT1	GSM4260267	184.7476737273384
GBGT1	GSM4260268	171.42647222465197
GBGT1	GSM4260269	201.54673903758632
GBGT1	GSM4260270	178.7934175038411
GBGT1	GSM4260271	164.87533437389155
GBGT1	GSM4260272	143.56432763739775
GBGT1	GSM4260273	243.01208913729684
GBGT1	GSM4260274	93.242276124558785
GBGT1	GSM4260275	131.86466819169715
GBGT1	GSM4260276	220.82082095544803
GBGT1	GSM4735785	329.57313487353235
GBGT1	GSM4735786	292.28901544093037
