Gene	sample	counts
GNL2	GSM1022678	957.1661829152612
GNL2	GSM1022679	1.0847894030308278
GNL2	GSM1022680	617.7813615782401
GNL2	GSM1022681	1336.1464169630792
GNL2	GSM1022682	76.761189397155
GNL2	GSM1022683	774.1488148872025
GNL2	GSM1022684	763.0576259753469
GNL2	GSM1022685	728.7671617665667
GNL2	GSM1022686	927.108090084169
GNL2	GSM1022687	474.0257852306687
GNL2	GSM1022688	587.7210853186353
GNL2	GSM1022689	1141.5172758567724
GNL2	GSM1022690	535.3757314213714
GNL2	GSM1022691	661.3030551165921
GNL2	GSM1022692	949.082711356062
GNL2	GSM1022693	1448.1890930783038
GNL2	GSM1022694	763.0986258364007
GNL2	GSM1022695	885.7936741476015
GNL2	GSM1385778	1426
GNL2	GSM1385779	655.7951281713224
GNL2	GSM1385780	382.304006191058
GNL2	GSM1385781	1037.0827608412549
GNL2	GSM1385782	1143.178569139734
GNL2	GSM1385783	389.86622867522914
GNL2	GSM1415906	1240
GNL2	GSM1415907	1404.4765786753128
GNL2	GSM1415908	990.7897370974748
GNL2	GSM1415909	1242.4989789856816
GNL2	GSM1415910	1013.0048913565954
GNL2	GSM1415911	1266.8286949528574
GNL2	GSM1415912	430.13952502584874
GNL2	GSM1415913	461.8711018631893
GNL2	GSM1415914	515.7153923312151
GNL2	GSM1415915	658.7972919721078
GNL2	GSM1415916	473.1022129965851
GNL2	GSM1415917	516.0523548952727
GNL2	GSM1415918	409.73809566671866
GNL2	GSM1415919	523.3511101313211
GNL2	GSM1415920	563.4079396884813
GNL2	GSM1415921	620.927361631528
GNL2	GSM2769390	689.1174611229558
GNL2	GSM2769391	722.5327458318131
GNL2	GSM2769392	1373.671358817859
GNL2	GSM2769393	1072.6763896161024
GNL2	GSM2769394	968.0697741856226
GNL2	GSM2769395	933.947473548988
GNL2	GSM2769396	593.7199293341579
GNL2	GSM2769397	287.0109391189953
GNL2	GSM2769398	243.02769954585423
GNL2	GSM3103946	298.9646323889195
GNL2	GSM3103947	780.6696971099565
GNL2	GSM3103948	429.1688676873102
GNL2	GSM3103949	1111.8975719264176
GNL2	GSM3103950	564.9029332105498
GNL2	GSM3103951	648
GNL2	GSM3103952	271.14959268613666
GNL2	GSM3103953	541.3683883799353
GNL2	GSM3103954	563.703663154003
GNL2	GSM3103955	792.1101703079266
GNL2	GSM3103956	620.8397259619271
GNL2	GSM3103957	900.3075827210608
GNL2	GSM3103958	446.7739007414673
GNL2	GSM3103959	504.52480883712377
GNL2	GSM3103960	715
GNL2	GSM3103961	717.976824470408
GNL2	GSM3103962	1189.9706538311932
GNL2	GSM3103963	611.2047682017491
GNL2	GSM3103964	446.7074180783525
GNL2	GSM3103965	934
GNL2	GSM4260265	553.0937680543179
GNL2	GSM4260266	1550.337509801341
GNL2	GSM4260267	448.21254933722224
GNL2	GSM4260268	533.1143626890769
GNL2	GSM4260269	1313.357099704912
GNL2	GSM4260270	658.9298084020917
GNL2	GSM4260271	417.60355108978246
GNL2	GSM4260272	656.501201904974
GNL2	GSM4260273	713.9368468904833
GNL2	GSM4260274	295.3630272622092
GNL2	GSM4260275	674.4747836943014
GNL2	GSM4260276	618.6770470992643
GNL2	GSM4735785	455.0732067657152
GNL2	GSM4735786	875.0674202003185
GNL2	GSM4735787	821.2848791025142
GNL2	GSM4735788	701.7638289272403
GNL2	GSM4735789	764.7031133573364
GNL2	GSM4735790	733.1407497644138
GNL2	GSM4735791	402.1390042769516
GNL2	GSM4735792	456.4033856218975
GNL2	GSM4735793	419.86363466420465
GNL2	GSM4735794	452.6195485041227
GNL2	GSM4735795	1118.7378162959983
GNL2	GSM4735796	648.7334183726566
GNL2	GSM4735797	344.75415869802384
GNL2	GSM4735798	688.8944640176176
GNL2	GSM4735799	682.8939901623012
GNL2	GSM4735800	886.4179001495247
GNL2	GSM4735801	355.22747669957477
GNL2	GSM4735802	1507.448402988945
GNL2	GSM4735803	1257.2352358902028
GNL2	GSM4735804	1272.5891483155713
GNL2	GSM5282507	883
GNL2	GSM5282508	375.8411963430306
GNL2	GSM5282509	1033.122371972639
GNL2	GSM5282510	450.4078189617323
GNL2	GSM5282511	266.40610289237384
GNL2	GSM5282512	472.2968520422236
GNL2	GSM5282513	690.14593759468
GNL2	GSM5282514	928
GNL2	GSM5282515	311.4477433219601
GNL2	GSM5282516	113.71041525245748
GNL2	GSM5282517	374.57063276134875
GNL2	GSM5282518	616
GNL2	GSM5282519	483.6568832386617
GNL2	GSM5282520	288.47983582862946
GNL2	GSM5282521	318.442820407634
GNL2	GSM5282522	141.93661325340207
GNL2	GSM5282523	1570
GNL2	GSM5282524	1363.5211274494638
GNL2	GSM5282525	1009
GNL2	GSM5282526	518
GNL2	GSM5282527	893.3919784123767
GNL2	GSM5282528	1058.371911682808
GNL2	GSM5282529	1161
GNL2	GSM5282530	510.0658065846521
GNL2	GSM5282531	767.5643223224492
GNL2	GSM5282532	628.453795414795
GNL2	GSM5282533	788.3071409030046
GNL2	GSM5282534	790.3887661305239
GNL2	GSM5282535	1203
GNL2	GSM5282536	879.116073829429
GNL2	GSM4260927	682
GNL2	GSM4260928	786.4233939455904
GNL2	GSM4260929	617.6953661820546
GNL2	GSM4260930	1335
GNL2	GSM4260931	621.9405464748363
GNL2	GSM4260932	738
GNL2	GSM4260933	978.0317802559028
GNL2	GSM4260934	773
GNL2	GSM4260935	689.0984250057661
GNL2	GSM4260936	504.26207208248974
GNL2	GSM4260937	897
GNL2	GSM4260938	458.81644904114466
GNL2	GSM4260939	904
GNL2	GSM4260940	865.2219610750494
GNL2	GSM4260941	710
GNL2	GSM4260942	561.2059234816281
GNL2	GSM4260943	686.460878872576
GNL2	GSM4260944	973.5089329122748
GNL2	GSM4260945	899.0727762566449
GNL2	GSM4260946	910.1900470572843
GNL2	GSM4260947	389.7037798202533
GNL2	GSM4260948	964.9466912209986
GNL2	GSM4260949	410.26231626139736
GNL2	GSM4260950	638
GNL2	GSM4260951	696.269780179794
