Gene	sample	counts
GOLGA2P10	GSM1022678	119.25673152318006
GOLGA2P10	GSM1022679	1.0848245726655648
GOLGA2P10	GSM1022680	58.302140288069396
GOLGA2P10	GSM1022681	36.85921150242977
GOLGA2P10	GSM1022682	1.0100156499625657
GOLGA2P10	GSM1022683	53.774426197931504
GOLGA2P10	GSM1022684	1.0467182798015733
GOLGA2P10	GSM1022685	256.970085249142
GOLGA2P10	GSM1022686	172.01023966279254
GOLGA2P10	GSM1022687	1.094806600045286
GOLGA2P10	GSM1022688	253.97946901269597
GOLGA2P10	GSM1022689	302.2263986168199
GOLGA2P10	GSM1022690	33.79997612072046
GOLGA2P10	GSM1022691	1.0735439206438182
GOLGA2P10	GSM1022692	36.58134647625078
GOLGA2P10	GSM1022693	122.02707539169552
GOLGA2P10	GSM1022694	1.0425127376380217
GOLGA2P10	GSM1022695	26.569704977033403
GOLGA2P10	GSM1385778	68
GOLGA2P10	GSM1385779	42.07144947871444
GOLGA2P10	GSM1385780	70.29023314636166
GOLGA2P10	GSM1385781	67.52628277586402
GOLGA2P10	GSM1385782	70.31854115973759
GOLGA2P10	GSM1385783	81.81281455687207
GOLGA2P10	GSM1415906	443
GOLGA2P10	GSM1415907	160.97152764186967
GOLGA2P10	GSM1415908	78.00696294121222
GOLGA2P10	GSM1415909	230.39049893742597
GOLGA2P10	GSM1415910	70.48741788763586
GOLGA2P10	GSM1415911	119.36074006285833
GOLGA2P10	GSM1415912	35.65485650382997
GOLGA2P10	GSM1415913	1.163567230382469
GOLGA2P10	GSM1415914	1.1043535878805653
GOLGA2P10	GSM1415915	44.28093297809507
GOLGA2P10	GSM1415916	8.680290466845015
GOLGA2P10	GSM1415917	19.933352764195085
GOLGA2P10	GSM1415918	45.77657483958748
GOLGA2P10	GSM1415919	69.03476077752508
GOLGA2P10	GSM1415920	1.0918086945672336
GOLGA2P10	GSM1415921	13.79872607818718
GOLGA2P10	GSM2769390	37.62629790285317
GOLGA2P10	GSM2769391	33.803289655460894
GOLGA2P10	GSM2769392	66.80468614311776
GOLGA2P10	GSM2769393	88.78966706906522
GOLGA2P10	GSM2769394	134.37997625972562
GOLGA2P10	GSM2769395	42.26151981628884
GOLGA2P10	GSM2769396	148.42487864760278
GOLGA2P10	GSM2769397	38.619459300618125
GOLGA2P10	GSM2769398	41.90581378236453
GOLGA2P10	GSM3103946	1.0100156499625657
GOLGA2P10	GSM3103947	70.42088638447181
GOLGA2P10	GSM3103948	25.08062915842964
GOLGA2P10	GSM3103949	0.8474829054317209
GOLGA2P10	GSM3103950	0.6654491436000454
