Gene	sample	counts
GOLGA4	GSM1022678	4157.815199036973
GOLGA4	GSM1022679	1431.018447488449
GOLGA4	GSM1022680	3608.5956304615584
GOLGA4	GSM1022681	3952.707737710241
GOLGA4	GSM1022682	1391.5790778203443
GOLGA4	GSM1022683	4508.722230651476
GOLGA4	GSM1022684	4249.034767731126
GOLGA4	GSM1022685	4472.854326923569
GOLGA4	GSM1022686	2999.122657524238
GOLGA4	GSM1022687	3818.179228722234
GOLGA4	GSM1022688	4450.550386151214
GOLGA4	GSM1022689	4362.865616422781
GOLGA4	GSM1022690	3979.2228739163065
GOLGA4	GSM1022691	2942.0883148979588
GOLGA4	GSM1022692	4762.916648000249
GOLGA4	GSM1022693	7128.436987471292
GOLGA4	GSM1022694	3280.1643566775083
GOLGA4	GSM1022695	3413.377237871703
GOLGA4	GSM1385778	2461.7228071419445
GOLGA4	GSM1385779	1370.170443336977
GOLGA4	GSM1385780	1301.3254138716306
GOLGA4	GSM1385781	1783.3056292691276
GOLGA4	GSM1385782	2064.3524421039756
GOLGA4	GSM1385783	1387.9547527872878
GOLGA4	GSM1415906	5132.762158910686
GOLGA4	GSM1415907	6084.071126815656
GOLGA4	GSM1415908	5342.632748566622
GOLGA4	GSM1415909	5139.539727121335
GOLGA4	GSM1415910	5023.872718037535
GOLGA4	GSM1415911	5745.024812750561
GOLGA4	GSM1415912	2975.2729490902943
GOLGA4	GSM1415913	2938.955182880723
GOLGA4	GSM1415914	3003.842928369028
GOLGA4	GSM1415915	3230.567834142356
GOLGA4	GSM1415916	3374.961158439179
GOLGA4	GSM1415917	3067.2608206876475
GOLGA4	GSM1415918	2891.0344958192313
GOLGA4	GSM1415919	3020.3286775599354
GOLGA4	GSM1415920	3047.3062773580778
GOLGA4	GSM1415921	3366.28530456521
GOLGA4	GSM2769390	1.0476453445591134
GOLGA4	GSM2769391	1977.2609646687088
GOLGA4	GSM2769392	1.033326703689763
GOLGA4	GSM2769393	1.0303488943225554
GOLGA4	GSM2769394	1469.4436117949806
GOLGA4	GSM2769395	1.0397118660865767
GOLGA4	GSM2769396	1.0223186155344817
GOLGA4	GSM2769397	1.0460250461958456
GOLGA4	GSM2769398	1.0481558953476182
GOLGA4	GSM3103946	2627.1667609834567
GOLGA4	GSM3103947	4333.7624772052495
GOLGA4	GSM3103948	1940.6045307394977
GOLGA4	GSM3103949	2690.384164933606
GOLGA4	GSM3103950	2932.072677086215
GOLGA4	GSM3103951	1919
GOLGA4	GSM3103952	3041
GOLGA4	GSM3103953	2824.531531068837
GOLGA4	GSM3103954	4098
GOLGA4	GSM3103955	3170.267330642352
GOLGA4	GSM3103956	3477.577200937113
GOLGA4	GSM3103957	4447.42269329771
GOLGA4	GSM3103958	3611.1279764084247
GOLGA4	GSM3103959	2467
GOLGA4	GSM3103960	2674
GOLGA4	GSM3103961	5687.266646393501
GOLGA4	GSM3103962	4607.809978748519
GOLGA4	GSM3103963	3795.1014980482023
GOLGA4	GSM3103964	2878.907539153585
GOLGA4	GSM3103965	5179
GOLGA4	GSM4260265	1.0263259010476733
GOLGA4	GSM4260266	1.017949289364482
GOLGA4	GSM4260267	1.0377901820927629
GOLGA4	GSM4260268	1.038948316513042
GOLGA4	GSM4260269	1.0234594842742062
GOLGA4	GSM4260270	1.021939447988662
GOLGA4	GSM4260271	1.0506731423640414
GOLGA4	GSM4260272	1.0485732304058435
GOLGA4	GSM4260273	1.017048502742336
GOLGA4	GSM4260274	0.6014903808708063
GOLGA4	GSM4260275	1.0472567835878563
GOLGA4	GSM4260276	1.022581557181457
GOLGA4	GSM4735785	3351.003356036019
GOLGA4	GSM4735786	4103.722049636267
GOLGA4	GSM4735787	4054.146907535254
GOLGA4	GSM4735788	3643.430513319016
GOLGA4	GSM4735789	5226.237248117157
GOLGA4	GSM4735790	3843.08359325968
GOLGA4	GSM4735791	4775.865573301419
GOLGA4	GSM4735792	2832.091650183633
GOLGA4	GSM4735793	3954.463972969553
GOLGA4	GSM4735794	4264.751508559926
GOLGA4	GSM4735795	5072.994865196215
GOLGA4	GSM4735796	2614.506284480344
GOLGA4	GSM4735797	4094.755802789472
GOLGA4	GSM4735798	2604.171435528925
GOLGA4	GSM4735799	3625.464378977916
GOLGA4	GSM4735800	2987.033946935128
GOLGA4	GSM4735801	3471.0194596503447
GOLGA4	GSM4735802	3116.72008264099
GOLGA4	GSM4735803	6520.378305476133
GOLGA4	GSM4735804	3919.242883726537
GOLGA4	GSM5282507	1.0030314290996496
GOLGA4	GSM5282508	1.0203939923164922
GOLGA4	GSM5282509	1.008488226377649
GOLGA4	GSM5282510	1.0507016405848535
GOLGA4	GSM5282511	1.030203714172055
GOLGA4	GSM5282512	1.022581557181457
GOLGA4	GSM5282513	1.0161485132291883
GOLGA4	GSM5282514	1.0039198009821009
GOLGA4	GSM5282515	1.0238669861786047
GOLGA4	GSM5282516	1.0330890196011069
GOLGA4	GSM5282517	1.0281447131263994
GOLGA4	GSM5282518	1.0030314290996496
GOLGA4	GSM5282519	1.0551829285636198
GOLGA4	GSM5282520	1.0221745668813695
GOLGA4	GSM5282521	1.0229609629673868
GOLGA4	GSM5282522	1.022581557181457
GOLGA4	GSM5282523	1.001514567592329
GOLGA4	GSM5282524	1.0111427890600695
GOLGA4	GSM5282525	1.0060720477616854
GOLGA4	GSM5282526	1.0040651293934055
GOLGA4	GSM5282527	1.011545386933744
GOLGA4	GSM5282528	1.0195819146668483
GOLGA4	GSM5282529	1.0045505879962513
GOLGA4	GSM5282530	1.018588891444416
GOLGA4	GSM5282531	1.0256814406706618
GOLGA4	GSM5282532	1.0100156499625657
GOLGA4	GSM5282533	1
GOLGA4	GSM5282534	1.008488226377649
GOLGA4	GSM5282535	1.0078549668039407
GOLGA4	GSM5282536	1.0142079967347273
GOLGA4	GSM4260927	3137
GOLGA4	GSM4260928	2908.443906349344
GOLGA4	GSM4260929	3303.273638226595
GOLGA4	GSM4260930	5726
GOLGA4	GSM4260931	3480.519058975784
GOLGA4	GSM4260932	3827.770059797992
GOLGA4	GSM4260933	4537.163149553955
GOLGA4	GSM4260934	4102
GOLGA4	GSM4260935	4744.635777244109
GOLGA4	GSM4260936	3239.991269884939
GOLGA4	GSM4260937	4474
GOLGA4	GSM4260938	3630.4875741147266
GOLGA4	GSM4260939	5084
GOLGA4	GSM4260940	4353.82594665469
GOLGA4	GSM4260941	3889
GOLGA4	GSM4260942	2763.463296974232
GOLGA4	GSM4260943	4176.501604912949
GOLGA4	GSM4260944	4252.336813912309
GOLGA4	GSM4260945	4301.485617799948
GOLGA4	GSM4260946	3432.037353284204
GOLGA4	GSM4260947	3275.642609886636
GOLGA4	GSM4260948	4871.625327907236
GOLGA4	GSM4260949	1986.2340886475647
GOLGA4	GSM4260950	4018
GOLGA4	GSM4260951	3433.3515883245495
GOLGA4	GSM4260952	4934.464766511017
GOLGA4	GSM4260953	4592.401263965718
GOLGA4	GSM4260954	4031.3306953810734
GOLGA4	GSM4260955	2411.4066503765935
GOLGA4	GSM4260956	2732.8739957453686
GOLGA4	GSM4260957	4009.4066306209456
GOLGA4	GSM4260958	2965.6487038182595
GOLGA4	GSM4260959	3092.707593091363
GOLGA4	GSM4260960	4246.979849916526
GOLGA4	GSM4260961	2084.1518151596365
GOLGA4	GSM4260962	2587.9136426585783
GOLGA4	GSM4260963	2851
GOLGA4	GSM4260964	4227
GOLGA4	GSM4260965	2416.0034330731105
GOLGA4	GSM4260966	6660.965707564657
GOLGA4	GSM4260967	2142.3945473665385
GOLGA4	GSM4260968	3403
GOLGA4	GSM4260969	4263.4475142405445
GOLGA4	GSM4260970	2198.09284037253
GOLGA4	GSM4260971	1728.7190975856552
GOLGA4	GSM4260972	3644.136465064937
GOLGA4	GSM4260973	3727.8872320540886
GOLGA4	GSM4260974	3677.2330374734624
GOLGA4	GSM4260975	3910
GOLGA4	GSM4260976	4592
GOLGA4	GSM4260977	2900.7164184635485
GOLGA4	GSM4260978	4337
GOLGA4	GSM4260979	4219.061105267934
GOLGA4	GSM4260980	4915.18883047897
GOLGA4	GSM4260981	4368.063665494527
GOLGA4	GSM4260982	3892.764976335741
GOLGA4	GSM4260983	2880.3954971282574
GOLGA4	GSM4260984	5078.083020599293
GOLGA4	GSM4260985	4298.762130652733
GOLGA4	GSM4260986	3321.9430851284083
GOLGA4	GSM4260987	2832.5163417542126
GOLGA4	GSM4260988	2347.79684307322
GOLGA4	GSM4260989	4356
GOLGA4	GSM4260990	4257.4895255218125
GOLGA4	GSM4260991	3191
GOLGA4	GSM4260992	4934.9949031441765
GOLGA4	GSM4260993	3001.6071000357388
GOLGA4	GSM4260994	4246.402110651979
GOLGA4	GSM4260995	3128.4984626883556
GOLGA4	GSM4260996	2522.5875258409815
GOLGA4	GSM4260997	4256
GOLGA4	GSM4260998	3278.028783529296
GOLGA4	GSM4260999	3303
GOLGA4	GSM4261000	3381.7756915530863
GOLGA4	GSM4261001	4730
GOLGA4	GSM4261002	2691.8368314628324
GOLGA4	GSM4261003	3792.085237706907
GOLGA4	GSM4261004	2426.701136294325
GOLGA4	GSM4261005	3499
GOLGA4	GSM4261006	2655.513640660239
GOLGA4	GSM4261007	2435.6900759741316
GOLGA4	GSM4261008	3929
GOLGA4	GSM4261009	2405.368938491882
GOLGA4	GSM4261010	2746.856544427557
GOLGA4	GSM4261011	2685.316100907449
GOLGA4	GSM4261012	1414.9043931987842
GOLGA4	GSM4261013	3717.013646169176
GOLGA4	GSM4261014	2872.9005222362725
GOLGA4	GSM4261015	2266.888549207567
GOLGA4	GSM4261016	2890
GOLGA4	GSM4261017	2859.3543050440235
GOLGA4	GSM4261018	2209.7512651385823
GOLGA4	GSM4261019	2918.3785299942288
GOLGA4	GSM4261020	2400.330417077643
GOLGA4	GSM4261021	2700.383786777994
GOLGA4	GSM4261022	3350.08037587727
GOLGA4	GSM4261023	3597
GOLGA4	GSM4261024	2609.605375968731
GOLGA4	GSM4261025	2606.7045447672967
GOLGA4	GSM4261026	2556.0833855154724
GOLGA4	GSM4261027	2906.5829804675304
GOLGA4	GSM4818000	5427.824102898829
GOLGA4	GSM4818001	3845.72058308194
GOLGA4	GSM4818002	4501.333979076882
GOLGA4	GSM4818003	4184.943126264626
GOLGA4	GSM4818004	3074.921026499867
GOLGA4	GSM4818005	3970.2569577448744
GOLGA4	GSM4818006	3275.1312208435643
GOLGA4	GSM4818007	3055.782179932604
GOLGA4	GSM4818008	5305.555554467488
GOLGA4	GSM4818009	3886.018509337112
GOLGA4	GSM4818010	3033.6164889802226
GOLGA4	GSM4818011	2969.028153971029
GOLGA4	GSM4818012	5226.902504744088
GOLGA4	GSM4818013	5698.568610484973
GOLGA4	GSM4818014	2782.0742716609793
GOLGA4	GSM4818015	2791.6126705186743
GOLGA4	GSM4818016	3249.5092315591382
GOLGA4	GSM4818017	3412.1977267005373
GOLGA4	GSM4818018	3478.2168449625915
GOLGA4	GSM4818019	4258.6060789910625
GOLGA4	GSM4818020	3904.862001526641
GOLGA4	GSM4818021	5117.228180000138
GOLGA4	GSM4818022	3357.6731711053926
GOLGA4	GSM4818023	2432.68263460852
GOLGA4	GSM3056394	3719.220767966663
GOLGA4	GSM3056395	3341.225270902262
GOLGA4	GSM3056396	3154.3665045069565
GOLGA4	GSM3056397	3593.6521925315724
GOLGA4	GSM3056398	5654.16974885782
GOLGA4	GSM3056399	2978.980582382274
GOLGA4	GSM3056400	3134.777262022229
GOLGA4	GSM3056401	3496.469413873736
GOLGA4	GSM3056402	3502.411762993857
GOLGA4	GSM3056403	5657.935270365191
GOLGA4	GSM3056404	5384.932757073766
GOLGA4	GSM3056405	2757.494147804201
GOLGA4	GSM3056406	3402.4502744362603
GOLGA4	GSM3056407	3364.6492262698657
GOLGA4	GSM3056408	4041.6161730971626
GOLGA4	GSM3056409	4226.853875375552
GOLGA4	GSM3056410	3105.7993831288004
GOLGA4	GSM3056411	2962.4147353813255
GOLGA4	GSM3056412	2693.9266428270525
GOLGA4	GSM3056413	3074.165959633642
GOLGA4	GSM3056414	5103.704551892652
GOLGA4	GSM3056415	3834.016471790844
GOLGA4	GSM3056416	2959.4138431221863
GOLGA4	GSM3056417	4751.258449222258
GOLGA4	GSM3056418	7610.237735251769
GOLGA4	GSM3056419	3942.560259223306
GOLGA4	GSM3056420	5140.05533406757
GOLGA4	GSM3056421	3558.254446693631
GOLGA4	GSM3056422	3200.347030674158
GOLGA4	GSM3056423	2900.112812385057
GOLGA4	GSM3056424	3391.7492241617065
GOLGA4	GSM3056425	2786.561449327665
GOLGA4	GSM3056426	4474.935162675773
GOLGA4	GSM3056427	3154.5322115626514
GOLGA4	GSM3056428	4746.8403877869705
GOLGA4	GSM3056429	4324.127023094292
GOLGA4	GSM3056430	4931.533242805698
GOLGA4	GSM3056431	3017.587656366027
GOLGA4	GSM3056432	3827.565775914982
GOLGA4	GSM3056433	3023.720343911089
GOLGA4	GSM3056434	4232.811244223867
GOLGA4	GSM3056435	2851.9566324159828
GOLGA4	GSM3056436	3182.3066864886446
GOLGA4	GSM3056437	3158.9649955319956
GOLGA4	GSM3056438	4278.700237526104
GOLGA4	GSM3056439	3444.5076542458596
GOLGA4	GSM3056440	2470.8000111512956
GOLGA4	GSM3056441	2377.3335985638487
GOLGA4	GSM3056442	4959.08879884324
GOLGA4	GSM3056443	4535.334156729668
GOLGA4	GSM3056444	2911.7767797977035
GOLGA4	GSM3056445	3886.9601581345178
GOLGA4	GSM3056446	4162.3096091681
GOLGA4	GSM3056447	4927.930702601915
GOLGA4	GSM3056448	5464.3517853085405
GOLGA4	GSM3056449	3224.3123128041193
GOLGA4	GSM3056450	5646.653287225449
GOLGA4	GSM3056451	2629.354710461542
GOLGA4	GSM3056452	4166.0021687809885
GOLGA4	GSM3056453	4593.6370519495695
GOLGA4	GSM3056454	3279.7144986242483
GOLGA4	GSM3056455	4000.3327425864263
GOLGA4	GSM3056456	4049.9094323829986
GOLGA4	GSM3056457	3483.9528793540894
GOLGA4	GSM3056458	2574.1697549253367
GOLGA4	GSM3056459	3249.8406071286977
GOLGA4	GSM3056460	3948.124654844591
GOLGA4	GSM3056461	3258.325842687276
GOLGA4	GSM3056462	3626.683081689775
GOLGA4	GSM3056463	3049.914902342554
GOLGA4	GSM3056464	3358.585106565331
GOLGA4	GSM3056465	2797.8616489560172
GOLGA4	GSM3056466	3862.5802416323063
GOLGA4	GSM3056467	3001.2528522610755
GOLGA4	GSM3056468	5018.99596624752
GOLGA4	GSM3056469	3308.810063296701
GOLGA4	GSM3056470	3097.2920023336396
GOLGA4	GSM3056471	2943.0519422014327
GOLGA4	GSM3056472	3423.334833742802
GOLGA4	GSM3056473	3336.616770124139
GOLGA4	GSM3056474	3395.6954164867534
GOLGA4	GSM3056475	3284.968913552026
GOLGA4	GSM3056476	4161.004202070336
GOLGA4	GSM3056477	2733.964929266149
GOLGA4	GSM3056478	3530.675513178962
GOLGA4	GSM3056479	3455.1442326853926
GOLGA4	GSM3056480	3381.931963029493
GOLGA4	GSM3056481	3255.97004926269
GOLGA4	GSM3056482	5261.634857970182
GOLGA4	GSM3056483	4816.629040711496
GOLGA4	GSM3056484	4499.565561097596
GOLGA4	GSM3056485	5898.5985498953105
GOLGA4	GSM3056486	10061.408265298584
GOLGA4	GSM3056487	3724.6011957797705
GOLGA4	GSM3056488	4869.533375298098
GOLGA4	GSM3056489	4693.998214838885
GOLGA4	GSM3056490	2861.2276564457575
GOLGA4	GSM3056491	2814.6179819560234
GOLGA4	GSM3056492	2504.1657993391595
GOLGA4	GSM3056493	3639.670935799518
GOLGA4	GSM3056494	3117.6830366980003
GOLGA4	GSM3056495	3495.8347842825738
GOLGA4	GSM3056496	2731.868265738345
GOLGA4	GSM3056497	3262.812332499647
GOLGA4	GSM3056498	3803.4516903823383
GOLGA4	GSM3056499	2741.9284340547943
GOLGA4	GSM3056500	4113.0023436217125
GOLGA4	GSM3056501	2984.092248794757
GOLGA4	GSM3056502	2869.386309045093
GOLGA4	GSM3056503	2976.6413936486983
GOLGA4	GSM3056504	2573.5927542368595
GOLGA4	GSM3056505	2261.209799968694
GOLGA4	GSM3056506	3173.581490427386
GOLGA4	GSM3056507	3634.4252115329177
GOLGA4	GSM3056508	3707.750266084149
GOLGA4	GSM3056509	3164.6644022251753
GOLGA4	GSM3056510	3356.7503244302025
GOLGA4	GSM3056511	4068.76479687402
GOLGA4	GSM3056512	3791.739039902103
GOLGA4	GSM3056513	4352.286734052229
GOLGA4	GSM3056514	4538.861550425028
GOLGA4	GSM3056515	4798.975247852577
GOLGA4	GSM3056516	3799.436645203871
GOLGA4	GSM3056517	2607.78169643924
GOLGA4	GSM3056518	3044.0726979474607
GOLGA4	GSM3056519	3780.727706412071
GOLGA4	GSM3056520	3982.271032821078
GOLGA4	GSM3056521	4311.595110301276
GOLGA4	GSM3056522	4336.229593893965
GOLGA4	GSM3056523	5234.9563364223395
GOLGA4	GSM3056524	3136.3908217822154
GOLGA4	GSM3056525	3190.912907305531
GOLGA4	GSM3056526	3076.52161772779
GOLGA4	GSM3056527	3994.215511675811
GOLGA4	GSM3056528	3259.8097486137935
GOLGA4	GSM3056529	2332.9385578427286
GOLGA4	GSM3056530	3807.636023994101
GOLGA4	GSM3056531	4439.259534744941
GOLGA4	GSM3056532	2703.085281727034
GOLGA4	GSM3056533	7968.013462554682
GOLGA4	GSM3056534	2681.9485404046018
GOLGA4	GSM3056535	2716.865150421418
GOLGA4	GSM3056536	3492.766743190874
GOLGA4	GSM3056537	3498.1646597598155
GOLGA4	GSM3056538	3863.258106474239
GOLGA4	GSM3056539	3154.934338197027
GOLGA4	GSM3056540	3348.5059636345854
GOLGA4	GSM3056541	2867.064947866785
GOLGA4	GSM3056542	3248.4116286860085
GOLGA4	GSM3056543	3606.9227425395848
GOLGA4	GSM3056544	3270.2311538544636
GOLGA4	GSM3056545	4374.468389352654
GOLGA4	GSM3056546	4270.672941781643
GOLGA4	GSM3056547	3243.882557942657
