Gene	sample	counts
GPRIN1	GSM1022678	116.58372466763102
GPRIN1	GSM1022679	6.729314596475256
GPRIN1	GSM1022680	54.46983269875492
GPRIN1	GSM1022681	116.3891096796689
GPRIN1	GSM1022682	29.358485410433556
GPRIN1	GSM1022683	60.04620981300489
GPRIN1	GSM1022684	2.1245284762619217
GPRIN1	GSM1022685	40.471581849553125
GPRIN1	GSM1022686	27.676166084072715
GPRIN1	GSM1022687	10.182129505037906
GPRIN1	GSM1022688	13.850530556322749
GPRIN1	GSM1022689	149.914123622408
GPRIN1	GSM1022690	4.505946997460898
GPRIN1	GSM1022691	14.32475513733873
GPRIN1	GSM1022692	61.14898816792736
GPRIN1	GSM1022693	33.351073514026034
GPRIN1	GSM1022694	8.449875896704453
GPRIN1	GSM1022695	61.60854395441425
GPRIN1	GSM1385778	131
GPRIN1	GSM1385779	49.547244017051824
GPRIN1	GSM1385780	14.089716164296926
GPRIN1	GSM1385781	74.62319968165271
GPRIN1	GSM1385782	102.5411327431105
GPRIN1	GSM1385783	5.402407902273525
GPRIN1	GSM1415906	106
GPRIN1	GSM1415907	44.37055116206377
GPRIN1	GSM1415908	70.1670769211503
GPRIN1	GSM1415909	88.4668596215071
GPRIN1	GSM1415910	74.4908672080121
GPRIN1	GSM1415911	23.12202012834845
GPRIN1	GSM1415912	31.576433258722545
GPRIN1	GSM1415913	22.2782413324188
GPRIN1	GSM1415914	21.72355103697614
GPRIN1	GSM1415915	50.926576508499934
GPRIN1	GSM1415916	62.42820554524038
GPRIN1	GSM1415917	32.27123943602565
GPRIN1	GSM1415918	20.954188864738292
GPRIN1	GSM1415919	43.04982060782698
GPRIN1	GSM1415920	18.0821933942615
GPRIN1	GSM1415921	20.574282532119497
GPRIN1	GSM2769390	31.742379289140302
GPRIN1	GSM2769391	14.963993488350969
GPRIN1	GSM2769392	43.139463948169855
GPRIN1	GSM2769393	69.5672134102436
GPRIN1	GSM2769394	49.95098912967445
GPRIN1	GSM2769395	52.42108820195523
GPRIN1	GSM2769396	133.80213746049031
GPRIN1	GSM2769397	131.14305071679394
GPRIN1	GSM2769398	126.52271344517564
GPRIN1	GSM3103946	7.074470139338856
GPRIN1	GSM3103947	9.184196988044278
GPRIN1	GSM3103948	59.4550114480081
GPRIN1	GSM3103949	140.5944260926945
GPRIN1	GSM3103950	36.79642241564966
GPRIN1	GSM3103951	81
GPRIN1	GSM3103952	28.148546243206805
GPRIN1	GSM3103953	22.261414892740067
GPRIN1	GSM3103954	21.111409682405103
GPRIN1	GSM3103955	29.851286768348025
GPRIN1	GSM3103956	47.48379977974021
GPRIN1	GSM3103957	64.11713929185268
GPRIN1	GSM3103958	28.77651538802147
GPRIN1	GSM3103959	20
GPRIN1	GSM3103960	29
GPRIN1	GSM3103961	18.961064568489377
GPRIN1	GSM3103962	25.21054043299078
GPRIN1	GSM3103963	28.903182474624476
GPRIN1	GSM3103964	16.197785054032305
GPRIN1	GSM3103965	27
GPRIN1	GSM4260265	27.577539781933115
GPRIN1	GSM4260266	124.30854673409704
GPRIN1	GSM4260267	1.061737358926767
GPRIN1	GSM4260268	46.46234508965997
GPRIN1	GSM4260269	141.66182258903171
GPRIN1	GSM4260270	82.21217706927295
GPRIN1	GSM4260271	6.68364800148767
GPRIN1	GSM4260272	46.63181383637264
GPRIN1	GSM4260273	66.35014471613033
GPRIN1	GSM4260274	6.043703089738913
GPRIN1	GSM4260275	35.459397624404225
GPRIN1	GSM4260276	55.67988612323605
GPRIN1	GSM4735786	50.7373664870947
GPRIN1	GSM4735787	35.999586296828724
GPRIN1	GSM4735788	2.0837722651496535
GPRIN1	GSM4735790	46.842740384054835
GPRIN1	GSM4735793	26.572040118878736
GPRIN1	GSM4735798	80.98972461201073
GPRIN1	GSM4735800	25.387004606467052
GPRIN1	GSM4735803	37.855871673774
GPRIN1	GSM4735804	113.8152577895629
GPRIN1	GSM4735785	1.0811994844209347
GPRIN1	GSM4735789	5.181939319359261
GPRIN1	GSM4735791	47.557012120749235
GPRIN1	GSM4735792	9.715485387984856
GPRIN1	GSM4735794	26.242906676540095
GPRIN1	GSM4735795	72.70664243813678
GPRIN1	GSM4735796	91.35371555120224
GPRIN1	GSM4735797	43.53185163369558
GPRIN1	GSM4735799	43.80935203196902
GPRIN1	GSM4735801	74.6558396071305
GPRIN1	GSM4735802	174.27361958232518
GPRIN1	GSM5282507	53
GPRIN1	GSM5282509	53
GPRIN1	GSM5282510	60.54717112757235
GPRIN1	GSM5282511	50.291520714896045
GPRIN1	GSM5282512	57.85836243700532
GPRIN1	GSM5282515	52.45654003252186
GPRIN1	GSM5282516	62.12030614128361
GPRIN1	GSM5282519	52.8438699174169
GPRIN1	GSM5282521	52.40309708533833
GPRIN1	GSM5282523	51
GPRIN1	GSM5282524	59.62767688871322
GPRIN1	GSM5282526	48
GPRIN1	GSM5282528	49.070837502252125
GPRIN1	GSM5282529	48
GPRIN1	GSM5282513	54.01493954833583
GPRIN1	GSM5282533	51.09316851420076
GPRIN1	GSM5282534	51
GPRIN1	GSM5282536	51.70234746129724
GPRIN1	GSM5282525	51
GPRIN1	GSM5282530	57.0723889567322
GPRIN1	GSM5282514	51
GPRIN1	GSM5282520	53.08843910192881
GPRIN1	GSM5282535	48
GPRIN1	GSM5282522	52.46601770512304
GPRIN1	GSM5282531	54.802866366803734
GPRIN1	GSM5282508	52.50372529145445
GPRIN1	GSM5282518	61
GPRIN1	GSM5282517	50.075437064961555
GPRIN1	GSM5282527	69.36606038504534
GPRIN1	GSM5282532	48
