Gene	sample	counts
GPX4	GSM1022678	2590.690142153981
GPX4	GSM1022679	2715.8945657252943
GPX4	GSM1022680	2365.9238297820993
GPX4	GSM1022681	2168.2421349656433
GPX4	GSM1022682	1813.742881909708
GPX4	GSM1022683	2567.1382349744385
GPX4	GSM1022684	817.6789840144409
GPX4	GSM1022685	824.0543956031231
GPX4	GSM1022686	2113.8387346657346
GPX4	GSM1022687	671.8344733065895
GPX4	GSM1022688	730.0586526224896
GPX4	GSM1022689	2102.715482577112
GPX4	GSM1022690	691.3377488111269
GPX4	GSM1022691	1011.4700121577264
GPX4	GSM1022692	2153.6822846755563
GPX4	GSM1022693	1456.0686609360207
GPX4	GSM1022694	1425.3034431055407
GPX4	GSM1022695	2296.4955191921945
GPX4	GSM1385778	3362.1613503420253
GPX4	GSM1385779	1672.646658894146
GPX4	GSM1385780	1669.0114272458486
GPX4	GSM1385781	2502.111346190431
GPX4	GSM1385782	2731.5922460087763
GPX4	GSM1385783	1900.2606959502048
GPX4	GSM1415906	3136
GPX4	GSM1415907	2529.687808330961
GPX4	GSM1415908	1639.715072219599
GPX4	GSM1415909	2147.6204922873344
GPX4	GSM1415910	2332.075006711587
GPX4	GSM1415911	2188.6145782954354
GPX4	GSM1415912	1041.6904891538672
GPX4	GSM1415913	1153.734922921236
GPX4	GSM1415914	2223.867311726126
GPX4	GSM1415915	1755.6338554942347
GPX4	GSM1415916	1456.3596084288251
GPX4	GSM1415917	1074.489103489012
GPX4	GSM1415918	1065.8652528849432
GPX4	GSM1415919	973.1071426277308
GPX4	GSM1415920	1321.2597069596252
GPX4	GSM1415921	1273.067675103182
GPX4	GSM2769390	1869.6126865128344
GPX4	GSM2769391	2043.424438732304
GPX4	GSM2769392	2231.5014682206975
GPX4	GSM2769393	2470.254876786111
GPX4	GSM2769394	3474.063715510335
GPX4	GSM2769395	1891.9254077394949
GPX4	GSM2769396	3974.588759849655
GPX4	GSM2769397	2502.2277174637657
GPX4	GSM2769398	2425.0230126261413
GPX4	GSM3103946	1203
GPX4	GSM3103947	1218.566477374731
GPX4	GSM3103948	1521.4956425798714
GPX4	GSM3103949	2353.4976292066976
GPX4	GSM3103950	1305.3742772605913
GPX4	GSM3103951	1870.164012151728
GPX4	GSM3103952	1238
GPX4	GSM3103953	1087
GPX4	GSM3103954	1275.4702957327384
GPX4	GSM3103955	2103.974766116794
GPX4	GSM3103956	1575.721106796333
GPX4	GSM3103957	1136.147545077101
GPX4	GSM3103958	1149.3978096574
GPX4	GSM3103959	1161.3109449330493
GPX4	GSM3103960	1463
GPX4	GSM3103961	1124.8226341617185
GPX4	GSM3103962	1147
GPX4	GSM3103963	1214.8660097074269
GPX4	GSM3103964	1032
GPX4	GSM3103965	1669
GPX4	GSM4260265	5049.5234331545535
GPX4	GSM4260266	3593.4546996310405
GPX4	GSM4260267	2837.6412357895683
GPX4	GSM4260268	4086.1837288457946
GPX4	GSM4260269	3569.5257487418207
GPX4	GSM4260270	4252.218306577067
GPX4	GSM4260271	2843.8369776082695
GPX4	GSM4260272	2254.0647353871723
GPX4	GSM4260273	4349.8147168592295
GPX4	GSM4260274	1954.0588113757844
GPX4	GSM4260275	2748.2271323126724
GPX4	GSM4260276	4052.470991978685
GPX4	GSM4735785	2266.8716264057707
GPX4	GSM4735786	2028.4651106925344
GPX4	GSM4735787	1937.6586251012216
GPX4	GSM4735788	1632.6533409955289
GPX4	GSM4735789	2008.553595209396
GPX4	GSM4735790	1424.836869149794
GPX4	GSM4735791	2077.8492793037276
GPX4	GSM4735792	1683.408668798396
GPX4	GSM4735793	2015.1669470223087
GPX4	GSM4735794	2677.019219036459
GPX4	GSM4735795	1196.637755138928
GPX4	GSM4735796	1004.7492669642328
GPX4	GSM4735797	1579.1475100600185
GPX4	GSM4735798	550.9506377580062
GPX4	GSM4735799	1066.850945061501
GPX4	GSM4735800	741.9798982855408
GPX4	GSM4735801	1130.797567295711
GPX4	GSM4735802	2859.3027887279545
GPX4	GSM4735803	3712.966815227795
GPX4	GSM4735804	2368.5761483209544
GPX4	GSM5282507	4704.310403586445
GPX4	GSM5282508	4682.404104447106
GPX4	GSM5282509	4764.243820873423
GPX4	GSM5282510	4636.934570421987
GPX4	GSM5282511	4530.9566629012315
GPX4	GSM5282512	4721.0673665382365
GPX4	GSM5282513	4778.142789082566
GPX4	GSM5282514	4697.278549470471
GPX4	GSM5282515	5461.687028923188
GPX4	GSM5282516	4581.8240960392
GPX4	GSM5282517	4568.623804718377
GPX4	GSM5282518	4697.278549470471
GPX4	GSM5282519	4588.492077961855
GPX4	GSM5282520	4601.805332993267
GPX4	GSM5282521	4690.459136086684
GPX4	GSM5282522	4597.52668108783
GPX4	GSM5282523	4875.735776853397
GPX4	GSM5282524	5089.084841663666
GPX4	GSM5282525	5111.34475996628
GPX4	GSM5282526	4881.111307073786
GPX4	GSM5282527	4749.153089128439
GPX4	GSM5282528	4784.4172657640365
GPX4	GSM5282529	4888.50408007403
GPX4	GSM5282530	4577.35696924929
GPX4	GSM5282531	4591.820469263705
GPX4	GSM5282532	4751.066905851437
GPX4	GSM5282533	4760
GPX4	GSM5282534	4810.48402028251
GPX4	GSM5282535	4999.189812561266
GPX4	GSM5282536	4766.857421842519
GPX4	GSM4260927	1.001514567592329
GPX4	GSM4260928	0.7555013828387295
GPX4	GSM4260929	0.6676590430255687
GPX4	GSM4260930	1.001514567592329
GPX4	GSM4260931	1.010650267145594
GPX4	GSM4260932	1.0080868452623672
GPX4	GSM4260933	1
GPX4	GSM4260934	1.0069631126805123
GPX4	GSM4260935	1.010650267145594
GPX4	GSM4260936	1.0153325559559527
GPX4	GSM4260937	1.0054403053779657
GPX4	GSM4260938	1.0346256397982054
GPX4	GSM4260939	1.008488226377649
GPX4	GSM4260940	1.0129346942591704
GPX4	GSM4260941	1.001514567592329
GPX4	GSM4260942	1
GPX4	GSM4260943	1.019228895401757
GPX4	GSM4260944	0.9891095089195134
GPX4	GSM4260945	250.2622271932164
GPX4	GSM4260946	107.00556941278548
GPX4	GSM4260947	1.0197255979537387
GPX4	GSM4260948	0.9227241574407888
GPX4	GSM4260949	1.0229609629673868
GPX4	GSM4260950	1.0030314290996496
GPX4	GSM4260951	475
GPX4	GSM4260952	1
GPX4	GSM4260953	1
GPX4	GSM4260954	1.0100156499625657
GPX4	GSM4260955	1.031261460928422
GPX4	GSM4260956	1.016643714613284
GPX4	GSM4260957	1
GPX4	GSM4260958	1.0325578009378895
GPX4	GSM4260959	1.011645791484319
GPX4	GSM4260960	1.010650267145594
GPX4	GSM4260961	1.0021226940025123
GPX4	GSM4260962	1.008488226377649
GPX4	GSM4260963	1.001514567592329
GPX4	GSM4260964	1.0060720477616854
GPX4	GSM4260965	508.337638293736
GPX4	GSM4260966	1
GPX4	GSM4260967	231.81371707320395
GPX4	GSM4260968	1.0030314290996496
GPX4	GSM4260969	1.0075958118807733
GPX4	GSM4260970	0.8062586349950998
GPX4	GSM4260971	0.6584229502333824
GPX4	GSM4260972	1.0146118150553114
GPX4	GSM4260973	1.0104333041613256
GPX4	GSM4260974	1.0207725864558976
GPX4	GSM4260975	1.0069631126805123
GPX4	GSM4260976	1.001514567592329
GPX4	GSM4260977	1.0275807028156494
GPX4	GSM4260978	1.0039198009821009
GPX4	GSM4260979	1
