Gene	sample	counts
GRAP	GSM1022678	3.032205436901567
GRAP	GSM1022679	2.1695788060616557
GRAP	GSM1022680	1.0228168238050332
GRAP	GSM1022681	1.0238669861786047
GRAP	GSM1022682	1.0100156499625657
GRAP	GSM1022683	2.029223630110623
GRAP	GSM1022684	1.0467182798015733
GRAP	GSM1022685	1.027880340996568
GRAP	GSM1022686	1.0487648077875216
GRAP	GSM1022687	1.0947477718953087
GRAP	GSM1022688	1.0495019380689916
GRAP	GSM1022689	1.0210351304622294
GRAP	GSM1022690	1.090378271733954
GRAP	GSM1022691	1.0735439206438182
GRAP	GSM1022692	2.0322970264583766
GRAP	GSM1022693	1.008488226377649
GRAP	GSM1022694	1.0424844615251376
GRAP	GSM1022695	1.0216766714505208
GRAP	GSM1385778	1
GRAP	GSM1385779	1.078610408176517
GRAP	GSM1385780	1.0649136662703569
GRAP	GSM1385781	1.0078549668039407
GRAP	GSM1385782	1.0045505879962513
GRAP	GSM1385783	1.062305800204984
GRAP	GSM1415906	6
GRAP	GSM1415907	2.0121440955233707
GRAP	GSM1415908	2.0261548815899277
GRAP	GSM1415909	3.0182161432850565
GRAP	GSM1415910	6.041778676083074
GRAP	GSM1415911	1.0030314290996496
GRAP	GSM1415912	2.300211363774592
GRAP	GSM1415913	1.163403279252366
GRAP	GSM1415914	2.2086312305405356
GRAP	GSM1415915	3.2399866818300382
GRAP	GSM1415916	3.255290456398521
GRAP	GSM1415917	2.214816973799454
GRAP	GSM1415918	1.1164525767485525
GRAP	GSM1415919	1.1135130002794067
GRAP	GSM1415920	2.1837517042189196
GRAP	GSM1415921	2.122828586774455
GRAP	GSM2769390	1.075066242001491
GRAP	GSM2769391	1.0563344237307208
GRAP	GSM2769392	1.043823220986215
GRAP	GSM2769393	4.1296492381755625
GRAP	GSM2769394	1.017949289364482
GRAP	GSM2769395	1.0565016669106198
GRAP	GSM2769396	1.016643714613284
GRAP	GSM2769397	2.087352284501784
GRAP	GSM2769398	2.095066375395295
GRAP	GSM3103946	2.0200312999251313
GRAP	GSM3103947	8.227198213102586
GRAP	GSM3103948	7.881231293089169
GRAP	GSM3103949	7.627346148885487
GRAP	GSM3103950	4.657621357448585
GRAP	GSM3103951	5
GRAP	GSM3103952	1.004257750689395
GRAP	GSM3103953	5.050078249812829
GRAP	GSM3103954	4.012125716398598
GRAP	GSM3103955	6.887914524416754
GRAP	GSM3103956	4.111521363986272
GRAP	GSM3103957	6.09689107937513
GRAP	GSM3103958	8.197686252137014
GRAP	GSM3103959	5.015157145498248
GRAP	GSM3103960	2
GRAP	GSM3103961	4.481752961737877
GRAP	GSM3103962	3.02278743564232
GRAP	GSM3103963	3.0817047136222646
GRAP	GSM3103964	7.074551870019157
GRAP	GSM3103965	6
GRAP	GSM4260265	1.018588891444416
GRAP	GSM4260266	1.010650267145594
GRAP	GSM4260267	2.104284269188837
GRAP	GSM4260268	1.0473759581317816
GRAP	GSM4260269	1.0157440832984626
GRAP	GSM4260270	1.0121809652873912
GRAP	GSM4260271	1.0903486973623564
GRAP	GSM4260272	2.1384403970846058
GRAP	GSM4260273	1.0069631126805123
GRAP	GSM4260274	0.7458662304601242
GRAP	GSM4260275	1.0621650136918133
GRAP	GSM4260276	1.0109102076785366
GRAP	GSM4735785	5.443459411073148
GRAP	GSM4735786	10.467313638759787
GRAP	GSM4735787	14.554415579031897
GRAP	GSM4735788	10.536994428336945
GRAP	GSM4735789	18.752937384784815
GRAP	GSM4735790	9.453104223323388
GRAP	GSM4735791	11.610312459439548
GRAP	GSM4735792	6.413162327239777
GRAP	GSM4735793	11.812020412547955
GRAP	GSM4735794	31.504840963163993
GRAP	GSM4735795	2.0755803641855257
GRAP	GSM4735796	2.1769577797740154
GRAP	GSM4735797	1.0740004943863672
GRAP	GSM4735798	2.222240206508443
GRAP	GSM4735799	1.0788214694507128
GRAP	GSM4735800	1.1094091366076655
GRAP	GSM4735801	1.060380527461417
GRAP	GSM4735802	2.066413163795675
GRAP	GSM4735803	1.033060999088088
GRAP	GSM4735804	1.0622613925839497
GRAP	GSM5282507	77
GRAP	GSM5282508	87.52466216207563
GRAP	GSM5282509	78.23645146977267
GRAP	GSM5282510	8.620245338980522
GRAP	GSM5282511	27.269916044101254
GRAP	GSM5282512	33.07111436619509
GRAP	GSM5282513	111.116554206529
GRAP	GSM5282514	63
GRAP	GSM5282515	140.81960671652982
GRAP	GSM5282516	43.16784282732181
GRAP	GSM5282517	21.910816958184743
GRAP	GSM5282518	121
GRAP	GSM5282519	17.507941474702687
GRAP	GSM5282520	42.69918147643974
GRAP	GSM5282521	48.28004051341548
GRAP	GSM5282522	26.741680757887345
GRAP	GSM5282523	88
GRAP	GSM5282524	64.6410015976042
GRAP	GSM5282525	134
GRAP	GSM5282526	120
GRAP	GSM5282527	64.38861105674786
GRAP	GSM5282528	82.82910613169801
GRAP	GSM5282529	235
GRAP	GSM5282530	29.58381678190982
GRAP	GSM5282531	37.19019596717117
GRAP	GSM5282532	174.6820453708855
GRAP	GSM5282533	112.48139941541088
GRAP	GSM5282534	214.64872582732505
GRAP	GSM5282535	112
GRAP	GSM5282536	94.29964805782802
GRAP	GSM4260927	94
GRAP	GSM4260928	63.839900846609034
GRAP	GSM4260929	47.0686448134551
GRAP	GSM4260930	80
GRAP	GSM4260931	48.07269924443179
GRAP	GSM4260932	43
GRAP	GSM4260933	20.75619228047332
GRAP	GSM4260934	45
GRAP	GSM4260935	49.36523804865868
GRAP	GSM4260936	31.452966266714657
GRAP	GSM4260937	41
GRAP	GSM4260938	46.091150131987135
GRAP	GSM4260939	16
GRAP	GSM4260940	22.13358505075708
GRAP	GSM4260941	104
GRAP	GSM4260942	39.815285111872264
GRAP	GSM4260943	25.34936775748065
GRAP	GSM4260944	40.930713584934885
GRAP	GSM4260945	41.186574107846305
GRAP	GSM4260946	51.50875765637095
GRAP	GSM4260947	20.456891329147155
GRAP	GSM4260948	73.46144516829172
GRAP	GSM4260949	32.903243409435376
GRAP	GSM4260950	51
GRAP	GSM4260951	40.608687057873766
GRAP	GSM4260952	39.411028945627926
GRAP	GSM4260953	25.705391004469252
GRAP	GSM4260954	35.21252167165899
GRAP	GSM4260955	32.35851985057267
GRAP	GSM4260956	29.60240500722103
GRAP	GSM4260957	47.16853370397745
GRAP	GSM4260958	29.227050187614022
GRAP	GSM4260959	12.196918415016125
GRAP	GSM4260960	23.125127023693206
GRAP	GSM4260961	58.13929256859651
GRAP	GSM4260962	48.14550859678318
GRAP	GSM4260963	34
GRAP	GSM4260964	33
GRAP	GSM4260965	15.708425682030486
GRAP	GSM4260966	58.732538313900626
GRAP	GSM4260967	26.413314748252375
GRAP	GSM4260968	24
GRAP	GSM4260969	14.021203946292603
GRAP	GSM4260970	23.760895941739648
GRAP	GSM4260971	16.07031883409941
GRAP	GSM4260972	31.345426460862157
GRAP	GSM4260973	47.14247716768353
GRAP	GSM4260974	36.54611296786442
GRAP	GSM4260975	27
GRAP	GSM4260976	36
GRAP	GSM4260977	16.56060140212817
GRAP	GSM4260978	50
GRAP	GSM4260979	37.846084630835925
GRAP	GSM4260980	42.069560283701215
GRAP	GSM4260981	57.31532644461428
GRAP	GSM4260982	64.19401146237757
GRAP	GSM4260983	31.433216019276006
GRAP	GSM4260984	57.95288949662826
GRAP	GSM4260985	41.73119457011947
GRAP	GSM4260986	14.82900328764405
GRAP	GSM4260987	10.530740031895578
GRAP	GSM4260988	27.37027750792467
GRAP	GSM4260989	31
GRAP	GSM4260990	49.55274514061465
GRAP	GSM4260991	42
GRAP	GSM4260992	49.13386460316428
GRAP	GSM4260993	13.213328282934134
GRAP	GSM4260994	31.149210088986905
GRAP	GSM4260995	13.362444432955384
GRAP	GSM4260996	36.54116385555468
GRAP	GSM4260997	35
GRAP	GSM4260998	26.861450469785737
GRAP	GSM4260999	66
GRAP	GSM4261000	40.769155816070274
GRAP	GSM4261001	40
GRAP	GSM4261002	35.54532373391794
GRAP	GSM4261003	30.04543702776987
GRAP	GSM4261004	11.49447372358489
GRAP	GSM4261005	45
