Gene	sample	counts
GS1-25M2.1	GSM1022678	2.021470291267711
GS1-25M2.1	GSM1022679	2.1695788060616557
GS1-25M2.1	GSM1022680	1.0228168238050332
GS1-25M2.1	GSM1022681	2.0477339723572094
GS1-25M2.1	GSM1022682	4.040062599850263
GS1-25M2.1	GSM1022683	1.0146118150553114
GS1-25M2.1	GSM1022684	1.0467182798015733
GS1-25M2.1	GSM1022685	2.055760681993136
GS1-25M2.1	GSM1022686	1.0487648077875216
GS1-25M2.1	GSM1022687	1.0947477718953087
GS1-25M2.1	GSM1022688	1.0495019380689916
GS1-25M2.1	GSM1022689	1.0210351304622294
GS1-25M2.1	GSM1022690	1.090378271733954
GS1-25M2.1	GSM1022691	1.0735439206438182
GS1-25M2.1	GSM1022692	1.0161485132291883
GS1-25M2.1	GSM1022693	1.008488226377649
GS1-25M2.1	GSM1022694	1.0424844615251376
GS1-25M2.1	GSM1022695	1.0216766714505208
GS1-25M2.1	GSM1385778	2
GS1-25M2.1	GSM1385779	1.078610408176517
GS1-25M2.1	GSM1385780	2.1298273325407133
GS1-25M2.1	GSM1385781	1.0078549668039407
GS1-25M2.1	GSM1385782	1.0045505879962513
GS1-25M2.1	GSM1385783	1.062305800204984
GS1-25M2.1	GSM1415906	1
GS1-25M2.1	GSM1415907	2.0121440955233707
GS1-25M2.1	GSM1415908	1.013077440794964
GS1-25M2.1	GSM1415909	1.0060720477616854
GS1-25M2.1	GSM1415910	1.0069631126805123
GS1-25M2.1	GSM1415911	1.0030314290996496
GS1-25M2.1	GSM1415912	1.150105681887296
GS1-25M2.1	GSM1415913	1.163403279252366
GS1-25M2.1	GSM1415914	1.1043156152702678
GS1-25M2.1	GSM1415915	1.079995560610013
GS1-25M2.1	GSM1415916	1.0850968187995071
GS1-25M2.1	GSM1415917	1.107408486899727
GS1-25M2.1	GSM1415918	1.1164525767485525
GS1-25M2.1	GSM1415919	1.1135130002794067
GS1-25M2.1	GSM1415920	1.0918758521094598
GS1-25M2.1	GSM1415921	1.0614142933872277
GS1-25M2.1	GSM2769390	1.075066242001491
GS1-25M2.1	GSM2769391	1.0563344237307208
GS1-25M2.1	GSM2769392	1.043823220986215
GS1-25M2.1	GSM2769393	1.0324123095438906
GS1-25M2.1	GSM2769394	1.017949289364482
GS1-25M2.1	GSM2769395	1.0565016669106198
GS1-25M2.1	GSM2769396	1.016643714613284
GS1-25M2.1	GSM2769397	1.043676142250892
GS1-25M2.1	GSM2769398	1.0475331876976477
GS1-25M2.1	GSM3103946	11.110172149588225
GS1-25M2.1	GSM3103947	17.368529560994347
GS1-25M2.1	GSM3103948	11.463609153584246
GS1-25M2.1	GSM3103949	11.864760676044092
GS1-25M2.1	GSM3103950	11.311366153803707
GS1-25M2.1	GSM3103951	15
GS1-25M2.1	GSM3103952	10.04257750689395
GS1-25M2.1	GSM3103953	18.180281699326184
GS1-25M2.1	GSM3103954	13.039408578295443
GS1-25M2.1	GSM3103955	9.537112418423195
GS1-25M2.1	GSM3103956	10.27880340996568
GS1-25M2.1	GSM3103957	12.19378215875026
GS1-25M2.1	GSM3103958	11.271818596688396
GS1-25M2.1	GSM3103959	13.039408578295443
GS1-25M2.1	GSM3103960	19
GS1-25M2.1	GSM3103961	18.823362439299085
GS1-25M2.1	GSM3103962	9.06836230692696
GS1-25M2.1	GSM3103963	8.217879236326038
GS1-25M2.1	GSM3103964	12.127803205747126
GS1-25M2.1	GSM3103965	17
GS1-25M2.1	GSM4260265	1.018588891444416
GS1-25M2.1	GSM4260266	1.010650267145594
GS1-25M2.1	GSM4260267	1.0521421345944184
GS1-25M2.1	GSM4260268	1.0473759581317816
GS1-25M2.1	GSM4260269	1.0157440832984626
GS1-25M2.1	GSM4260270	1.0121809652873912
GS1-25M2.1	GSM4260271	1.0903486973623564
GS1-25M2.1	GSM4260272	1.0692201985423029
GS1-25M2.1	GSM4260273	1.0069631126805123
GS1-25M2.1	GSM4260274	4.475197382760745
GS1-25M2.1	GSM4260275	1.0621650136918133
GS1-25M2.1	GSM4260276	1.0109102076785366
GS1-25M2.1	GSM4735785	1.0886918822146296
GS1-25M2.1	GSM4735786	1.046731363875979
GS1-25M2.1	GSM4735787	1.0396011127879927
GS1-25M2.1	GSM4735788	1.0536994428336943
GS1-25M2.1	GSM4735789	1.0418298547102676
GS1-25M2.1	GSM4735790	1.0503449137025986
GS1-25M2.1	GSM4735791	1.0554829508581407
GS1-25M2.1	GSM4735792	1.0688603878732963
GS1-25M2.1	GSM4735793	1.0738200375043596
GS1-25M2.1	GSM4735794	1.0501613654387998
GS1-25M2.1	GSM4735795	1.0377901820927629
GS1-25M2.1	GSM4735796	1.0884788898870077
GS1-25M2.1	GSM4735797	1.0740004943863672
GS1-25M2.1	GSM4735798	1.1111201032542215
GS1-25M2.1	GSM4735799	1.0788214694507128
GS1-25M2.1	GSM4735800	1.1094091366076655
GS1-25M2.1	GSM4735801	1.060380527461417
GS1-25M2.1	GSM4735802	1.0332065818978375
GS1-25M2.1	GSM4735803	1.033060999088088
GS1-25M2.1	GSM4735804	1.0622613925839497
GS1-25M2.1	GSM5282507	4
GS1-25M2.1	GSM5282508	1.029701907789125
GS1-25M2.1	GSM5282509	2.006062858199299
GS1-25M2.1	GSM5282510	2.1550613347451306
GS1-25M2.1	GSM5282511	1.0488429247731252
GS1-25M2.1	GSM5282512	1.0334723239435966
GS1-25M2.1	GSM5282513	6.116507571001596
GS1-25M2.1	GSM5282514	9
GS1-25M2.1	GSM5282515	1.027880340996568
GS1-25M2.1	GSM5282516	1.052874215300532
GS1-25M2.1	GSM5282517	1.0433722361040354
GS1-25M2.1	GSM5282518	2
GS1-25M2.1	GSM5282519	1.094246342168918
GS1-25M2.1	GSM5282520	1.0414434506448718
GS1-25M2.1	GSM5282521	1.0272349045407547
GS1-25M2.1	GSM5282522	1.0285261829956671
GS1-25M2.1	GSM5282523	5
GS1-25M2.1	GSM5282524	1.0100156499625657
GS1-25M2.1	GSM5282525	1
GS1-25M2.1	GSM5282526	2
GS1-25M2.1	GSM5282527	2.0121440955233707
GS1-25M2.1	GSM5282528	3.0677446715443706
GS1-25M2.1	GSM5282529	2
GS1-25M2.1	GSM5282530	1.020131613169304
GS1-25M2.1	GSM5282531	1.033060999088088
GS1-25M2.1	GSM5282532	9.035278208838903
GS1-25M2.1	GSM5282533	2.8120349853852717
GS1-25M2.1	GSM5282534	2.006062858199299
GS1-25M2.1	GSM5282535	7
GS1-25M2.1	GSM5282536	4.055898841196904
GS1-25M2.1	GSM4260927	16
GS1-25M2.1	GSM4260928	14.030747438815173
GS1-25M2.1	GSM4260929	8.382087432533101
GS1-25M2.1	GSM4260930	21
GS1-25M2.1	GSM4260931	13.019689378700276
GS1-25M2.1	GSM4260932	4
GS1-25M2.1	GSM4260933	9.962972294627194
GS1-25M2.1	GSM4260934	12
GS1-25M2.1	GSM4260935	15.111807565915925
GS1-25M2.1	GSM4260936	6.087670890331868
GS1-25M2.1	GSM4260937	9
GS1-25M2.1	GSM4260938	9.427735254270097
GS1-25M2.1	GSM4260939	4
GS1-25M2.1	GSM4260940	12.072864573140226
GS1-25M2.1	GSM4260941	9
GS1-25M2.1	GSM4260942	17.063693619373826
GS1-25M2.1	GSM4260943	8.111797682393808
GS1-25M2.1	GSM4260944	14.446134206447608
GS1-25M2.1	GSM4260945	5.022752939981257
GS1-25M2.1	GSM4260946	13.937663836429786
GS1-25M2.1	GSM4260947	11.251290231030936
GS1-25M2.1	GSM4260948	13.008797581884991
GS1-25M2.1	GSM4260949	10.282263565448554
GS1-25M2.1	GSM4260950	14
GS1-25M2.1	GSM4260951	12.690214705585552
GS1-25M2.1	GSM4260952	10.081891125625749
GS1-25M2.1	GSM4260953	4.760257593420232
GS1-25M2.1	GSM4260954	11.06679252537854
GS1-25M2.1	GSM4260955	4.17529288394486
GS1-25M2.1	GSM4260956	8.166180691647181
GS1-25M2.1	GSM4260957	6.1144395542193
GS1-25M2.1	GSM4260958	8.35058576788972
GS1-25M2.1	GSM4260959	4.065639471672041
GS1-25M2.1	GSM4260960	5.027201526889828
GS1-25M2.1	GSM4260961	5.012007980051424
GS1-25M2.1	GSM4260962	18.054565723793697
GS1-25M2.1	GSM4260963	5
GS1-25M2.1	GSM4260964	13
GS1-25M2.1	GSM4260965	8.37782703041626
GS1-25M2.1	GSM4260966	11.36758806075496
GS1-25M2.1	GSM4260967	5.112254467403686
GS1-25M2.1	GSM4260968	10
GS1-25M2.1	GSM4260969	12.018174811107947
GS1-25M2.1	GSM4260970	5.544209053072584
GS1-25M2.1	GSM4260971	2.7948380581042453
GS1-25M2.1	GSM4260972	7.077999523420487
GS1-25M2.1	GSM4260973	5.015157145498248
GS1-25M2.1	GSM4260974	11.166867851291906
GS1-25M2.1	GSM4260975	12
GS1-25M2.1	GSM4260976	14
GS1-25M2.1	GSM4260977	11.385413463963117
GS1-25M2.1	GSM4260978	13
GS1-25M2.1	GSM4260979	13.246129620792573
GS1-25M2.1	GSM4260980	4.124466694480511
GS1-25M2.1	GSM4260981	9.431635997215007
GS1-25M2.1	GSM4260982	11.033345720096143
GS1-25M2.1	GSM4260983	4.055898841196904
GS1-25M2.1	GSM4260984	7.938751985839487
GS1-25M2.1	GSM4260985	6.706799127340629
GS1-25M2.1	GSM4260986	15.609477144888473
GS1-25M2.1	GSM4260987	5.265370015947789
GS1-25M2.1	GSM4260988	13.17828176307484
GS1-25M2.1	GSM4260989	4
GS1-25M2.1	GSM4260990	16.517581713538217
GS1-25M2.1	GSM4260991	11
GS1-25M2.1	GSM4260992	9.677882421835388
GS1-25M2.1	GSM4260993	9.147688811262093
GS1-25M2.1	GSM4260994	11.326985486904327
GS1-25M2.1	GSM4260995	5.13940170498284
GS1-25M2.1	GSM4260996	6.643847973737214
GS1-25M2.1	GSM4260997	18
GS1-25M2.1	GSM4260998	13.023733561108235
GS1-25M2.1	GSM4260999	12
GS1-25M2.1	GSM4261000	8.153831163214056
GS1-25M2.1	GSM4261001	3
