Gene	sample	counts
HADHAP1	GSM1022678	3.0319508014367815
HADHAP1	GSM1022679	1.0848245726655648
HADHAP1	GSM1022680	3.068533699372073
HADHAP1	GSM1022681	1.0238669861786047
HADHAP1	GSM1022682	8.080125199700525
HADHAP1	GSM1022683	1.0146118150553114
HADHAP1	GSM1022684	4.186873119206293
HADHAP1	GSM1022685	1.027880340996568
HADHAP1	GSM1022686	1.0488429247731252
HADHAP1	GSM1022687	1.094806600045286
HADHAP1	GSM1022688	1.0495019380689916
HADHAP1	GSM1022689	1.0210351304622294
HADHAP1	GSM1022690	3.270965431037464
HADHAP1	GSM1022691	1.0735439206438182
HADHAP1	GSM1022692	3.048445539687565
HADHAP1	GSM1022693	3.0254646791329467
HADHAP1	GSM1022694	1.0425127376380217
HADHAP1	GSM1022695	1.0219117298859002
HADHAP1	GSM1385778	3
HADHAP1	GSM1385779	2.157510229677664
HADHAP1	GSM1385780	1.065003532520631
HADHAP1	GSM1385781	2.0157099336078814
HADHAP1	GSM1385782	4.018202351985005
HADHAP1	GSM1385783	1.0625040851541827
HADHAP1	GSM1415906	2
HADHAP1	GSM1415907	2.0121440955233707
HADHAP1	GSM1415908	2.0261548815899277
HADHAP1	GSM1415909	3.0182161432850565
HADHAP1	GSM1415910	2.0139262253610246
HADHAP1	GSM1415911	5.015157145498248
HADHAP1	GSM1415912	2.3003133228277397
HADHAP1	GSM1415913	2.327134460764938
HADHAP1	GSM1415914	2.2087071757611305
HADHAP1	GSM1415915	2.160045511126589
HADHAP1	GSM1415916	2.170072616711254
HADHAP1	GSM1415917	2.214816973799454
HADHAP1	GSM1415918	2.233003650711584
HADHAP1	GSM1415919	2.2269277670169383
HADHAP1	GSM1415920	2.1836173891344672
HADHAP1	GSM1415921	2.1228809351057203
HADHAP1	GSM2769390	4.300148331754648
HADHAP1	GSM2769391	4.225411206932612
HADHAP1	GSM2769392	2.08764644197243
HADHAP1	GSM2769393	4.129751956700708
HADHAP1	GSM2769394	1.0180301231797395
HADHAP1	GSM2769395	4.226151981628884
HADHAP1	GSM2769396	2.0332175157205863
HADHAP1	GSM2769397	1.0437691702869765
HADHAP1	GSM2769398	1.0476453445591134
HADHAP1	GSM3103946	4.040062599850263
HADHAP1	GSM3103947	2.7436708980963043
HADHAP1	GSM3103948	0.7165894045265612
HADHAP1	GSM3103949	0.8474829054317209
HADHAP1	GSM3103950	1.996347430800136
HADHAP1	GSM3103951	1
HADHAP1	GSM3103952	5.022752939981257
HADHAP1	GSM3103953	2.0200312999251313
HADHAP1	GSM3103954	1.0030314290996496
HADHAP1	GSM3103955	2.119481630862768
HADHAP1	GSM3103956	2.055760681993136
HADHAP1	GSM3103957	3.048445539687565
HADHAP1	GSM3103958	2.049547623685578
HADHAP1	GSM3103959	3.009094287298949
HADHAP1	GSM3103960	6
HADHAP1	GSM3103961	3.584075537175091
HADHAP1	GSM3103962	1.0075958118807733
HADHAP1	GSM3103963	2.0544698090815094
HADHAP1	GSM3103964	4.042601068582376
HADHAP1	GSM3103965	1
HADHAP1	GSM4260265	1.018588891444416
HADHAP1	GSM4260266	2.021300534291188
HADHAP1	GSM4260267	2.1044565526046184
HADHAP1	GSM4260268	2.0947519162635633
HADHAP1	GSM4260269	3.0472322498953877
HADHAP1	GSM4260270	1.0121809652873912
HADHAP1	GSM4260271	2.1807565434679077
HADHAP1	GSM4260272	1.069256964373882
HADHAP1	GSM4260273	2.0139262253610246
HADHAP1	GSM4260274	5.967547969713865
HADHAP1	GSM4260275	1.0621840232928137
HADHAP1	GSM4260276	2.021820415357073
HADHAP1	GSM4735785	2.177205510755199
HADHAP1	GSM4735786	2.0933892283579585
HADHAP1	GSM4735787	2.078877626659706
HADHAP1	GSM4735788	2.107231553593102
HADHAP1	GSM4735789	2.0839533465197264
HADHAP1	GSM4735790	8.402267667307722
HADHAP1	GSM4735791	2.1111339810902083
HADHAP1	GSM4735792	2.13791132141245
HADHAP1	GSM4735793	2.1476400750087192
HADHAP1	GSM4735794	2.1003227308775996
HADHAP1	GSM4735795	2.0758165587341395
HADHAP1	GSM4735796	2.176970141800284
HADHAP1	GSM4735797	2.14824542456174
HADHAP1	GSM4735798	2.221954806547013
HADHAP1	GSM4735799	2.157834183307323
HADHAP1	GSM4735800	2.2184454605123403
HADHAP1	GSM4735801	2.120797924946873
HADHAP1	GSM4735802	2.066526294610062
HADHAP1	GSM4735803	2.066121998176176
HADHAP1	GSM4735804	2.124446588869675
HADHAP1	GSM5282507	1
HADHAP1	GSM5282508	2.058874270499667
HADHAP1	GSM5282509	3.009094287298949
HADHAP1	GSM5282510	1.077456568009615
HADHAP1	GSM5282511	2.097146460811687
HADHAP1	GSM5282512	5.167361619717983
HADHAP1	GSM5282513	6.1153733724105415
HADHAP1	GSM5282514	1
HADHAP1	GSM5282515	2.055760681993136
HADHAP1	GSM5282516	1.052647232824813
HADHAP1	GSM5282517	1.0431677735246987
HADHAP1	GSM5282518	1
HADHAP1	GSM5282519	1.0939649729877647
HADHAP1	GSM5282520	1.0412865799843114
HADHAP1	GSM5282521	1.0270901631634777
HADHAP1	GSM5282522	1.0284996700603346
HADHAP1	GSM5282523	4
HADHAP1	GSM5282524	1.0100156499625657
HADHAP1	GSM5282525	5
HADHAP1	GSM5282526	3
HADHAP1	GSM5282527	1.0060720477616854
HADHAP1	GSM5282528	2.0446372310689633
HADHAP1	GSM5282529	3
HADHAP1	GSM5282530	1.0199878726732972
HADHAP1	GSM5282531	1.033060999088088
HADHAP1	GSM5282532	8.031358407856805
HADHAP1	GSM5282533	0.9398219371871112
HADHAP1	GSM5282534	3.009094287298949
HADHAP1	GSM5282535	2
HADHAP1	GSM5282536	3.0411419453249633
HADHAP1	GSM4260927	1
HADHAP1	GSM4260928	0.7016260847187069
HADHAP1	GSM4260929	1.9342904157299268
HADHAP1	GSM4260930	2
HADHAP1	GSM4260931	2.003029135184658
HADHAP1	GSM4260932	1
HADHAP1	GSM4260933	1.6616305946526635
HADHAP1	GSM4260934	4
HADHAP1	GSM4260935	4.029208347433534
HADHAP1	GSM4260936	1.0146118150553114
HADHAP1	GSM4260937	4
HADHAP1	GSM4260938	7.33248409090241
HADHAP1	GSM4260939	3
HADHAP1	GSM4260940	5.030360238808427
HADHAP1	GSM4260941	9
HADHAP1	GSM4260942	2.844355779110563
HADHAP1	GSM4260943	2.027949420598452
HADHAP1	GSM4260944	1.605130194279602
HADHAP1	GSM4260945	1.0045505879962513
HADHAP1	GSM4260946	0.6060113428806192
HADHAP1	GSM4260947	1.0228445664573578
HADHAP1	GSM4260948	1.5304750149277118
HADHAP1	GSM4260949	1.0282263565448555
HADHAP1	GSM4260950	1
HADHAP1	GSM4260951	0.8458788970040437
HADHAP1	GSM4260952	4.583449940549733
HADHAP1	GSM4260953	0.9516627747813976
HADHAP1	GSM4260954	3.0182161432850565
HADHAP1	GSM4260955	1.043823220986215
HADHAP1	GSM4260956	4.0830903458235905
HADHAP1	GSM4260957	0.8729870727507945
HADHAP1	GSM4260958	1.043823220986215
HADHAP1	GSM4260959	1.0164098679180102
HADHAP1	GSM4260960	3.0163209161338966
HADHAP1	GSM4260961	2.004803192020569
HADHAP1	GSM4260962	2.006062858199299
HADHAP1	GSM4260963	3
HADHAP1	GSM4260964	1
HADHAP1	GSM4260965	2.094218442100524
HADHAP1	GSM4260966	1.8952121562434827
HADHAP1	GSM4260967	0.8519533370283385
HADHAP1	GSM4260968	2
HADHAP1	GSM4260969	1.001514567592329
HADHAP1	GSM4260970	0.7921955737527068
HADHAP1	GSM4260971	2.7932801142327017
HADHAP1	GSM4260972	3.0334283671802087
HADHAP1	GSM4260973	3.009094287298949
HADHAP1	GSM4260974	1.0151062675576712
HADHAP1	GSM4260975	1
HADHAP1	GSM4260976	2
HADHAP1	GSM4260977	3.1051127628990316
HADHAP1	GSM4260978	4
HADHAP1	GSM4260979	1.892219097356024
HADHAP1	GSM4260980	4.12708305103792
HADHAP1	GSM4260981	2.176437186191841
HADHAP1	GSM4260982	2.006062858199299
HADHAP1	GSM4260983	1.013974710299226
HADHAP1	GSM4260984	0.7935449143206539
HADHAP1	GSM4260985	1.490753368969761
HADHAP1	GSM4260986	0.7806539133109752
HADHAP1	GSM4260987	1.0530740031895578
HADHAP1	GSM4260988	1.0137139817749876
HADHAP1	GSM4260989	7
HADHAP1	GSM4260990	2.7540299852503294
HADHAP1	GSM4260991	1
HADHAP1	GSM4260992	0.7445186465415385
HADHAP1	GSM4260993	5.082049339590051
HADHAP1	GSM4260994	3.77673540042479
HADHAP1	GSM4260995	3.083641022989704
HADHAP1	GSM4260996	3.322773731859557
HADHAP1	GSM4260997	2
HADHAP1	GSM4260998	1.6282665539824854
HADHAP1	GSM4260999	1
HADHAP1	GSM4261000	3.0576866862052707
HADHAP1	GSM4261001	1
HADHAP1	GSM4261002	1.0770752468138372
HADHAP1	GSM4261003	1.001514567592329
HADHAP1	GSM4261004	3.1348949441761036
HADHAP1	GSM4261005	2
HADHAP1	GSM4261006	6.119215808934082
HADHAP1	GSM4261007	1.0629691098517384
HADHAP1	GSM4261008	2
HADHAP1	GSM4261009	1.0290274164106328
HADHAP1	GSM4261010	2.120740429231112
HADHAP1	GSM4261011	1.0137139817749876
HADHAP1	GSM4261012	1.1827057416311022
HADHAP1	GSM4261013	2.070075175266022
HADHAP1	GSM4261014	2.06040742834411
HADHAP1	GSM4261015	2.024882599035682
HADHAP1	GSM4261016	4
HADHAP1	GSM4261017	3.0365428958621736
HADHAP1	GSM4261018	2.8464747781697644
HADHAP1	GSM4261019	1.018326976452085
HADHAP1	GSM4261020	1.0882479958446667
HADHAP1	GSM4261021	2.0695428862059218
HADHAP1	GSM4261022	2.0091011759925026
HADHAP1	GSM4261023	2
HADHAP1	GSM4261024	2.090457019542007
HADHAP1	GSM4261025	1.0303488943225554
HADHAP1	GSM4261026	3.1448332654920357
HADHAP1	GSM4261027	2.6659331127588475
HADHAP1	GSM4818000	1.008488226377649
HADHAP1	GSM4818001	4.140150350532043
HADHAP1	GSM4818002	3.0770443220119854
HADHAP1	GSM4818003	3.120045124989981
HADHAP1	GSM4818004	1.1393931266558035
HADHAP1	GSM4818005	1.0559930474498145
HADHAP1	GSM4818006	1.1431211699566652
HADHAP1	GSM4818007	1.1466276217887157
HADHAP1	GSM4818008	1.0100156499625657
HADHAP1	GSM4818009	1.033507309574384
HADHAP1	GSM4818010	3.211224607586038
HADHAP1	GSM4818011	5.5148491425145085
HADHAP1	GSM4818012	1.010650267145594
HADHAP1	GSM4818013	1.0252732166083354
HADHAP1	GSM4818014	3.385497011358825
HADHAP1	GSM4818015	3.185589276038757
HADHAP1	GSM4818016	1.0435548173611453
HADHAP1	GSM4818017	3.048445539687565
HADHAP1	GSM4818018	9.215874199244997
HADHAP1	GSM4818019	3.031523587823909
HADHAP1	GSM4818020	1.0075958118807733
HADHAP1	GSM4818021	1.0121809652873912
HADHAP1	GSM4818022	1.0472159821248226
HADHAP1	GSM4818023	1.0724718942078575
HADHAP1	GSM3056394	2.101403281169707
HADHAP1	GSM3056395	2.193743154240678
HADHAP1	GSM3056396	2.3325588179152192
HADHAP1	GSM3056397	2.1003227308775996
HADHAP1	GSM3056398	2.029223630110623
HADHAP1	GSM3056399	2.1513782386822013
HADHAP1	GSM3056400	2.1121690981261625
HADHAP1	GSM3056401	2.0768281699500504
HADHAP1	GSM3056402	2.1005669168269305
HADHAP1	GSM3056403	2.067837624266865
HADHAP1	GSM3056404	2.029223630110623
HADHAP1	GSM3056405	2.223933707262284
HADHAP1	GSM3056406	2.1367964818040357
HADHAP1	GSM3056407	2.1457978219090164
HADHAP1	GSM3056408	2.072677348792304
HADHAP1	GSM3056409	2.0737436764007984
HADHAP1	GSM3056410	2.33925918649694
HADHAP1	GSM3056411	2.4090190086625394
HADHAP1	GSM3056412	2.316758594823641
HADHAP1	GSM3056413	2.2466234907856513
HADHAP1	GSM3056414	2.0415451729117953
HADHAP1	GSM3056415	2.0822434906755647
HADHAP1	GSM3056416	2.3357483715959733
HADHAP1	GSM3056417	2.097089579827964
HADHAP1	GSM3056418	2.0232312778419352
HADHAP1	GSM3056419	7.572299270130658
HADHAP1	GSM3056420	2.03966846765187
HADHAP1	GSM3056421	2.1938270835151
HADHAP1	GSM3056422	2.2063558603692366
HADHAP1	GSM3056423	2.3638473690375563
HADHAP1	GSM3056424	2.14695470968067
HADHAP1	GSM3056425	2.317452121628373
HADHAP1	GSM3056426	2.068243359040794
HADHAP1	GSM3056427	2.273926843046882
HADHAP1	GSM3056428	2.0536521243909864
HADHAP1	GSM3056429	2.1514990874621502
HADHAP1	GSM3056430	2.078840390672179
HADHAP1	GSM3056431	2.203361127738502
HADHAP1	GSM3056432	2.0855051797066526
HADHAP1	GSM3056433	2.301203389856007
HADHAP1	GSM3056434	2.0513628813413236
HADHAP1	GSM3056435	2.248026287882194
HADHAP1	GSM3056436	2.2273947669187657
HADHAP1	GSM3056437	2.209872082492849
HADHAP1	GSM3056438	2.1310122581776496
HADHAP1	GSM3056439	2.1557273951314
HADHAP1	GSM3056440	2.3856712731677607
HADHAP1	GSM3056441	2.408624091711007
HADHAP1	GSM3056442	2.0243619305747824
HADHAP1	GSM3056443	2.0484432237778525
HADHAP1	GSM3056444	2.2349813929828146
HADHAP1	GSM3056445	2.070075175266022
HADHAP1	GSM3056446	7.0852667570117385
HADHAP1	GSM3056447	7.063853186905301
HADHAP1	GSM3056448	2.033573967676124
HADHAP1	GSM3056449	2.132620964646961
HADHAP1	GSM3056450	2.0317045900046313
HADHAP1	GSM3056451	2.1633358056369376
HADHAP1	GSM3056452	2.0634720855116675
HADHAP1	GSM3056453	2.038457790803514
HADHAP1	GSM3056454	2.145548377973659
HADHAP1	GSM3056455	2.0415451729117953
HADHAP1	GSM3056456	2.033573967676124
HADHAP1	GSM3056457	2.1948122348250494
HADHAP1	GSM3056458	2.42662669708033
HADHAP1	GSM3056459	2.235556485219973
HADHAP1	GSM3056460	2.2750885132159935
HADHAP1	GSM3056461	2.2321754524364272
HADHAP1	GSM3056462	2.1773120908499526
HADHAP1	GSM3056463	2.319012632909856
HADHAP1	GSM3056464	2.285397838094053
HADHAP1	GSM3056465	2.298799231610497
HADHAP1	GSM3056466	2.158417111202936
HADHAP1	GSM3056467	2.1883367945380416
HADHAP1	GSM3056468	2.0464481396538763
HADHAP1	GSM3056469	2.2755249142498317
HADHAP1	GSM3056470	2.2869741301225197
HADHAP1	GSM3056471	2.2849732306119623
HADHAP1	GSM3056472	2.201705609364626
HADHAP1	GSM3056473	2.248351899980275
HADHAP1	GSM3056474	2.0742207852137664
HADHAP1	GSM3056475	2.127242447580364
HADHAP1	GSM3056476	2.1387417540826577
HADHAP1	GSM3056477	2.3674769266621585
HADHAP1	GSM3056478	2.0394511959074775
HADHAP1	GSM3056479	2.1076643926173695
HADHAP1	GSM3056480	2.1268118899212096
HADHAP1	GSM3056481	2.105237363667256
HADHAP1	GSM3056482	7.145408105191283
HADHAP1	GSM3056483	2.0508354038694527
HADHAP1	GSM3056484	2.038457790803514
HADHAP1	GSM3056485	2.027949420598452
HADHAP1	GSM3056486	2.003029135184658
HADHAP1	GSM3056487	2.071666654963943
HADHAP1	GSM3056488	2.0433533429010415
HADHAP1	GSM3056489	2.0560518270215606
HADHAP1	GSM3056490	2.2981388976499852
HADHAP1	GSM3056491	2.1849290544879625
HADHAP1	GSM3056492	2.300567781500946
HADHAP1	GSM3056493	7.167068903250233
HADHAP1	GSM3056494	2.154048613314388
HADHAP1	GSM3056495	2.0368907366477527
HADHAP1	GSM3056496	2.1878706026678634
HADHAP1	GSM3056497	2.0795136426529326
HADHAP1	GSM3056498	2.0650930221198265
HADHAP1	GSM3056499	2.211429082480858
HADHAP1	GSM3056500	2.068243359040794
HADHAP1	GSM3056501	2.1084830764196085
HADHAP1	GSM3056502	2.131292216001438
HADHAP1	GSM3056503	2.130221887469568
HADHAP1	GSM3056504	2.265736826679378
HADHAP1	GSM3056505	2.167461482959387
HADHAP1	GSM3056506	2.223933707262284
HADHAP1	GSM3056507	2.0945135671757127
HADHAP1	GSM3056508	2.08300428200948
HADHAP1	GSM3056509	2.26453389044998
HADHAP1	GSM3056510	12.497522788341136
HADHAP1	GSM3056511	2.040263226338608
HADHAP1	GSM3056512	2.055760681993136
HADHAP1	GSM3056513	2.0243619305747824
HADHAP1	GSM3056514	2.040263226338608
HADHAP1	GSM3056515	7.151736700153645
HADHAP1	GSM3056516	2.066121998176176
HADHAP1	GSM3056517	2.229428010335873
HADHAP1	GSM3056518	2.1589986379778874
HADHAP1	GSM3056519	2.089495443255682
HADHAP1	GSM3056520	2.047445438708142
HADHAP1	GSM3056521	2.0531797467471495
HADHAP1	GSM3056522	2.029223630110623
HADHAP1	GSM3056523	2.029223630110623
HADHAP1	GSM3056524	2.1300648388714136
HADHAP1	GSM3056525	2.0984641484924738
HADHAP1	GSM3056526	2.156267119894729
HADHAP1	GSM3056527	2.050074769938749
HADHAP1	GSM3056528	2.0687753138608547
HADHAP1	GSM3056529	2.2966860436846464
HADHAP1	GSM3056530	2.065355694603582
HADHAP1	GSM3056531	2.016976452755298
HADHAP1	GSM3056532	2.1688368617919696
HADHAP1	GSM3056533	2.018243767687229
HADHAP1	GSM3056534	2.312225673673665
HADHAP1	GSM3056535	2.3289248099781497
HADHAP1	GSM3056536	2.092660125338356
HADHAP1	GSM3056537	2.0755803641855257
HADHAP1	GSM3056538	2.0780616356586443
HADHAP1	GSM3056539	2.129729467491208
HADHAP1	GSM3056540	2.0626867036862246
HADHAP1	GSM3056541	2.1919012283096726
HADHAP1	GSM3056542	2.1986261885984555
HADHAP1	GSM3056543	2.096762595569039
HADHAP1	GSM3056544	2.0510738363649224
HADHAP1	GSM3056545	2.024882599035682
HADHAP1	GSM3056546	7.1238127718542295
HADHAP1	GSM3056547	2.127867376447127
HADHAP1	GSM3056548	2.082351317884741
HADHAP1	GSM3056549	2.034097005484672
HADHAP1	GSM3056550	2.114947514718142
HADHAP1	GSM3056551	2.3268102594133864
HADHAP1	GSM3056552	2.0984641484924738
HADHAP1	GSM3056553	2.0274279635499752
HADHAP1	GSM3056554	2.072385300524873
HADHAP1	GSM3056555	2.0648246190877813
HADHAP1	GSM3056556	2.029223630110623
HADHAP1	GSM3056557	2.0200312999251313
HADHAP1	GSM3056558	2.0531797467471495
HADHAP1	GSM3056559	2.033287429226568
HADHAP1	GSM3056560	2.117449976194272
HADHAP1	GSM3056561	2.0446372310689633
HADHAP1	GSM3056562	7.063853186905301
HADHAP1	GSM3056563	2.0713758534054465
HADHAP1	GSM3056564	2.038982084737576
HADHAP1	GSM3056565	2.0078396019642013
HADHAP1	GSM3056566	2.023090773867488
HADHAP1	GSM3056567	2.0433533429010415
HADHAP1	GSM3056568	2.1283368472239643
HADHAP1	GSM3056569	2.036366980472765
HADHAP1	GSM3056570	7.0870890966248865
HADHAP1	GSM3056571	2.05864000371105
HADHAP1	GSM3056572	2.0091011759925026
HADHAP1	GSM3056573	2
HADHAP1	GSM3056574	12.09114974256928
HADHAP1	GSM3056575	2.0477339723572094
HADHAP1	GSM3056576	2.092898263510327
HADHAP1	GSM3056577	2.1189173789918216
HADHAP1	GSM3056578	2.0407879846329844
HADHAP1	GSM3056579	2.0121440955233707
HADHAP1	GSM3056580	7.0106019731463025
HADHAP1	GSM3056581	2.0661780392022138
HADHAP1	GSM3056582	2.0433533429010415
HADHAP1	GSM3056583	2.1928700383719355
HADHAP1	GSM3056584	2.040263226338608
HADHAP1	GSM3056585	2.2095266666623927
HADHAP1	GSM3056586	2.0243619305747824
HADHAP1	GSM3056587	2.093198360181735
HADHAP1	GSM3056588	2.063053405373192
HADHAP1	GSM3056589	2.0736874301716925
HADHAP1	GSM3056590	2.1869033560933926
HADHAP1	GSM3056591	2.0887059679392173
HADHAP1	GSM3056592	2.162665273363487
HADHAP1	GSM3056593	2.0322970264583766
HADHAP1	GSM3056594	2.1422456084095782
HADHAP1	GSM3056595	2.072677348792304
