Gene	sample	counts
HBS1L	GSM1022678	1106.977152358972
HBS1L	GSM1022679	28.4111403621011
HBS1L	GSM1022680	879.96478214883075
HBS1L	GSM1022681	945.4188424803156
HBS1L	GSM1022682	62.0939031907244
HBS1L	GSM1022683	1093.110558617766
HBS1L	GSM1022684	774.5351180237291
HBS1L	GSM1022685	819.974918397167
HBS1L	GSM1022686	975.935306487938
HBS1L	GSM1022687	577.9674903799232
HBS1L	GSM1022688	580.7518759930665
HBS1L	GSM1022689	1051.357741288556
HBS1L	GSM1022690	682.9196331482821
HBS1L	GSM1022691	722.627544768355
HBS1L	GSM1022692	1085.966914730471
HBS1L	GSM1022693	1471.1731076262286
HBS1L	GSM1022694	905.329728461414
HBS1L	GSM1022695	948.9062530585996
HBS1L	GSM1385778	934.8252919208736
HBS1L	GSM1385779	398.2989856491685
HBS1L	GSM1385780	289.6286996094544
HBS1L	GSM1385781	637.6740081310564
HBS1L	GSM1385782	942.1020841085232
HBS1L	GSM1385783	340.298602177282
HBS1L	GSM1415906	1308
HBS1L	GSM1415907	1479.0026892109872
HBS1L	GSM1415908	1161.2541041999382
HBS1L	GSM1415909	1187.425000651377
HBS1L	GSM1415910	1154.9707108304149
HBS1L	GSM1415911	1285.8862921057507
HBS1L	GSM1415912	538.1706581179543
HBS1L	GSM1415913	492.4345468936719
HBS1L	GSM1415914	603.8175154520294
HBS1L	GSM1415915	645.5459409058062
HBS1L	GSM1415916	635.5214107234341
HBS1L	GSM1415917	540.4172557902413
HBS1L	GSM1415918	503.6506140005775
HBS1L	GSM1415919	565.1670304344464
HBS1L	GSM1415920	595.039121402786
HBS1L	GSM1415921	645.8338449184163
HBS1L	GSM2769390	182.98781887010404
HBS1L	GSM2769391	1291.6179777209754
HBS1L	GSM2769392	296.2261430986772
HBS1L	GSM2769393	427.3262917324869
HBS1L	GSM2769394	1015.2144113121964
HBS1L	GSM2769395	379.0081085756946
HBS1L	GSM2769396	600.6317632463628
HBS1L	GSM2769397	227.95054007818675
HBS1L	GSM2769398	297.4974235791897
HBS1L	GSM3103946	449
HBS1L	GSM3103947	779.659101764972
HBS1L	GSM3103948	464.7058630681475
