Gene	sample	counts
HMBOX1-IT1	GSM1022678	1.0118055576926337
HMBOX1-IT1	GSM1022679	1.087332963645819
HMBOX1-IT1	GSM1022680	1.024035163259057
HMBOX1-IT1	GSM1022681	1.0254177019347264
HMBOX1-IT1	GSM1022682	1.010650267145594
HMBOX1-IT1	GSM1022683	1.0155104435348865
HMBOX1-IT1	GSM1022684	2.090219159144348
HMBOX1-IT1	GSM1022685	1.0299388126007114
HMBOX1-IT1	GSM1022686	1.0512971560936306
HMBOX1-IT1	GSM1022687	1.0872700680245635
HMBOX1-IT1	GSM1022688	1.0474332992759388
HMBOX1-IT1	GSM1022689	3.0677446715443706
HMBOX1-IT1	GSM1022690	2.175916143736787
HMBOX1-IT1	GSM1022691	1.0760262278806771
HMBOX1-IT1	GSM1022692	1.0172824963691265
HMBOX1-IT1	GSM1022693	1.0096136609284547
HMBOX1-IT1	GSM1022694	1.0444790802811736
HMBOX1-IT1	GSM1022695	1.0228445664573578
HMBOX1-IT1	GSM1385778	1.0030314290996496
HMBOX1-IT1	GSM1385779	1.077256250738088
HMBOX1-IT1	GSM1385780	1.0665550545786855
HMBOX1-IT1	GSM1385781	1.0118859036434402
HMBOX1-IT1	GSM1385782	1.0069631126805123
HMBOX1-IT1	GSM1385783	1.06319017904285
HMBOX1-IT1	GSM1415906	1.001514567592329
HMBOX1-IT1	GSM1415907	1.0075958118807733
HMBOX1-IT1	GSM1415908	1.015183039205113
HMBOX1-IT1	GSM1415909	1.0075958118807733
HMBOX1-IT1	GSM1415910	1.008488226377649
HMBOX1-IT1	GSM1415911	1.0045505879962513
HMBOX1-IT1	GSM1415912	1.134200941661956
HMBOX1-IT1	GSM1415913	1.1473079818540426
HMBOX1-IT1	GSM1415914	1.094225603357875
HMBOX1-IT1	GSM1415915	1.0757363896737755
HMBOX1-IT1	GSM1415916	1.0760262278806771
HMBOX1-IT1	GSM1415917	1.0953867172131926
HMBOX1-IT1	GSM1415918	1.10242986176477
HMBOX1-IT1	GSM1415919	1.102372776327608
HMBOX1-IT1	GSM1415920	1.0823407984756992
HMBOX1-IT1	GSM1415921	1.0549402171424924
HMBOX1-IT1	GSM2769390	1.0754464105331571
HMBOX1-IT1	GSM2769391	1.0585243543160967
HMBOX1-IT1	GSM2769392	1.0476453445591134
HMBOX1-IT1	GSM2769393	1.0359543069535193
HMBOX1-IT1	GSM2769394	1.0203663161311838
HMBOX1-IT1	GSM2769395	1.059075372841705
HMBOX1-IT1	GSM2769396	1.0181834902363824
HMBOX1-IT1	GSM2769397	1.045256860312832
HMBOX1-IT1	GSM2769398	1.0492468388860623
HMBOX1-IT1	GSM3103946	16.14595014149783
HMBOX1-IT1	GSM3103947	20.18731115658137
HMBOX1-IT1	GSM3103948	19.33773060939896
HMBOX1-IT1	GSM3103949	18.947133357513703
HMBOX1-IT1	GSM3103950	16.040319014352793
HMBOX1-IT1	GSM3103951	18
HMBOX1-IT1	GSM3103952	18.054565723793697
HMBOX1-IT1	GSM3103953	21.191559560715906
HMBOX1-IT1	GSM3103954	19.057597152893344
HMBOX1-IT1	GSM3103955	19.682053587628957
HMBOX1-IT1	GSM3103956	13.350619962610802
HMBOX1-IT1	GSM3103957	14.226079185208636
HMBOX1-IT1	GSM3103958	14.325136977577134
HMBOX1-IT1	GSM3103959	15.022718513884936
HMBOX1-IT1	GSM3103960	27
HMBOX1-IT1	GSM3103961	32.97355727670692
HMBOX1-IT1	GSM3103962	14.106341366330826
HMBOX1-IT1	GSM3103963	16.424427701571055
HMBOX1-IT1	GSM3103964	24.24037559910158
HMBOX1-IT1	GSM3103965	23.034835054623567
HMBOX1-IT1	GSM4260265	1.0214139624814602
HMBOX1-IT1	GSM4260266	1.012441299517841
HMBOX1-IT1	GSM4260267	1.0545087956624577
HMBOX1-IT1	GSM4260268	1.0510914796924773
HMBOX1-IT1	GSM4260269	1.018326976452085
HMBOX1-IT1	GSM4260270	1.0142954367266297
HMBOX1-IT1	GSM4260271	1.0905319319075826
HMBOX1-IT1	GSM4260272	1.0717075320415608
HMBOX1-IT1	GSM4260273	1.0091218838436145
HMBOX1-IT1	GSM4260274	3.6172329931307807
HMBOX1-IT1	GSM4260275	1.0654275756550804
HMBOX1-IT1	GSM4260276	1.0143160447924937
HMBOX1-IT1	GSM4735785	1.0738756443622128
HMBOX1-IT1	GSM4735786	1.0314640964742157
HMBOX1-IT1	GSM4735787	1.0250095828411494
HMBOX1-IT1	GSM4735788	2.0752316187586524
HMBOX1-IT1	GSM4735789	1.0321468400650773
HMBOX1-IT1	GSM4735790	1.0371103926068832
HMBOX1-IT1	GSM4735791	1.0520134275785296
HMBOX1-IT1	GSM4735792	1.0719204247070016
HMBOX1-IT1	GSM4735793	1.0572909654774456
HMBOX1-IT1	GSM4735794	1.044747721627841
HMBOX1-IT1	GSM4735795	1.0352757200311622
HMBOX1-IT1	GSM4735796	1.094525086802148
HMBOX1-IT1	GSM4735797	1.0813698190073815
HMBOX1-IT1	GSM4735798	1.099010715879239
HMBOX1-IT1	GSM4735799	1.0886623535830395
HMBOX1-IT1	GSM4735800	1.0951432573099251
HMBOX1-IT1	GSM4735801	1.0614728033670455
HMBOX1-IT1	GSM4735802	1.0299388126007114
HMBOX1-IT1	GSM4735803	2.0432830832839755
HMBOX1-IT1	GSM4735804	1.041590214740965
HMBOX1-IT1	GSM5282507	10
HMBOX1-IT1	GSM5282508	4.123985149492891
HMBOX1-IT1	GSM5282509	8.03640470397001
HMBOX1-IT1	GSM5282510	10.80483695974538
HMBOX1-IT1	GSM5282511	9.460666518249624
HMBOX1-IT1	GSM5282512	6.211654320186972
HMBOX1-IT1	GSM5282513	12.244727907797904
HMBOX1-IT1	GSM5282514	13
HMBOX1-IT1	GSM5282515	7.206059946748834
HMBOX1-IT1	GSM5282516	8.440273993611957
HMBOX1-IT1	GSM5282517	4.180914039084014
HMBOX1-IT1	GSM5282518	15
HMBOX1-IT1	GSM5282519	2.1961753403455906
HMBOX1-IT1	GSM5282520	18.781849396828832
HMBOX1-IT1	GSM5282521	1.0286457606390047
HMBOX1-IT1	GSM5282522	8.239510500805691
HMBOX1-IT1	GSM5282523	18
HMBOX1-IT1	GSM5282524	19.20235507576628
HMBOX1-IT1	GSM5282525	20
HMBOX1-IT1	GSM5282526	13
HMBOX1-IT1	GSM5282527	13.09052046484666
HMBOX1-IT1	GSM5282528	7.167068903250233
HMBOX1-IT1	GSM5282529	5
HMBOX1-IT1	GSM5282530	7.148890289082273
HMBOX1-IT1	GSM5282531	17.584590167817264
HMBOX1-IT1	GSM5282532	11.050056467958765
HMBOX1-IT1	GSM5282533	15.467387716846163
HMBOX1-IT1	GSM5282534	10.039198009821009
HMBOX1-IT1	GSM5282535	7.0106019731463025
HMBOX1-IT1	GSM5282536	18.263012670995604
HMBOX1-IT1	GSM4260927	7
HMBOX1-IT1	GSM4260928	9.925920663862964
HMBOX1-IT1	GSM4260929	16.233882104332658
HMBOX1-IT1	GSM4260930	24
HMBOX1-IT1	GSM4260931	7.021220003697548
HMBOX1-IT1	GSM4260932	14.021203946292603
HMBOX1-IT1	GSM4260933	10.928559037581843
HMBOX1-IT1	GSM4260934	15
HMBOX1-IT1	GSM4260935	11.093370490154138
HMBOX1-IT1	GSM4260936	15.232656653023296
HMBOX1-IT1	GSM4260937	10
HMBOX1-IT1	GSM4260938	3.1500495148775847
HMBOX1-IT1	GSM4260939	14.021203946292603
HMBOX1-IT1	GSM4260940	6.041778676083074
HMBOX1-IT1	GSM4260941	5
HMBOX1-IT1	GSM4260942	24.047179733525137
HMBOX1-IT1	GSM4260943	9.133963475674486
HMBOX1-IT1	GSM4260944	8.94757422047141
HMBOX1-IT1	GSM4260945	13.070723969913551
HMBOX1-IT1	GSM4260946	7.903685403979756
HMBOX1-IT1	GSM4260947	12.29412367788138
HMBOX1-IT1	GSM4260948	12.422472537390826
HMBOX1-IT1	GSM4260949	7.210587687942059
HMBOX1-IT1	GSM4260950	12
HMBOX1-IT1	GSM4260951	18.023897590943484
HMBOX1-IT1	GSM4260952	5.573231807889779
HMBOX1-IT1	GSM4260953	23.42828367591026
HMBOX1-IT1	GSM4260954	13.098745554450051
HMBOX1-IT1	GSM4260955	3.1390887361336945
HMBOX1-IT1	GSM4260956	8.175515583909295
HMBOX1-IT1	GSM4260957	14.270276986376018
HMBOX1-IT1	GSM4260958	5.231650313345891
HMBOX1-IT1	GSM4260959	12.21225046603582
HMBOX1-IT1	GSM4260960	9.054648429855169
HMBOX1-IT1	GSM4260961	13.039408578295443
HMBOX1-IT1	GSM4260962	18.07055641767781
HMBOX1-IT1	GSM4260963	8
HMBOX1-IT1	GSM4260964	7
HMBOX1-IT1	GSM4260965	9.451452288949197
HMBOX1-IT1	GSM4260966	10.716799861392277
HMBOX1-IT1	GSM4260967	4.348387988525898
HMBOX1-IT1	GSM4260968	8
HMBOX1-IT1	GSM4260969	7.021220003697548
HMBOX1-IT1	GSM4260970	7.258972045644867
HMBOX1-IT1	GSM4260971	7.072106052426488
HMBOX1-IT1	GSM4260972	7.0852667570117385
HMBOX1-IT1	GSM4260973	9.04095529196626
HMBOX1-IT1	GSM4260974	12.19378215875026
HMBOX1-IT1	GSM4260975	11
HMBOX1-IT1	GSM4260976	10
HMBOX1-IT1	GSM4260977	8.292841776160655
HMBOX1-IT1	GSM4260978	8
HMBOX1-IT1	GSM4260979	12.628312747447536
HMBOX1-IT1	GSM4260980	16.938216400957995
HMBOX1-IT1	GSM4260981	8.087441479244996
HMBOX1-IT1	GSM4260982	7.021220003697548
HMBOX1-IT1	GSM4260983	7.106745240837724
HMBOX1-IT1	GSM4260984	26.028475425069153
HMBOX1-IT1	GSM4260985	12.84103902172313
HMBOX1-IT1	GSM4260986	13.453242417485235
HMBOX1-IT1	GSM4260987	9.502871075666352
HMBOX1-IT1	GSM4260988	20.302125351153425
HMBOX1-IT1	GSM4260989	23
HMBOX1-IT1	GSM4260990	16.84638732123148
HMBOX1-IT1	GSM4260991	13.019689378700276
HMBOX1-IT1	GSM4260992	17.383275770902404
HMBOX1-IT1	GSM4260993	10.176875388363184
HMBOX1-IT1	GSM4260994	8.657392082109794
HMBOX1-IT1	GSM4260995	7.206059946748834
HMBOX1-IT1	GSM4260996	10.079944539918513
HMBOX1-IT1	GSM4260997	26
HMBOX1-IT1	GSM4260998	13.975158467363793
HMBOX1-IT1	GSM4260999	15
HMBOX1-IT1	GSM4261000	9.18695327810308
HMBOX1-IT1	GSM4261001	11
HMBOX1-IT1	GSM4261002	6.487204767776672
HMBOX1-IT1	GSM4261003	21.063660011092644
HMBOX1-IT1	GSM4261004	9.427735254270097
HMBOX1-IT1	GSM4261005	16
HMBOX1-IT1	GSM4261006	15.319050619462017
HMBOX1-IT1	GSM4261007	7.463308659442717
HMBOX1-IT1	GSM4261008	17
HMBOX1-IT1	GSM4261009	5.151744471612777
HMBOX1-IT1	GSM4261010	9.5756195117261
HMBOX1-IT1	GSM4261011	12.175341780663736
HMBOX1-IT1	GSM4261012	5.959821375702172
HMBOX1-IT1	GSM4261013	6.224262832306304
HMBOX1-IT1	GSM4261014	7.223365991566818
HMBOX1-IT1	GSM4261015	12.164567781299851
HMBOX1-IT1	GSM4261016	14.021203946292603
HMBOX1-IT1	GSM4261017	16.209239052719422
HMBOX1-IT1	GSM4261018	8.647077454794797
HMBOX1-IT1	GSM4261019	5.09745521184394
HMBOX1-IT1	GSM4261020	4.3722735343015025
HMBOX1-IT1	GSM4261021	2.0733952395798823
HMBOX1-IT1	GSM4261022	14.085008668663596
HMBOX1-IT1	GSM4261023	14
HMBOX1-IT1	GSM4261024	7.336057442851857
HMBOX1-IT1	GSM4261025	6.19145656420013
HMBOX1-IT1	GSM4261026	4.202059525809777
HMBOX1-IT1	GSM4261027	0.9060368020472702
HMBOX1-IT1	GSM4818000	1.0096136609284547
HMBOX1-IT1	GSM4818001	1.036605222020082
HMBOX1-IT1	GSM4818002	1.026970766354677
HMBOX1-IT1	GSM4818003	1.0419766732598632
HMBOX1-IT1	GSM4818004	1.1459229993584086
HMBOX1-IT1	GSM4818005	1.0586538579016196
HMBOX1-IT1	GSM4818006	1.1491148103776652
HMBOX1-IT1	GSM4818007	1.15327203478029
HMBOX1-IT1	GSM4818008	1.011545386933744
HMBOX1-IT1	GSM4818009	2.0705340011380158
HMBOX1-IT1	GSM4818010	1.073724331124021
HMBOX1-IT1	GSM4818011	1.1070992930446193
HMBOX1-IT1	GSM4818012	1.011545386933744
HMBOX1-IT1	GSM4818013	1.0265898733735748
HMBOX1-IT1	GSM4818014	1.1347007916262688
HMBOX1-IT1	GSM4818015	2.1298432467820727
HMBOX1-IT1	GSM4818016	1.0455760213321146
HMBOX1-IT1	GSM4818017	1.0176875388363185
HMBOX1-IT1	GSM4818018	2.051525776968747
HMBOX1-IT1	GSM4818019	2.023090773867488
HMBOX1-IT1	GSM4818020	1.008488226377649
HMBOX1-IT1	GSM4818021	2.026881695286422
HMBOX1-IT1	GSM4818022	1.0498008690538472
HMBOX1-IT1	GSM4818023	1.0764977873612749
HMBOX1-IT1	GSM3056394	1.0526834287841926
HMBOX1-IT1	GSM3056395	1.1000145175299088
HMBOX1-IT1	GSM3056396	1.170838526849458
HMBOX1-IT1	GSM3056397	1.051603709891881
HMBOX1-IT1	GSM3056398	1.0155104435348865
HMBOX1-IT1	GSM3056399	1.0790132608905263
HMBOX1-IT1	GSM3056400	1.0582248262365073
HMBOX1-IT1	GSM3056401	1.0397476172549622
HMBOX1-IT1	GSM3056402	1.0520224177362445
HMBOX1-IT1	GSM3056403	1.0353038006157715
HMBOX1-IT1	GSM3056404	1.0160053339673922
HMBOX1-IT1	GSM3056405	1.1170981277251977
HMBOX1-IT1	GSM3056406	1.0711228042047891
HMBOX1-IT1	GSM3056407	1.0760981255331956
HMBOX1-IT1	GSM3056408	1.037924983260323
HMBOX1-IT1	GSM3056409	1.038681166397193
HMBOX1-IT1	GSM3056410	1.1741846347521367
HMBOX1-IT1	GSM3056411	1.210862106711072
HMBOX1-IT1	GSM3056412	1.1639884833115277
HMBOX1-IT1	GSM3056413	1.127545038308955
HMBOX1-IT1	GSM3056414	1.0221745668813695
HMBOX1-IT1	GSM3056415	1.04288357449499
HMBOX1-IT1	GSM3056416	1.172923346778984
