Gene	sample	counts
HNRNPKP5	GSM1022678	1.0149928632180971
HNRNPKP5	GSM1022679	1.0886816601851197
HNRNPKP5	GSM1022680	1.0308436074633964
HNRNPKP5	GSM1022681	1.0311088135197646
HNRNPKP5	GSM1022682	1.0116578477926386
HNRNPKP5	GSM1022683	1.020863922442935
HNRNPKP5	GSM1022684	1.0578149423884136
HNRNPKP5	GSM1022685	1.0371148636315564
HNRNPKP5	GSM1022686	1.0604724495698388
HNRNPKP5	GSM1022687	1.1088805228290193
HNRNPKP5	GSM1022688	1.0595694172829608
HNRNPKP5	GSM1022689	2.056426019418712
HNRNPKP5	GSM1022690	1.1031801973034647
HNRNPKP5	GSM1022691	2.1856653771637573
HNRNPKP5	GSM1022692	1.0229984726241244
HNRNPKP5	GSM1022693	2.0269711951524334
HNRNPKP5	GSM1022694	2.1091328950093753
HNRNPKP5	GSM1022695	1.0298210946342734
HNRNPKP5	GSM1385778	3.0195025093635084
HNRNPKP5	GSM1385779	1.08831673889073
HNRNPKP5	GSM1385780	1.076969124990565
HNRNPKP5	GSM1385781	1.0160593920172551
HNRNPKP5	GSM1385782	2.021948057006088
HNRNPKP5	GSM1385783	2.145205260428124
HNRNPKP5	GSM1415906	1.006321233202252
HNRNPKP5	GSM1415907	1.0141084146970722
HNRNPKP5	GSM1415908	1.0241144897647825
HNRNPKP5	GSM1415909	1.0137465254422466
HNRNPKP5	GSM1415910	1.0149928632180971
HNRNPKP5	GSM1415911	1.0101171841971937
HNRNPKP5	GSM1415912	1.182512101984153
HNRNPKP5	GSM1415913	1.1954362057291898
HNRNPKP5	GSM1415914	1.1372485303867734
HNRNPKP5	GSM1415915	1.1104272564901518
HNRNPKP5	GSM1415916	1.1091395235784829
HNRNPKP5	GSM1415917	1.1335736061479336
HNRNPKP5	GSM1415918	1.14248870104818
HNRNPKP5	GSM1415919	1.1435660966331045
HNRNPKP5	GSM1415920	1.1170792534511031
HNRNPKP5	GSM1415921	1.0789086069095255
HNRNPKP5	GSM2769390	1.049114201454456
HNRNPKP5	GSM2769391	1.0447696856901132
HNRNPKP5	GSM2769392	2.0659833424271237
HNRNPKP5	GSM2769393	1.026969767993484
HNRNPKP5	GSM2769394	1.017679101810684
HNRNPKP5	GSM2769395	1.0389231941618595
HNRNPKP5	GSM2769396	1.0203367258104672
HNRNPKP5	GSM2769397	1.0478235991023386
HNRNPKP5	GSM2769398	1.0511612257547172
HNRNPKP5	GSM3103946	1.0096769883151675
HNRNPKP5	GSM3103947	1.8235672281511008
HNRNPKP5	GSM3103948	0.6264670386727971
HNRNPKP5	GSM3103949	0.8116746052912999
HNRNPKP5	GSM3103950	0.5759736708637253
HNRNPKP5	GSM3103951	1
HNRNPKP5	GSM3103952	1.0054443410007048
HNRNPKP5	GSM3103953	2.0202343683943873
HNRNPKP5	GSM3103954	1.004388954520296
HNRNPKP5	GSM3103955	0.9393066264930684
HNRNPKP5	GSM3103956	1.0218297981950817
HNRNPKP5	GSM3103957	2.0266094958813725
HNRNPKP5	GSM3103958	1.0205188304787385
HNRNPKP5	GSM3103959	1.0031556375768678
HNRNPKP5	GSM3103960	1.002102653483695
HNRNPKP5	GSM3103961	1.7321318865844295
HNRNPKP5	GSM3103962	1.0073786500721709
HNRNPKP5	GSM3103963	1.02246970304458
HNRNPKP5	GSM3103964	2.0202343683943873
HNRNPKP5	GSM3103965	2.0054369508919545
HNRNPKP5	GSM4260265	3.033535769268892
HNRNPKP5	GSM4260266	2.015587593057966
HNRNPKP5	GSM4260267	1.0209637531539166
HNRNPKP5	GSM4260268	2.0424044779359765
HNRNPKP5	GSM4260269	1.0112256576006524
HNRNPKP5	GSM4260270	1.0084371780489607
HNRNPKP5	GSM4260271	1.0381691192461002
HNRNPKP5	GSM4260272	1.031794725850175
HNRNPKP5	GSM4260273	2.011765383092228
HNRNPKP5	GSM4260274	2.078228918097706
HNRNPKP5	GSM4260275	1.0300705159989183
HNRNPKP5	GSM4260276	1.0086171589446156
HNRNPKP5	GSM4735785	1.1241583234625787
HNRNPKP5	GSM4735786	1.05207499443912
HNRNPKP5	GSM4735787	1.041096943231955
HNRNPKP5	GSM4735788	1.0615495601063798
HNRNPKP5	GSM4735789	1.0531587528031856
HNRNPKP5	GSM4735790	1.0624726893191856
HNRNPKP5	GSM4735791	1.0871027019164097
HNRNPKP5	GSM4735792	1.119522653616255
HNRNPKP5	GSM4735793	2.190141399194921
HNRNPKP5	GSM4735794	1.073004610131236
HNRNPKP5	GSM4735795	1.0485009745543108
HNRNPKP5	GSM4735796	1.1345222112631277
HNRNPKP5	GSM4735797	1.1166577862322071
HNRNPKP5	GSM4735798	1.1431313903741345
HNRNPKP5	GSM4735799	1.1303004052343573
HNRNPKP5	GSM4735800	1.1336053776903567
HNRNPKP5	GSM4735801	1.08578255609448
HNRNPKP5	GSM4735802	1.0404467493865326
HNRNPKP5	GSM4735803	1.0290012974998244
HNRNPKP5	GSM4735804	1.0579760419913706
HNRNPKP5	GSM5282507	3.7618897528228095
HNRNPKP5	GSM5282508	2.017234317889231
HNRNPKP5	GSM5282509	2
HNRNPKP5	GSM5282510	5.181354615277943
HNRNPKP5	GSM5282511	4.070682703483223
HNRNPKP5	GSM5282512	1.0111785897562977
HNRNPKP5	GSM5282513	1.0031556375768678
HNRNPKP5	GSM5282514	1.919387343967711
HNRNPKP5	GSM5282515	4.04647776120769
HNRNPKP5	GSM5282516	7.14363181335117
HNRNPKP5	GSM5282517	10.15616606598635
HNRNPKP5	GSM5282518	7.657865491721618
HNRNPKP5	GSM5282519	22.96549185443826
HNRNPKP5	GSM5282520	2.0269711951524334
HNRNPKP5	GSM5282521	10.101171841971937
HNRNPKP5	GSM5282522	8.08942871805038
HNRNPKP5	GSM5282523	5.7948174813029345
HNRNPKP5	GSM5282524	3
HNRNPKP5	GSM5282525	2
HNRNPKP5	GSM5282526	2.8828721312959407
HNRNPKP5	GSM5282527	1
HNRNPKP5	GSM5282528	1.006321233202252
HNRNPKP5	GSM5282529	3
HNRNPKP5	GSM5282530	4.023530766184456
HNRNPKP5	GSM5282531	1.0128631629599931
HNRNPKP5	GSM5282532	4
HNRNPKP5	GSM5282533	0.7846421808165844
HNRNPKP5	GSM5282534	2
HNRNPKP5	GSM5282535	3
HNRNPKP5	GSM5282536	2.0020860490525267
HNRNPKP5	GSM4260927	1.002102653483695
HNRNPKP5	GSM4260928	1.2909112142585406
HNRNPKP5	GSM4260929	2.327799269450683
HNRNPKP5	GSM4260930	2
HNRNPKP5	GSM4260931	4.0277585904302615
HNRNPKP5	GSM4260932	1.0042097281190625
HNRNPKP5	GSM4260933	4.168594463238167
HNRNPKP5	GSM4260934	4.012622550307471
HNRNPKP5	GSM4260935	2.0230410465717235
HNRNPKP5	GSM4260936	4.077062828860136
HNRNPKP5	GSM4260937	1
HNRNPKP5	GSM4260938	1.0463449709305277
HNRNPKP5	GSM4260939	1.0031556375768678
HNRNPKP5	GSM4260940	5.0469905441794145
HNRNPKP5	GSM4260941	1
HNRNPKP5	GSM4260942	2
HNRNPKP5	GSM4260943	2.03635931734443
HNRNPKP5	GSM4260944	1.580379249524893
