Gene	sample	counts
Hammerhead_HH9	GSM1022678	1.013771518848965
Hammerhead_HH9	GSM1022679	1.121552432745876
Hammerhead_HH9	GSM1022680	1.0277326924293382
Hammerhead_HH9	GSM1022681	1.0299921210590168
Hammerhead_HH9	GSM1022682	1.012361565877019
Hammerhead_HH9	GSM1022683	1.0177323697119474
Hammerhead_HH9	GSM1022684	1.0622642381309608
Hammerhead_HH9	GSM1022685	1.0377328679372595
Hammerhead_HH9	GSM1022686	1.064467926310489
Hammerhead_HH9	GSM1022687	1.1313477227819897
Hammerhead_HH9	GSM1022688	1.065425427409442
Hammerhead_HH9	GSM1022689	1.0268090659069042
Hammerhead_HH9	GSM1022690	1.1264867493652244
Hammerhead_HH9	GSM1022691	1.1019042413337483
Hammerhead_HH9	GSM1022692	1.0191498027987893
Hammerhead_HH9	GSM1022693	1.0106385913341225
Hammerhead_HH9	GSM1022694	1.056234487088057
Hammerhead_HH9	GSM1022695	1.0268090659069042
Hammerhead_HH9	GSM1385778	1
Hammerhead_HH9	GSM1385779	1.1010498670455962
Hammerhead_HH9	GSM1385780	1.0838243203305329
Hammerhead_HH9	GSM1385781	1.0084216173196312
Hammerhead_HH9	GSM1385782	1.0053052229716717
Hammerhead_HH9	GSM1385783	1.080481580454705
Hammerhead_HH9	GSM1415906	1
Hammerhead_HH9	GSM1415907	1.0084216173196312
Hammerhead_HH9	GSM1415908	1.0169141582775405
Hammerhead_HH9	GSM1415909	1.0053052229716717
Hammerhead_HH9	GSM1415910	1.0066333406488122
Hammerhead_HH9	GSM1415911	1.0053052229716717
Hammerhead_HH9	GSM1415912	1.2144782022585594
Hammerhead_HH9	GSM1415913	1.2376800740232663
Hammerhead_HH9	GSM1415914	1.1433447914197967
Hammerhead_HH9	GSM1415915	1.107099489315216
Hammerhead_HH9	GSM1415916	1.1147893847364354
Hammerhead_HH9	GSM1415917	1.1525442655723448
Hammerhead_HH9	GSM1415918	1.1641216035965718
Hammerhead_HH9	GSM1415919	1.1635086650764048
Hammerhead_HH9	GSM1415920	1.1301370871413436
Hammerhead_HH9	GSM1415921	1.0828569753747104
Hammerhead_HH9	GSM2769390	1.0945648030738035
Hammerhead_HH9	GSM2769391	1.0688566777393549
Hammerhead_HH9	GSM2769392	1.052182047516338
Hammerhead_HH9	GSM2769393	1.0383166180633372
Hammerhead_HH9	GSM2769394	1.0194079414219277
Hammerhead_HH9	GSM2769395	1.069818126570515
Hammerhead_HH9	GSM2769396	1.0213903622938192
Hammerhead_HH9	GSM2769397	1.0576052477160802
Hammerhead_HH9	GSM2769398	1.063216079371224
Hammerhead_HH9	GSM3103946	2.0212771826682445
Hammerhead_HH9	GSM3103947	0.9184196988044276
Hammerhead_HH9	GSM3103948	1.4155955106668596
Hammerhead_HH9	GSM3103949	0.8368715838850863
Hammerhead_HH9	GSM3103950	1.3141579434160593
Hammerhead_HH9	GSM3103951	1
Hammerhead_HH9	GSM3103952	3.0159156689150146
Hammerhead_HH9	GSM3103953	4.047529980498194
Hammerhead_HH9	GSM3103954	2.0106104459433434
Hammerhead_HH9	GSM3103955	2.094827141638458
Hammerhead_HH9	GSM3103956	1.0322565169508742
Hammerhead_HH9	GSM3103957	1.0177323697119474
Hammerhead_HH9	GSM3103958	1.0277326924293382
Hammerhead_HH9	GSM3103959	1
Hammerhead_HH9	GSM3103960	1
Hammerhead_HH9	GSM3103961	1.8058156731894643
Hammerhead_HH9	GSM3103962	1.0084216173196312
Hammerhead_HH9	GSM3103963	3.0967695508526227
Hammerhead_HH9	GSM3103964	2.024723131754038
Hammerhead_HH9	GSM3103965	1
Hammerhead_HH9	GSM4260265	3.064171086881457
Hammerhead_HH9	GSM4260266	1.0106385913341225
Hammerhead_HH9	GSM4260267	1.061737358926767
Hammerhead_HH9	GSM4260268	1.055962388401363
Hammerhead_HH9	GSM4260269	2.0382996055975786
Hammerhead_HH9	GSM4260270	1.0149651490033698
Hammerhead_HH9	GSM4260271	1.1139413335812782
Hammerhead_HH9	GSM4260272	1.084460786892387
Hammerhead_HH9	GSM4260273	1.0053052229716717
Hammerhead_HH9	GSM4260274	1.5109257724347285
Hammerhead_HH9	GSM4260275	1.074527200739522
Hammerhead_HH9	GSM4260276	2.024723131754038
Hammerhead_HH9	GSM4735786	1.0354564589203
Hammerhead_HH9	GSM4735787	1.0285596084808206
Hammerhead_HH9	GSM4735788	1.0418861325748268
Hammerhead_HH9	GSM4735790	1.0409497863123298
Hammerhead_HH9	GSM4735793	1.0628816047551497
Hammerhead_HH9	GSM4735798	1.1094482823563114
Hammerhead_HH9	GSM4735800	1.1037828089768285
Hammerhead_HH9	GSM4735803	1.023131666858757
Hammerhead_HH9	GSM4735804	1.044176676968467
Hammerhead_HH9	GSM4735785	1.0811994844209347
Hammerhead_HH9	GSM4735789	1.0363878638718522
Hammerhead_HH9	GSM4735791	1.056822491572205
Hammerhead_HH9	GSM4735792	1.079498376442762
Hammerhead_HH9	GSM4735794	1.0497162670616038
Hammerhead_HH9	GSM4735795	1.0386663205448112
Hammerhead_HH9	GSM4735796	1.1006471753156897
Hammerhead_HH9	GSM4735797	1.0882962908423894
Hammerhead_HH9	GSM4735799	1.0952338007992255
Hammerhead_HH9	GSM4735801	1.0665119943875787
Hammerhead_HH9	GSM4735802	1.0312048495995574
Hammerhead_HH9	GSM5282507	9
Hammerhead_HH9	GSM5282509	4
Hammerhead_HH9	GSM5282510	6.487196906525609
Hammerhead_HH9	GSM5282511	6.286440089362006
Hammerhead_HH9	GSM5282512	4.132740174071809
Hammerhead_HH9	GSM5282515	5.142798042404103
Hammerhead_HH9	GSM5282516	5.2644327238375945
Hammerhead_HH9	GSM5282519	26.42193495870845
Hammerhead_HH9	GSM5282521	9.247605368000883
Hammerhead_HH9	GSM5282523	9
Hammerhead_HH9	GSM5282524	5.053192956670611
Hammerhead_HH9	GSM5282526	4
Hammerhead_HH9	GSM5282528	2.044618229260505
Hammerhead_HH9	GSM5282529	5
Hammerhead_HH9	GSM5282513	5.095749013993946
Hammerhead_HH9	GSM5282533	3.856088189751001
Hammerhead_HH9	GSM5282534	2
Hammerhead_HH9	GSM5282536	5.068857594244827
Hammerhead_HH9	GSM5282525	4
Hammerhead_HH9	GSM5282530	7.134048619591525
Hammerhead_HH9	GSM5282514	8
Hammerhead_HH9	GSM5282520	1.0409497863123298
Hammerhead_HH9	GSM5282535	7
Hammerhead_HH9	GSM5282522	14.402436232778877
Hammerhead_HH9	GSM5282531	10.340163465434667
Hammerhead_HH9	GSM5282508	3.0884544289090856
Hammerhead_HH9	GSM5282518	8
Hammerhead_HH9	GSM5282517	4.172953088746796
Hammerhead_HH9	GSM5282527	6.031831337830029
Hammerhead_HH9	GSM5282532	4
