Gene	sample	counts
IGKV1D-8	GSM1022678	13.13845347289272
IGKV1D-8	GSM1022679	9.727466788063476
IGKV1D-8	GSM1022680	1.0228445664573578
IGKV1D-8	GSM1022681	13.305334176652805
IGKV1D-8	GSM1022682	7.063853186905301
IGKV1D-8	GSM1022683	49.74721668586407
IGKV1D-8	GSM1022684	2.0838816908931466
IGKV1D-8	GSM1022685	1.0268260621954932
IGKV1D-8	GSM1022686	1.048277755164012
IGKV1D-8	GSM1022687	1.080412911353207
IGKV1D-8	GSM1022688	1.0432607562473546
IGKV1D-8	GSM1022689	8.17016033037974
IGKV1D-8	GSM1022690	1.079843385051915
IGKV1D-8	GSM1022691	2.135817288492166
IGKV1D-8	GSM1022692	1.0172824963691265
IGKV1D-8	GSM1022693	1.0091218838436145
IGKV1D-8	GSM1022694	1.0423146986582486
IGKV1D-8	GSM1022695	1.022581557181457
IGKV1D-8	GSM1385778	1.001514567592329
IGKV1D-8	GSM1385779	1.052358251410889
IGKV1D-8	GSM1385780	1.0469231004598798
IGKV1D-8	GSM1385781	1.0080868452623672
IGKV1D-8	GSM1385782	1.0050401373437077
IGKV1D-8	GSM1385783	1.0443602353553707
IGKV1D-8	GSM1415906	1.001514567592329
IGKV1D-8	GSM1415907	1.0069631126805123
IGKV1D-8	GSM1415908	2.027949420598452
IGKV1D-8	GSM1415909	1.0069631126805123
IGKV1D-8	GSM1415910	1.0075958118807733
IGKV1D-8	GSM1415911	2.0091011759925026
IGKV1D-8	GSM1415912	1.1235925034328906
IGKV1D-8	GSM1415913	1.1334188904283546
IGKV1D-8	GSM1415914	1.086773852521356
IGKV1D-8	GSM1415915	1.0718539595694612
IGKV1D-8	GSM1415916	1.0717564809270177
IGKV1D-8	GSM1415917	1.087295576280627
IGKV1D-8	GSM1415918	1.0934321088575003
IGKV1D-8	GSM1415919	1.0935295718899114
IGKV1D-8	GSM1415920	1.0760262278806771
IGKV1D-8	GSM1415921	1.0522929992388903
IGKV1D-8	GSM2769390	1.0476453445591134
IGKV1D-8	GSM2769391	1.0368437150858465
IGKV1D-8	GSM2769392	1.033326703689763
IGKV1D-8	GSM2769393	1.0303488943225554
IGKV1D-8	GSM2769394	1.0155104435348865
IGKV1D-8	GSM2769395	1.0397118660865767
IGKV1D-8	GSM2769396	1.0223186155344817
IGKV1D-8	GSM2769397	1.0460250461958456
IGKV1D-8	GSM2769398	1.0481558953476182
IGKV1D-8	GSM3103946	5.034815563402561
IGKV1D-8	GSM3103947	20.624154143538327
IGKV1D-8	GSM3103948	2.068874766246799
IGKV1D-8	GSM3103949	0.8376040364052322
IGKV1D-8	GSM3103950	9.01383783030457
IGKV1D-8	GSM3103951	1
IGKV1D-8	GSM3103952	7
IGKV1D-8	GSM3103953	33.2297827184569
IGKV1D-8	GSM3103954	40
IGKV1D-8	GSM3103955	5.259235784078222
IGKV1D-8	GSM3103956	5.114084119025166
IGKV1D-8	GSM3103957	10.142355058831722
IGKV1D-8	GSM3103958	6.1153733724105415
IGKV1D-8	GSM3103959	2
IGKV1D-8	GSM3103960	20
IGKV1D-8	GSM3103961	30.320538099584542
IGKV1D-8	GSM3103962	17.103224811948653
IGKV1D-8	GSM3103963	1.0226627588381034
IGKV1D-8	GSM3103964	25.174077817012808
IGKV1D-8	GSM3103965	15
IGKV1D-8	GSM4260265	1.0263259010476733
IGKV1D-8	GSM4260266	1.017949289364482
IGKV1D-8	GSM4260267	1.0377901820927629
IGKV1D-8	GSM4260268	1.038948316513042
IGKV1D-8	GSM4260269	1.0234594842742062
IGKV1D-8	GSM4260270	1.021939447988662
IGKV1D-8	GSM4260271	1.0506731423640414
IGKV1D-8	GSM4260272	1.0485732304058435
IGKV1D-8	GSM4260273	1.017048502742336
IGKV1D-8	GSM4260274	1.2029807617416126
IGKV1D-8	GSM4260275	1.0472567835878563
IGKV1D-8	GSM4260276	1.022581557181457
IGKV1D-8	GSM4735785	1.0764546598252551
IGKV1D-8	GSM4735786	3.1222840854447886
