Gene	sample	counts
IGSF23	GSM1022678	1.0118055576926337
IGSF23	GSM1022679	4.349331854583277
IGSF23	GSM1022680	1.024035163259057
IGSF23	GSM1022681	1.0254177019347264
IGSF23	GSM1022682	12.127803205747126
IGSF23	GSM1022683	1.0155104435348865
IGSF23	GSM1022684	1.045109579572174
IGSF23	GSM1022685	1.0299388126007114
IGSF23	GSM1022686	1.0512971560936306
IGSF23	GSM1022687	1.0872700680245635
IGSF23	GSM1022688	1.0474332992759388
IGSF23	GSM1022689	1.022581557181457
IGSF23	GSM1022690	1.0879580718683934
IGSF23	GSM1022691	1.0760262278806771
IGSF23	GSM1022692	2.0345649927382525
IGSF23	GSM1022693	1.0096136609284547
IGSF23	GSM1022694	1.0444790802811736
IGSF23	GSM1022695	1.0228445664573578
IGSF23	GSM1385778	2.006062858199299
IGSF23	GSM1385779	1.077256250738088
IGSF23	GSM1385780	1.0665550545786855
IGSF23	GSM1385781	1.0118859036434402
IGSF23	GSM1385782	2.0139262253610246
IGSF23	GSM1385783	1.06319017904285
IGSF23	GSM1415906	1.001514567592329
IGSF23	GSM1415907	1.0075958118807733
IGSF23	GSM1415908	1.015183039205113
IGSF23	GSM1415909	1.0075958118807733
IGSF23	GSM1415910	1.008488226377649
IGSF23	GSM1415911	1.0045505879962513
IGSF23	GSM1415912	1.134200941661956
IGSF23	GSM1415913	1.1473079818540426
IGSF23	GSM1415914	1.094225603357875
IGSF23	GSM1415915	1.0757363896737755
IGSF23	GSM1415916	1.0760262278806771
IGSF23	GSM1415917	1.0953867172131926
IGSF23	GSM1415918	1.10242986176477
IGSF23	GSM1415919	1.102372776327608
IGSF23	GSM1415920	1.0823407984756992
IGSF23	GSM1415921	1.0549402171424924
IGSF23	GSM2769390	5.377232052665786
IGSF23	GSM2769391	11.643767897477064
IGSF23	GSM2769392	7.333517411913793
IGSF23	GSM2769393	8.287634455628154
IGSF23	GSM2769394	13.264762109705387
IGSF23	GSM2769395	5.295376864208525
IGSF23	GSM2769396	3.054550470709147
IGSF23	GSM2769397	1.045256860312832
IGSF23	GSM2769398	1.0492468388860623
IGSF23	GSM3103946	3.027365651530843
IGSF23	GSM3103947	0.9176050525718804
IGSF23	GSM3103948	1.4324244895851082
IGSF23	GSM3103949	3.4449333377297644
IGSF23	GSM3103950	0.668346625598033
IGSF23	GSM3103951	3
IGSF23	GSM3103952	2.006062858199299
IGSF23	GSM3103953	1.0091218838436145
IGSF23	GSM3103954	2.006062858199299
IGSF23	GSM3103955	1.595842182780726
IGSF23	GSM3103956	2.053941532709354
IGSF23	GSM3103957	4.064594052916753
IGSF23	GSM3103958	1.023224069826938
IGSF23	GSM3103959	1.001514567592329
IGSF23	GSM3103960	1
IGSF23	GSM3103961	0.8911772236947816
IGSF23	GSM3103962	2.0151916237615466
IGSF23	GSM3103963	1.026526731348191
IGSF23	GSM3103964	3.0300469498876974
IGSF23	GSM3103965	3.004543702776987
IGSF23	GSM4260265	2.0428279249629204
IGSF23	GSM4260266	4.049765198071364
IGSF23	GSM4260267	4.218035182649831
IGSF23	GSM4260268	3.153274439077432
IGSF23	GSM4260269	1.018326976452085
IGSF23	GSM4260270	1.0142954367266297
IGSF23	GSM4260271	1.0905319319075826
IGSF23	GSM4260272	2.1434150640831215
IGSF23	GSM4260273	5.045609419218072
IGSF23	GSM4260274	4.3406795917569365
IGSF23	GSM4260275	6.392565453930482
IGSF23	GSM4260276	6.085896268754962
IGSF23	GSM4735785	1.0738756443622128
IGSF23	GSM4735786	1.0314640964742157
IGSF23	GSM4735787	1.0250095828411494
IGSF23	GSM4735788	2.0752316187586524
IGSF23	GSM4735789	1.0321468400650773
IGSF23	GSM4735790	5.185551963034416
IGSF23	GSM4735791	2.104026855157059
IGSF23	GSM4735792	1.0719204247070016
IGSF23	GSM4735793	1.0572909654774456
IGSF23	GSM4735794	1.044747721627841
IGSF23	GSM4735795	1.0352757200311622
IGSF23	GSM4735796	1.094525086802148
IGSF23	GSM4735797	1.0813698190073815
IGSF23	GSM4735798	1.099010715879239
IGSF23	GSM4735799	1.0886623535830395
IGSF23	GSM4735800	1.0951432573099251
IGSF23	GSM4735801	1.0614728033670455
IGSF23	GSM4735802	1.0299388126007114
IGSF23	GSM4735803	1.0216415416419875
IGSF23	GSM4735804	1.041590214740965
IGSF23	GSM5282507	1
IGSF23	GSM5282508	1.0309962873732228
IGSF23	GSM5282509	1.0045505879962513
IGSF23	GSM5282510	1.080483695974538
IGSF23	GSM5282511	1.0511851686944027
IGSF23	GSM5282512	1.0352757200311622
IGSF23	GSM5282513	1.0203939923164922
IGSF23	GSM5282514	1
IGSF23	GSM5282515	1.0294371352498335
IGSF23	GSM5282516	1.0550342492014946
IGSF23	GSM5282517	1.0452285097710037
IGSF23	GSM5282518	1
IGSF23	GSM5282519	1.0980876701727953
IGSF23	GSM5282520	1.0434360776016018
IGSF23	GSM5282521	1.0286457606390047
IGSF23	GSM5282522	1.0299388126007114
IGSF23	GSM5282523	1
IGSF23	GSM5282524	1.010650267145594
IGSF23	GSM5282525	1
IGSF23	GSM5282526	1
IGSF23	GSM5282527	1.0069631126805123
IGSF23	GSM5282528	1.0238669861786047
IGSF23	GSM5282529	1
IGSF23	GSM5282530	1.0212700412974676
IGSF23	GSM5282531	1.0343876569304271
IGSF23	GSM5282532	1.0045505879962513
IGSF23	GSM5282533	0.9667117323028852
IGSF23	GSM5282534	1.0039198009821009
IGSF23	GSM5282535	1.001514567592329
IGSF23	GSM5282536	1.0146118150553114
IGSF23	GSM4260927	19
IGSF23	GSM4260928	3.5449716656653445
IGSF23	GSM4260929	8.441618694252982
IGSF23	GSM4260930	9
IGSF23	GSM4260931	6.018188574597898
IGSF23	GSM4260932	19.02877678425425
IGSF23	GSM4260933	6.725267100050366
IGSF23	GSM4260934	17
IGSF23	GSM4260935	9.07639403739884
IGSF23	GSM4260936	2.031020887069773
IGSF23	GSM4260937	4
IGSF23	GSM4260938	9.450148544632755
IGSF23	GSM4260939	3.004543702776987
IGSF23	GSM4260940	18.125336028249222
IGSF23	GSM4260941	10
IGSF23	GSM4260942	33.66605162693519
IGSF23	GSM4260943	5.074424153152493
IGSF23	GSM4260944	6.5073267057973885
IGSF23	GSM4260945	14.076164275291516
IGSF23	GSM4260946	5.471782202755215
IGSF23	GSM4260947	9.220592758411035
IGSF23	GSM4260948	10.093258936630049
IGSF23	GSM4260949	14.421175375884118
IGSF23	GSM4260950	18
IGSF23	GSM4260951	14.590774240287583
IGSF23	GSM4260952	8.359847711834668
IGSF23	GSM4260953	5.857070918977565
IGSF23	GSM4260954	4.030383247523093
IGSF23	GSM4260955	13.602717856579345
IGSF23	GSM4260956	13.285212823852603
IGSF23	GSM4260957	21.405415479564027
IGSF23	GSM4260958	12.555960752030137
IGSF23	GSM4260959	13.22993800487214
IGSF23	GSM4260960	7.042504334331798
IGSF23	GSM4260961	8.024251432797197
IGSF23	GSM4260962	10.039198009821009
IGSF23	GSM4260963	12
IGSF23	GSM4260964	3
IGSF23	GSM4260965	14.702259116143196
IGSF23	GSM4260966	2.92276359856153
IGSF23	GSM4260967	2.609032793115539
IGSF23	GSM4260968	8
IGSF23	GSM4260969	3.009094287298949
IGSF23	GSM4260970	3.2262097980643856
