Gene	sample	counts
IL10RA	GSM1022678	4096.623476248166
IL10RA	GSM1022679	4120.667616962515
IL10RA	GSM1022680	4317.327212417701
IL10RA	GSM1022681	4113.132892905192
IL10RA	GSM1022682	4015.071901477647
IL10RA	GSM1022683	4213.389076266255
IL10RA	GSM1022684	3825.4227845097703
IL10RA	GSM1022685	3852.0463517240046
IL10RA	GSM1022686	3974.924667968314
IL10RA	GSM1022687	3815.851058749201
IL10RA	GSM1022688	3837.6990103300686
IL10RA	GSM1022689	3948.183858243195
IL10RA	GSM1022690	3890.221700692139
IL10RA	GSM1022691	4032.324264962813
IL10RA	GSM1022692	4234.358390209568
IL10RA	GSM1022693	3924.135250115956
IL10RA	GSM1022694	3847.3944419517984
IL10RA	GSM1022695	4263.467323495873
IL10RA	GSM1385778	3894.771039193939
IL10RA	GSM1385779	4059.3043603037304
IL10RA	GSM1385780	4040.2161765664177
IL10RA	GSM1385781	3927.2621453150778
IL10RA	GSM1385782	3907.456558473639
IL10RA	GSM1385783	4035.712474750764
IL10RA	GSM1415906	4106
IL10RA	GSM1415907	3994.614333266657
IL10RA	GSM1415908	3964.246371393343
IL10RA	GSM1415909	3899.09750425575
IL10RA	GSM1415910	4043.403559954214
IL10RA	GSM1415911	3933.889264928826
IL10RA	GSM1415912	4109.371524260838
IL10RA	GSM1415913	4119.2367739048095
IL10RA	GSM1415914	4106.170599825272
IL10RA	GSM1415915	4197.618014447479
IL10RA	GSM1415916	4056.0295636615874
IL10RA	GSM1415917	4099.133627089971
IL10RA	GSM1415918	4095.222540055436
IL10RA	GSM1415919	4009.286415149625
IL10RA	GSM1415920	4046.6858062242377
IL10RA	GSM1415921	4028.969858139048
IL10RA	GSM2769390	4108.33794480365
IL10RA	GSM2769391	4063.064078835639
IL10RA	GSM2769392	4061.49781565608
IL10RA	GSM2769393	4051.8770071502063
IL10RA	GSM2769394	3991.823065279555
IL10RA	GSM2769395	4082.903788820908
IL10RA	GSM2769396	4017.491028652967
IL10RA	GSM2769397	4109.383589482908
IL10RA	GSM2769398	4116.777727697942
IL10RA	GSM3103946	3612
IL10RA	GSM3103947	3303.7755182261867
IL10RA	GSM3103948	2982.1826667141863
IL10RA	GSM3103949	3417.238445554137
IL10RA	GSM3103950	2708.2903593718356
IL10RA	GSM3103951	3818.172414656979
IL10RA	GSM3103952	3768
IL10RA	GSM3103953	3654
IL10RA	GSM3103954	3776.4707816487735
IL10RA	GSM3103955	2275.311538151511
IL10RA	GSM3103956	3695.2482767993697
IL10RA	GSM3103957	3699.014883485535
IL10RA	GSM3103958	3720.897654462092
IL10RA	GSM3103959	3564.7025527673495
IL10RA	GSM3103960	3710
IL10RA	GSM3103961	3140.8389922259817
IL10RA	GSM3103962	3633
IL10RA	GSM3103963	3603.124668257996
IL10RA	GSM3103964	3771
IL10RA	GSM3103965	3837
IL10RA	GSM4260265	4029.355487513166
IL10RA	GSM4260266	3998.494340087895
IL10RA	GSM4260267	4074.827904795115
IL10RA	GSM4260268	4080.98898726323
IL10RA	GSM4260269	4019.680901922217
IL10RA	GSM4260270	4011.102612114744
IL10RA	GSM4260271	4122.933520712728
IL10RA	GSM4260272	4114.1135058717055
IL10RA	GSM4260273	3991.905698548232
IL10RA	GSM4260274	2293.644878743005
IL10RA	GSM4260275	4108.735613655579
IL10RA	GSM4260276	4022.823752128185
IL10RA	GSM4735785	5422.111863159748
IL10RA	GSM4735786	6790.813697965078
IL10RA	GSM4735787	7396.649069159629
IL10RA	GSM4735788	6089.01950794142
IL10RA	GSM4735789	6808.831374706749
IL10RA	GSM4735790	5001.362990047504
IL10RA	GSM4735791	6687.881983235368
IL10RA	GSM4735792	6144.4941491824175
IL10RA	GSM4735793	5105.438545780675
IL10RA	GSM4735794	7217.35189293797
IL10RA	GSM4735795	2313.9119382316053
IL10RA	GSM4735796	2947.2645164284163
IL10RA	GSM4735797	2241.77845324064
IL10RA	GSM4735798	1855.045448295889
