Gene	sample	counts
IQGAP1	GSM1022678	21907.23944768805
IQGAP1	GSM1022679	5904.2558730277515
IQGAP1	GSM1022680	16380.17776770792
IQGAP1	GSM1022681	18894.098679385468
IQGAP1	GSM1022682	5841.834472766055
IQGAP1	GSM1022683	18524.12100493591
IQGAP1	GSM1022684	13709.477036000912
IQGAP1	GSM1022685	20408.604592096657
IQGAP1	GSM1022686	15122.870674214251
IQGAP1	GSM1022687	13329.111575586625
IQGAP1	GSM1022688	17199.110965801756
IQGAP1	GSM1022689	17140.99497354205
IQGAP1	GSM1022690	16055.45109796069
IQGAP1	GSM1022691	12671.52947189762
IQGAP1	GSM1022692	17944.310448165405
IQGAP1	GSM1022693	28530.28587157695
IQGAP1	GSM1022694	13242.88786683569
IQGAP1	GSM1022695	14388.185168295828
IQGAP1	GSM1385778	25002.564433166965
IQGAP1	GSM1385779	13917.465606161104
IQGAP1	GSM1385780	14294.94743647958
IQGAP1	GSM1385781	19871.136710522063
IQGAP1	GSM1385782	18668.73520252697
IQGAP1	GSM1385783	14242.58920305285
IQGAP1	GSM1415906	23713
IQGAP1	GSM1415907	22669.662565356983
IQGAP1	GSM1415908	21489.27020002046
IQGAP1	GSM1415909	22432.37865328779
IQGAP1	GSM1415910	18923.20914634954
IQGAP1	GSM1415911	22876.137803475707
IQGAP1	GSM1415912	11208.459722694051
IQGAP1	GSM1415913	10698.46736835367
IQGAP1	GSM1415914	11784.487552009485
IQGAP1	GSM1415915	12536.355695191847
IQGAP1	GSM1415916	13122.941288315524
IQGAP1	GSM1415917	11997.051564940308
IQGAP1	GSM1415918	12067.383527417642
IQGAP1	GSM1415919	12111.784424780306
IQGAP1	GSM1415920	13653.366789153872
IQGAP1	GSM1415921	15187.94536417741
IQGAP1	GSM2769390	14295.008410132528
IQGAP1	GSM2769391	18139.52838046728
IQGAP1	GSM2769392	16890.050890824925
IQGAP1	GSM2769393	17077.606140682637
IQGAP1	GSM2769394	26801.66045864198
IQGAP1	GSM2769395	14368.041639347632
IQGAP1	GSM2769396	23127.38733275663
IQGAP1	GSM2769397	19085.10668581222
IQGAP1	GSM2769398	17351.22297241443
IQGAP1	GSM3103946	12661
IQGAP1	GSM3103947	16107.900684878156
IQGAP1	GSM3103948	8497.8444050864
IQGAP1	GSM3103949	18465.42977645032
IQGAP1	GSM3103950	11806.773156274416
IQGAP1	GSM3103951	8868.564569300224
IQGAP1	GSM3103952	12096
IQGAP1	GSM3103953	13670
IQGAP1	GSM3103954	15364.572873341202
IQGAP1	GSM3103955	13369.367527399443
IQGAP1	GSM3103956	10944.983111988926
IQGAP1	GSM3103957	12477.514189740552
IQGAP1	GSM3103958	9956.734277330974
IQGAP1	GSM3103959	13075.829341803415
IQGAP1	GSM3103960	17233
IQGAP1	GSM3103961	17436.298040832855
IQGAP1	GSM3103962	16508
IQGAP1	GSM3103963	14698.766017534235
IQGAP1	GSM3103964	13259
IQGAP1	GSM3103965	16313
IQGAP1	GSM4260265	19989.749574705533
IQGAP1	GSM4260266	27241.46003957057
IQGAP1	GSM4260267	19569.760607466094
IQGAP1	GSM4260268	19353.529240004947
IQGAP1	GSM4260269	27194.486651563868
IQGAP1	GSM4260270	20930.068291335367
IQGAP1	GSM4260271	18957.512968901217
IQGAP1	GSM4260272	21736.89670206235
IQGAP1	GSM4260273	22299.155342552534
IQGAP1	GSM4260274	10222.116197359035
IQGAP1	GSM4260275	21699.06373243372
IQGAP1	GSM4260276	21334.767187589096
IQGAP1	GSM4735785	14267.770297233335
IQGAP1	GSM4735786	20881.623018320603
IQGAP1	GSM4735787	26097.16430759006
IQGAP1	GSM4735788	22059.997301413237
IQGAP1	GSM4735789	18992.403388446048
IQGAP1	GSM4735790	19600.270419252334
IQGAP1	GSM4735791	17761.75575011637
IQGAP1	GSM4735792	19715.729474748023
IQGAP1	GSM4735793	13306.382890182113
IQGAP1	GSM4735794	17093.017125276274
IQGAP1	GSM4735795	15157.411565093087
IQGAP1	GSM4735796	14372.699037907409
IQGAP1	GSM4735797	13611.851219136424
IQGAP1	GSM4735798	10704.489478459438
IQGAP1	GSM4735799	12656.44358784842
IQGAP1	GSM4735800	10790.78258414404
IQGAP1	GSM4735801	15642.0029479805
IQGAP1	GSM4735802	18138.05923712859
IQGAP1	GSM4735803	18000.709283770113
IQGAP1	GSM4735804	12585.53456471508
IQGAP1	GSM5282507	24104.191358970053
IQGAP1	GSM5282508	20993.288467411112
IQGAP1	GSM5282509	25759.439136645276
IQGAP1	GSM5282510	20130.44225517059
IQGAP1	GSM5282511	19335.58215995184
IQGAP1	GSM5282512	26236.784949076937
IQGAP1	GSM5282513	20587.381874679297
IQGAP1	GSM5282514	26090.18787143864
IQGAP1	GSM5282515	21788.37268710685
IQGAP1	GSM5282516	22051.383191660618
IQGAP1	GSM5282517	23204.82743098299
IQGAP1	GSM5282518	26886.79648771967
IQGAP1	GSM5282519	19373.1652672093
IQGAP1	GSM5282520	20582.026159857614
IQGAP1	GSM5282521	25759.66595789317
IQGAP1	GSM5282522	22576.555619452203
IQGAP1	GSM5282523	33095.02200314294
IQGAP1	GSM5282524	40428.43447958095
IQGAP1	GSM5282525	29765.829610835943
IQGAP1	GSM5282526	32208.905502923808
IQGAP1	GSM5282527	28950.399969149963
IQGAP1	GSM5282528	22051.16495026768
IQGAP1	GSM5282529	23544.098061718963
IQGAP1	GSM5282530	20979.807582949765
IQGAP1	GSM5282531	25587.247916377222
IQGAP1	GSM5282532	22085.740287932666
IQGAP1	GSM5282533	28942
IQGAP1	GSM5282534	23666.93554178429
IQGAP1	GSM5282535	26693.29207143129
IQGAP1	GSM5282536	21022.07465106364
IQGAP1	GSM4260927	6680.1021658408345
IQGAP1	GSM4260928	3316.651070662022
IQGAP1	GSM4260929	7270.806978548443
IQGAP1	GSM4260930	7675.607646027609
IQGAP1	GSM4260931	6667.259812359483
