Gene	sample	counts
JAKMIP2-AS1	GSM1022678	1.0118055576926337
JAKMIP2-AS1	GSM1022679	1.087332963645819
JAKMIP2-AS1	GSM1022680	1.024035163259057
JAKMIP2-AS1	GSM1022681	1.0254177019347264
JAKMIP2-AS1	GSM1022682	3.0319508014367815
JAKMIP2-AS1	GSM1022683	1.0155104435348865
JAKMIP2-AS1	GSM1022684	1.045109579572174
JAKMIP2-AS1	GSM1022685	1.0299388126007114
JAKMIP2-AS1	GSM1022686	1.0512971560936306
JAKMIP2-AS1	GSM1022687	1.0872700680245635
JAKMIP2-AS1	GSM1022688	1.0474332992759388
JAKMIP2-AS1	GSM1022689	1.022581557181457
JAKMIP2-AS1	GSM1022690	1.0879580718683934
JAKMIP2-AS1	GSM1022691	1.0760262278806771
JAKMIP2-AS1	GSM1022692	1.0172824963691265
JAKMIP2-AS1	GSM1022693	1.0096136609284547
JAKMIP2-AS1	GSM1022694	1.0444790802811736
JAKMIP2-AS1	GSM1022695	1.0228445664573578
JAKMIP2-AS1	GSM1385778	13.039408578295443
JAKMIP2-AS1	GSM1385779	3.231768752214264
JAKMIP2-AS1	GSM1385780	1.0665550545786855
JAKMIP2-AS1	GSM1385781	8.095087229147522
JAKMIP2-AS1	GSM1385782	5.034815563402561
JAKMIP2-AS1	GSM1385783	1.06319017904285
JAKMIP2-AS1	GSM1415906	1.001514567592329
JAKMIP2-AS1	GSM1415907	1.0075958118807733
JAKMIP2-AS1	GSM1415908	1.015183039205113
JAKMIP2-AS1	GSM1415909	1.0075958118807733
JAKMIP2-AS1	GSM1415910	1.008488226377649
JAKMIP2-AS1	GSM1415911	1.0045505879962513
JAKMIP2-AS1	GSM1415912	1.134200941661956
JAKMIP2-AS1	GSM1415913	1.1473079818540426
JAKMIP2-AS1	GSM1415914	1.094225603357875
JAKMIP2-AS1	GSM1415915	1.0757363896737755
JAKMIP2-AS1	GSM1415916	1.0760262278806771
JAKMIP2-AS1	GSM1415917	1.0953867172131926
JAKMIP2-AS1	GSM1415918	1.10242986176477
JAKMIP2-AS1	GSM1415919	1.102372776327608
JAKMIP2-AS1	GSM1415920	1.0823407984756992
JAKMIP2-AS1	GSM1415921	1.0549402171424924
JAKMIP2-AS1	GSM2769390	1.0754464105331571
JAKMIP2-AS1	GSM2769391	1.0585243543160967
JAKMIP2-AS1	GSM2769392	1.0476453445591134
JAKMIP2-AS1	GSM2769393	1.0359543069535193
JAKMIP2-AS1	GSM2769394	1.0203663161311838
JAKMIP2-AS1	GSM2769395	1.059075372841705
JAKMIP2-AS1	GSM2769396	1.0181834902363824
JAKMIP2-AS1	GSM2769397	1.045256860312832
JAKMIP2-AS1	GSM2769398	1.0492468388860623
JAKMIP2-AS1	GSM3103946	1.0091218838436145
JAKMIP2-AS1	GSM3103947	5.505630315431282
JAKMIP2-AS1	GSM3103948	3.5810612239627706
JAKMIP2-AS1	GSM3103949	2.583700003297323
JAKMIP2-AS1	GSM3103950	6.68346625598033
JAKMIP2-AS1	GSM3103951	2
JAKMIP2-AS1	GSM3103952	4.012125716398598
JAKMIP2-AS1	GSM3103953	1.0091218838436145
JAKMIP2-AS1	GSM3103954	2.006062858199299
JAKMIP2-AS1	GSM3103955	4.2555791540819365
JAKMIP2-AS1	GSM3103956	1.026970766354677
JAKMIP2-AS1	GSM3103957	1.0161485132291883
JAKMIP2-AS1	GSM3103958	1.023224069826938
JAKMIP2-AS1	GSM3103959	3.004543702776987
JAKMIP2-AS1	GSM3103960	2
JAKMIP2-AS1	GSM3103961	2.6735316710843446
JAKMIP2-AS1	GSM3103962	4.030383247523093
JAKMIP2-AS1	GSM3103963	2.053053462696382
JAKMIP2-AS1	GSM3103964	2.0200312999251313
JAKMIP2-AS1	GSM3103965	4.006058270369316
JAKMIP2-AS1	GSM4260265	1.0214139624814602
JAKMIP2-AS1	GSM4260266	1.012441299517841
JAKMIP2-AS1	GSM4260267	1.0545087956624577
JAKMIP2-AS1	GSM4260268	1.0510914796924773
JAKMIP2-AS1	GSM4260269	1.018326976452085
JAKMIP2-AS1	GSM4260270	1.0142954367266297
JAKMIP2-AS1	GSM4260271	1.0905319319075826
JAKMIP2-AS1	GSM4260272	1.0717075320415608
JAKMIP2-AS1	GSM4260273	1.0091218838436145
JAKMIP2-AS1	GSM4260274	4.3406795917569365
JAKMIP2-AS1	GSM4260275	1.0654275756550804
JAKMIP2-AS1	GSM4260276	1.0143160447924937
JAKMIP2-AS1	GSM4735785	1.0738756443622128
JAKMIP2-AS1	GSM4735786	1.0314640964742157
JAKMIP2-AS1	GSM4735787	1.0250095828411494
JAKMIP2-AS1	GSM4735788	1.0376158093793262
JAKMIP2-AS1	GSM4735789	1.0321468400650773
JAKMIP2-AS1	GSM4735790	3.1113311778206496
JAKMIP2-AS1	GSM4735791	1.0520134275785296
JAKMIP2-AS1	GSM4735792	1.0719204247070016
JAKMIP2-AS1	GSM4735793	1.0572909654774456
JAKMIP2-AS1	GSM4735794	1.044747721627841
JAKMIP2-AS1	GSM4735795	1.0352757200311622
JAKMIP2-AS1	GSM4735796	1.094525086802148
JAKMIP2-AS1	GSM4735797	1.0813698190073815
JAKMIP2-AS1	GSM4735798	1.099010715879239
JAKMIP2-AS1	GSM4735799	1.0886623535830395
