Gene	sample	counts
JCHAIN	GSM1022678	744.8492468863027
JCHAIN	GSM1022679	3457.3359130851545
JCHAIN	GSM1022680	301.73914710492056
JCHAIN	GSM1022681	1213.2823786216466
JCHAIN	GSM1022682	3169.4291095825315
JCHAIN	GSM1022683	11015.640476055516
JCHAIN	GSM1022684	5.233591399007866
JCHAIN	GSM1022685	106.89955546364308
JCHAIN	GSM1022686	32.51413066796688
JCHAIN	GSM1022687	4.379226400181144
JCHAIN	GSM1022688	54.57410077958756
JCHAIN	GSM1022689	742.2925398460408
JCHAIN	GSM1022690	16.35482715518732
JCHAIN	GSM1022691	511.0069062264575
JCHAIN	GSM1022692	98.56640578323126
JCHAIN	GSM1022693	6.050929358265893
JCHAIN	GSM1022694	12.51015285165626
JCHAIN	GSM1022695	114.45411374722082
JCHAIN	GSM1385778	4
JCHAIN	GSM1385779	2.157510229677664
JCHAIN	GSM1385780	1.065003532520631
JCHAIN	GSM1385781	1.0078549668039407
JCHAIN	GSM1385782	2.0091011759925026
JCHAIN	GSM1385783	1.0625040851541827
JCHAIN	GSM1415906	37
JCHAIN	GSM1415907	58.35217877017776
JCHAIN	GSM1415908	15.196161611924458
JCHAIN	GSM1415909	102.61934887169193
JCHAIN	GSM1415910	153.05839312743788
JCHAIN	GSM1415911	5.015157145498248
JCHAIN	GSM1415912	8.05109662989709
JCHAIN	GSM1415913	628.3263044065332
JCHAIN	GSM1415914	1297.615465759664
JCHAIN	GSM1415915	2363.089789172488
JCHAIN	GSM1415916	396.0382525498038
JCHAIN	GSM1415917	1302.3123805940788
JCHAIN	GSM1415918	1209.1714768603229
JCHAIN	GSM1415919	288.3871458286935
JCHAIN	GSM1415920	551.363390756453
JCHAIN	GSM1415921	1603.8365464723715
JCHAIN	GSM2769390	1.075037082938662
JCHAIN	GSM2769391	1.056352801733153
JCHAIN	GSM2769392	1.043823220986215
JCHAIN	GSM2769393	1.032437989175177
JCHAIN	GSM2769394	1.0180301231797395
JCHAIN	GSM2769395	1.056537995407221
JCHAIN	GSM2769396	1.0166087578602931
JCHAIN	GSM2769397	1.0437691702869765
JCHAIN	GSM2769398	1.0476453445591134
JCHAIN	GSM3103946	15.150234749438486
JCHAIN	GSM3103947	449.9620272877939
JCHAIN	GSM3103948	3465.42636029045
JCHAIN	GSM3103949	735.6151619147337
JCHAIN	GSM3103950	2439.536560437766
JCHAIN	GSM3103951	1550
JCHAIN	GSM3103952	110.50056467958764
JCHAIN	GSM3103953	42.42065729842776
JCHAIN	GSM3103954	788.3827032723246
JCHAIN	GSM3103955	1712.5411577371167
JCHAIN	GSM3103956	178.85117933340285
JCHAIN	GSM3103957	797.6765828849128
JCHAIN	GSM3103958	1005.303109417776
JCHAIN	GSM3103959	117.354677204659
JCHAIN	GSM3103960	306
JCHAIN	GSM3103961	31.36066095028205
JCHAIN	GSM3103962	38.28864085146939
JCHAIN	GSM3103963	15.408523568111322
JCHAIN	GSM3103964	576.0706522729885
JCHAIN	GSM3103965	19
JCHAIN	GSM4260265	4.074355565777664
JCHAIN	GSM4260266	4.042601068582376
JCHAIN	GSM4260267	2.1044565526046184
JCHAIN	GSM4260268	5.236879790658908
JCHAIN	GSM4260269	3.0472322498953877
JCHAIN	GSM4260270	2.0243619305747824
JCHAIN	GSM4260271	2.1807565434679077
JCHAIN	GSM4260272	2.138513928747764
JCHAIN	GSM4260273	6.041778676083074
JCHAIN	GSM4260274	14.172926428070433
JCHAIN	GSM4260275	6.373104139756881
JCHAIN	GSM4260276	5.054551038392682
JCHAIN	GSM4735785	136.07534442219992
JCHAIN	GSM4735786	684.5382776730523
JCHAIN	GSM4735787	547.7842546248327
JCHAIN	GSM4735788	146.4525929747206
JCHAIN	GSM4735789	1321.2264216935064
JCHAIN	GSM4735790	390.7054465298091
JCHAIN	GSM4735791	494.0053515751088
JCHAIN	GSM4735792	192.41201892712047
JCHAIN	GSM4735793	283.48848990115096
JCHAIN	GSM4735794	492.52568039079705
JCHAIN	GSM4735795	8340.630932993772
JCHAIN	GSM4735796	206.81216347102696
JCHAIN	GSM4735797	3051.5826255899515
JCHAIN	GSM4735798	2.221954806547013
JCHAIN	GSM4735799	154.28514410647358
JCHAIN	GSM4735800	2.2184454605123403
JCHAIN	GSM4735801	9.543590662260929
JCHAIN	GSM4735802	645.7894670656445
JCHAIN	GSM4735803	670.456588408169
JCHAIN	GSM4735804	1333.090234515721
JCHAIN	GSM5282507	57
JCHAIN	GSM5282508	30.883114057495003
JCHAIN	GSM5282509	31.093974302089137
JCHAIN	GSM5282510	51.71791526446152
JCHAIN	GSM5282511	20.971464608116868
JCHAIN	GSM5282512	202.5605754929449
JCHAIN	GSM5282513	46.88452918848082
JCHAIN	GSM5282514	218
JCHAIN	GSM5282515	177.82329899240628
JCHAIN	GSM5282516	76.84324799621136
JCHAIN	GSM5282517	68.8490730526301
JCHAIN	GSM5282518	312
JCHAIN	GSM5282519	6.563789837926588
JCHAIN	GSM5282520	9.371579219858802
JCHAIN	GSM5282521	20.541803263269543
JCHAIN	GSM5282522	13.37049571078435
JCHAIN	GSM5282523	470
JCHAIN	GSM5282524	1013.0456969124534
JCHAIN	GSM5282525	112
JCHAIN	GSM5282526	289
JCHAIN	GSM5282527	107.64970911050034
JCHAIN	GSM5282528	93.03099401363782
JCHAIN	GSM5282529	181
JCHAIN	GSM5282530	34.679587670892104
JCHAIN	GSM5282531	69.21508693890189
JCHAIN	GSM5282532	113.44293751097736
JCHAIN	GSM5282533	181.38563387711247
JCHAIN	GSM5282534	195.59112867443167
JCHAIN	GSM5282535	133
JCHAIN	GSM5282536	65.8914088153742
JCHAIN	GSM4260927	615
JCHAIN	GSM4260928	767.5789366822654
JCHAIN	GSM4260929	829.1658248762286
JCHAIN	GSM4260930	505
JCHAIN	GSM4260931	1960.96552334578
JCHAIN	GSM4260932	1160
JCHAIN	GSM4260933	446.97862996156647
JCHAIN	GSM4260934	1380
JCHAIN	GSM4260935	580.206002030429
JCHAIN	GSM4260936	506.2912957126004
JCHAIN	GSM4260937	1760
JCHAIN	GSM4260938	864.1856249992126
JCHAIN	GSM4260939	218
JCHAIN	GSM4260940	1140.8857021617512
JCHAIN	GSM4260941	1316
JCHAIN	GSM4260942	648.5131176372083
JCHAIN	GSM4260943	430.93925187717105
JCHAIN	GSM4260944	2735.9444161495812
JCHAIN	GSM4260945	591.680296329792
JCHAIN	GSM4260946	307.85376218335455
JCHAIN	GSM4260947	207.6374469908436
JCHAIN	GSM4260948	462.203454508169
JCHAIN	GSM4260949	670.4035844672458
JCHAIN	GSM4260950	636
JCHAIN	GSM4260951	370.49495688777114
JCHAIN	GSM4260952	1141.2790351968836
JCHAIN	GSM4260953	1183.8684918280587
JCHAIN	GSM4260954	407.4591793434826
JCHAIN	GSM4260955	438.4057528142103
JCHAIN	GSM4260956	86.7656698487513
JCHAIN	GSM4260957	1812.3211630306491
JCHAIN	GSM4260958	231.72875505893975
JCHAIN	GSM4260959	750.1104825234916
JCHAIN	GSM4260960	498.6983914674709
JCHAIN	GSM4260961	218.52354793024205
JCHAIN	GSM4260962	1610.8684751340372
JCHAIN	GSM4260963	798
JCHAIN	GSM4260964	536
JCHAIN	GSM4260965	264.9186329257163
JCHAIN	GSM4260966	3617.9600062688087
JCHAIN	GSM4260967	185.7258274721778
JCHAIN	GSM4260968	678
JCHAIN	GSM4260969	528.7996916887497
JCHAIN	GSM4260970	263.00893048589865
JCHAIN	GSM4260971	138.26736565451876
JCHAIN	GSM4260972	712.855666287349
JCHAIN	GSM4260973	1010.0526491033472
JCHAIN	GSM4260974	495.3718585681436
JCHAIN	GSM4260975	166
JCHAIN	GSM4260976	509
JCHAIN	GSM4260977	439.8909747440295
JCHAIN	GSM4260978	350
JCHAIN	GSM4260979	493.8691844099223
JCHAIN	GSM4260980	1808.487792964817
JCHAIN	GSM4260981	519.443008437786
JCHAIN	GSM4260982	1270.840820669256
JCHAIN	GSM4260983	861.8785037543421
JCHAIN	GSM4260984	633.2488416278818
JCHAIN	GSM4260985	551.5787465188116
JCHAIN	GSM4260986	519.1348523517986
JCHAIN	GSM4260987	182.18180255179348
JCHAIN	GSM4260988	242.2776416442221
JCHAIN	GSM4260989	837
JCHAIN	GSM4260990	1503.7003719466798
JCHAIN	GSM4260991	1149
JCHAIN	GSM4260992	1830.0268331991017
JCHAIN	GSM4260993	442.1382925443344
JCHAIN	GSM4260994	708.1378875796481
JCHAIN	GSM4260995	197.35302547134103
JCHAIN	GSM4260996	177.76839465448631
JCHAIN	GSM4260997	346
JCHAIN	GSM4260998	414.39383798854254
JCHAIN	GSM4260999	929
JCHAIN	GSM4261000	383.2300646710606
JCHAIN	GSM4261001	539
JCHAIN	GSM4261002	622.5494926583979
JCHAIN	GSM4261003	406.61491444248554
JCHAIN	GSM4261004	404.40144779871736
JCHAIN	GSM4261005	1259
JCHAIN	GSM4261006	551.7492921055564
JCHAIN	GSM4261007	462.3915627855062
JCHAIN	GSM4261008	703
JCHAIN	GSM4261009	154.35411246159492
JCHAIN	GSM4261010	108.1577618907867
JCHAIN	GSM4261011	405.4855927099951
JCHAIN	GSM4261012	211.7043277519673
JCHAIN	GSM4261013	240.12872033085844
JCHAIN	GSM4261014	189.5574834076581
JCHAIN	GSM4261015	428.2626696960467
JCHAIN	GSM4261016	669
JCHAIN	GSM4261017	270.25231773173346
JCHAIN	GSM4261018	298.1682330132828
JCHAIN	GSM4261019	228.10524272526703
JCHAIN	GSM4261020	266.62075898194337
JCHAIN	GSM4261021	580.506779580761
JCHAIN	GSM4261022	379.720122262583
JCHAIN	GSM4261023	3002
JCHAIN	GSM4261024	533.0665399832118
JCHAIN	GSM4261025	4950.826437219879
JCHAIN	GSM4261026	827.0911488244054
JCHAIN	GSM4261027	651.3763238840785
JCHAIN	GSM4818000	11228.507912488742
JCHAIN	GSM4818001	7084.832287347957
JCHAIN	GSM4818002	4436.072230900612
JCHAIN	GSM4818003	6113.208414897036
JCHAIN	GSM4818004	2649.0890194747435
JCHAIN	GSM4818005	12393.13440487102
JCHAIN	GSM4818006	3022.4123733654233
JCHAIN	GSM4818007	3504.094012186315
JCHAIN	GSM4818008	14384.642886766862
JCHAIN	GSM4818009	3538.7290279826902
JCHAIN	GSM4818010	696.8357398461702
JCHAIN	GSM4818011	906.6411990293852
JCHAIN	GSM4818012	21578.393853825575
JCHAIN	GSM4818013	17037.990313597318
JCHAIN	GSM4818014	2449.971337220003
JCHAIN	GSM4818015	2078.0660710692823
JCHAIN	GSM4818016	942.3300000771142
JCHAIN	GSM4818017	1726.436323976391
JCHAIN	GSM4818018	2279.392885279929
JCHAIN	GSM4818019	2069.520102621122
JCHAIN	GSM4818020	2403.1160113356445
JCHAIN	GSM4818021	7515.443667258879
JCHAIN	GSM4818022	3229.614088872953
JCHAIN	GSM4818023	882.6443689330667
JCHAIN	GSM3056394	10663.57095029568
JCHAIN	GSM3056395	2175.0963374296325
JCHAIN	GSM3056396	1524.327187507596
JCHAIN	GSM3056397	184.82840031722876
JCHAIN	GSM3056398	3401.993415880459
JCHAIN	GSM3056399	2247.1145703035595
JCHAIN	GSM3056400	904.0083739979974
JCHAIN	GSM3056401	759.0806961167434
JCHAIN	GSM3056402	1010.3726869937536
JCHAIN	GSM3056403	4701.228838770718
JCHAIN	GSM3056404	24315.17214780054
JCHAIN	GSM3056405	1237.619108091461
JCHAIN	GSM3056406	1772.4726816564478
JCHAIN	GSM3056407	466.71102626521105
JCHAIN	GSM3056408	375.15460013140705
JCHAIN	GSM3056409	1660.031812958839
JCHAIN	GSM3056410	789.4999754427172
JCHAIN	GSM3056411	791.3627443456443
JCHAIN	GSM3056412	1512.8433624198376
JCHAIN	GSM3056413	1046.9265467061134
JCHAIN	GSM3056414	2976.5728621053977
JCHAIN	GSM3056415	175.9495749620852
JCHAIN	GSM3056416	216.0567243726275
JCHAIN	GSM3056417	988.7777368888848
JCHAIN	GSM3056418	4839.569216597909
JCHAIN	GSM3056419	14039.042846822242
JCHAIN	GSM3056420	1957.0618947119692
JCHAIN	GSM3056421	223.7703625185402
JCHAIN	GSM3056422	1584.1635077451117
JCHAIN	GSM3056423	8877.428794420543
JCHAIN	GSM3056424	1299.9810767116453
JCHAIN	GSM3056425	3442.575126678948
JCHAIN	GSM3056426	1035.155801199917
JCHAIN	GSM3056427	2318.268416486296
JCHAIN	GSM3056428	3325.889615451202
JCHAIN	GSM3056429	3258.4453679614267
JCHAIN	GSM3056430	1337.733791397547
JCHAIN	GSM3056431	2344.376239913766
JCHAIN	GSM3056432	1286.7566958790046
JCHAIN	GSM3056433	2447.329805111863
JCHAIN	GSM3056434	4306.836369376108
JCHAIN	GSM3056435	2152.4851706472004
JCHAIN	GSM3056436	1362.0518999708252
JCHAIN	GSM3056437	849.6958157185004
JCHAIN	GSM3056438	1791.1158029983144
JCHAIN	GSM3056439	4350.257883375165
JCHAIN	GSM3056440	3261.212630420329
JCHAIN	GSM3056441	1735.4136580777804
JCHAIN	GSM3056442	2561.830023142387
JCHAIN	GSM3056443	1698.15943251184
JCHAIN	GSM3056444	1031.4439128615688
JCHAIN	GSM3056445	6062.215150766543
JCHAIN	GSM3056446	343.12934723242563
JCHAIN	GSM3056447	5603.653820983591
JCHAIN	GSM3056448	3312.691993344406
JCHAIN	GSM3056449	2838.5185039451053
JCHAIN	GSM3056450	602.4004109363732
JCHAIN	GSM3056451	1943.757221364788
JCHAIN	GSM3056452	1273.162276760699
JCHAIN	GSM3056453	2911.9369541628193
JCHAIN	GSM3056454	507.4221913907704
JCHAIN	GSM3056455	2905.118781053485
JCHAIN	GSM3056456	896.8061197451707
JCHAIN	GSM3056457	1220.3156025627272
JCHAIN	GSM3056458	805.6400634306696
JCHAIN	GSM3056459	468.3490836535843
JCHAIN	GSM3056460	1735.892535583803
JCHAIN	GSM3056461	10139.65699269247
JCHAIN	GSM3056462	9858.869147368585
JCHAIN	GSM3056463	3935.3644380480255
JCHAIN	GSM3056464	2192.839225651244
JCHAIN	GSM3056465	2907.9810279872786
JCHAIN	GSM3056466	2976.457196348849
JCHAIN	GSM3056467	1697.0551841642512
JCHAIN	GSM3056468	573.0054791030853
JCHAIN	GSM3056469	4887.827515808638
JCHAIN	GSM3056470	304.1675593062951
JCHAIN	GSM3056471	1697.735110344688
JCHAIN	GSM3056472	1689.8090551873504
JCHAIN	GSM3056473	393.46158249654815
JCHAIN	GSM3056474	1998.511726553464
JCHAIN	GSM3056475	3131.3008828382963
JCHAIN	GSM3056476	381.7654031037544
JCHAIN	GSM3056477	2909.629142867793
JCHAIN	GSM3056478	609.7959075763357
JCHAIN	GSM3056479	145.42884309059852
JCHAIN	GSM3056480	913.4657067211594
JCHAIN	GSM3056481	564.2036134628246
JCHAIN	GSM3056482	4495.482470751773
JCHAIN	GSM3056483	1027.4685373385958
JCHAIN	GSM3056484	3367.5322704074047
JCHAIN	GSM3056485	2373.714796810488
JCHAIN	GSM3056486	2951.4634306945936
JCHAIN	GSM3056487	1657.3333239711544
JCHAIN	GSM3056488	883.7503208047003
JCHAIN	GSM3056489	1573.9076735850044
JCHAIN	GSM3056490	915.8083507135192
JCHAIN	GSM3056491	834.6428988144017
JCHAIN	GSM3056492	6047.042413675237
JCHAIN	GSM3056493	1825.554836356452
JCHAIN	GSM3056494	2001.1111617690667
JCHAIN	GSM3056495	1372.8643565005852
JCHAIN	GSM3056496	351.1532317281921
JCHAIN	GSM3056497	1025.2002258278958
JCHAIN	GSM3056498	1691.3111851161375
JCHAIN	GSM3056499	100.62002325287904
JCHAIN	GSM3056500	3149.9346358191283
JCHAIN	GSM3056501	885.5628920962356
JCHAIN	GSM3056502	828.0070259165586
JCHAIN	GSM3056503	3275.2161519844603
JCHAIN	GSM3056504	2738.1429550420285
JCHAIN	GSM3056505	560.2887933450016
JCHAIN	GSM3056506	1632.3673411305165
JCHAIN	GSM3056507	840.9471972210487
JCHAIN	GSM3056508	3044.310758156855
JCHAIN	GSM3056509	1290.7843175564888
JCHAIN	GSM3056510	232.2456318166728
JCHAIN	GSM3056511	1093.5810893174942
JCHAIN	GSM3056512	2816.3921343305965
JCHAIN	GSM3056513	2221.737218805823
JCHAIN	GSM3056514	938.52108411576
JCHAIN	GSM3056515	4269.586809991726
JCHAIN	GSM3056516	1918.3942753065792
JCHAIN	GSM3056517	1501.5197649612105
JCHAIN	GSM3056518	897.0639340798122
JCHAIN	GSM3056519	4418.23811476414
JCHAIN	GSM3056520	682.8230538091653
JCHAIN	GSM3056521	5145.268445348356
JCHAIN	GSM3056522	608.7670890331868
JCHAIN	GSM3056523	6614.254422345575
JCHAIN	GSM3056524	1867.001831270794
JCHAIN	GSM3056525	4129.777444233188
JCHAIN	GSM3056526	560.6294511726295
JCHAIN	GSM3056527	2136.1779102761766
JCHAIN	GSM3056528	6669.731611887395
JCHAIN	GSM3056529	512.1609877416761
JCHAIN	GSM3056530	1967.251299109912
JCHAIN	GSM3056531	5542.651292171558
JCHAIN	GSM3056532	18640.068408671083
JCHAIN	GSM3056533	779.0420943272703
JCHAIN	GSM3056534	667.0771068548524
JCHAIN	GSM3056535	187.47844720324105
JCHAIN	GSM3056536	1974.4248282567391
JCHAIN	GSM3056537	199.25571496181047
JCHAIN	GSM3056538	4877.210658890838
JCHAIN	GSM3056539	2272.421341813119
JCHAIN	GSM3056540	6772.831791553718
JCHAIN	GSM3056541	1860.924142834912
JCHAIN	GSM3056542	1965.5718126070192
JCHAIN	GSM3056543	253.70827406385376
JCHAIN	GSM3056544	1371.1428596099506
JCHAIN	GSM3056545	1977.2978579583432
JCHAIN	GSM3056546	344.99607566551197
JCHAIN	GSM3056547	397.91119939561287
JCHAIN	GSM3056548	1343.116600035658
JCHAIN	GSM3056549	1115.7022075083426
JCHAIN	GSM3056550	1700.4178018333855
JCHAIN	GSM3056551	144.26223608362994
JCHAIN	GSM3056552	3166.5824000751427
JCHAIN	GSM3056553	9627.24168491706
JCHAIN	GSM3056554	2681.6665788791856
JCHAIN	GSM3056555	3614.475495713161
JCHAIN	GSM3056556	1133.321397416783
JCHAIN	GSM3056557	2852.2841954942855
JCHAIN	GSM3056558	196.07866581435275
JCHAIN	GSM3056559	1296.2207361319372
JCHAIN	GSM3056560	808.8658909062117
JCHAIN	GSM3056561	1979.2088396747563
JCHAIN	GSM3056562	218.97944879406433
JCHAIN	GSM3056563	1148.57791071332
JCHAIN	GSM3056564	1432.384914528147
JCHAIN	GSM3056565	1045.0805128223667
JCHAIN	GSM3056566	5078.969387794329
JCHAIN	GSM3056567	1686.7881845648096
JCHAIN	GSM3056568	766.2012650006271
JCHAIN	GSM3056569	1212.6565368715314
JCHAIN	GSM3056570	1818.3445739340425
JCHAIN	GSM3056571	5977.261250775034
JCHAIN	GSM3056572	1597.2354349140396
JCHAIN	GSM3056573	2334
JCHAIN	GSM3056574	1781.4293954052073
JCHAIN	GSM3056575	2096.8795876937825
JCHAIN	GSM3056576	1182.4875188833348
JCHAIN	GSM3056577	720.4319088572194
JCHAIN	GSM3056578	1265.2885504724502
JCHAIN	GSM3056579	8465.090209866821
JCHAIN	GSM3056580	9282.037012445706
JCHAIN	GSM3056581	2604.417418414391
JCHAIN	GSM3056582	278.91773130599216
JCHAIN	GSM3056583	904.5588908284234
JCHAIN	GSM3056584	856.9105550622155
JCHAIN	GSM3056585	1136.8014699978012
JCHAIN	GSM3056586	8746.255721048346
JCHAIN	GSM3056587	6899.181795158999
JCHAIN	GSM3056588	1707.1766929463165
JCHAIN	GSM3056589	9015.356102671432
JCHAIN	GSM3056590	758.8554645644073
JCHAIN	GSM3056591	2335.173272156045
JCHAIN	GSM3056592	1141.8872643359211
JCHAIN	GSM3056593	6709.62863285233
JCHAIN	GSM3056594	2414.3108006775947
JCHAIN	GSM3056595	2413.632772668638
