Gene	sample	counts
KANSL1-AS1	GSM1022678	1.0118055576926337
KANSL1-AS1	GSM1022679	123.9559578556234
KANSL1-AS1	GSM1022680	13.31245712236774
KANSL1-AS1	GSM1022681	1.0254177019347264
KANSL1-AS1	GSM1022682	21.22365561005747
KANSL1-AS1	GSM1022683	13.201635765953524
KANSL1-AS1	GSM1022684	1.045109579572174
KANSL1-AS1	GSM1022685	1.0299388126007114
KANSL1-AS1	GSM1022686	9.461674404842675
KANSL1-AS1	GSM1022687	1.0872700680245635
KANSL1-AS1	GSM1022688	1.0474332992759388
KANSL1-AS1	GSM1022689	7.158070900270198
KANSL1-AS1	GSM1022690	1.0879580718683934
KANSL1-AS1	GSM1022691	1.0760262278806771
KANSL1-AS1	GSM1022692	1.0172824963691265
KANSL1-AS1	GSM1022693	1.0096136609284547
KANSL1-AS1	GSM1022694	1.0444790802811736
KANSL1-AS1	GSM1022695	1.0228445664573578
KANSL1-AS1	GSM1385778	7.021220003697548
KANSL1-AS1	GSM1385779	1.077256250738088
KANSL1-AS1	GSM1385780	1.0665550545786855
KANSL1-AS1	GSM1385781	1.0118859036434402
KANSL1-AS1	GSM1385782	2.0139262253610246
KANSL1-AS1	GSM1385783	1.06319017904285
KANSL1-AS1	GSM1415906	50.07572837961645
KANSL1-AS1	GSM1415907	1.0075958118807733
KANSL1-AS1	GSM1415908	27.409942058538057
KANSL1-AS1	GSM1415909	1.0075958118807733
KANSL1-AS1	GSM1415910	15.127323395664732
KANSL1-AS1	GSM1415911	9.04095529196626
KANSL1-AS1	GSM1415912	1.134200941661956
KANSL1-AS1	GSM1415913	1.1473079818540426
KANSL1-AS1	GSM1415914	1.094225603357875
KANSL1-AS1	GSM1415915	1.0757363896737755
KANSL1-AS1	GSM1415916	1.0760262278806771
KANSL1-AS1	GSM1415917	1.0953867172131926
KANSL1-AS1	GSM1415918	1.10242986176477
KANSL1-AS1	GSM1415919	1.102372776327608
KANSL1-AS1	GSM1415920	1.0823407984756992
KANSL1-AS1	GSM1415921	1.0549402171424924
KANSL1-AS1	GSM2769390	1.0754464105331571
KANSL1-AS1	GSM2769391	4.234097417264387
KANSL1-AS1	GSM2769392	1.0476453445591134
KANSL1-AS1	GSM2769393	1.0359543069535193
KANSL1-AS1	GSM2769394	68.36454318078931
KANSL1-AS1	GSM2769395	1.059075372841705
KANSL1-AS1	GSM2769396	14.254568863309352
KANSL1-AS1	GSM2769397	1.045256860312832
KANSL1-AS1	GSM2769398	1.0492468388860623
KANSL1-AS1	GSM3103946	17.155072025341443
KANSL1-AS1	GSM3103947	38.53941220801897
KANSL1-AS1	GSM3103948	50.85106938027134
KANSL1-AS1	GSM3103949	0.8612333344324411
KANSL1-AS1	GSM3103950	0.668346625598033
KANSL1-AS1	GSM3103951	1
KANSL1-AS1	GSM3103952	1.0030314290996496
KANSL1-AS1	GSM3103953	8.072975070748916
KANSL1-AS1	GSM3103954	1.0030314290996496
KANSL1-AS1	GSM3103955	45.21552851212057
KANSL1-AS1	GSM3103956	1.026970766354677
KANSL1-AS1	GSM3103957	1.0161485132291883
KANSL1-AS1	GSM3103958	1.023224069826938
KANSL1-AS1	GSM3103959	1.001514567592329
KANSL1-AS1	GSM3103960	46
KANSL1-AS1	GSM3103961	8.020595013253034
KANSL1-AS1	GSM3103962	13.098745554450051
KANSL1-AS1	GSM3103963	1.026526731348191
KANSL1-AS1	GSM3103964	1.0100156499625657
KANSL1-AS1	GSM3103965	1.001514567592329
KANSL1-AS1	GSM4260265	1.0214139624814602
KANSL1-AS1	GSM4260266	1.012441299517841
KANSL1-AS1	GSM4260267	1.0545087956624577
KANSL1-AS1	GSM4260268	1.0510914796924773
KANSL1-AS1	GSM4260269	1.018326976452085
KANSL1-AS1	GSM4260270	1.0142954367266297
KANSL1-AS1	GSM4260271	17.44851091052132
KANSL1-AS1	GSM4260272	13.932197916540291
KANSL1-AS1	GSM4260273	38.34663158605735
KANSL1-AS1	GSM4260274	0.7234465986261561
KANSL1-AS1	GSM4260275	1.0654275756550804
KANSL1-AS1	GSM4260276	1.0143160447924937
KANSL1-AS1	GSM4735785	137.45608247836324
KANSL1-AS1	GSM4735786	1.0314640964742157
KANSL1-AS1	GSM4735787	55.35051747342207
KANSL1-AS1	GSM4735788	4.150463237517305
KANSL1-AS1	GSM4735789	147.59699812930606
KANSL1-AS1	GSM4735790	71.56061708987494
KANSL1-AS1	GSM4735791	102.04530247511735
KANSL1-AS1	GSM4735792	87.89747482597413
KANSL1-AS1	GSM4735793	54.97913020482717
KANSL1-AS1	GSM4735794	1.044747721627841
KANSL1-AS1	GSM4735795	2.0705514400623244
KANSL1-AS1	GSM4735796	1.094525086802148
KANSL1-AS1	GSM4735797	1.0813698190073815
KANSL1-AS1	GSM4735798	1.099010715879239
KANSL1-AS1	GSM4735799	9.797961182247358
KANSL1-AS1	GSM4735800	12.04657583040918
KANSL1-AS1	GSM4735801	6.368836820202275
KANSL1-AS1	GSM4735802	19.568837439413517
KANSL1-AS1	GSM4735803	21.454472374481742
KANSL1-AS1	GSM4735804	1.041590214740965
KANSL1-AS1	GSM5282507	73
KANSL1-AS1	GSM5282508	35.05387377068958
KANSL1-AS1	GSM5282509	33.1501694038763
KANSL1-AS1	GSM5282510	30.253543487287065
KANSL1-AS1	GSM5282511	37.8426660729985
KANSL1-AS1	GSM5282512	43.481580241308805
KANSL1-AS1	GSM5282513	30.61181976949476
KANSL1-AS1	GSM5282514	106
KANSL1-AS1	GSM5282515	49.412982491992
KANSL1-AS1	GSM5282516	44.311438466462775
KANSL1-AS1	GSM5282517	30.311626783359102
KANSL1-AS1	GSM5282518	28
KANSL1-AS1	GSM5282519	65.88526021036772
KANSL1-AS1	GSM5282520	65.73647288890092
KANSL1-AS1	GSM5282521	62.74739139897929
KANSL1-AS1	GSM5282522	43.25743012922988
KANSL1-AS1	GSM5282523	142
KANSL1-AS1	GSM5282524	13.13845347289272
KANSL1-AS1	GSM5282525	28
KANSL1-AS1	GSM5282526	82
KANSL1-AS1	GSM5282527	105.7311268314538
KANSL1-AS1	GSM5282528	30.71600958535814
KANSL1-AS1	GSM5282529	48
KANSL1-AS1	GSM5282530	69.4463628082278
KANSL1-AS1	GSM5282531	22.7565284524694
KANSL1-AS1	GSM5282532	67.30488939574884
KANSL1-AS1	GSM5282533	101.50473189180296
KANSL1-AS1	GSM5282534	83.32534348151435
KANSL1-AS1	GSM5282535	110.1666024351562
KANSL1-AS1	GSM5282536	25.365295376382782
KANSL1-AS1	GSM4260927	26
KANSL1-AS1	GSM4260928	77.28038231150451
KANSL1-AS1	GSM4260929	38.96131705039838
KANSL1-AS1	GSM4260930	173
KANSL1-AS1	GSM4260931	50.15157145498248
KANSL1-AS1	GSM4260932	53.080272082393435
KANSL1-AS1	GSM4260933	34.46699388775812
KANSL1-AS1	GSM4260934	66
KANSL1-AS1	GSM4260935	66.56022294092483
KANSL1-AS1	GSM4260936	41.63592818493034
KANSL1-AS1	GSM4260937	23
KANSL1-AS1	GSM4260938	117.60184855542984
KANSL1-AS1	GSM4260939	75.11359256942467
