Gene	sample	counts
KB-1460A1.1	GSM1022678	1.010650267145594
KB-1460A1.1	GSM1022679	1.080829643118164
KB-1460A1.1	GSM1022680	4.091378265829431
KB-1460A1.1	GSM1022681	3.070461733073724
KB-1460A1.1	GSM1022682	3.027365651530843
KB-1460A1.1	GSM1022683	6.0914959207180495
KB-1460A1.1	GSM1022684	4.167763381786293
KB-1460A1.1	GSM1022685	4.107304248781973
KB-1460A1.1	GSM1022686	3.1448332654920357
KB-1460A1.1	GSM1022687	1.080412911353207
KB-1460A1.1	GSM1022688	1.0432607562473546
KB-1460A1.1	GSM1022689	4.08508016518987
KB-1460A1.1	GSM1022690	3.239530155155745
KB-1460A1.1	GSM1022691	1.067908644246083
KB-1460A1.1	GSM1022692	8.13825997095301
KB-1460A1.1	GSM1022693	3.027365651530843
KB-1460A1.1	GSM1022694	4.169258794632994
KB-1460A1.1	GSM1022695	8.180652457451655
KB-1460A1.1	GSM1385778	7.0106019731463025
KB-1460A1.1	GSM1385779	1.052358251410889
KB-1460A1.1	GSM1385780	2.0938462009197596
KB-1460A1.1	GSM1385781	2.0161736905247345
KB-1460A1.1	GSM1385782	3.015120412031123
KB-1460A1.1	GSM1385783	3.1330807060661123
KB-1460A1.1	GSM1415906	5.007572837961645
KB-1460A1.1	GSM1415907	5.034815563402561
KB-1460A1.1	GSM1415908	8.111797682393808
KB-1460A1.1	GSM1415909	8.055704901444098
KB-1460A1.1	GSM1415910	5.037979059403867
KB-1460A1.1	GSM1415911	3.013651763988754
KB-1460A1.1	GSM1415912	3.370777510298672
KB-1460A1.1	GSM1415913	2.2668377808567093
KB-1460A1.1	GSM1415914	2.173547705042712
KB-1460A1.1	GSM1415915	3.2155618787083835
KB-1460A1.1	GSM1415916	2.1435129618540354
KB-1460A1.1	GSM1415917	3.26188672884188
KB-1460A1.1	GSM1415918	3.280296326572502
KB-1460A1.1	GSM1415919	2.187059143779823
KB-1460A1.1	GSM1415920	2.1520524557613543
KB-1460A1.1	GSM1415921	2.1045859984777806
KB-1460A1.1	GSM2769390	1.0476453445591134
KB-1460A1.1	GSM2769391	3.110531145257539
KB-1460A1.1	GSM2769392	1.033326703689763
KB-1460A1.1	GSM2769393	7.212442260257888
KB-1460A1.1	GSM2769394	1.0155104435348865
KB-1460A1.1	GSM2769395	1.0397118660865767
KB-1460A1.1	GSM2769396	2.0446372310689633
KB-1460A1.1	GSM2769397	2.092050092391691
KB-1460A1.1	GSM2769398	2.0963117906952364
KB-1460A1.1	GSM3103946	6.041778676083074
KB-1460A1.1	GSM3103947	3.5868094162675352
KB-1460A1.1	GSM3103948	3.448124610411332
KB-1460A1.1	GSM3103949	5.0256242184313935
KB-1460A1.1	GSM3103950	5.150764474459754
KB-1460A1.1	GSM3103951	1
KB-1460A1.1	GSM3103952	3
KB-1460A1.1	GSM3103953	1.0069631126805123
KB-1460A1.1	GSM3103954	4
KB-1460A1.1	GSM3103955	2.103694313631289
KB-1460A1.1	GSM3103956	1.0228168238050332
KB-1460A1.1	GSM3103957	1.0142355058831722
KB-1460A1.1	GSM3103958	1.019228895401757
KB-1460A1.1	GSM3103959	4
KB-1460A1.1	GSM3103960	5
KB-1460A1.1	GSM3103961	4.331505442797792
KB-1460A1.1	GSM3103962	3.0182161432850565
KB-1460A1.1	GSM3103963	4.090651035352414
KB-1460A1.1	GSM3103964	4.027852450722049
KB-1460A1.1	GSM3103965	4
KB-1460A1.1	GSM4260265	1.0263259010476733
KB-1460A1.1	GSM4260266	1.017949289364482
KB-1460A1.1	GSM4260267	1.0377901820927629
KB-1460A1.1	GSM4260268	1.038948316513042
KB-1460A1.1	GSM4260269	1.0234594842742062
KB-1460A1.1	GSM4260270	1.021939447988662
KB-1460A1.1	GSM4260271	2.101346284728083
KB-1460A1.1	GSM4260272	1.0485732304058435
KB-1460A1.1	GSM4260273	1.017048502742336
KB-1460A1.1	GSM4260274	3.007451904354032
KB-1460A1.1	GSM4260275	1.0472567835878563
KB-1460A1.1	GSM4260276	1.022581557181457
KB-1460A1.1	GSM4735785	3.229363979475765
KB-1460A1.1	GSM4735786	3.1222840854447886
KB-1460A1.1	GSM4735787	8.284335954095027
KB-1460A1.1	GSM4735788	3.1381830433410993
KB-1460A1.1	GSM4735789	3.1220055245622205
KB-1460A1.1	GSM4735790	3.1236116986667675
KB-1460A1.1	GSM4735791	3.160034565483956
KB-1460A1.1	GSM4735792	3.198898701261634
KB-1460A1.1	GSM4735793	3.1899413602873516
KB-1460A1.1	GSM4735794	3.1489673949494903
KB-1460A1.1	GSM4735795	8.323207325998712
KB-1460A1.1	GSM4735796	3.270858571076327
KB-1460A1.1	GSM4735797	8.609210623473265
KB-1460A1.1	GSM4735798	3.307584380434706
KB-1460A1.1	GSM4735799	3.250565791074043
KB-1460A1.1	GSM4735800	3.300589996613401
KB-1460A1.1	GSM4735801	3.1922312627072453
KB-1460A1.1	GSM4735802	3.112569989321894
KB-1460A1.1	GSM4735803	3.097566890962534
KB-1460A1.1	GSM4735804	3.176047717768669
KB-1460A1.1	GSM5282507	1.0030314290996496
KB-1460A1.1	GSM5282508	1.0203939923164922
KB-1460A1.1	GSM5282509	1.008488226377649
KB-1460A1.1	GSM5282510	1.0507016405848535
KB-1460A1.1	GSM5282511	1.030203714172055
KB-1460A1.1	GSM5282512	1.022581557181457
KB-1460A1.1	GSM5282513	1.0161485132291883
KB-1460A1.1	GSM5282514	1.0039198009821009
KB-1460A1.1	GSM5282515	1.0238669861786047
KB-1460A1.1	GSM5282516	1.0330890196011069
KB-1460A1.1	GSM5282517	1.0281447131263994
KB-1460A1.1	GSM5282518	1.0030314290996496
KB-1460A1.1	GSM5282519	1.0551829285636198
KB-1460A1.1	GSM5282520	1.0221745668813695
KB-1460A1.1	GSM5282521	1.0229609629673868
KB-1460A1.1	GSM5282522	1.022581557181457
KB-1460A1.1	GSM5282523	6.009087405553974
KB-1460A1.1	GSM5282524	8.089142312480556
KB-1460A1.1	GSM5282525	3.0182161432850565
KB-1460A1.1	GSM5282526	1.0040651293934055
KB-1460A1.1	GSM5282527	1.011545386933744
KB-1460A1.1	GSM5282528	1.0195819146668483
KB-1460A1.1	GSM5282529	1.0045505879962513
KB-1460A1.1	GSM5282530	1.018588891444416
KB-1460A1.1	GSM5282531	1.0256814406706618
KB-1460A1.1	GSM5282532	1.0100156499625657
KB-1460A1.1	GSM5282533	1
KB-1460A1.1	GSM5282534	2.016976452755298
KB-1460A1.1	GSM5282535	1.0078549668039407
KB-1460A1.1	GSM5282536	1.0142079967347273
KB-1460A1.1	GSM4260927	6
KB-1460A1.1	GSM4260928	3.4048746269601313
KB-1460A1.1	GSM4260929	1.2488747214467275
KB-1460A1.1	GSM4260930	2
KB-1460A1.1	GSM4260931	2.006062858199299
KB-1460A1.1	GSM4260932	5.0036209931999895
KB-1460A1.1	GSM4260933	4.148073824788769
KB-1460A1.1	GSM4260934	1
KB-1460A1.1	GSM4260935	5.030360238808427
