Gene	sample	counts
KCNT1	GSM1022678	19.19029734928875
KCNT1	GSM1022679	12.627173494267156
KCNT1	GSM1022680	3.0554332713501067
KCNT1	GSM1022681	9.178823713401124
KCNT1	GSM1022682	39.059068136100834
KCNT1	GSM1022683	4.0523097631798555
KCNT1	GSM1022684	14.381288663570569
KCNT1	GSM1022685	17.337778125313232
KCNT1	GSM1022686	5.158220435982759
KCNT1	GSM1022687	8.43748161138574
KCNT1	GSM1022688	22.65344197136075
KCNT1	GSM1022689	12.201443806056744
KCNT1	GSM1022690	11.57490903641156
KCNT1	GSM1022691	4.171010359413305
KCNT1	GSM1022692	11.153721813291488
KCNT1	GSM1022693	22.15318847897127
KCNT1	GSM1022694	4.1104641473844
KCNT1	GSM1022695	8.136388021938687
KCNT1	GSM1385778	19.057597152893344
KCNT1	GSM1385779	12.544849941706095
KCNT1	GSM1385780	12.501958256523212
KCNT1	GSM1385781	12.146171583448696
KCNT1	GSM1385782	14.106341366330826
KCNT1	GSM1385783	11.447353590061477
KCNT1	GSM1415906	35
KCNT1	GSM1415907	22.11968671831524
KCNT1	GSM1415908	20.230907738674883
KCNT1	GSM1415909	19.103365802181344
KCNT1	GSM1415910	17.103224811948653
KCNT1	GSM1415911	11.033345720096143
KCNT1	GSM1415912	10.828383463137913
KCNT1	GSM1415913	5.447284810770707
KCNT1	GSM1415914	6.3448425441544245
KCNT1	GSM1415915	6.2775942389543555
KCNT1	GSM1415916	14.657824959024838
KCNT1	GSM1415917	6.345408091470544
KCNT1	GSM1415918	6.388802714595063
KCNT1	GSM1415919	6.374064253020071
KCNT1	GSM1415920	6.296710279394561
KCNT1	GSM1415921	6.200004911216796
KCNT1	GSM2769390	9.410802113319637
KCNT1	GSM2769391	9.307095115683572
KCNT1	GSM2769392	21.675083641366623
KCNT1	GSM2769393	14.41582670904775
KCNT1	GSM2769394	16.243430580995142
KCNT1	GSM2769395	12.460540555913248
KCNT1	GSM2769396	29.62299512609612
KCNT1	GSM2769397	10.456446792577374
KCNT1	GSM2769398	7.332682975543408
KCNT1	GSM3103946	26
KCNT1	GSM3103947	9.576160922394743
KCNT1	GSM3103948	10.881542248152217
KCNT1	GSM3103949	3.0855426144958344
KCNT1	GSM3103950	16.256967475108837
KCNT1	GSM3103951	1.8986436671591147
KCNT1	GSM3103952	21
KCNT1	GSM3103953	4
KCNT1	GSM3103954	2.996406332966496
KCNT1	GSM3103955	8.1588939064151
KCNT1	GSM3103956	15.190113497393956
KCNT1	GSM3103957	1.0054403053779657
KCNT1	GSM3103958	14.14021909947592
KCNT1	GSM3103959	9.84996560587828
KCNT1	GSM3103960	9
KCNT1	GSM3103961	17.792930251526496
KCNT1	GSM3103962	10
KCNT1	GSM3103963	2.023090773867488
KCNT1	GSM3103964	22
KCNT1	GSM3103965	13
KCNT1	GSM4260265	14.368562614667429
KCNT1	GSM4260266	15.265313082544775
KCNT1	GSM4260267	14.530715911138977
KCNT1	GSM4260268	14.54527643118259
KCNT1	GSM4260269	14.323118510285322
KCNT1	GSM4260270	15.32515007175781
KCNT1	GSM4260271	14.702259116143196
KCNT1	GSM4260272	19.91038120518655
KCNT1	GSM4260273	14.235017773732867
KCNT1	GSM4260274	24.74949304540758
KCNT1	GSM4260275	13.605084813429071
KCNT1	GSM4260276	13.29014200194826
KCNT1	GSM4735785	9.506917352121125
KCNT1	GSM4735786	9.295410385047257
KCNT1	GSM4735787	9.261246747695695
KCNT1	GSM4735788	29.024948284364957
KCNT1	GSM4735789	12.39847898277405
KCNT1	GSM4735790	28.867896046450237
KCNT1	GSM4735791	12.504609504335372
KCNT1	GSM4735792	12.601936385265596
KCNT1	GSM4735793	9.421559752312092
KCNT1	GSM4735794	12.470586424082883
KCNT1	GSM4735795	18.55252333548726
KCNT1	GSM4735796	12.758720850339463
KCNT1	GSM4735797	12.641607819026166
KCNT1	GSM4735798	9.628263572470011
KCNT1	GSM4735799	12.675456773007932
KCNT1	GSM4735800	9.62221770110932
KCNT1	GSM4735801	12.541192982946882
KCNT1	GSM4735802	12.342314195948004
KCNT1	GSM4735803	9.231132966035956
KCNT1	GSM4735804	9.374311932668684
KCNT1	GSM5282507	17.077359995936273
KCNT1	GSM5282508	17.34223742387817
KCNT1	GSM5282509	22.22034429917645
KCNT1	GSM5282510	11.537272172504377
KCNT1	GSM5282511	16.472462305480505
KCNT1	GSM5282512	19.424053695155152
KCNT1	GSM5282513	19.311787490442196
KCNT1	GSM5282514	16.07280940794002
KCNT1	GSM5282515	13.313694238890202
KCNT1	GSM5282516	13.4182728651745
KCNT1	GSM5282517	17.468871947866038
KCNT1	GSM5282518	17.077359995936273
KCNT1	GSM5282519	25.269346000707785
KCNT1	GSM5282520	11.231386435084522
KCNT1	GSM5282521	36.83606651376977
KCNT1	GSM5282522	14.316141800540397
KCNT1	GSM5282523	23.06972286929194
KCNT1	GSM5282524	32.36945238187981
KCNT1	GSM5282525	20.139262253610244
KCNT1	GSM5282526	16.07280940794002
KCNT1	GSM5282527	24.29234316689739
KCNT1	GSM5282528	16.322105810708866
KCNT1	GSM5282529	35.21252167165899
KCNT1	GSM5282530	22.42303569883865
KCNT1	GSM5282531	16.406683230955622
KCNT1	GSM5282532	17.181054541475095
KCNT1	GSM5282533	13
KCNT1	GSM5282534	16.14595014149783
KCNT1	GSM5282535	27.24629086377759
KCNT1	GSM5282536	35.520547107619365
KCNT1	GSM4260927	11.016660243515618
KCNT1	GSM4260928	7.5550138283872945
KCNT1	GSM4260929	12.017862774460236
KCNT1	GSM4260930	10.01514567592329
KCNT1	GSM4260931	2.021300534291188
KCNT1	GSM4260932	4.032347381049469
KCNT1	GSM4260933	22
KCNT1	GSM4260934	11.076594239485637
KCNT1	GSM4260935	10.10650267145594
KCNT1	GSM4260936	10.153325559559528
KCNT1	GSM4260937	6.032641832267793
KCNT1	GSM4260938	2.069251279596411
KCNT1	GSM4260939	10.084882263776487
KCNT1	GSM4260940	4.0517387770366815
KCNT1	GSM4260941	21.03180591943891
KCNT1	GSM4260942	2
KCNT1	GSM4260943	2.038457790803514
KCNT1	GSM4260944	8.901985580275621
KCNT1	GSM4260945	4.036487535374458
KCNT1	GSM4260946	4.512283047527099
KCNT1	GSM4260947	1.0197255979537387
KCNT1	GSM4260948	5.536344944644733
KCNT1	GSM4260949	2.0459219259347736
KCNT1	GSM4260950	3.009094287298949
KCNT1	GSM4260951	22
KCNT1	GSM4260952	22
KCNT1	GSM4260953	21
KCNT1	GSM4260954	8.080125199700525
KCNT1	GSM4260955	2.0625229218568437
KCNT1	GSM4260956	3.0499311438398524
KCNT1	GSM4260957	10
KCNT1	GSM4260958	1.0325578009378895
KCNT1	GSM4260959	8.093166331874553
KCNT1	GSM4260960	6.063901602873563
KCNT1	GSM4260961	19.040331186047737
KCNT1	GSM4260962	1.008488226377649
KCNT1	GSM4260963	9.01363110833096
KCNT1	GSM4260964	9.054648429855169
KCNT1	GSM4260965	1.0332065818978375
KCNT1	GSM4260966	12
KCNT1	GSM4260967	27.70681877368972
KCNT1	GSM4260968	6.018188574597898
KCNT1	GSM4260969	34.25825760394629
KCNT1	GSM4260970	16.931431334897095
KCNT1	GSM4260971	32.26272456143574
KCNT1	GSM4260972	5.073059075276557
KCNT1	GSM4260973	4.041733216645302
KCNT1	GSM4260974	5.103862932279488
KCNT1	GSM4260975	2.0139262253610246
KCNT1	GSM4260976	23.034835054623567
KCNT1	GSM4260977	1.0275807028156494
KCNT1	GSM4260978	9.035278208838903
KCNT1	GSM4260979	7
KCNT1	GSM4260980	10
KCNT1	GSM4260981	5.067619615351572
KCNT1	GSM4260982	4.036487535374458
KCNT1	GSM4260983	2.0300431160157175
KCNT1	GSM4260984	6.944545757094231
KCNT1	GSM4260985	20.73216836215208
KCNT1	GSM4260986	6.996570688329362
KCNT1	GSM4260987	3.115326752051808
KCNT1	GSM4260988	3.0365428958621736
KCNT1	GSM4260989	12.018174811107947
KCNT1	GSM4260990	6
KCNT1	GSM4260991	2.0151916237615466
KCNT1	GSM4260992	2.766305586126653
KCNT1	GSM4260993	6.087670890331868
KCNT1	GSM4260994	14
KCNT1	GSM4260995	3.0657351896577003
KCNT1	GSM4260996	11.249349035701837
KCNT1	GSM4260997	10
KCNT1	GSM4260998	12.526148923683357
KCNT1	GSM4260999	6.036432286570113
KCNT1	GSM4261000	1.019491042368788
KCNT1	GSM4261001	3.004543702776987
KCNT1	GSM4261002	2.104528915711193
KCNT1	GSM4261003	1.0075958118807733
KCNT1	GSM4261004	1.0322922940481272
KCNT1	GSM4261005	2.003029135184658
KCNT1	GSM4261006	1.0188508738016162
KCNT1	GSM4261007	1.0443319091327352
KCNT1	GSM4261008	2.0139262253610246
KCNT1	GSM4261009	6.159372174822884
KCNT1	GSM4261010	1.0469874970732027
KCNT1	GSM4261011	5.083934919190311
KCNT1	GSM4261012	1.116974272768844
KCNT1	GSM4261013	6.17575250141831
KCNT1	GSM4261014	6.166413052048763
KCNT1	GSM4261015	6.078464644769783
KCNT1	GSM4261016	1.0069631126805123
KCNT1	GSM4261017	5.057726934668721
KCNT1	GSM4261018	9.424677347501191
KCNT1	GSM4261019	2.0358985787289643
KCNT1	GSM4261020	1.0615823408328358
KCNT1	GSM4261021	1.0309962873732228
KCNT1	GSM4261022	3.0254646791329467
KCNT1	GSM4261023	9.06836230692696
KCNT1	GSM4261024	1.0325578009378895
KCNT1	GSM4261025	1.026822050493026
KCNT1	GSM4261026	1.0388275412218857
KCNT1	GSM4261027	5
KCNT1	GSM4818000	1.0197255979537387
KCNT1	GSM4818001	6.328360172184707
KCNT1	GSM4818002	11.416399884474137
KCNT1	GSM4818003	4.223238482946293
KCNT1	GSM4818004	1.111820076479448
KCNT1	GSM4818005	4.245347178778352
KCNT1	GSM4818006	1.1089675886897936
KCNT1	GSM4818007	1.1099196816394996
KCNT1	GSM4818008	4.0891338546121725
KCNT1	GSM4818009	8.433262633032834
KCNT1	GSM4818010	4.281916996709973
KCNT1	GSM4818011	8.704129289288431
KCNT1	GSM4818012	1.0219117298859002
KCNT1	GSM4818013	1.0429566345098742
KCNT1	GSM4818014	1.1000274491679498
KCNT1	GSM4818015	6.378634556523139
KCNT1	GSM4818016	13.712290435731507
KCNT1	GSM4818017	23.691930974666764
KCNT1	GSM4818018	16.646414651997425
KCNT1	GSM4818019	11.216981577491126
KCNT1	GSM4818020	23.421520458397957
KCNT1	GSM4818021	28.65027395515427
KCNT1	GSM4818022	4.229895029436284
KCNT1	GSM4818023	4.2723781896832556
KCNT1	GSM3056394	5.170340655906109
KCNT1	GSM3056395	12.695869174136522
KCNT1	GSM3056396	3.3047471230896357
KCNT1	GSM3056397	7.225797594589433
KCNT1	GSM3056398	6.082283890649927
KCNT1	GSM3056399	14.71906550459346
KCNT1	GSM3056400	20.68382322832788
KCNT1	GSM3056401	12.309154661812482
KCNT1	GSM3056402	20.713758534054463
KCNT1	GSM3056403	21.58548716092793
KCNT1	GSM3056404	9.125772392693037
KCNT1	GSM3056405	9.65164855388476
KCNT1	GSM3056406	12.506936051811175
KCNT1	GSM3056407	11.497825463441153
KCNT1	GSM3056408	3.0797696201207243
KCNT1	GSM3056409	10.27735508674794
KCNT1	GSM3056410	9.928102905225533
KCNT1	GSM3056411	12.436872238320962
KCNT1	GSM3056412	3.3064391649395968
KCNT1	GSM3056413	7.526320068223156
KCNT1	GSM3056414	5.092944457222081
KCNT1	GSM3056415	11.306683750962248
KCNT1	GSM3056416	6.619325230884934
KCNT1	GSM3056417	3.1043143293088824
KCNT1	GSM3056418	15.163653115178048
KCNT1	GSM3056419	6.314269452379666
KCNT1	GSM3056420	9.15579080018644
KCNT1	GSM3056421	3.1851172848699205
KCNT1	GSM3056422	7.439826783041279
KCNT1	GSM3056423	11.210235164875066
KCNT1	GSM3056424	5.220458468225192
KCNT1	GSM3056425	6.58660539479932
KCNT1	GSM3056426	11.265433586753248
KCNT1	GSM3056427	11.921771423585584
KCNT1	GSM3056428	9.21350447418664
KCNT1	GSM3056429	7.35933313940821
KCNT1	GSM3056430	16.506305395144828
KCNT1	GSM3056431	5.325794482023515
KCNT1	GSM3056432	16.5313053103654
KCNT1	GSM3056433	7.663249365462674
KCNT1	GSM3056434	12.260120057406247
KCNT1	GSM3056435	11.858935254844017
KCNT1	GSM3056436	5.362026974380423
KCNT1	GSM3056437	11.687833148131372
KCNT1	GSM3056438	9.386165033818768
KCNT1	GSM3056439	11.539926567207909
KCNT1	GSM3056440	5.624912815928674
KCNT1	GSM3056441	6.774866991877207
KCNT1	GSM3056442	21.242453125608627
KCNT1	GSM3056443	15.32515007175781
KCNT1	GSM3056444	2.145548377973659
KCNT1	GSM3056445	12.326818854489058
KCNT1	GSM3056446	14.161635417072418
KCNT1	GSM3056447	9.08209695459253
KCNT1	GSM3056448	14.20456541077436
KCNT1	GSM3056449	11.457492362150616
KCNT1	GSM3056450	12.175341780663736
KCNT1	GSM3056451	6.328749431876081
KCNT1	GSM3056452	11.287994165277604
KCNT1	GSM3056453	12.204582032908032
KCNT1	GSM3056454	5.219722885404389
KCNT1	GSM3056455	11.194562927199502
KCNT1	GSM3056456	10.146118150553114
KCNT1	GSM3056457	9.536323444608088
KCNT1	GSM3056458	5.713035178109014
KCNT1	GSM3056459	7.520534247592624
KCNT1	GSM3056460	5.425181541778135
KCNT1	GSM3056461	6.447099734387028
KCNT1	GSM3056462	5.283428462255846
KCNT1	GSM3056463	2.1903715926814984
KCNT1	GSM3056464	7.601107038145186
KCNT1	GSM3056465	9.804383402140465
KCNT1	GSM3056466	9.45343788087452
KCNT1	GSM3056467	5.3194739426024205
KCNT1	GSM3056468	14.28184258437026
KCNT1	GSM3056469	3.255100904478564
KCNT1	GSM3056470	6.529194022322861
KCNT1	GSM3056471	5.425147561747287
KCNT1	GSM3056472	14.87924998466938
KCNT1	GSM3056473	11.830266442181625
KCNT1	GSM3056474	11.289584911524408
KCNT1	GSM3056475	6.271541161876992
KCNT1	GSM3056476	3.144936423906501
KCNT1	GSM3056477	12.28471860909518
KCNT1	GSM3056478	16.245877666873312
KCNT1	GSM3056479	9.307720452747546
KCNT1	GSM3056480	18.70851573846356
KCNT1	GSM3056481	15.507836557537551
KCNT1	GSM3056482	26.466681523476534
KCNT1	GSM3056483	7.149897737370222
KCNT1	GSM3056484	7.116506002292988
KCNT1	GSM3056485	9.118891625880302
KCNT1	GSM3056486	24.07275429839159
KCNT1	GSM3056487	9.239058262234328
KCNT1	GSM3056488	18.319606497614835
KCNT1	GSM3056489	20.452063316729937
KCNT1	GSM3056490	15.331924831692636
KCNT1	GSM3056491	12.735490877751015
KCNT1	GSM3056492	3.2930476967101896
KCNT1	GSM3056493	23.477769488485645
KCNT1	GSM3056494	15.742529071034872
KCNT1	GSM3056495	28.43429241897682
KCNT1	GSM3056496	15.944051834865604
KCNT1	GSM3056497	25.719768030922033
KCNT1	GSM3056498	14.377590728965478
KCNT1	GSM3056499	12.84575099012992
KCNT1	GSM3056500	15.439381253545776
KCNT1	GSM3056501	16.626997578520005
KCNT1	GSM3056502	11.526842627553387
KCNT1	GSM3056503	18.817274912559142
KCNT1	GSM3056504	11.957911428398411
KCNT1	GSM3056505	12.74211749389157
