Gene	sample	counts
KLK8	GSM1022678	299.0625980604448
KLK8	GSM1022679	200.75788546151185
KLK8	GSM1022680	376.15016542913776
KLK8	GSM1022681	368.737179339128
KLK8	GSM1022682	141.73061922278268
KLK8	GSM1022683	384.70283575111614
KLK8	GSM1022684	523.6962693985637
KLK8	GSM1022685	257.35775124844037
KLK8	GSM1022686	416.20695918740125
KLK8	GSM1022687	325.828144161213
KLK8	GSM1022688	396.3382589963125
KLK8	GSM1022689	330.6325192220232
KLK8	GSM1022690	197.13518113891428
KLK8	GSM1022691	866.0967336883263
KLK8	GSM1022692	914.177373110514
KLK8	GSM1022693	303.19157740023667
KLK8	GSM1022694	886.1807346668795
KLK8	GSM1022695	931.315822777562
KLK8	GSM1385778	599
KLK8	GSM1385779	109.00393683751402
KLK8	GSM1385780	334.9017149821346
KLK8	GSM1385781	339.8380850367157
KLK8	GSM1385782	349.8462175941417
KLK8	GSM1385783	176.11849761411693
KLK8	GSM1415906	875
KLK8	GSM1415907	616.1456081822946
KLK8	GSM1415908	713.8737391108334
KLK8	GSM1415909	879.6420701002127
KLK8	GSM1415910	278.837435359721
KLK8	GSM1415911	410.164530972442
KLK8	GSM1415912	388.633024722739
KLK8	GSM1415913	212.88097273200185
KLK8	GSM1415914	283.5495082721096
KLK8	GSM1415915	176.02881880111934
KLK8	GSM1415916	263.0902947977987
KLK8	GSM1415917	222.44104325546255
KLK8	GSM1415918	203.72128062940004
KLK8	GSM1415919	408.3915414418181
KLK8	GSM1415920	207.94522403400725
KLK8	GSM1415921	224.15139390256505
KLK8	GSM2769390	279.1140247838199
KLK8	GSM2769391	273.62730950127485
KLK8	GSM2769392	440.8642779093456
KLK8	GSM2769393	456.8593119478684
KLK8	GSM2769394	960.2822808194558
KLK8	GSM2769395	330.5738011102891
KLK8	GSM2769396	49.026737390103314
KLK8	GSM2769397	49.70744664265577
KLK8	GSM2769398	46.78150749233385
KLK8	GSM3103946	314.30860190491205
KLK8	GSM3103947	461.9651084986271
KLK8	GSM3103948	213.7549221106958
KLK8	GSM3103949	524.7184830959491
KLK8	GSM3103950	42.71013316102193
KLK8	GSM3103951	9
KLK8	GSM3103952	229.20959083754113
KLK8	GSM3103953	411.83617551569125
KLK8	GSM3103954	130.68967898631732
KLK8	GSM3103955	283.3253709066014
KLK8	GSM3103956	244.6447945173572
KLK8	GSM3103957	642.1891252882388
KLK8	GSM3103958	519.0050096768158
KLK8	GSM3103959	131
KLK8	GSM3103960	306
KLK8	GSM3103961	301.57121742264053
KLK8	GSM3103962	547.5729382045597
KLK8	GSM3103963	589.4184711789492
KLK8	GSM3103964	48.59335516209692
KLK8	GSM3103965	860
KLK8	GSM4260265	183.85026521288745
KLK8	GSM4260266	181.914946440142
KLK8	GSM4260267	191.112724606818
KLK8	GSM4260268	190.07322991224532
KLK8	GSM4260269	183.44696450378208
KLK8	GSM4260270	182.69372682060657
KLK8	GSM4260271	200.50944004463008
KLK8	GSM4260272	195.2029416406297
KLK8	GSM4260273	180.95494013490088
KLK8	GSM4260274	139.005171063995
KLK8	GSM4260275	193.414896133114
KLK8	GSM4260276	182.22508185786344
KLK8	GSM4735786	177.0630544753713
KLK8	GSM4735787	175.88369305022033
KLK8	GSM4735788	178.1625286702954
KLK8	GSM4735790	178.0024134594084
KLK8	GSM4735793	181.75275441313056
KLK8	GSM4735798	397.1824850835594
KLK8	GSM4735800	1.1037828089768285
KLK8	GSM4735803	948.4430551780677
KLK8	GSM4735804	399.9196672789229
KLK8	GSM4735785	184.88511183597984
KLK8	GSM4735789	177.2223247220867
KLK8	GSM4735791	180.7166460588471
KLK8	GSM4735792	184.59422237171228
KLK8	GSM4735794	179.50148166753425
KLK8	GSM4735795	318.870560407257
KLK8	GSM4735796	646.0798919103098
KLK8	GSM4735797	1.0882962908423894
KLK8	GSM4735799	525.7122243836283
KLK8	GSM4735801	66.12374365202987
KLK8	GSM4735802	517.6648344989778
KLK8	GSM5282507	57
KLK8	GSM5282509	57
KLK8	GSM5282510	61.62837061199328
KLK8	GSM5282511	59.721180848939056
KLK8	GSM5282512	58.89154748052327
KLK8	GSM5282515	58.62789768340678
KLK8	GSM5282516	60.01453305174857
KLK8	GSM5282519	62.75209552693257
KLK8	GSM5282521	58.56816733067225
KLK8	GSM5282523	57
KLK8	GSM5282524	57.60639970604497
KLK8	GSM5282526	57
KLK8	GSM5282528	58.2716195339244
KLK8	GSM5282529	57
KLK8	GSM5282513	58.09153875953099
KLK8	GSM5282533	54.94925670395176
KLK8	GSM5282534	57
KLK8	GSM5282536	57.78497657439103
KLK8	GSM5282525	57
KLK8	GSM5282530	58.09153875953099
KLK8	GSM5282514	57
KLK8	GSM5282520	62.45698717873978
KLK8	GSM5282535	57
KLK8	GSM5282522	61.72472671190946
KLK8	GSM5282531	58.9389317529776
KLK8	GSM5282508	58.68063414927263
KLK8	GSM5282518	57
KLK8	GSM5282517	59.46458151464184
KLK8	GSM5282527	57.30239770938528
KLK8	GSM5282532	57
