Gene	sample	counts
LEF1	GSM1022678	2567.2672699099935
LEF1	GSM1022679	2377.8583714435745
LEF1	GSM1022680	2385.2088331133377
LEF1	GSM1022681	2558.643598460333
LEF1	GSM1022682	2248.2948368166712
LEF1	GSM1022683	2607.55236469215
LEF1	GSM1022684	2532.011518840006
LEF1	GSM1022685	2414.490921000938
LEF1	GSM1022686	2449.91459099165
LEF1	GSM1022687	2601.1207060232537
LEF1	GSM1022688	2433.7949943819917
LEF1	GSM1022689	2671.027901289192
LEF1	GSM1022690	2514.4122946184975
LEF1	GSM1022691	2457.3420343537
LEF1	GSM1022692	2559.678104824325
LEF1	GSM1022693	2611.9845063181106
LEF1	GSM1022694	2563.4692908903135
LEF1	GSM1022695	2539.888205225994
LEF1	GSM1385778	2413
LEF1	GSM1385779	2603.765525338112
LEF1	GSM1385780	2564.312108379019
LEF1	GSM1385781	2422.883340196673
LEF1	GSM1385782	2435.0306253029134
LEF1	GSM1385783	2561.2192842942163
LEF1	GSM1415906	2667
LEF1	GSM1415907	2567.4958658878213
LEF1	GSM1415908	2495.209736677996
LEF1	GSM1415909	2459.846156777321
LEF1	GSM1415910	2588.9021627015973
LEF1	GSM1415911	2593.839275651694
LEF1	GSM1415912	2621.0908490211477
LEF1	GSM1415913	2643.252250461376
LEF1	GSM1415914	2534.4043370452646
LEF1	GSM1415915	2528.2696073880397
LEF1	GSM1415916	2522.850103708854
LEF1	GSM1415917	2519.354307696879
LEF1	GSM1415918	2558.9093059076818
LEF1	GSM1415919	2566.6474656440323
LEF1	GSM1415920	2494.9363220701157
LEF1	GSM1415921	2462.4811606583676
LEF1	GSM2769390	2669.3894788897023
LEF1	GSM2769391	2617.5967020047265
LEF1	GSM2769392	2602.251289918634
LEF1	GSM2769393	2560.3825276688485
LEF1	GSM2769394	2524.514237623916
LEF1	GSM2769395	2618.011130604516
LEF1	GSM2769396	2458.244501934921
LEF1	GSM2769397	2523.6089119626567
LEF1	GSM2769398	2526.650048726726
LEF1	GSM3103946	2426.057591210083
LEF1	GSM3103947	2356.635221486496
LEF1	GSM3103948	1708.0777638840525
LEF1	GSM3103949	2094.130259321782
LEF1	GSM3103950	1566.2915250619956
LEF1	GSM3103951	2342
LEF1	GSM3103952	2281.673609566306
LEF1	GSM3103953	2365.456652212329
LEF1	GSM3103954	2437.3663727121484
LEF1	GSM3103955	1354.269963416094
LEF1	GSM3103956	2586.146937947365
LEF1	GSM3103957	2584.0656691418258
LEF1	GSM3103958	2386.5514101533886
LEF1	GSM3103959	2305.9692555000943
LEF1	GSM3103960	2571
LEF1	GSM3103961	2138.692513341315
LEF1	GSM3103962	2469.617334919775
LEF1	GSM3103963	2410.9203209571515
LEF1	GSM3103964	2324.4956144348657
LEF1	GSM3103965	2507
LEF1	GSM4260265	2584.1600175944836
LEF1	GSM4260266	2574.1262304198276
LEF1	GSM4260267	2676.6495904082003
LEF1	GSM4260268	2678.140324942966
LEF1	GSM4260269	2591.1631564943777
LEF1	GSM4260270	2650.9019480876773
LEF1	GSM4260271	2749.8594147478625
LEF1	GSM4260272	2735.065267871211
LEF1	GSM4260273	2578.832531574792
LEF1	GSM4260274	1900.4671552123968
LEF1	GSM4260275	2697.8991347772057
LEF1	GSM4260276	2558.6137356343756
LEF1	GSM4735785	1920.452480226607
LEF1	GSM4735786	3893.8406736186416
LEF1	GSM4735787	5112.758272691348
LEF1	GSM4735788	4856.500732020497
LEF1	GSM4735789	5387.302178706794
LEF1	GSM4735790	3373.707862812747
LEF1	GSM4735791	3857.7901853865046
LEF1	GSM4735792	2893.405069973013
LEF1	GSM4735793	4753.8013060318
LEF1	GSM4735794	4029.4691591886744
LEF1	GSM4735795	1513.0980854912484
LEF1	GSM4735796	1698.027068223732
LEF1	GSM4735797	1543.3387104332096
LEF1	GSM4735798	1028.8972156134091
LEF1	GSM4735799	1536.241772497815
LEF1	GSM4735800	942.9977661165155
LEF1	GSM4735801	1546.0348090387463
LEF1	GSM4735802	1594.2377558683631
LEF1	GSM4735803	1021.6973280981188
LEF1	GSM4735804	947.5371621848828
LEF1	GSM5282507	5166
LEF1	GSM5282508	3182.808596976185
LEF1	GSM5282509	3822.552776298765
LEF1	GSM5282510	4622.606563028305
LEF1	GSM5282511	2041.0483316085017
LEF1	GSM5282512	2410.0574594364675
LEF1	GSM5282513	757.4275208756976
LEF1	GSM5282514	3440
LEF1	GSM5282515	1328.021400567566
LEF1	GSM5282516	1014.9707435497128
LEF1	GSM5282517	2499.919877705269
LEF1	GSM5282518	4469
LEF1	GSM5282519	1992.6225890895992
LEF1	GSM5282520	2532.7904719683283
LEF1	GSM5282521	3594.294930988101
LEF1	GSM5282522	3962.9113830823057
LEF1	GSM5282523	2762
LEF1	GSM5282524	1.0100156499625657
LEF1	GSM5282525	3862
LEF1	GSM5282526	3578
LEF1	GSM5282527	1788.7961009202768
LEF1	GSM5282528	2036.982461905462
LEF1	GSM5282529	3752
LEF1	GSM5282530	4399.827647599209
LEF1	GSM5282531	911.1598011956936
LEF1	GSM5282532	3714.503263633772
LEF1	GSM5282533	4918.24918943884
LEF1	GSM5282534	2004.0567953411
LEF1	GSM5282535	2940
LEF1	GSM5282536	237.2700822100189
LEF1	GSM4260927	2559
LEF1	GSM4260928	3737.089580328421
LEF1	GSM4260929	2890.5306123112223
LEF1	GSM4260930	3626
LEF1	GSM4260931	2173.286611675354
LEF1	GSM4260932	1784
LEF1	GSM4260933	1437.1587534999726
LEF1	GSM4260934	5778
LEF1	GSM4260935	2507.5526021043156
LEF1	GSM4260936	1477.2748027205334
LEF1	GSM4260937	1678
LEF1	GSM4260938	1947.3510930764564
LEF1	GSM4260939	718
LEF1	GSM4260940	2030.2533923830813
LEF1	GSM4260941	3686
LEF1	GSM4260942	2757.6824854865813
LEF1	GSM4260943	1676.1001961246209
LEF1	GSM4260944	1259.22136499535
LEF1	GSM4260945	3145.247891016263
LEF1	GSM4260946	4678.813151351061
LEF1	GSM4260947	570.7472680832057
LEF1	GSM4260948	4164.345672977537
LEF1	GSM4260949	1947.4607192959563
LEF1	GSM4260950	4035
LEF1	GSM4260951	3695.390522266513
LEF1	GSM4260952	2713.861783907076
LEF1	GSM4260953	3783.4527352504
LEF1	GSM4260954	3685.241910951054
LEF1	GSM4260955	2689.932440481476
LEF1	GSM4260956	1094.2682126807222
LEF1	GSM4260957	5494.260685148485
LEF1	GSM4260958	899.7756164901174
LEF1	GSM4260959	1631.3378380084064
LEF1	GSM4260960	2447.241703289968
LEF1	GSM4260961	1692.0538940653605
LEF1	GSM4260962	2428.3390898502516
LEF1	GSM4260963	2578
LEF1	GSM4260964	2595
LEF1	GSM4260965	2339.5081982437405
LEF1	GSM4260966	4699.550364117113
LEF1	GSM4260967	2701.826486022848
LEF1	GSM4260968	2723
LEF1	GSM4260969	784.1859064247936
LEF1	GSM4260970	842.7197760670329
LEF1	GSM4260971	1028.5004053823625
LEF1	GSM4260972	3574.389759327346
LEF1	GSM4260973	3833.586122018861
LEF1	GSM4260974	2813.035528720897
LEF1	GSM4260975	1082
LEF1	GSM4260976	3153
LEF1	GSM4260977	2003.8327696575084
LEF1	GSM4260978	3383
LEF1	GSM4260979	2831.833282502298
LEF1	GSM4260980	5477.291770270119
LEF1	GSM4260981	3289.464431644065
LEF1	GSM4260982	1969.953726751712
LEF1	GSM4260983	2119.2071445253823
