Gene	sample	counts
LIMA1	GSM1022678	2098.109954594253
LIMA1	GSM1022679	1.0848245726655648
LIMA1	GSM1022680	1818.617639161182
LIMA1	GSM1022681	1543.991415157336
LIMA1	GSM1022682	1.0100156499625657
LIMA1	GSM1022683	2472.608993289794
LIMA1	GSM1022684	1.0467182798015733
LIMA1	GSM1022685	306.30834161697726
LIMA1	GSM1022686	211.8662708041713
LIMA1	GSM1022687	1.094806600045286
LIMA1	GSM1022688	1.0495019380689916
LIMA1	GSM1022689	756.5870316725119
LIMA1	GSM1022690	1.0903218103458212
LIMA1	GSM1022691	1.0735439206438182
LIMA1	GSM1022692	418.65318745042555
LIMA1	GSM1022693	513.3205072262233
LIMA1	GSM1022694	177.22716539846368
LIMA1	GSM1022695	125.69514277596572
LIMA1	GSM1385778	2823
LIMA1	GSM1385779	46.386469938069766
LIMA1	GSM1385780	1.065003532520631
LIMA1	GSM1385781	1917.948001827899
LIMA1	GSM1385782	1101.9919950318877
LIMA1	GSM1385783	1.0625040851541827
LIMA1	GSM1415906	704
LIMA1	GSM1415907	1060.3999383408163
LIMA1	GSM1415908	1633.0808345614817
LIMA1	GSM1415909	992.9931111407836
LIMA1	GSM1415910	987.8308135395826
LIMA1	GSM1415911	781.361483268627
LIMA1	GSM1415912	1.15015666141387
LIMA1	GSM1415913	1.163567230382469
LIMA1	GSM1415914	45.27849710310317
LIMA1	GSM1415915	567.0119466707296
LIMA1	GSM1415916	295.1298758727305
LIMA1	GSM1415917	353.2633073210129
LIMA1	GSM1415918	1.116501825355792
LIMA1	GSM1415919	1.1134638835084691
LIMA1	GSM1415920	450.91699085626755
LIMA1	GSM1415921	679.3218992338304
LIMA1	GSM2769390	980.4338196400596
LIMA1	GSM2769391	944.3794047494388
LIMA1	GSM2769392	1006.2455850307114
LIMA1	GSM2769393	1124.3249702117678
LIMA1	GSM2769394	1361.106274691312
LIMA1	GSM2769395	1048.0856914439632
LIMA1	GSM2769396	2614.717725216674
LIMA1	GSM2769397	2528.0089304350568
LIMA1	GSM2769398	2508.0629548745173
LIMA1	GSM3103946	1.0100156499625657
LIMA1	GSM3103947	794.7500034818961
LIMA1	GSM3103948	1124.3287757021744
LIMA1	GSM3103949	1009.3521403691796
LIMA1	GSM3103950	886.3782592752603
LIMA1	GSM3103951	1321
LIMA1	GSM3103952	1.0045505879962513
LIMA1	GSM3103953	1.0100156499625657
LIMA1	GSM3103954	44.13338288038458
LIMA1	GSM3103955	1562.5878323535758
LIMA1	GSM3103956	1.027880340996568
LIMA1	GSM3103957	224.5688214236506
LIMA1	GSM3103958	1.024773811842789
LIMA1	GSM3103959	1.0030314290996496
LIMA1	GSM3103960	302
LIMA1	GSM3103961	0.8960188842937727
LIMA1	GSM3103962	1.0075958118807733
LIMA1	GSM3103963	221.88273938080303
LIMA1	GSM3103964	1.010650267145594
LIMA1	GSM3103965	1
LIMA1	GSM4260265	1011.4587692043052
LIMA1	GSM4260266	3529.1907328724137
LIMA1	GSM4260267	1137.458766682796
LIMA1	GSM4260268	1.0473759581317816
LIMA1	GSM4260269	1885.2210186019463
LIMA1	GSM4260270	1131.6183191913033
LIMA1	GSM4260271	1.090378271733954
LIMA1	GSM4260272	605.1994418356172
LIMA1	GSM4260273	1399.678726625912
LIMA1	GSM4260274	0.7459434962142332
LIMA1	GSM4260275	755.2128405611904
LIMA1	GSM4260276	1321.2596414358472
LIMA1	GSM4735785	1.0886027553775994
LIMA1	GSM4735786	1.0466946141789792
LIMA1	GSM4735787	1.039438813329853
LIMA1	GSM4735788	1.053615776796551
LIMA1	GSM4735789	937.7790059338768
LIMA1	GSM4735790	1.0502834584134653
LIMA1	GSM4735791	1000.6775070367588
LIMA1	GSM4735792	741.85522853012
LIMA1	GSM4735793	1.0738200375043596
LIMA1	GSM4735794	849.580544639989
LIMA1	GSM4735795	3071.1705986471593
LIMA1	GSM4735796	1455.3045397934898
LIMA1	GSM4735797	1645.5559952142928
LIMA1	GSM4735798	1.1109774032735065
LIMA1	GSM4735799	1220.255230660291
LIMA1	GSM4735800	1.10922273025617
LIMA1	GSM4735801	1024.3453977493396
LIMA1	GSM4735802	1690.418508991031
LIMA1	GSM4735803	934.9202041747196
LIMA1	GSM4735804	575.7250255836819
LIMA1	GSM5282507	1380
LIMA1	GSM5282508	1382.5340726405263
LIMA1	GSM5282509	1365.1257750046232
LIMA1	GSM5282510	1143.1814186582017
LIMA1	GSM5282511	852.4900363199507
LIMA1	GSM5282512	1609.11640838018
LIMA1	GSM5282513	830.6715497524318
LIMA1	GSM5282514	1667
LIMA1	GSM5282515	1147.11446055217
LIMA1	GSM5282516	927.3822121186604
LIMA1	GSM5282517	881.4767686283703
LIMA1	GSM5282518	1254
LIMA1	GSM5282519	682.6341431443652
LIMA1	GSM5282520	566.4598995114653
LIMA1	GSM5282521	939.7874992945818
LIMA1	GSM5282522	1111.8081433352218
LIMA1	GSM5282523	1318
LIMA1	GSM5282524	922.1442884158224
LIMA1	GSM5282525	1061
LIMA1	GSM5282526	1489
LIMA1	GSM5282527	1280.7297168006255
LIMA1	GSM5282528	1161.3539472471712
LIMA1	GSM5282529	867
LIMA1	GSM5282530	854.749837300223
LIMA1	GSM5282531	703.5145403789878
LIMA1	GSM5282532	1106.319620682275
LIMA1	GSM5282533	1168.1986679235793
LIMA1	GSM5282534	780.3584518395274
LIMA1	GSM5282535	1305
LIMA1	GSM5282536	1142.4556574604112
LIMA1	GSM4260927	833
LIMA1	GSM4260928	941.5822056925048
LIMA1	GSM4260929	1049.6749322694402
LIMA1	GSM4260930	2015
LIMA1	GSM4260931	868.3131301025493
LIMA1	GSM4260932	1259
LIMA1	GSM4260933	1065.9360264696836
LIMA1	GSM4260934	721
LIMA1	GSM4260935	912.6156906936956
LIMA1	GSM4260936	697.0383169429989
LIMA1	GSM4260937	1119
LIMA1	GSM4260938	745.8183818175023
LIMA1	GSM4260939	1875
LIMA1	GSM4260940	857.173384692956
LIMA1	GSM4260941	1332
LIMA1	GSM4260942	927.2599839900436
LIMA1	GSM4260943	1036.282153925809
LIMA1	GSM4260944	959.867856179202
LIMA1	GSM4260945	826.7451339209149
LIMA1	GSM4260946	807.2071087169847
LIMA1	GSM4260947	901.1260630489322
LIMA1	GSM4260948	1764.6376922116517
LIMA1	GSM4260949	547.0164216818631
LIMA1	GSM4260950	969
LIMA1	GSM4260951	942.3090912625048
LIMA1	GSM4260952	1211.8641642813495
LIMA1	GSM4260953	1447.4790804425058
LIMA1	GSM4260954	774.6754767764978
LIMA1	GSM4260955	151.3543670430012
LIMA1	GSM4260956	572.6534210017586
LIMA1	GSM4260957	866.8761632415388
LIMA1	GSM4260958	1168.0381842835748
LIMA1	GSM4260959	481.7782773931369
LIMA1	GSM4260960	1358.3498525656314
LIMA1	GSM4260961	543.3016650375743
LIMA1	GSM4260962	849.5676204474032
LIMA1	GSM4260963	528
LIMA1	GSM4260964	746
LIMA1	GSM4260965	456.5396203779143
LIMA1	GSM4260966	812.0984089503323
LIMA1	GSM4260967	503.504422183748
LIMA1	GSM4260968	382
LIMA1	GSM4260969	892.3494797247652
LIMA1	GSM4260970	333.51433654988955
LIMA1	GSM4260971	493.7122601906301
LIMA1	GSM4260972	1165.8476357862603
LIMA1	GSM4260973	1044.1557176927352
LIMA1	GSM4260974	1410.997711905163
LIMA1	GSM4260975	1143
LIMA1	GSM4260976	1783
LIMA1	GSM4260977	601.3568384147792
LIMA1	GSM4260978	1201
LIMA1	GSM4260979	1319.8228204058269
LIMA1	GSM4260980	1371.0169895547972
LIMA1	GSM4260981	1522.055072210161
LIMA1	GSM4260982	1194.6104320576826
LIMA1	GSM4260983	751.3552603317265
LIMA1	GSM4260984	1379.974606003617
LIMA1	GSM4260985	1216.454749079325
LIMA1	GSM4260986	1320.085767408859
LIMA1	GSM4260987	556.0230736840865
LIMA1	GSM4260988	436.9107261450197
LIMA1	GSM4260989	1187
LIMA1	GSM4260990	1405.4733024727514
LIMA1	GSM4260991	901
LIMA1	GSM4260992	1359.4910485848493
LIMA1	GSM4260993	531.5823609211194
LIMA1	GSM4260994	1344.5178025512253
LIMA1	GSM4260995	576.6408712990747
LIMA1	GSM4260996	731.8409144420675
LIMA1	GSM4260997	1099
LIMA1	GSM4260998	1029.0644621169308
LIMA1	GSM4260999	1376
LIMA1	GSM4261000	828.6330919616283
LIMA1	GSM4261001	896
LIMA1	GSM4261002	464.2194313767638
LIMA1	GSM4261003	1265.914413436704
LIMA1	GSM4261004	510.98787590070486
LIMA1	GSM4261005	479
LIMA1	GSM4261006	542.5704683921552
LIMA1	GSM4261007	385.857786876181
LIMA1	GSM4261008	1099
LIMA1	GSM4261009	438.3656793909296
LIMA1	GSM4261010	143.14997897310005
LIMA1	GSM4261011	603.1598191561177
LIMA1	GSM4261012	308.6861985657177
LIMA1	GSM4261013	982.2506706637272
LIMA1	GSM4261014	353.35987396101484
LIMA1	GSM4261015	377.6406047201546
LIMA1	GSM4261016	678
LIMA1	GSM4261017	489.89558719909735
LIMA1	GSM4261018	454.72434581261984
LIMA1	GSM4261019	497.96189148506966
LIMA1	GSM4261020	721.508421245014
LIMA1	GSM4261021	481.1687210428768
LIMA1	GSM4261022	715.2400186533309
LIMA1	GSM4261023	935
LIMA1	GSM4261024	399.27729073252334
LIMA1	GSM4261025	288.49769041031556
LIMA1	GSM4261026	588.0838206470107
LIMA1	GSM4261027	847.7667298573135
LIMA1	GSM4818000	1233.3811008598643
LIMA1	GSM4818001	1034.0025500453776
LIMA1	GSM4818002	1420.5687953288666
LIMA1	GSM4818003	1114.8961246630863
LIMA1	GSM4818004	518.4238726283907
LIMA1	GSM4818005	789.882799492461
LIMA1	GSM4818006	717.8800947327858
LIMA1	GSM4818007	713.2023807525811
LIMA1	GSM4818008	1351.400939649913
LIMA1	GSM4818009	1237.1082495605374
LIMA1	GSM4818010	761.060231997891
LIMA1	GSM4818011	714.7244488698803
LIMA1	GSM4818012	1199.6418671018198
LIMA1	GSM4818013	1302.096985092586
LIMA1	GSM4818014	613.9034580597336
LIMA1	GSM4818015	787.9024142735858
LIMA1	GSM4818016	741.9674751437742
LIMA1	GSM4818017	966.357236080958
LIMA1	GSM4818018	1059.8255329131744
LIMA1	GSM4818019	1045.8756377992486
LIMA1	GSM4818020	1058.9831982866926
LIMA1	GSM4818021	1693.3787549258054
LIMA1	GSM4818022	793.7897144506155
LIMA1	GSM4818023	460.0904426151709
LIMA1	GSM3056394	506.4381907618994
LIMA1	GSM3056395	626.3136705357136
LIMA1	GSM3056396	141.11980848387077
LIMA1	GSM3056397	890.5368378921022
LIMA1	GSM3056398	2443.18525065319
LIMA1	GSM3056399	536.7688705512093
LIMA1	GSM3056400	421.37773507616936
LIMA1	GSM3056401	685.3532960835166
LIMA1	GSM3056402	937.9031283632244
LIMA1	GSM3056403	2667.510535304256
LIMA1	GSM3056404	1390.0181866257767
LIMA1	GSM3056405	308.0148184558263
LIMA1	GSM3056406	793.8198929901994
LIMA1	GSM3056407	314.3593809096709
LIMA1	GSM3056408	885.0332279343139
LIMA1	GSM3056409	1230.766871943874
LIMA1	GSM3056410	258.4881401079118
LIMA1	GSM3056411	533.5977104187525
LIMA1	GSM3056412	1.1583792974118206
LIMA1	GSM3056413	35.94597585257042
LIMA1	GSM3056414	1358.6483125727998
LIMA1	GSM3056415	1108.7946587847382
LIMA1	GSM3056416	743.9358563533175
LIMA1	GSM3056417	1669.283305543059
LIMA1	GSM3056418	3228.0655037968077
LIMA1	GSM3056419	191.47099583044664
LIMA1	GSM3056420	1782.6702407277344
LIMA1	GSM3056421	278.6160396064177
LIMA1	GSM3056422	471.056976188832
LIMA1	GSM3056423	1.1819236845187782
LIMA1	GSM3056424	755.7280578075955
LIMA1	GSM3056425	1.1587260608141865
LIMA1	GSM3056426	934.8459982864388
LIMA1	GSM3056427	560.5229668110563
LIMA1	GSM3056428	1783.5968700335718
LIMA1	GSM3056429	1843.8347179550628
