Gene	sample	counts
LIMCH1	GSM1022678	186.97029942193487
LIMCH1	GSM1022679	1.080829643118164
LIMCH1	GSM1022680	204.56891329147155
LIMCH1	GSM1022681	35.822053552526775
LIMCH1	GSM1022682	1.0091218838436145
LIMCH1	GSM1022683	310.6662919566205
LIMCH1	GSM1022684	55.22286480866838
LIMCH1	GSM1022685	479.52777104529537
LIMCH1	GSM1022686	316.5798820595316
LIMCH1	GSM1022687	29.17114860653659
LIMCH1	GSM1022688	310.8917053617117
LIMCH1	GSM1022689	164.4244766488923
LIMCH1	GSM1022690	1.079843385051915
LIMCH1	GSM1022691	152.71093612718988
LIMCH1	GSM1022692	471.0017958189054
LIMCH1	GSM1022693	260.35344603165254
LIMCH1	GSM1022694	259.5363599659039
LIMCH1	GSM1022695	263.82604175281585
LIMCH1	GSM1385778	176.2665638962499
LIMCH1	GSM1385779	154.69666295740066
LIMCH1	GSM1385780	131.91231065794486
LIMCH1	GSM1385781	154.23728732514218
LIMCH1	GSM1385782	177.89210430983624
LIMCH1	GSM1385783	132.6337498901321
LIMCH1	GSM1415906	392.59371049619295
LIMCH1	GSM1415907	556.8506013123233
LIMCH1	GSM1415908	351.84922447383144
LIMCH1	GSM1415909	534.697412833352
LIMCH1	GSM1415910	257.94452784147796
LIMCH1	GSM1415911	239.08303994310785
LIMCH1	GSM1415912	56.17962517164453
LIMCH1	GSM1415913	65.73829564484457
LIMCH1	GSM1415914	73.9006219714522
LIMCH1	GSM1415915	76.10163112943174
LIMCH1	GSM1415916	30.009181465956495
LIMCH1	GSM1415917	15.222138067928771
LIMCH1	GSM1415918	54.67160544287503
LIMCH1	GSM1415919	1.0935295718899114
LIMCH1	GSM1415920	98.9944129650223
LIMCH1	GSM1415921	155.73936388735575
LIMCH1	GSM2769390	159.2420923729852
LIMCH1	GSM2769391	161.747619553392
LIMCH1	GSM2769392	174.63221292357
LIMCH1	GSM2769393	143.2184963108352
LIMCH1	GSM2769394	148.2645247560934
LIMCH1	GSM2769395	162.19505110950595
LIMCH1	GSM2769396	146.19156202143088
LIMCH1	GSM2769397	160.04183206796435
LIMCH1	GSM2769398	160.36785198818558
LIMCH1	GSM3103946	51.355118746706125
LIMCH1	GSM3103947	214.31186262198523
LIMCH1	GSM3103948	200.68085232593953
LIMCH1	GSM3103949	69.52113502163428
LIMCH1	GSM3103950	274.2782082649819
LIMCH1	GSM3103951	243
LIMCH1	GSM3103952	272
LIMCH1	GSM3103953	167.15587670496504
LIMCH1	GSM3103954	209
LIMCH1	GSM3103955	364.46503983662075
LIMCH1	GSM3103956	1.0228168238050332
LIMCH1	GSM3103957	1.0142355058831722
LIMCH1	GSM3103958	1.019228895401757
LIMCH1	GSM3103959	244
LIMCH1	GSM3103960	54
LIMCH1	GSM3103961	278.08264942761826
LIMCH1	GSM3103962	89.54041225079
LIMCH1	GSM3103963	250.55237591533535
LIMCH1	GSM3103964	16.111409802888197
LIMCH1	GSM3103965	212
LIMCH1	GSM4260265	45.15833964609763
LIMCH1	GSM4260266	418.3771579288022
LIMCH1	GSM4260267	32.17149564487565
LIMCH1	GSM4260268	37.402139394469515
LIMCH1	GSM4260269	117.6978406915337
LIMCH1	GSM4260270	213.58534462963033
LIMCH1	GSM4260271	1.0506731423640414
LIMCH1	GSM4260272	23.06861106892855
LIMCH1	GSM4260273	176.96643947716646
LIMCH1	GSM4260274	52.93115351663096
LIMCH1	GSM4260275	121.48178689619137
LIMCH1	GSM4260276	590.0295584937006
LIMCH1	GSM4735785	30.14073047510714
LIMCH1	GSM4735786	24.97827268355831
LIMCH1	GSM4735787	24.85300786228508
LIMCH1	GSM4735788	25.105464346728795
LIMCH1	GSM4735789	27.057381212872578
LIMCH1	GSM4735790	29.153709187556498
LIMCH1	GSM4735791	30.54700079967824
LIMCH1	GSM4735792	27.723788744267495
LIMCH1	GSM4735793	25.519530882298813
LIMCH1	GSM4735794	30.440018151178407
LIMCH1	GSM4735795	555.574089010414
LIMCH1	GSM4735796	46.88230618542735
LIMCH1	GSM4735797	227.06793019410736
LIMCH1	GSM4735798	244.76124415216825
LIMCH1	GSM4735799	249.2100439823433
LIMCH1	GSM4735800	462.08259952587616
LIMCH1	GSM4735801	284.1085823809448
LIMCH1	GSM4735802	214.76732926321068
LIMCH1	GSM4735803	457.4073775654674
LIMCH1	GSM4735804	395.947282148494
LIMCH1	GSM5282507	150.45471436494745
LIMCH1	GSM5282508	140.8143709396759
LIMCH1	GSM5282509	139.17137524011554
LIMCH1	GSM5282510	144.9968264007098
LIMCH1	GSM5282511	142.1681125557436
LIMCH1	GSM5282512	141.11625489104105
LIMCH1	GSM5282513	140.228494825628
LIMCH1	GSM5282514	138.5409325355299
LIMCH1	GSM5282515	141.29364409264744
LIMCH1	GSM5282516	142.56628470495275
LIMCH1	GSM5282517	152.16541754270713
LIMCH1	GSM5282518	141.4274315030506
LIMCH1	GSM5282519	145.61524414177953
LIMCH1	GSM5282520	146.17096306403585
LIMCH1	GSM5282521	146.28341770433633
LIMCH1	GSM5282522	144.18399956258543
LIMCH1	GSM5282523	145.2196123008877
LIMCH1	GSM5282524	170.88313135115175
LIMCH1	GSM5282525	141.85615873439764
LIMCH1	GSM5282526	138.56098785628996
LIMCH1	GSM5282527	146.6740811053929
LIMCH1	GSM5282528	140.70230422402508
LIMCH1	GSM5282529	141.64163290747143
LIMCH1	GSM5282530	170.1043448712175
LIMCH1	GSM5282531	161.0319861852939
LIMCH1	GSM5282532	139.3821596948341
LIMCH1	GSM5282533	153
LIMCH1	GSM5282534	139.17137524011554
LIMCH1	GSM5282535	168.31177945625808
LIMCH1	GSM5282536	143.00332753959654
LIMCH1	GSM4260927	178
LIMCH1	GSM4260928	138.91888477997335
LIMCH1	GSM4260929	101.15885243718496
LIMCH1	GSM4260930	151
LIMCH1	GSM4260931	130.39408578295445
LIMCH1	GSM4260932	188.1361493443196
LIMCH1	GSM4260933	130.24951809836733
LIMCH1	GSM4260934	167
LIMCH1	GSM4260935	157.9533114985846
LIMCH1	GSM4260936	136.6444303137978
LIMCH1	GSM4260937	162
LIMCH1	GSM4260938	146.67585901151187
LIMCH1	GSM4260939	141
LIMCH1	GSM4260940	231.5864865241856
LIMCH1	GSM4260941	146
LIMCH1	GSM4260942	126.20688264259854
LIMCH1	GSM4260943	131.7828176307484
LIMCH1	GSM4260944	149.9323557793537
LIMCH1	GSM4260945	146.6643858474527
LIMCH1	GSM4260946	117.97813669088904
LIMCH1	GSM4260947	132.61710971200955
LIMCH1	GSM4260948	154.510504803028
LIMCH1	GSM4260949	138.43138976118806
LIMCH1	GSM4260950	167
LIMCH1	GSM4260951	152.38984735954222
LIMCH1	GSM4260952	153.45542197529608
LIMCH1	GSM4260953	118.85096438834672
LIMCH1	GSM4260954	135.81972644782752
LIMCH1	GSM4260955	140.13770891125276
LIMCH1	GSM4260956	132.4165558877741
LIMCH1	GSM4260957	125.13325525238524
LIMCH1	GSM4260958	162.97054480205347
LIMCH1	GSM4260959	185.44085502480976
LIMCH1	GSM4260960	183.9955758841677
LIMCH1	GSM4260961	135.20446662496445
LIMCH1	GSM4260962	135.20446662496445
LIMCH1	GSM4260963	183
LIMCH1	GSM4260964	114
LIMCH1	GSM4260965	157.3163080612504
LIMCH1	GSM4260966	170.45024381059648
LIMCH1	GSM4260967	158.84830873674298
LIMCH1	GSM4260968	146
LIMCH1	GSM4260969	151.2286997064417
LIMCH1	GSM4260970	161.70225776545945
LIMCH1	GSM4260971	229.87579083959903
LIMCH1	GSM4260972	121.20187799550789
LIMCH1	GSM4260973	151.68713878743395
LIMCH1	GSM4260974	169.5466364599857
LIMCH1	GSM4260975	146
LIMCH1	GSM4260976	199
