Gene	sample	counts
LINC00431	GSM1022678	4.042601068582376
LINC00431	GSM1022679	1.080829643118164
LINC00431	GSM1022680	1.0228445664573578
LINC00431	GSM1022681	1.023487244357908
LINC00431	GSM1022682	6.054731303061686
LINC00431	GSM1022683	1.0152493201196748
LINC00431	GSM1022684	1.0419408454465733
LINC00431	GSM1022685	1.0268260621954932
LINC00431	GSM1022686	6.289666530984071
LINC00431	GSM1022687	1.080412911353207
LINC00431	GSM1022688	1.0432607562473546
LINC00431	GSM1022689	14.297780578164549
LINC00431	GSM1022690	4.31937354020766
LINC00431	GSM1022691	1.067908644246083
LINC00431	GSM1022692	1.0172824963691265
LINC00431	GSM1022693	6.054731303061686
LINC00431	GSM1022694	1.0423146986582486
LINC00431	GSM1022695	1.022581557181457
LINC00431	GSM1385778	6.009087405553974
LINC00431	GSM1385779	2.104716502821778
LINC00431	GSM1385780	1.0469231004598798
LINC00431	GSM1385781	4.032347381049469
LINC00431	GSM1385782	4.020160549374831
LINC00431	GSM1385783	1.0443602353553707
LINC00431	GSM1415906	2.003029135184658
LINC00431	GSM1415907	4.027852450722049
LINC00431	GSM1415908	9.125772392693037
LINC00431	GSM1415909	2.0139262253610246
LINC00431	GSM1415910	4.030383247523093
LINC00431	GSM1415911	2.0091011759925026
LINC00431	GSM1415912	2.2471850068657813
LINC00431	GSM1415913	2.2668377808567093
LINC00431	GSM1415914	2.173547705042712
LINC00431	GSM1415915	8.57483167655569
LINC00431	GSM1415916	4.287025923708071
LINC00431	GSM1415917	2.1745911525612533
LINC00431	GSM1415918	2.186864217715001
LINC00431	GSM1415919	2.187059143779823
LINC00431	GSM1415920	2.1520524557613543
LINC00431	GSM1415921	2.1045859984777806
LINC00431	GSM2769390	1.0476453445591134
LINC00431	GSM2769391	1.0368437150858465
LINC00431	GSM2769392	1.033326703689763
LINC00431	GSM2769393	8.242791154580443
LINC00431	GSM2769394	4.062041774139546
LINC00431	GSM2769395	1.0397118660865767
LINC00431	GSM2769396	1.0223186155344817
LINC00431	GSM2769397	1.0460250461958456
LINC00431	GSM2769398	1.0481558953476182
LINC00431	GSM3103946	1.0069631126805123
LINC00431	GSM3103947	0.8967023540668838
LINC00431	GSM3103948	4.827374454575865
LINC00431	GSM3103949	7.53843632764709
LINC00431	GSM3103950	0.6438455593074692
LINC00431	GSM3103951	10
LINC00431	GSM3103952	1
LINC00431	GSM3103953	1.0069631126805123
LINC00431	GSM3103954	1
LINC00431	GSM3103955	6.311082940893866
LINC00431	GSM3103956	1.0228168238050332
LINC00431	GSM3103957	2.0284710117663445
LINC00431	GSM3103958	4.076915581607028
LINC00431	GSM3103959	1
LINC00431	GSM3103960	1
LINC00431	GSM3103961	0.8663010885595585
LINC00431	GSM3103962	1.0060720477616854
LINC00431	GSM3103963	8.181302070704827
LINC00431	GSM3103964	6.041778676083074
LINC00431	GSM3103965	4
LINC00431	GSM4260265	1.0263259010476733
LINC00431	GSM4260266	1.017949289364482
LINC00431	GSM4260267	1.0377901820927629
LINC00431	GSM4260268	1.038948316513042
LINC00431	GSM4260269	1.0234594842742062
LINC00431	GSM4260270	1.021939447988662
LINC00431	GSM4260271	1.0506731423640414
LINC00431	GSM4260272	1.0485732304058435
LINC00431	GSM4260273	1.017048502742336
LINC00431	GSM4260274	1.804471142612419
LINC00431	GSM4260275	1.0472567835878563
LINC00431	GSM4260276	1.022581557181457
LINC00431	GSM4735785	3.229363979475765
LINC00431	GSM4735786	3.1222840854447886
LINC00431	GSM4735787	3.1066259827856353
LINC00431	GSM4735788	3.1381830433410993
LINC00431	GSM4735789	2.0813370163748135
LINC00431	GSM4735790	3.1236116986667675
LINC00431	GSM4735791	2.1066897103226374
LINC00431	GSM4735792	2.1325991341744226
LINC00431	GSM4735793	3.1899413602873516
LINC00431	GSM4735794	2.0993115966329934
LINC00431	GSM4735795	15.606013736247585
LINC00431	GSM4735796	2.180572380717551
LINC00431	GSM4735797	2.1523026558683163
LINC00431	GSM4735798	3.307584380434706
LINC00431	GSM4735799	2.1670438607160287
LINC00431	GSM4735800	3.300589996613401
LINC00431	GSM4735801	2.128154175138164
LINC00431	GSM4735802	2.075046659547929
LINC00431	GSM4735803	3.097566890962534
LINC00431	GSM4735804	3.176047717768669
LINC00431	GSM5282507	1.0030314290996496
LINC00431	GSM5282508	1.0203939923164922
LINC00431	GSM5282509	1.008488226377649
LINC00431	GSM5282510	1.0507016405848535
LINC00431	GSM5282511	1.030203714172055
LINC00431	GSM5282512	1.022581557181457
LINC00431	GSM5282513	1.0161485132291883
LINC00431	GSM5282514	1.0039198009821009
LINC00431	GSM5282515	1.0238669861786047
LINC00431	GSM5282516	1.0330890196011069
LINC00431	GSM5282517	1.0281447131263994
LINC00431	GSM5282518	1.0030314290996496
LINC00431	GSM5282519	1.0551829285636198
LINC00431	GSM5282520	1.0221745668813695
LINC00431	GSM5282521	7.160726740771708
LINC00431	GSM5282522	1.022581557181457
LINC00431	GSM5282523	12.018174811107947
LINC00431	GSM5282524	1.0111427890600695
LINC00431	GSM5282525	1.0060720477616854
LINC00431	GSM5282526	1.0040651293934055
LINC00431	GSM5282527	1.011545386933744
LINC00431	GSM5282528	1.0195819146668483
LINC00431	GSM5282529	1.0045505879962513
LINC00431	GSM5282530	1.018588891444416
LINC00431	GSM5282531	1.0256814406706618
LINC00431	GSM5282532	1.0100156499625657
LINC00431	GSM5282533	1
LINC00431	GSM5282534	7.059417584643542
LINC00431	GSM5282535	1.0078549668039407
LINC00431	GSM5282536	1.0142079967347273
LINC00431	GSM4260927	1
LINC00431	GSM4260928	1.3619498507840526
LINC00431	GSM4260929	2.4977494428934555
LINC00431	GSM4260930	1
LINC00431	GSM4260931	1.0030314290996496
