Gene	sample	counts
LLNLR-304A6.1	GSM1022678	7.104950042526681
LLNLR-304A6.1	GSM1022679	3.266044980555358
LLNLR-304A6.1	GSM1022680	3.0925308223901897
LLNLR-304A6.1	GSM1022681	5.1555440675988224
LLNLR-304A6.1	GSM1022682	12.139894173511662
LLNLR-304A6.1	GSM1022683	3.062591767328805
LLNLR-304A6.1	GSM1022684	5.289074711942068
LLNLR-304A6.1	GSM1022685	3.111344590894669
LLNLR-304A6.1	GSM1022686	1.0604724495698388
LLNLR-304A6.1	GSM1022687	3.326641568487058
LLNLR-304A6.1	GSM1022688	12.714833007395528
LLNLR-304A6.1	GSM1022689	1.028213009709356
LLNLR-304A6.1	GSM1022690	1.1031801973034647
LLNLR-304A6.1	GSM1022691	3.278498065745636
LLNLR-304A6.1	GSM1022692	1.0229984726241244
LLNLR-304A6.1	GSM1022693	11.148341573338383
LLNLR-304A6.1	GSM1022694	1.0545664475046876
LLNLR-304A6.1	GSM1022695	4.119284378537094
LLNLR-304A6.1	GSM1385778	4.026003345818011
LLNLR-304A6.1	GSM1385779	4.35326695556292
LLNLR-304A6.1	GSM1385780	2.15393824998113
LLNLR-304A6.1	GSM1385781	2.0321187840345103
LLNLR-304A6.1	GSM1385782	6.065844171018264
LLNLR-304A6.1	GSM1385783	2.145205260428124
LLNLR-304A6.1	GSM1415906	2.012642466404504
LLNLR-304A6.1	GSM1415907	4.056433658788289
LLNLR-304A6.1	GSM1415908	7.1688014283534764
LLNLR-304A6.1	GSM1415909	4.0549861017689866
LLNLR-304A6.1	GSM1415910	5.074964316090487
LLNLR-304A6.1	GSM1415911	5.050585920985968
LLNLR-304A6.1	GSM1415912	2.365024203968306
LLNLR-304A6.1	GSM1415913	2.3908724114583797
LLNLR-304A6.1	GSM1415914	2.274497060773547
LLNLR-304A6.1	GSM1415915	2.2208545129803037
LLNLR-304A6.1	GSM1415916	8.873116188627863
LLNLR-304A6.1	GSM1415917	4.534294424591734
LLNLR-304A6.1	GSM1415918	4.56995480419272
LLNLR-304A6.1	GSM1415919	2.287132193266209
LLNLR-304A6.1	GSM1415920	5.585396267255515
LLNLR-304A6.1	GSM1415921	7.5523602483666785
LLNLR-304A6.1	GSM2769390	1.049114201454456
LLNLR-304A6.1	GSM2769391	1.0447696856901132
LLNLR-304A6.1	GSM2769392	1.0329916712135618
LLNLR-304A6.1	GSM2769393	1.026969767993484
LLNLR-304A6.1	GSM2769394	4.0707164072427355
LLNLR-304A6.1	GSM2769395	1.0389231941618595
LLNLR-304A6.1	GSM2769396	5.101683629052336
LLNLR-304A6.1	GSM2769397	5.239117995511694
LLNLR-304A6.1	GSM2769398	2.1023224515094343
LLNLR-304A6.1	GSM3103946	2.019353976630335
LLNLR-304A6.1	GSM3103947	8.206052526679953
LLNLR-304A6.1	GSM3103948	5.638203348055174
LLNLR-304A6.1	GSM3103949	1.6233492105825995
LLNLR-304A6.1	GSM3103950	1.1519473417274506
LLNLR-304A6.1	GSM3103951	9
LLNLR-304A6.1	GSM3103952	6.032666046004229
LLNLR-304A6.1	GSM3103953	4.040468736788775
LLNLR-304A6.1	GSM3103954	11.048278499723256
LLNLR-304A6.1	GSM3103955	1.4089599397396029
LLNLR-304A6.1	GSM3103956	1.0218297981950817
LLNLR-304A6.1	GSM3103957	1.0133047479406865
LLNLR-304A6.1	GSM3103958	1.0205188304787385
LLNLR-304A6.1	GSM3103959	5.015778187884338
LLNLR-304A6.1	GSM3103960	8.01682122786956
LLNLR-304A6.1	GSM3103961	5.196395659753289
LLNLR-304A6.1	GSM3103962	2.0147573001443417
LLNLR-304A6.1	GSM3103963	3.06740910913374
LLNLR-304A6.1	GSM3103964	1.0101171841971937
LLNLR-304A6.1	GSM3103965	3.0081554263379315
LLNLR-304A6.1	GSM4260265	2.022357179512595
LLNLR-304A6.1	GSM4260266	1.007793796528983
LLNLR-304A6.1	GSM4260267	2.0419275063078333
LLNLR-304A6.1	GSM4260268	2.0424044779359765
LLNLR-304A6.1	GSM4260269	1.0112256576006524
LLNLR-304A6.1	GSM4260270	1.0084371780489607
LLNLR-304A6.1	GSM4260271	2.0763382384922004
LLNLR-304A6.1	GSM4260272	2.06358945170035
LLNLR-304A6.1	GSM4260273	3.017648074638342
LLNLR-304A6.1	GSM4260274	1.5586716885732794
LLNLR-304A6.1	GSM4260275	1.0300705159989183
LLNLR-304A6.1	GSM4260276	1.0086171589446156
LLNLR-304A6.1	GSM4735785	2.2483166469251574
LLNLR-304A6.1	GSM4735786	14.729049922147682
LLNLR-304A6.1	GSM4735787	2.08219388646391
LLNLR-304A6.1	GSM4735788	2.1230991202127596
LLNLR-304A6.1	GSM4735789	2.106317505606371
LLNLR-304A6.1	GSM4735790	14.8746176504686
LLNLR-304A6.1	GSM4735791	2.1742054038328193
LLNLR-304A6.1	GSM4735792	2.23904530723251
LLNLR-304A6.1	GSM4735793	2.190141399194921
LLNLR-304A6.1	GSM4735794	2.146009220262472
LLNLR-304A6.1	GSM4735795	9.436508770988796
LLNLR-304A6.1	GSM4735796	4.538088845052511
LLNLR-304A6.1	GSM4735797	4.466631144928829
LLNLR-304A6.1	GSM4735798	4.572525561496538
LLNLR-304A6.1	GSM4735799	4.521201620937429
LLNLR-304A6.1	GSM4735800	4.534421510761427
LLNLR-304A6.1	GSM4735801	4.34313022437792
LLNLR-304A6.1	GSM4735802	4.16178699754613
LLNLR-304A6.1	GSM4735803	4.1160051899992975
LLNLR-304A6.1	GSM4735804	4.2319041679654825
LLNLR-304A6.1	GSM5282507	0.9404724382057024
LLNLR-304A6.1	GSM5282508	1.0086171589446156
LLNLR-304A6.1	GSM5282509	2
LLNLR-304A6.1	GSM5282510	1.0362709230555889
LLNLR-304A6.1	GSM5282511	1.0176706758708058
LLNLR-304A6.1	GSM5282512	1.0111785897562977
LLNLR-304A6.1	GSM5282513	2.0063112751537355
LLNLR-304A6.1	GSM5282514	0.9596936719838556
LLNLR-304A6.1	GSM5282515	8.09295552241538
LLNLR-304A6.1	GSM5282516	1.0205188304787385
LLNLR-304A6.1	GSM5282517	1.015616606598635
LLNLR-304A6.1	GSM5282518	0.9572331864652024
LLNLR-304A6.1	GSM5282519	3.131657980150671
LLNLR-304A6.1	GSM5282520	1.0134855975762167
LLNLR-304A6.1	GSM5282521	1.0101171841971937
LLNLR-304A6.1	GSM5282522	1.0111785897562977
LLNLR-304A6.1	GSM5282523	0.9658029135504892
LLNLR-304A6.1	GSM5282524	1
LLNLR-304A6.1	GSM5282525	1
LLNLR-304A6.1	GSM5282526	0.9609573770986468
LLNLR-304A6.1	GSM5282527	8
LLNLR-304A6.1	GSM5282528	1.006321233202252
LLNLR-304A6.1	GSM5282529	5
LLNLR-304A6.1	GSM5282530	1.005882691546114
LLNLR-304A6.1	GSM5282531	1.0128631629599931
LLNLR-304A6.1	GSM5282532	1
LLNLR-304A6.1	GSM5282533	1.5692843616331689
LLNLR-304A6.1	GSM5282534	2
LLNLR-304A6.1	GSM5282535	8
LLNLR-304A6.1	GSM5282536	3.0031290735787897
LLNLR-304A6.1	GSM4260927	6.012615920902169
LLNLR-304A6.1	GSM4260928	3.872733642775622
LLNLR-304A6.1	GSM4260929	2.9097490868133535
LLNLR-304A6.1	GSM4260930	3
LLNLR-304A6.1	GSM4260931	5.0346982380378265
LLNLR-304A6.1	GSM4260932	5.021048640595311
LLNLR-304A6.1	GSM4260933	2.5011566779429
LLNLR-304A6.1	GSM4260934	1.0031556375768678
LLNLR-304A6.1	GSM4260935	6.06912313971517
LLNLR-304A6.1	GSM4260936	1.019265707215034
LLNLR-304A6.1	GSM4260937	1
LLNLR-304A6.1	GSM4260938	1.0463449709305277
LLNLR-304A6.1	GSM4260939	1.0031556375768678
LLNLR-304A6.1	GSM4260940	3.028194326507649
LLNLR-304A6.1	GSM4260941	6
LLNLR-304A6.1	GSM4260942	1
LLNLR-304A6.1	GSM4260943	1.018179658672215
LLNLR-304A6.1	GSM4260944	0.7901896247624465
LLNLR-304A6.1	GSM4260945	1.0079977142916818
LLNLR-304A6.1	GSM4260946	1.653101159747369
LLNLR-304A6.1	GSM4260947	6.1451132684279335
LLNLR-304A6.1	GSM4260948	4.42962998200989
LLNLR-304A6.1	GSM4260949	8.248846049672649
LLNLR-304A6.1	GSM4260950	5
LLNLR-304A6.1	GSM4260951	4.31105268957216
LLNLR-304A6.1	GSM4260952	5.852164520765804
LLNLR-304A6.1	GSM4260953	3
LLNLR-304A6.1	GSM4260954	6.060703105183162
LLNLR-304A6.1	GSM4260955	1.0443980245860167
LLNLR-304A6.1	GSM4260956	3.0652627882175594
LLNLR-304A6.1	GSM4260957	7.32205788100803
LLNLR-304A6.1	GSM4260958	5.225070626701847
LLNLR-304A6.1	GSM4260959	3.055547448059422
LLNLR-304A6.1	GSM4260960	3.0284904549004343
LLNLR-304A6.1	GSM4260961	10.052649262729068
LLNLR-304A6.1	GSM4260962	5.0355968061568515
LLNLR-304A6.1	GSM4260963	3
LLNLR-304A6.1	GSM4260964	8.01682122786956
LLNLR-304A6.1	GSM4260965	5.240059109807149
LLNLR-304A6.1	GSM4260966	3
LLNLR-304A6.1	GSM4260967	12.828320028833176
LLNLR-304A6.1	GSM4260968	3.0094669127306033
LLNLR-304A6.1	GSM4260969	3.0157947788187207
LLNLR-304A6.1	GSM4260970	2.3029795633886754
LLNLR-304A6.1	GSM4260971	8.16527940656519
LLNLR-304A6.1	GSM4260972	5.07652385145761
LLNLR-304A6.1	GSM4260973	1.0069396476075654
LLNLR-304A6.1	GSM4260974	5.0936095164203925
LLNLR-304A6.1	GSM4260975	3.011316319887823
LLNLR-304A6.1	GSM4260976	6
LLNLR-304A6.1	GSM4260977	1.0373329762545018
LLNLR-304A6.1	GSM4260978	10
LLNLR-304A6.1	GSM4260979	5
LLNLR-304A6.1	GSM4260980	6.875056915057611
LLNLR-304A6.1	GSM4260981	3.4664988657706934
LLNLR-304A6.1	GSM4260982	10.06321233202252
LLNLR-304A6.1	GSM4260983	12.20552449797442
LLNLR-304A6.1	GSM4260984	9.720546600324148
LLNLR-304A6.1	GSM4260985	12.072942236263934
LLNLR-304A6.1	GSM4260986	2.254364948469006
LLNLR-304A6.1	GSM4260987	1.0536280474406272
LLNLR-304A6.1	GSM4260988	1.016685793974575
LLNLR-304A6.1	GSM4260989	3
LLNLR-304A6.1	GSM4260990	10
LLNLR-304A6.1	GSM4260991	1.0052649262729068
LLNLR-304A6.1	GSM4260992	7.239781904071776
LLNLR-304A6.1	GSM4260993	3.0583428621995603
LLNLR-304A6.1	GSM4260994	6
LLNLR-304A6.1	GSM4260995	10.305782789853644
LLNLR-304A6.1	GSM4260996	2.462878487075084
LLNLR-304A6.1	GSM4260997	8
LLNLR-304A6.1	GSM4260998	9.466424064919506
LLNLR-304A6.1	GSM4260999	1.0027184754459773
LLNLR-304A6.1	GSM4261000	12.275557304686716
LLNLR-304A6.1	GSM4261001	6
LLNLR-304A6.1	GSM4261002	1.0686315569478149
LLNLR-304A6.1	GSM4261003	1.006321233202252
LLNLR-304A6.1	GSM4261004	5.234601735436696
LLNLR-304A6.1	GSM4261005	3
