Gene	sample	counts
LRP2	GSM1022678	15.22489294827146
LRP2	GSM1022679	38.10385810647918
LRP2	GSM1022680	15.462654111950949
LRP2	GSM1022681	15.466632202796466
LRP2	GSM1022682	49.57123454183929
LRP2	GSM1022683	15.312958836644023
LRP2	GSM1022684	19.040668962991447
LRP2	GSM1022685	15.556722954473344
LRP2	GSM1022686	15.907086743547582
LRP2	GSM1022687	16.63320784243529
LRP2	GSM1022688	19.072249511093293
LRP2	GSM1022689	15.42319514564034
LRP2	GSM1022690	16.54770295955197
LRP2	GSM1022691	16.39249032872818
LRP2	GSM1022692	21.482967925106617
LRP2	GSM1022693	15.202283963643252
LRP2	GSM1022694	15.818496712570315
LRP2	GSM1022695	18.53677970341692
LRP2	GSM1385778	25.16252091136257
LRP2	GSM1385779	4.35326695556292
LRP2	GSM1385780	10.76969124990565
LRP2	GSM1385781	13.208772096224315
LRP2	GSM1385782	20.21948057006088
LRP2	GSM1385783	8.580821041712497
LRP2	GSM1415906	20.12642466404504
LRP2	GSM1415907	18.2539514645473
LRP2	GSM1415908	20.48228979529565
LRP2	GSM1415909	18.24743745796044
LRP2	GSM1415910	18.269871537925752
LRP2	GSM1415911	18.18210931554949
LRP2	GSM1415912	21.28521783571475
LRP2	GSM1415913	23.9087241145838
LRP2	GSM1415914	20.470473546961923
LRP2	GSM1415915	22.20854512980304
LRP2	GSM1415916	19.96451142441269
LRP2	GSM1415917	22.671472122958672
LRP2	GSM1415918	20.56479661886724
LRP2	GSM1415919	20.58418973939588
LRP2	GSM1415920	20.107426562119855
LRP2	GSM1415921	19.42035492437146
LRP2	GSM2769390	6.294685208726735
LRP2	GSM2769391	3.13430905707034
LRP2	GSM2769392	3.0989750136406853
LRP2	GSM2769393	3.080909303980452
LRP2	GSM2769394	3.053037305432052
LRP2	GSM2769395	1.0389231941618595
LRP2	GSM2769396	10.203367258104672
LRP2	GSM2769397	10.478235991023388
LRP2	GSM2769398	10.51161225754717
LRP2	GSM3103946	15.145154824727513
LRP2	GSM3103947	20.05923950966211
LRP2	GSM3103948	20.046945237529503
LRP2	GSM3103949	12.986793684660798
LRP2	GSM3103950	10.367526075547056
LRP2	GSM3103951	15
LRP2	GSM3103952	15.081665115010573
LRP2	GSM3103953	16.1618749471551
LRP2	GSM3103954	15.06583431780444
LRP2	GSM3103955	13.619946084149491
LRP2	GSM3103956	13.28378737653606
LRP2	GSM3103957	13.17296172322892
LRP2	GSM3103958	18.369338948617298
LRP2	GSM3103959	33.104136040036636
LRP2	GSM3103960	15.031539802255423
LRP2	GSM3103961	22.517714525597587
