Gene	sample	counts
LRRC58	GSM1022678	1726.1906562846743
LRRC58	GSM1022679	237.57658141375867
LRRC58	GSM1022680	1036.1415458213037
LRRC58	GSM1022681	1449.7956524289043
LRRC58	GSM1022682	288.86447588929383
LRRC58	GSM1022683	1356.5359967289514
LRRC58	GSM1022684	754.6838797369344
LRRC58	GSM1022685	1003.2112128126504
LRRC58	GSM1022686	821.2440100973571
LRRC58	GSM1022687	804.6828510332853
LRRC58	GSM1022688	842.7500562694003
LRRC58	GSM1022689	1497.8585363880904
LRRC58	GSM1022690	834.0961849145533
LRRC58	GSM1022691	735.3775856410155
LRRC58	GSM1022692	1341.3160374625286
LRRC58	GSM1022693	1543.9954745841803
LRRC58	GSM1022694	847.5628556997117
LRRC58	GSM1022695	841.0333536960958
LRRC58	GSM1385778	1216
LRRC58	GSM1385779	957.9345419768828
LRRC58	GSM1385780	571.9068969635789
LRRC58	GSM1385781	1081.4283793806285
LRRC58	GSM1385782	1853.3958348530837
LRRC58	GSM1385783	669.3775736471351
LRRC58	GSM1415906	1559
LRRC58	GSM1415907	1463.8348294932523
LRRC58	GSM1415908	1292.686814454374
LRRC58	GSM1415909	1751.5714351530944
LRRC58	GSM1415910	1291.9336735690972
LRRC58	GSM1415911	1336.0378635607333
LRRC58	GSM1415912	648.6883570374226
LRRC58	GSM1415913	607.3820942596486
LRRC58	GSM1415914	705.6819426556812
LRRC58	GSM1415915	919.0993649843635
LRRC58	GSM1415916	850.6684657508115
LRRC58	GSM1415917	826.1267312271963
LRRC58	GSM1415918	660.969080610629
LRRC58	GSM1415919	723.7515242805049
LRRC58	GSM1415920	758.8070427242275
LRRC58	GSM1415921	859.7667787178167
LRRC58	GSM2769390	854.6544809362363
LRRC58	GSM2769391	1266.5670092780504
LRRC58	GSM2769392	569.9274786584734
LRRC58	GSM2769393	1098.5140204823883
LRRC58	GSM2769394	1725.5610587896583
LRRC58	GSM2769395	988.9195637011588
LRRC58	GSM2769396	1163.0004189921754
LRRC58	GSM2769397	611.6487337881682
LRRC58	GSM2769398	646.3971775929729
LRRC58	GSM3103946	786.8021913208387
LRRC58	GSM3103947	729.816458893617
LRRC58	GSM3103948	1099.248146543745
LRRC58	GSM3103949	686.4611533996939
LRRC58	GSM3103950	1166.5323487308794
LRRC58	GSM3103951	1284
LRRC58	GSM3103952	677.0670963094734
LRRC58	GSM3103953	948.4046953148492
LRRC58	GSM3103954	890.6919090404889
LRRC58	GSM3103955	818.6497799207442
LRRC58	GSM3103956	802.7745463183196
LRRC58	GSM3103957	1512.0289876850322
LRRC58	GSM3103958	877.2063829374273
LRRC58	GSM3103959	797.4099861342214
LRRC58	GSM3103960	250
LRRC58	GSM3103961	842.2577512361464
LRRC58	GSM3103962	1199.03901613812
LRRC58	GSM3103963	842.3326217234189
LRRC58	GSM3103964	922.7236939039273
LRRC58	GSM3103965	401
LRRC58	GSM4260265	973.7709802208618
LRRC58	GSM4260266	1283.5258392749042
LRRC58	GSM4260267	914.3863721067066
LRRC58	GSM4260268	852.5640299192703
LRRC58	GSM4260269	1137.633373294278
LRRC58	GSM4260270	1260.165301782802
LRRC58	GSM4260271	769.8070598441715
LRRC58	GSM4260272	678.9781723774151
LRRC58	GSM4260273	1400.6856897385926
LRRC58	GSM4260274	402.80948795568594
LRRC58	GSM4260275	617.1289175331246
LRRC58	GSM4260276	1010.9102076785364
LRRC58	GSM4735785	894.8314649203867
LRRC58	GSM4735786	1178.5781355655306
LRRC58	GSM4735787	1154.816521609467
LRRC58	GSM4735788	1365.4860467283302
LRRC58	GSM4735789	986.7519095770904
LRRC58	GSM4735790	911.646041902888
LRRC58	GSM4735791	875.0650351618914
LRRC58	GSM4735792	896.8537993325227
LRRC58	GSM4735793	1103.8869985544818
LRRC58	GSM4735794	1535.335916271525
LRRC58	GSM4735795	1384.5696446756708
LRRC58	GSM4735796	419.0667522965546
LRRC58	GSM4735797	690.6609039965995
LRRC58	GSM4735798	638.8120068822662
LRRC58	GSM4735799	632.2454157090456
LRRC58	GSM4735800	603.4171652593565
LRRC58	GSM4735801	692.4405224951539
LRRC58	GSM4735802	1606.7241940593235
LRRC58	GSM4735803	1440.0870327287944
LRRC58	GSM4735804	796.6674708261281
LRRC58	GSM5282507	1520
LRRC58	GSM5282508	717.517683269134
LRRC58	GSM5282509	1739.2564980587924
LRRC58	GSM5282510	661.5583327579036
LRRC58	GSM5282511	696.2526249894801
LRRC58	GSM5282512	587.0122799999629
LRRC58	GSM5282513	832.7100075432354
LRRC58	GSM5282514	1098
LRRC58	GSM5282515	616.7282045979408
LRRC58	GSM5282516	563.166269561275
LRRC58	GSM5282517	744.8217902966348
LRRC58	GSM5282518	1027
LRRC58	GSM5282519	484.62648303357975
LRRC58	GSM5282520	200.96830993697208
LRRC58	GSM5282521	700.4754912774916
LRRC58	GSM5282522	343.5188898001518
LRRC58	GSM5282523	1618
LRRC58	GSM5282524	918.1042258159724
LRRC58	GSM5282525	1110
LRRC58	GSM5282526	701
