Gene	sample	counts
LTC4S	GSM1022678	100.48429345859164
LTC4S	GSM1022679	112.1342109990673
LTC4S	GSM1022680	26.80193379404831
LTC4S	GSM1022681	84.55092270862069
LTC4S	GSM1022682	102.1774426270565
LTC4S	GSM1022683	54.10578788947555
LTC4S	GSM1022684	29.61881838687558
LTC4S	GSM1022685	20.742297272631127
LTC4S	GSM1022686	69.99118167160935
LTC4S	GSM1022687	9.979924705461173
LTC4S	GSM1022688	11.655263590112568
LTC4S	GSM1022689	34.9592423301181
LTC4S	GSM1022690	26.47632473528315
LTC4S	GSM1022691	5.464163442909394
LTC4S	GSM1022692	20.45996945248249
LTC4S	GSM1022693	66.89004944003031
LTC4S	GSM1022694	25.309594740112505
LTC4S	GSM1022695	39.1332015961024
LTC4S	GSM1385778	49.318540986270634
LTC4S	GSM1385779	29.38455195004971
LTC4S	GSM1385780	48.46361062457543
LTC4S	GSM1385781	46.738732032793735
LTC4S	GSM1385782	36.395065026109584
LTC4S	GSM1385783	42.90410520856248
LTC4S	GSM1415906	55.34766782612386
LTC4S	GSM1415907	57.80417963773312
LTC4S	GSM1415908	40.96457959059129
LTC4S	GSM1415909	57.783551950208064
LTC4S	GSM1415910	60.89957179308584
LTC4S	GSM1415911	57.57667949924004
LTC4S	GSM1415912	22.467729937698905
LTC4S	GSM1415913	28.69046893750056
LTC4S	GSM1415914	60.274172110498995
LTC4S	GSM1415915	51.07965379854699
LTC4S	GSM1415916	45.4747204667178
LTC4S	GSM1415917	43.07579703362148
LTC4S	GSM1415918	52.55448024821628
LTC4S	GSM1415919	20.58418973939588
LTC4S	GSM1415920	51.38564565875074
LTC4S	GSM1415921	59.339973380023906
LTC4S	GSM2769390	31.473426043633673
LTC4S	GSM2769391	34.477399627773735
LTC4S	GSM2769392	37.18770016368823
LTC4S	GSM2769393	33.89000234378497
LTC4S	GSM2769394	44.77788047967009
LTC4S	GSM2769395	31.16769582485579
LTC4S	GSM2769396	46.93548938728149
LTC4S	GSM2769397	38.76947316678653
LTC4S	GSM2769398	38.892965352924534
LTC4S	GSM3103946	40.3870795326067
LTC4S	GSM3103947	49.23631516007972
LTC4S	GSM3103948	90.21125356888278
LTC4S	GSM3103949	48.70047631747799
LTC4S	GSM3103950	67.38891949105586
LTC4S	GSM3103951	63
LTC4S	GSM3103952	31.16877457102185
LTC4S	GSM3103953	27.27316397332423
LTC4S	GSM3103954	37.16239131725096
LTC4S	GSM3103955	43.20810481868115
LTC4S	GSM3103956	13.28378737653606
LTC4S	GSM3103957	13.17296172322892
LTC4S	GSM3103958	25.51297076196846
LTC4S	GSM3103959	35.11044731519037
LTC4S	GSM3103960	51.10723532766844
LTC4S	GSM3103961	17.321318865844297
LTC4S	GSM3103962	18.132815701299073
LTC4S	GSM3103963	10.2246970304458
LTC4S	GSM3103964	22.22257805233826
LTC4S	GSM3103965	30.081554263379317
LTC4S	GSM4260265	17.190036025857058
LTC4S	GSM4260266	105.81834863554322
LTC4S	GSM4260267	7.146746272077416
LTC4S	GSM4260268	19.402842540391777
LTC4S	GSM4260269	82.92050392325349
LTC4S	GSM4260270	14.118120492685453
LTC4S	GSM4260271	5.190845596230502
LTC4S	GSM4260272	37.144610130606296
LTC4S	GSM4260273	5.029413457730571
LTC4S	GSM4260274	11.949816279061809
LTC4S	GSM4260275	39.1426796079589
LTC4S	GSM4260276	20.172343178892312
LTC4S	GSM4735785	50.58712455581604
LTC4S	GSM4735786	32.61432482761273
LTC4S	GSM4735787	51.0137502183658
LTC4S	GSM4735788	27.600288562765876
LTC4S	GSM4735789	16.85054004485097
LTC4S	GSM4735790	47.81127101936335
LTC4S	GSM4735791	22.829156740244603
LTC4S	GSM4735792	66.05183656335905
LTC4S	GSM4735793	38.32747448591112
LTC4S	GSM4735794	78.32933653958024
LTC4S	GSM4735795	65.00706042236726
LTC4S	GSM4735796	1.1345222112631277
LTC4S	GSM4735797	96.03256961596982
LTC4S	GSM4735798	1.1431313903741345
LTC4S	GSM4735799	6.781802431406144
LTC4S	GSM4735800	1.1336053776903567
LTC4S	GSM4735801	16.286738341417202
LTC4S	GSM4735802	113.40869568313204
LTC4S	GSM4735803	88.49411158498489
LTC4S	GSM4735804	105.79760419913708
LTC4S	GSM5282507	15.98803144949694
LTC4S	GSM5282508	15.129257384169236
LTC4S	GSM5282509	15
LTC4S	GSM5282510	20.725418461111772
LTC4S	GSM5282511	15.265060138062088
LTC4S	GSM5282512	15.167678846344462
LTC4S	GSM5282513	17.05364583880675
LTC4S	GSM5282514	31.669891175467228
LTC4S	GSM5282515	43.49963593298266
LTC4S	GSM5282516	15.307782457181077
LTC4S	GSM5282517	15.234249098979523
LTC4S	GSM5282518	25.845296034560462
LTC4S	GSM5282519	17.746061887520472
LTC4S	GSM5282520	17.229255158795684
LTC4S	GSM5282521	27.27316397332423
LTC4S	GSM5282522	22.245928974638545
LTC4S	GSM5282523	21.24766409811076
LTC4S	GSM5282524	25
LTC4S	GSM5282525	25
LTC4S	GSM5282526	19.219147541972937
LTC4S	GSM5282527	20
LTC4S	GSM5282528	40.25284932809008
LTC4S	GSM5282529	22
LTC4S	GSM5282530	20.117653830922283
LTC4S	GSM5282531	15.1929474443999
LTC4S	GSM5282532	22
LTC4S	GSM5282533	19.61605452041461
LTC4S	GSM5282534	20
LTC4S	GSM5282535	22
LTC4S	GSM5282536	17.017731416946475
LTC4S	GSM4260927	154.32380863648902
LTC4S	GSM4260928	17.4273013924903
LTC4S	GSM4260929	25.60579196395751
LTC4S	GSM4260930	36
LTC4S	GSM4260931	73.50659427535227
LTC4S	GSM4260932	65.27363232773904
LTC4S	GSM4260933	67.5312303044583
LTC4S	GSM4260934	46.14515932853592
LTC4S	GSM4260935	110.25573703815893
LTC4S	GSM4260936	70.32933379783735
LTC4S	GSM4260937	55
LTC4S	GSM4260938	15.695174563957917
LTC4S	GSM4260939	19.05995711396049
LTC4S	GSM4260940	36.33833191809179
LTC4S	GSM4260941	86
LTC4S	GSM4260942	46
LTC4S	GSM4260943	34.618108394855305
LTC4S	GSM4260944	26.86644724192318
LTC4S	GSM4260945	40.31990857166728
LTC4S	GSM4260946	10.469640678400005
LTC4S	GSM4260947	17.41115426054581
LTC4S	GSM4260948	25.101236564722708
LTC4S	GSM4260949	39.18201873594508
LTC4S	GSM4260950	69
LTC4S	GSM4260951	100.87863293598856
LTC4S	GSM4260952	52.66948068689224
LTC4S	GSM4260953	59
LTC4S	GSM4260954	7.070820289380356
LTC4S	GSM4260955	1.0443980245860167
LTC4S	GSM4260956	60.28350150161201
LTC4S	GSM4260957	50.339147931930206
LTC4S	GSM4260958	21.94529663214776
LTC4S	GSM4260959	23.425863768455567
LTC4S	GSM4260960	13.123458637901882
LTC4S	GSM4260961	129.679175489205
LTC4S	GSM4260962	61.434281035113585
LTC4S	GSM4260963	77
LTC4S	GSM4260964	19.0399504161902
LTC4S	GSM4260965	31.44035465884289
LTC4S	GSM4260966	32
LTC4S	GSM4260967	46.18195210379943
LTC4S	GSM4260968	42.13253677822844
LTC4S	GSM4260969	23.121093304276854
LTC4S	GSM4260970	23.029795633886756
LTC4S	GSM4260971	38.31400336926743
LTC4S	GSM4260972	46.70401943341001
LTC4S	GSM4260973	44.30534449473288
LTC4S	GSM4260974	34.636544711658665
LTC4S	GSM4260975	34.12825162539533
LTC4S	GSM4260976	38
LTC4S	GSM4260977	21.78399250134454
LTC4S	GSM4260978	46
LTC4S	GSM4260979	100
LTC4S	GSM4260980	123.751024471037
LTC4S	GSM4260981	56.15728162548523
LTC4S	GSM4260982	23.145388363651794
LTC4S	GSM4260983	27.462430120442445
LTC4S	GSM4260984	76.14428170253916
LTC4S	GSM4260985	26.9865767634135
LTC4S	GSM4260986	6.763094845407018
LTC4S	GSM4260987	44.25237799250635
LTC4S	GSM4260988	46.76754652283045
LTC4S	GSM4260989	23
LTC4S	GSM4260990	44
LTC4S	GSM4260991	46.24218660855371
LTC4S	GSM4260992	37.64686590117323
LTC4S	GSM4260993	21.408400035396923
LTC4S	GSM4260994	44
LTC4S	GSM4260995	88.62973199274133
LTC4S	GSM4260996	36.12221781043457
LTC4S	GSM4260997	32
LTC4S	GSM4260998	26.821534850605268
LTC4S	GSM4260999	19.051651033473565
LTC4S	GSM4261000	13.298520413410609
LTC4S	GSM4261001	69
LTC4S	GSM4261002	1.0686315569478149
