Gene	sample	counts
MAJIN	GSM1022678	1.010650267145594
MAJIN	GSM1022679	4.3233185724726555
MAJIN	GSM1022680	3.068533699372073
MAJIN	GSM1022681	1.023487244357908
MAJIN	GSM1022682	11.10034072227976
MAJIN	GSM1022683	2.0304986402393497
MAJIN	GSM1022684	1.0419408454465733
MAJIN	GSM1022685	2.0536521243909864
MAJIN	GSM1022686	1.048277755164012
MAJIN	GSM1022687	1.080412911353207
MAJIN	GSM1022688	1.0432607562473546
MAJIN	GSM1022689	2.042540082594935
MAJIN	GSM1022690	1.079843385051915
MAJIN	GSM1022691	1.067908644246083
MAJIN	GSM1022692	1.0172824963691265
MAJIN	GSM1022693	1.0091218838436145
MAJIN	GSM1022694	2.084629397316497
MAJIN	GSM1022695	1.022581557181457
MAJIN	GSM1385778	1.001514567592329
MAJIN	GSM1385779	1.052358251410889
MAJIN	GSM1385780	1.0469231004598798
MAJIN	GSM1385781	1.0080868452623672
MAJIN	GSM1385782	1.0050401373437077
MAJIN	GSM1385783	1.0443602353553707
MAJIN	GSM1415906	2.003029135184658
MAJIN	GSM1415907	1.0069631126805123
MAJIN	GSM1415908	1.013974710299226
MAJIN	GSM1415909	1.0069631126805123
MAJIN	GSM1415910	1.0075958118807733
MAJIN	GSM1415911	2.0091011759925026
MAJIN	GSM1415912	1.1235925034328906
MAJIN	GSM1415913	1.1334188904283546
MAJIN	GSM1415914	2.173547705042712
MAJIN	GSM1415915	1.0718539595694612
MAJIN	GSM1415916	2.1435129618540354
MAJIN	GSM1415917	6.52377345768376
MAJIN	GSM1415918	1.0934321088575003
MAJIN	GSM1415919	1.0935295718899114
MAJIN	GSM1415920	1.0760262278806771
MAJIN	GSM1415921	2.1045859984777806
MAJIN	GSM2769390	1.0476453445591134
MAJIN	GSM2769391	1.0368437150858465
MAJIN	GSM2769392	1.033326703689763
MAJIN	GSM2769393	1.0303488943225554
MAJIN	GSM2769394	1.0155104435348865
MAJIN	GSM2769395	1.0397118660865767
MAJIN	GSM2769396	1.0223186155344817
MAJIN	GSM2769397	2.092050092391691
MAJIN	GSM2769398	1.0481558953476182
MAJIN	GSM3103946	3.020889338041537
MAJIN	GSM3103947	1.7934047081337676
MAJIN	GSM3103948	8.275499064987196
MAJIN	GSM3103949	5.0256242184313935
MAJIN	GSM3103950	5.150764474459754
MAJIN	GSM3103951	5
MAJIN	GSM3103952	2
MAJIN	GSM3103953	4.027852450722049
MAJIN	GSM3103954	9
MAJIN	GSM3103955	6.8370065193016885
MAJIN	GSM3103956	2.0456336476100665
MAJIN	GSM3103957	5.071177529415861
MAJIN	GSM3103958	3.0576866862052707
MAJIN	GSM3103959	4
MAJIN	GSM3103960	1
MAJIN	GSM3103961	6.930408708476468
MAJIN	GSM3103962	7.042504334331798
MAJIN	GSM3103963	9.203964829542931
MAJIN	GSM3103964	5.034815563402561
MAJIN	GSM3103965	4
MAJIN	GSM4260265	2.0526518020953466
MAJIN	GSM4260266	1.017949289364482
MAJIN	GSM4260267	1.0377901820927629
MAJIN	GSM4260268	1.038948316513042
MAJIN	GSM4260269	2.0469189685484124
MAJIN	GSM4260270	1.021939447988662
MAJIN	GSM4260271	2.101346284728083
MAJIN	GSM4260272	3.14571969121753
MAJIN	GSM4260273	3.051145508227008
MAJIN	GSM4260274	5.4134134278372565
MAJIN	GSM4260275	1.0472567835878563
